<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ГАЗ ап;60;20170124;140000;459;459;439;450;15;0
ГАЗ ап;60;20170124;150000;450;450;450;450;3;0
ГАЗ ап;60;20170124;160000;458;460;458;460;4;0
ГАЗ ап;60;20170124;170000;461;461;461;461;1;0
ГАЗ ап;60;20170125;110000;475;475;458;470;4;0
ГАЗ ап;60;20170125;120000;475;476;475;476;4;0
ГАЗ ап;60;20170126;140000;440;460;440;450;3;0
ГАЗ ап;60;20170127;120000;460;484;460;484;15;0
ГАЗ ап;60;20170127;130000;475;475;475;475;9;0
ГАЗ ап;60;20170127;180000;475;475;475;475;1;0
ГАЗ ап;60;20170130;120000;475;475;475;475;1;0
ГАЗ ап;60;20170130;160000;460;470;460;470;2;0
ГАЗ ап;60;20170201;170000;470;479;470;479;16;0
ГАЗ ап;60;20170203;180000;460;460;460;460;1;0
ГАЗ ап;60;20170206;110000;448;460;448;460;2;0
ГАЗ ап;60;20170206;120000;467;467;467;467;1;0
ГАЗ ап;60;20170206;150000;468;470;468;470;3;0
ГАЗ ап;60;20170206;180000;455;455;455;455;1;0
ГАЗ ап;60;20170207;100000;464;464;464;464;1;0
ГАЗ ап;60;20170208;130000;465;465;465;465;1;0
ГАЗ ап;60;20170208;170000;457;457;424;424;16;0
ГАЗ ап;60;20170208;180000;460;460;449;449;3;0
ГАЗ ап;60;20170209;120000;463;464;463;464;6;0
ГАЗ ап;60;20170209;140000;460;460;460;460;1;0
ГАЗ ап;60;20170209;170000;451;451;451;451;1;0
ГАЗ ап;60;20170210;110000;458;483;458;470;4;0
ГАЗ ап;60;20170210;140000;479;630;478;544;75;0
ГАЗ ап;60;20170210;150000;547;549;524;530;21;0
ГАЗ ап;60;20170210;160000;526;526;526;526;1;0
ГАЗ ап;60;20170210;170000;525;525;500;510;13;0
ГАЗ ап;60;20170210;180000;495;495;486;486;6;0
ГАЗ ап;60;20170213;100000;485;485;473;480;6;0
ГАЗ ап;60;20170213;150000;473;484;473;484;2;0
ГАЗ ап;60;20170214;120000;477;477;461;461;14;0
ГАЗ ап;60;20170214;130000;471;471;461;461;5;0
ГАЗ ап;60;20170214;160000;484;484;480;480;2;0
ГАЗ ап;60;20170214;180000;471;471;462;462;2;0
ГАЗ ап;60;20170215;170000;478;478;478;478;1;0
ГАЗ ап;60;20170216;140000;499;510;499;510;2;0
ГАЗ ап;60;20170216;170000;465;470;460;460;8;0
ГАЗ ап;60;20170216;180000;448;489;435;489;46;0
ГАЗ ап;60;20170217;120000;460;460;450;450;3;0
ГАЗ ап;60;20170217;130000;460;460;460;460;2;0
ГАЗ ап;60;20170217;150000;460;460;460;460;3;0
ГАЗ ап;60;20170217;180000;460;460;460;460;1;0
ГАЗ ап;60;20170220;100000;460;466;430;466;5;0
ГАЗ ап;60;20170220;110000;477;493;440;440;14;0
ГАЗ ап;60;20170220;120000;460;460;450;460;10;0
ГАЗ ап;60;20170220;160000;460;460;460;460;1;0
ГАЗ ап;60;20170220;180000;469;470;469;470;2;0
ГАЗ ап;60;20170221;110000;460;460;432;460;140;0
ГАЗ ап;60;20170221;120000;459;461;459;461;22;0
ГАЗ ап;60;20170221;130000;461;461;461;461;8;0
ГАЗ ап;60;20170221;150000;450;450;450;450;1;0
ГАЗ ап;60;20170222;170000;453;453;451;451;12;0
ГАЗ ап;60;20170227;140000;440;440;440;440;2;0
ГАЗ ап;60;20170227;150000;430;430;430;430;1;0
ГАЗ ап;60;20170227;180000;432;432;432;432;1;0
ГАЗ ап;60;20170228;140000;429;429;400;400;50;0
ГАЗ ап;60;20170228;150000;410;412;410;412;11;0
ГАЗ ап;60;20170228;170000;423;423;419;420;3;0
ГАЗ ап;60;20170301;110000;435;442;435;442;3;0
ГАЗ ап;60;20170301;130000;430;430;430;430;1;0
ГАЗ ап;60;20170301;170000;438;438;438;438;1;0
ГАЗ ап;60;20170307;110000;427;427;425;425;2;0
ГАЗ ап;60;20170309;100000;417;420;382;405;27;0
ГАЗ ап;60;20170309;110000;405;405;405;405;1;0
ГАЗ ап;60;20170309;120000;404;416;382;385;27;0
ГАЗ ап;60;20170309;130000;386;386;353;370;24;0
ГАЗ ап;60;20170309;140000;374;374;373;373;3;0
ГАЗ ап;60;20170309;150000;375;375;375;375;1;0
ГАЗ ап;60;20170309;160000;374;374;374;374;1;0
ГАЗ ап;60;20170309;170000;375;379;373;373;7;0
ГАЗ ап;60;20170309;180000;370;370;370;370;1;0
ГАЗ ап;60;20170310;100000;345;370;345;360;5;0
ГАЗ ап;60;20170310;110000;377;380;377;380;2;0
ГАЗ ап;60;20170313;130000;379;380;379;380;2;0
ГАЗ ап;60;20170313;140000;380;388;380;385;3;0
ГАЗ ап;60;20170315;100000;404;404;390;394;4;0
ГАЗ ап;60;20170315;110000;395;400;395;400;2;0
ГАЗ ап;60;20170315;130000;404;404;404;404;1;0
ГАЗ ап;60;20170316;100000;410;410;410;410;2;0
ГАЗ ап;60;20170316;130000;396;400;370;400;13;0
ГАЗ ап;60;20170316;180000;395;403;395;400;4;0
ГАЗ ап;60;20170317;100000;391;395;391;395;2;0
ГАЗ ап;60;20170317;110000;398;398;398;398;1;0
ГАЗ ап;60;20170317;130000;387;387;387;387;1;0
ГАЗ ап;60;20170317;150000;394;394;394;394;1;0
ГАЗ ап;60;20170320;110000;404;413;398;398;5;0
ГАЗ ап;60;20170320;170000;396;396;393;395;6;0
ГАЗ ап;60;20170321;100000;387;390;377;377;33;0
ГАЗ ап;60;20170321;110000;373;384;373;384;5;0
ГАЗ ап;60;20170321;130000;390;390;390;390;3;0
ГАЗ ап;60;20170321;140000;385;385;385;385;1;0
ГАЗ ап;60;20170321;150000;389;390;389;390;3;0
ГАЗ ап;60;20170321;160000;387;407;387;393;22;0
ГАЗ ап;60;20170321;170000;393;399;390;395;8;0
ГАЗ ап;60;20170322;100000;393;393;383;387;7;0
ГАЗ ап;60;20170322;110000;388;388;388;388;1;0
ГАЗ ап;60;20170322;160000;394;394;394;394;1;0
ГАЗ ап;60;20170323;110000;389;398;389;398;2;0
ГАЗ ап;60;20170323;120000;393;393;393;393;1;0
ГАЗ ап;60;20170323;140000;395;408;395;408;9;0
ГАЗ ап;60;20170324;090000;412;412;412;412;1;0
ГАЗ ап;60;20170324;110000;403;403;403;403;1;0
ГАЗ ап;60;20170324;130000;400;400;330;375;154;0
ГАЗ ап;60;20170324;140000;384;388;377;384;8;0
ГАЗ ап;60;20170324;150000;380;380;380;380;1;0
ГАЗ ап;60;20170324;180000;381;392;381;392;12;0
ГАЗ ап;60;20170327;100000;383;383;355;377;24;0
ГАЗ ап;60;20170327;110000;377;377;377;377;4;0
ГАЗ ап;60;20170327;120000;375;375;372;372;4;0
ГАЗ ап;60;20170327;130000;373;373;372;372;2;0
ГАЗ ап;60;20170327;150000;376;381;375;375;8;0
ГАЗ ап;60;20170327;180000;378;378;371;371;10;0
ГАЗ ап;60;20170328;180000;372;372;372;372;3;0
ГАЗ ап;60;20170329;100000;378;378;378;378;1;0
ГАЗ ап;60;20170403;120000;376;376;374;374;2;0
ГАЗ ап;60;20170403;180000;380;380;380;380;1;0
ГАЗ ап;60;20170404;180000;380;380;380;380;2;0
ГАЗ ап;60;20170405;120000;382;382;380;380;3;0
ГАЗ ап;60;20170405;180000;383;383;383;383;1;0
ГАЗ ап;60;20170406;180000;384;390;384;389;4;0
ГАЗ ап;60;20170410;100000;381;381;380;380;4;0
ГАЗ ап;60;20170410;120000;380;380;380;380;1;0
ГАЗ ап;60;20170410;130000;373;375;366;366;3;0
ГАЗ ап;60;20170410;170000;371;371;371;371;1;0
ГАЗ ап;60;20170411;170000;371;371;371;371;1;0
ГАЗ ап;60;20170413;110000;357;366;357;360;4;0
ГАЗ ап;60;20170413;160000;363;363;363;363;1;0
ГАЗ ап;60;20170413;180000;363;363;363;363;1;0
ГАЗ ап;60;20170414;130000;372;372;372;372;1;0
ГАЗ ап;60;20170414;140000;365;365;365;365;1;0
ГАЗ ап;60;20170414;170000;370;370;370;370;1;0
ГАЗ ап;60;20170417;180000;368;368;368;368;1;0
ГАЗ ап;60;20170418;150000;360;371;360;371;3;0
ГАЗ ап;60;20170418;160000;365;365;365;365;1;0
ГАЗ ап;60;20170421;140000;374;374;374;374;1;0
ГАЗ ап;60;20170421;170000;369;370;369;370;2;0
ГАЗ ап;60;20170421;180000;381;381;381;381;1;0
ГАЗ ап;60;20170424;170000;384;394;377;377;6;0
ГАЗ ап;60;20170424;180000;380;380;380;380;1;0
ГАЗ ап;60;20170425;140000;384;384;384;384;1;0
ГАЗ ап;60;20170425;160000;387;387;385;385;2;0
ГАЗ ап;60;20170426;100000;383;383;383;383;2;0
ГАЗ ап;60;20170426;160000;388;394;388;390;6;0
ГАЗ ап;60;20170428;110000;387;387;387;387;1;0
ГАЗ ап;60;20170428;130000;393;393;393;393;1;0
