<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ГИТ ао;60;20170124;090000;1.203;1.203;1.203;1.203;49;0
ГИТ ао;60;20170124;100000;1.204;1.242;1.14;1.239;5281;0
ГИТ ао;60;20170124;110000;1.238;1.335;1.213;1.298;6475;0
ГИТ ао;60;20170124;120000;1.298;1.35;1.254;1.299;7064;0
ГИТ ао;60;20170124;130000;1.299;1.375;1.282;1.335;2858;0
ГИТ ао;60;20170124;140000;1.34;1.369;1.327;1.34;1111;0
ГИТ ао;60;20170124;150000;1.337;1.383;1.312;1.375;2030;0
ГИТ ао;60;20170124;160000;1.375;1.386;1.363;1.377;873;0
ГИТ ао;60;20170124;170000;1.378;1.649;1.377;1.625;19445;0
ГИТ ао;60;20170124;180000;1.632;1.645;1.56;1.598;8772;0
ГИТ ао;60;20170125;090000;1.6;1.6;1.6;1.6;197;0
ГИТ ао;60;20170125;100000;1.6;1.814;1.551;1.795;13836;0
ГИТ ао;60;20170125;110000;1.795;1.988;1.451;1.529;17056;0
ГИТ ао;60;20170125;120000;1.53;1.618;1.28;1.348;14395;0
ГИТ ао;60;20170125;130000;1.345;1.35;1.122;1.249;16491;0
ГИТ ао;60;20170125;140000;1.246;1.369;1.232;1.301;8416;0
ГИТ ао;60;20170125;150000;1.292;1.298;1.182;1.253;5209;0
ГИТ ао;60;20170125;160000;1.254;1.307;1.25;1.301;4011;0
ГИТ ао;60;20170125;170000;1.3;1.332;1.21;1.225;4096;0
ГИТ ао;60;20170125;180000;1.224;1.235;1.193;1.199;2516;0
ГИТ ао;60;20170126;090000;1.15;1.15;1.15;1.15;314;0
ГИТ ао;60;20170126;100000;1.15;1.197;1.052;1.16;12838;0
ГИТ ао;60;20170126;110000;1.161;1.291;1.147;1.229;6390;0
ГИТ ао;60;20170126;120000;1.23;1.238;1.18;1.205;1921;0
ГИТ ао;60;20170126;130000;1.19;1.198;1.15;1.178;1643;0
ГИТ ао;60;20170126;140000;1.171;1.174;1.14;1.161;1197;0
ГИТ ао;60;20170126;150000;1.16;1.162;1.151;1.16;233;0
