<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ГТМ ао;60;20171103;130000;135;135;133;133;2;0
ГТМ ао;60;20171103;140000;134.7;134.7;134.7;134.7;22;0
ГТМ ао;60;20171103;160000;134.2;134.2;134;134;129;0
ГТМ ао;60;20171103;170000;133.02;133.02;133;133.01;379;0
ГТМ ао;60;20171103;180000;133.25;133.25;133.25;133.25;10;0
ГТМ ао;60;20171107;100000;136;136;136;136;11;0
ГТМ ао;60;20171107;110000;135;135;131.5;131.5;7601;0
ГТМ ао;60;20171107;120000;132.07;135;132;135;2273;0
ГТМ ао;60;20171107;130000;133;133;133;133;10;0
ГТМ ао;60;20171107;140000;133;133;133;133;350;0
ГТМ ао;60;20171107;150000;132.01;132.01;132;132;64;0
ГТМ ао;60;20171108;150000;132;132;132;132;151;0
ГТМ ао;60;20171108;160000;132;132.1;132;132;547;0
ГТМ ао;60;20171108;180000;133;133;133;133;1;0
ГТМ ао;60;20171109;100000;132.01;132.01;131;131;5013;0
ГТМ ао;60;20171109;110000;132.01;132.01;132.01;132.01;2;0
ГТМ ао;60;20171109;140000;132.01;132.01;132.01;132.01;25;0
ГТМ ао;60;20171109;160000;131.27;132;131.27;132;2611;0
ГТМ ао;60;20171109;180000;131.99;132.01;131.99;132;54;0
ГТМ ао;60;20171110;100000;132;132;132;132;1515;0
ГТМ ао;60;20171110;110000;132;133;132;132;829;0
ГТМ ао;60;20171110;130000;132;132;132;132;99;0
ГТМ ао;60;20171110;140000;132.99;132.99;132.99;132.99;1;0
ГТМ ао;60;20171110;150000;132.99;132.99;132.99;132.99;1;0
ГТМ ао;60;20171110;160000;132.01;132.01;132;132;51;0
ГТМ ао;60;20171110;170000;132;132;132;132;10;0
ГТМ ао;60;20171110;180000;132;132;132;132;23;0
ГТМ ао;60;20171113;110000;132.01;132.01;132;132;1500;0
ГТМ ао;60;20171113;120000;132;132;132;132;5;0
ГТМ ао;60;20171113;130000;132;132;132;132;200;0
ГТМ ао;60;20171113;140000;131.66;131.66;131;131;20;0
ГТМ ао;60;20171113;150000;131.5;131.5;131.5;131.5;1;0
ГТМ ао;60;20171113;160000;131.5;131.5;131.5;131.5;43;0
ГТМ ао;60;20171113;170000;131.01;131.01;130;130;13010;0
ГТМ ао;60;20171113;180000;132.99;132.99;132.99;132.99;1;0
ГТМ ао;60;20171114;110000;131.01;131.01;131;131;1000;0
ГТМ ао;60;20171114;120000;131;131;131;131;1;0
ГТМ ао;60;20171114;130000;131;131;131;131;5;0
ГТМ ао;60;20171114;180000;131.99;132.47;131.99;132.47;4;0
