<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Газпрнефть;60;20170124;090000;221.9;221.9;221.9;221.9;11;0
Газпрнефть;60;20170124;100000;222.1;223.15;221.85;222.15;998;0
Газпрнефть;60;20170124;110000;222.15;223.4;221.8;223.1;1937;0
Газпрнефть;60;20170124;120000;222.9;223;222.6;222.8;507;0
Газпрнефть;60;20170124;130000;222.8;222.9;222.4;222.8;592;0
Газпрнефть;60;20170124;140000;222.85;223.8;222.45;223.8;1046;0
Газпрнефть;60;20170124;150000;223.8;224.35;223.7;224.05;292;0
Газпрнефть;60;20170124;160000;223.95;224.4;223.8;224.35;194;0
Газпрнефть;60;20170124;170000;224.4;224.55;223.75;223.95;568;0
Газпрнефть;60;20170124;180000;223.8;224.55;223.15;223.3;1216;0
Газпрнефть;60;20170125;100000;224.7;225.25;224.05;224.05;385;0
Газпрнефть;60;20170125;110000;224.25;224.3;223.4;223.95;275;0
Газпрнефть;60;20170125;120000;223.6;223.95;223.3;223.35;440;0
Газпрнефть;60;20170125;130000;223.55;223.55;223.3;223.45;64;0
Газпрнефть;60;20170125;140000;223.4;223.5;223.3;223.5;401;0
Газпрнефть;60;20170125;150000;223.5;223.5;223.3;223.3;68;0
Газпрнефть;60;20170125;160000;223.3;224.6;223.25;224.6;5638;0
Газпрнефть;60;20170125;170000;224.6;224.65;223.7;224.05;410;0
Газпрнефть;60;20170125;180000;224.05;225.65;223.7;224.2;2577;0
Газпрнефть;60;20170126;090000;226.2;226.2;226.2;226.2;10;0
Газпрнефть;60;20170126;100000;224.5;226.55;224.45;225.6;530;0
Газпрнефть;60;20170126;110000;225.9;226.25;224.9;225.75;851;0
Газпрнефть;60;20170126;120000;225.75;226.45;225.75;226.1;514;0
Газпрнефть;60;20170126;130000;226.4;228;226.05;227.8;3889;0
Газпрнефть;60;20170126;140000;227.8;229.45;227.5;229.45;2910;0
Газпрнефть;60;20170126;150000;229.5;229.7;228.1;229.35;4248;0
Газпрнефть;60;20170126;160000;229.35;229.45;228.35;228.4;839;0
Газпрнефть;60;20170126;170000;228.6;228.7;228.2;228.2;550;0
Газпрнефть;60;20170126;180000;228.7;229.5;227.95;228;3241;0
Газпрнефть;60;20170127;100000;228.15;228.95;226.05;226.3;1282;0
Газпрнефть;60;20170127;110000;226.2;229.7;225.2;229.05;6780;0
Газпрнефть;60;20170127;120000;229.35;229.7;228.9;229.3;1103;0
Газпрнефть;60;20170127;130000;229.4;229.55;228.75;229.1;1385;0
Газпрнефть;60;20170127;140000;229.1;229.7;228.8;228.9;812;0
Газпрнефть;60;20170127;150000;228.75;228.85;227.8;228.35;816;0
Газпрнефть;60;20170127;160000;228.05;228.15;227.05;228.15;1393;0
Газпрнефть;60;20170127;170000;228.15;228.4;227.6;227.65;609;0
Газпрнефть;60;20170127;180000;227.8;228.75;227;227.3;1579;0
Газпрнефть;60;20170130;100000;227.95;229.5;227.1;229.25;672;0
Газпрнефть;60;20170130;110000;229.2;229.2;228.1;228.6;606;0
Газпрнефть;60;20170130;120000;228.45;228.85;228.05;228.1;468;0
Газпрнефть;60;20170130;130000;228.05;228.05;228;228.05;102;0
Газпрнефть;60;20170130;140000;228.15;228.35;228;228.35;181;0
Газпрнефть;60;20170130;150000;228.4;228.55;227.65;228.15;571;0
Газпрнефть;60;20170130;160000;227.9;228.15;226.25;227.85;1941;0
Газпрнефть;60;20170130;170000;227.95;228;227.2;227.9;211;0
Газпрнефть;60;20170130;180000;227.55;228.2;226.35;226.35;1487;0
Газпрнефть;60;20170131;100000;226.6;227.9;226.6;227.4;505;0
Газпрнефть;60;20170131;110000;227;227.9;226.85;227;1379;0
Газпрнефть;60;20170131;120000;227;227.4;226.7;227.1;303;0
Газпрнефть;60;20170131;130000;227.1;227.7;227.1;227.7;469;0
Газпрнефть;60;20170131;140000;227.7;229.25;227.65;229.25;905;0
Газпрнефть;60;20170131;150000;228.8;228.95;228.3;228.75;195;0
Газпрнефть;60;20170131;160000;228.7;231.2;228.55;230.6;2089;0
Газпрнефть;60;20170131;170000;230.9;233.35;230.9;231.9;3620;0
Газпрнефть;60;20170131;180000;231.85;232.15;230.2;230.7;2789;0
Газпрнефть;60;20170201;100000;231;233;230.9;232.95;1009;0
Газпрнефть;60;20170201;110000;232.95;233;232.45;232.85;202;0
Газпрнефть;60;20170201;120000;232.65;233;232.5;232.6;722;0
Газпрнефть;60;20170201;130000;232.5;232.5;231.7;232.2;736;0
Газпрнефть;60;20170201;140000;232.25;233;232.1;233;506;0
Газпрнефть;60;20170201;150000;233;233;232;232.05;588;0
Газпрнефть;60;20170201;160000;232.25;232.25;227.7;230.2;3920;0
Газпрнефть;60;20170201;170000;230.55;231.65;229.9;231.5;1256;0
Газпрнефть;60;20170201;180000;231.5;232.65;230.25;230.25;728;0
Газпрнефть;60;20170202;100000;231;233.1;231;231.9;729;0
Газпрнефть;60;20170202;110000;232;232.95;231.35;232.5;593;0
Газпрнефть;60;20170202;120000;232.55;233;232.05;233;1283;0
Газпрнефть;60;20170202;130000;233;233.2;232.5;232.95;921;0
Газпрнефть;60;20170202;140000;232.95;233;232.7;232.7;494;0
Газпрнефть;60;20170202;150000;232.9;233;232.3;232.5;486;0
Газпрнефть;60;20170202;160000;232.3;232.65;231.9;232.65;185;0
Газпрнефть;60;20170202;170000;232.65;232.85;231.2;232.15;731;0
Газпрнефть;60;20170202;180000;232.15;232.15;230.55;231.7;326;0
Газпрнефть;60;20170203;100000;232.9;235.9;232.7;235.35;1523;0
Газпрнефть;60;20170203;110000;235.45;235.45;229.9;233;3173;0
Газпрнефть;60;20170203;120000;232.75;234.95;231.1;233.75;1553;0
Газпрнефть;60;20170203;130000;233.8;235.2;233;234;913;0
Газпрнефть;60;20170203;140000;234;234.3;231.6;232.35;472;0
Газпрнефть;60;20170203;150000;232.25;233.9;232.25;233.75;607;0
Газпрнефть;60;20170203;160000;233.15;233.9;233.15;233.85;748;0
Газпрнефть;60;20170203;170000;233.85;233.9;233.6;233.9;291;0
Газпрнефть;60;20170203;180000;233.3;234;230.25;233.95;1890;0
Газпрнефть;60;20170206;090000;233.95;233.95;233.95;233.95;1;0
Газпрнефть;60;20170206;100000;234;234;230.25;231.35;1327;0
Газпрнефть;60;20170206;110000;231.4;231.65;230.7;231.15;192;0
Газпрнефть;60;20170206;120000;231.1;231.3;230.2;230.9;206;0
