<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Галс-Девел;60;20170124;130000;1245;1245;1245;1245;30;0
Галс-Девел;60;20170125;140000;1240;1240;1240;1240;1;0
Галс-Девел;60;20170125;150000;1240;1240;1240;1240;8;0
Галс-Девел;60;20170125;170000;1240;1240;1240;1240;5;0
Галс-Девел;60;20170126;130000;1240;1240;1240;1240;1;0
Галс-Девел;60;20170126;170000;1245;1245;1245;1245;2;0
Галс-Девел;60;20170127;160000;1245;1245;1245;1245;4;0
Галс-Девел;60;20170127;180000;1250;1250;1250;1250;1;0
Галс-Девел;60;20170130;100000;1240;1270;1105;1270;84;0
Галс-Девел;60;20170130;110000;1270;1270;1270;1270;6;0
Галс-Девел;60;20170130;130000;1260;1260;1255;1255;4;0
Галс-Девел;60;20170130;140000;1265;1265;1265;1265;1;0
Галс-Девел;60;20170131;120000;1255;1255;1250;1250;14;0
Галс-Девел;60;20170131;130000;1260;1270;1260;1270;30;0
Галс-Девел;60;20170131;150000;1270;1270;1260;1260;4;0
Галс-Девел;60;20170201;130000;1255;1255;1200;1200;70;0
Галс-Девел;60;20170201;140000;1230;1235;1215;1235;8;0
Галс-Девел;60;20170201;150000;1240;1250;1240;1240;32;0
Галс-Девел;60;20170201;170000;1240;1240;1240;1240;2;0
Галс-Девел;60;20170201;180000;1250;1250;1250;1250;4;0
Галс-Девел;60;20170202;100000;1190;1200;1185;1195;175;0
Галс-Девел;60;20170202;130000;1190;1195;1190;1190;23;0
Галс-Девел;60;20170202;140000;1190;1190;1190;1190;3;0
Галс-Девел;60;20170202;160000;1190;1190;1190;1190;1;0
Галс-Девел;60;20170203;100000;1140;1185;1080;1180;462;0
Галс-Девел;60;20170203;110000;1180;1180;1175;1175;12;0
Галс-Девел;60;20170203;120000;1175;1175;1175;1175;10;0
Галс-Девел;60;20170203;130000;1165;1165;1165;1165;3;0
Галс-Девел;60;20170203;150000;1175;1175;1175;1175;1;0
Галс-Девел;60;20170203;160000;1175;1175;1175;1175;4;0
Галс-Девел;60;20170206;100000;1185;1185;1185;1185;1;0
Галс-Девел;60;20170206;110000;1190;1190;1185;1185;24;0
Галс-Девел;60;20170206;160000;1180;1180;1170;1170;21;0
Галс-Девел;60;20170206;180000;1175;1175;1175;1175;10;0
Галс-Девел;60;20170207;090000;1200;1200;1200;1200;2;0
Галс-Девел;60;20170207;100000;1200;1200;1195;1195;7;0
Галс-Девел;60;20170207;110000;1190;1190;1185;1185;2;0
Галс-Девел;60;20170208;110000;1190;1190;1190;1190;3;0
Галс-Девел;60;20170208;160000;1190;1190;1190;1190;2;0
Галс-Девел;60;20170209;110000;1190;1190;1190;1190;5;0
Галс-Девел;60;20170209;170000;1190;1190;1185;1185;2;0
Галс-Девел;60;20170209;180000;1190;1190;1190;1190;2;0
Галс-Девел;60;20170210;110000;1175;1175;1175;1175;1;0
Галс-Девел;60;20170210;130000;1180;1655;1180;1495;1291;0
Галс-Девел;60;20170210;140000;1495;1625;1400;1425;650;0
Галс-Девел;60;20170210;150000;1425;1440;1380;1380;145;0
Галс-Девел;60;20170210;160000;1380;1460;1355;1410;267;0
Галс-Девел;60;20170210;170000;1405;1440;1385;1440;216;0
Галс-Девел;60;20170210;180000;1430;1500;1380;1420;1730;0
Галс-Девел;60;20170213;090000;1450;1450;1450;1450;11;0
Галс-Девел;60;20170213;100000;1445;1560;1405;1435;1306;0
Галс-Девел;60;20170213;110000;1430;1475;1430;1475;123;0
Галс-Девел;60;20170213;120000;1470;1540;1450;1490;501;0
Галс-Девел;60;20170213;130000;1490;1530;1480;1480;116;0
Галс-Девел;60;20170213;140000;1480;1550;1420;1530;554;0
Галс-Девел;60;20170213;150000;1525;1535;1500;1500;72;0
Галс-Девел;60;20170213;160000;1490;1535;1490;1500;185;0
Галс-Девел;60;20170213;170000;1500;1530;1490;1530;200;0
Галс-Девел;60;20170213;180000;1530;1550;1450;1500;508;0
Галс-Девел;60;20170214;100000;1515;1515;1415;1470;428;0
Галс-Девел;60;20170214;110000;1465;1515;1450;1500;216;0
Галс-Девел;60;20170214;120000;1495;1495;1490;1490;11;0
Галс-Девел;60;20170214;130000;1490;1490;1485;1485;32;0
Галс-Девел;60;20170214;140000;1480;1520;1460;1520;299;0
Галс-Девел;60;20170214;150000;1520;1520;1405;1465;139;0
Галс-Девел;60;20170214;160000;1460;1520;1375;1500;387;0
Галс-Девел;60;20170214;170000;1500;1510;1495;1495;16;0
Галс-Девел;60;20170214;180000;1490;1490;1490;1490;11;0
Галс-Девел;60;20170215;100000;1450;1485;1380;1445;392;0
Галс-Девел;60;20170215;110000;1435;1455;1325;1375;709;0
Галс-Девел;60;20170215;120000;1360;1405;1350;1370;231;0
Галс-Девел;60;20170215;130000;1365;1375;1340;1375;26;0
Галс-Девел;60;20170215;140000;1380;1405;1380;1405;15;0
Галс-Девел;60;20170215;150000;1395;1395;1390;1390;2;0
Галс-Девел;60;20170215;160000;1400;1405;1365;1365;35;0
Галс-Девел;60;20170215;170000;1370;1370;1360;1360;2;0
Галс-Девел;60;20170215;180000;1360;1365;1350;1350;65;0
Галс-Девел;60;20170216;100000;1355;1360;1355;1360;4;0
