<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ГлТоргПрод;60;20170124;100000;1.505;1.505;1.5;1.5;49;0
ГлТоргПрод;60;20170124;110000;1.505;1.505;1.505;1.505;6;0
ГлТоргПрод;60;20170124;120000;1.505;1.51;1.505;1.51;25;0
ГлТоргПрод;60;20170124;130000;1.5;1.505;1.5;1.505;33;0
ГлТоргПрод;60;20170124;160000;1.51;1.51;1.51;1.51;186;0
ГлТоргПрод;60;20170124;170000;1.515;1.515;1.505;1.505;158;0
ГлТоргПрод;60;20170124;180000;1.5;1.505;1.49;1.505;346;0
ГлТоргПрод;60;20170125;100000;1.51;1.56;1.495;1.56;931;0
ГлТоргПрод;60;20170125;110000;1.52;1.52;1.52;1.52;1;0
ГлТоргПрод;60;20170125;130000;1.525;1.545;1.52;1.53;29;0
ГлТоргПрод;60;20170125;140000;1.53;1.53;1.52;1.52;673;0
ГлТоргПрод;60;20170125;150000;1.525;1.525;1.525;1.525;80;0
ГлТоргПрод;60;20170125;170000;1.52;1.52;1.515;1.515;3;0
ГлТоргПрод;60;20170125;180000;1.515;1.53;1.515;1.515;49;0
ГлТоргПрод;60;20170126;100000;1.5;1.56;1.5;1.53;19;0
ГлТоргПрод;60;20170126;110000;1.53;1.53;1.52;1.52;3;0
ГлТоргПрод;60;20170126;120000;1.53;1.53;1.53;1.53;1;0
ГлТоргПрод;60;20170126;130000;1.525;1.54;1.525;1.535;7;0
ГлТоргПрод;60;20170126;140000;1.53;1.535;1.5;1.535;93;0
ГлТоргПрод;60;20170126;150000;1.53;1.55;1.53;1.535;101;0
ГлТоргПрод;60;20170126;160000;1.545;1.55;1.54;1.54;144;0
ГлТоргПрод;60;20170126;170000;1.54;1.54;1.54;1.54;4;0
ГлТоргПрод;60;20170126;180000;1.55;1.57;1.55;1.57;218;0
ГлТоргПрод;60;20170127;100000;1.565;1.6;1.565;1.59;365;0
ГлТоргПрод;60;20170127;110000;1.585;1.59;1.57;1.57;17;0
ГлТоргПрод;60;20170127;120000;1.57;1.57;1.51;1.545;83;0
ГлТоргПрод;60;20170127;130000;1.555;1.555;1.515;1.545;310;0
ГлТоргПрод;60;20170127;140000;1.545;1.585;1.545;1.58;81;0
ГлТоргПрод;60;20170127;150000;1.565;1.59;1.565;1.59;37;0
ГлТоргПрод;60;20170127;160000;1.57;1.57;1.545;1.545;200;0
ГлТоргПрод;60;20170127;170000;1.55;1.55;1.55;1.55;112;0
ГлТоргПрод;60;20170127;180000;1.555;1.555;1.55;1.55;2;0
ГлТоргПрод;60;20170130;100000;1.545;1.545;1.5;1.545;127;0
ГлТоргПрод;60;20170130;110000;1.545;1.545;1.545;1.545;20;0
ГлТоргПрод;60;20170130;120000;1.545;1.545;1.545;1.545;14;0
ГлТоргПрод;60;20170130;130000;1.555;1.565;1.555;1.565;7;0
ГлТоргПрод;60;20170130;160000;1.56;1.56;1.56;1.56;6;0
ГлТоргПрод;60;20170130;170000;1.56;1.56;1.545;1.545;102;0
ГлТоргПрод;60;20170130;180000;1.55;1.56;1.545;1.56;101;0
ГлТоргПрод;60;20170131;100000;1.555;1.57;1.555;1.565;7;0
ГлТоргПрод;60;20170131;130000;1.565;1.565;1.52;1.555;212;0
ГлТоргПрод;60;20170131;150000;1.56;1.57;1.56;1.56;300;0
ГлТоргПрод;60;20170131;160000;1.56;1.56;1.555;1.555;37;0
ГлТоргПрод;60;20170131;180000;1.555;1.555;1.555;1.555;1;0
ГлТоргПрод;60;20170201;100000;1.555;1.555;1.555;1.555;1;0
ГлТоргПрод;60;20170201;120000;1.56;1.56;1.55;1.56;130;0
ГлТоргПрод;60;20170201;130000;1.57;1.57;1.57;1.57;50;0
ГлТоргПрод;60;20170201;150000;1.555;1.555;1.555;1.555;8;0
ГлТоргПрод;60;20170201;160000;1.57;1.57;1.56;1.57;4;0
ГлТоргПрод;60;20170201;170000;1.56;1.585;1.56;1.57;331;0
ГлТоргПрод;60;20170201;180000;1.56;1.575;1.55;1.575;218;0
ГлТоргПрод;60;20170202;100000;1.575;1.575;1.545;1.57;80;0
ГлТоргПрод;60;20170202;110000;1.57;1.57;1.57;1.57;1;0
ГлТоргПрод;60;20170202;120000;1.57;1.58;1.57;1.58;11;0
ГлТоргПрод;60;20170202;140000;1.575;1.575;1.575;1.575;78;0
ГлТоргПрод;60;20170202;150000;1.57;1.57;1.57;1.57;4;0
ГлТоргПрод;60;20170202;180000;1.56;1.58;1.555;1.58;176;0
ГлТоргПрод;60;20170203;110000;1.58;1.58;1.58;1.58;1;0
ГлТоргПрод;60;20170203;130000;1.565;1.565;1.565;1.565;10;0
ГлТоргПрод;60;20170203;140000;1.57;1.57;1.57;1.57;9;0
ГлТоргПрод;60;20170203;150000;1.575;1.61;1.575;1.585;571;0
ГлТоргПрод;60;20170203;160000;1.585;1.585;1.58;1.58;265;0
