<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ДВМП ао;60;20170124;100000;3.622;3.622;3.55;3.554;1888;0
ДВМП ао;60;20170124;110000;3.554;3.599;3.554;3.599;329;0
ДВМП ао;60;20170124;120000;3.599;3.607;3.599;3.601;5497;0
ДВМП ао;60;20170124;130000;3.602;3.62;3.601;3.62;290;0
ДВМП ао;60;20170124;140000;3.62;3.62;3.618;3.62;112;0
ДВМП ао;60;20170124;150000;3.623;3.696;3.608;3.662;422;0
ДВМП ао;60;20170124;160000;3.685;3.697;3.672;3.695;352;0
ДВМП ао;60;20170124;170000;3.681;3.888;3.68;3.888;2012;0
ДВМП ао;60;20170124;180000;3.826;3.899;3.756;3.806;1993;0
ДВМП ао;60;20170125;100000;3.89;3.95;3.835;3.928;5079;0
ДВМП ао;60;20170125;110000;3.927;3.948;3.886;3.905;869;0
ДВМП ао;60;20170125;120000;3.908;3.92;3.903;3.92;677;0
ДВМП ао;60;20170125;130000;3.92;3.92;3.7;3.753;2775;0
ДВМП ао;60;20170125;140000;3.722;3.82;3.7;3.82;1615;0
ДВМП ао;60;20170125;150000;3.82;3.869;3.8;3.815;767;0
ДВМП ао;60;20170125;160000;3.815;3.87;3.81;3.812;331;0
ДВМП ао;60;20170125;170000;3.867;3.87;3.819;3.819;27;0
ДВМП ао;60;20170125;180000;3.818;3.864;3.809;3.864;15;0
ДВМП ао;60;20170126;100000;3.862;3.9;3.808;3.83;222;0
ДВМП ао;60;20170126;110000;3.829;3.919;3.827;3.877;703;0
ДВМП ао;60;20170126;120000;3.9;3.901;3.881;3.881;151;0
ДВМП ао;60;20170126;130000;3.898;3.9;3.895;3.9;255;0
ДВМП ао;60;20170126;140000;3.9;3.911;3.9;3.902;393;0
ДВМП ао;60;20170126;150000;3.901;3.902;3.9;3.902;722;0
ДВМП ао;60;20170126;160000;3.903;3.91;3.9;3.91;254;0
ДВМП ао;60;20170126;170000;3.91;3.91;3.877;3.9;948;0
ДВМП ао;60;20170126;180000;3.9;3.909;3.895;3.909;250;0
ДВМП ао;60;20170127;100000;3.808;3.929;3.807;3.863;195;0
ДВМП ао;60;20170127;110000;3.879;3.9;3.811;3.811;698;0
ДВМП ао;60;20170127;120000;3.848;3.848;3.815;3.815;84;0
ДВМП ао;60;20170127;130000;3.815;3.9;3.812;3.895;1336;0
ДВМП ао;60;20170127;140000;3.892;3.9;3.89;3.89;727;0
ДВМП ао;60;20170127;150000;3.881;3.9;3.841;3.841;653;0
ДВМП ао;60;20170127;160000;3.826;3.842;3.801;3.842;536;0
ДВМП ао;60;20170127;170000;3.815;3.839;3.806;3.839;135;0
ДВМП ао;60;20170127;180000;3.839;3.839;3.807;3.837;131;0
ДВМП ао;60;20170130;090000;3.945;3.945;3.945;3.945;3;0
ДВМП ао;60;20170130;100000;3.833;3.898;3.816;3.818;45;0
ДВМП ао;60;20170130;110000;3.848;3.876;3.84;3.843;250;0
ДВМП ао;60;20170130;120000;3.863;3.865;3.863;3.865;17;0
ДВМП ао;60;20170130;130000;3.863;3.864;3.84;3.84;115;0
ДВМП ао;60;20170130;140000;3.863;3.877;3.8;3.8;332;0
ДВМП ао;60;20170130;150000;3.757;3.783;3.7;3.729;1339;0
ДВМП ао;60;20170130;160000;3.731;3.758;3.72;3.72;117;0
ДВМП ао;60;20170130;170000;3.758;3.758;3.725;3.725;77;0
ДВМП ао;60;20170130;180000;3.725;3.74;3.646;3.72;1875;0
ДВМП ао;60;20170131;100000;3.798;3.798;3.595;3.639;2024;0
ДВМП ао;60;20170131;110000;3.63;3.641;3.546;3.609;1396;0
ДВМП ао;60;20170131;120000;3.6;3.64;3.585;3.624;1297;0
ДВМП ао;60;20170131;130000;3.63;3.643;3.606;3.642;479;0
ДВМП ао;60;20170131;140000;3.64;3.678;3.628;3.653;368;0
ДВМП ао;60;20170131;150000;3.661;3.7;3.661;3.699;657;0
ДВМП ао;60;20170131;160000;3.682;3.75;3.682;3.726;289;0
ДВМП ао;60;20170131;170000;3.726;3.727;3.715;3.724;83;0
ДВМП ао;60;20170131;180000;3.723;3.724;3.705;3.705;127;0
ДВМП ао;60;20170201;090000;3.51;3.51;3.51;3.51;70;0
ДВМП ао;60;20170201;100000;3.624;3.749;3.624;3.749;128;0
ДВМП ао;60;20170201;110000;3.743;3.744;3.663;3.663;60;0
ДВМП ао;60;20170201;120000;3.663;3.692;3.663;3.676;12;0
ДВМП ао;60;20170201;130000;3.676;3.676;3.668;3.668;82;0
ДВМП ао;60;20170201;140000;3.67;3.688;3.552;3.616;1050;0
ДВМП ао;60;20170201;150000;3.605;3.614;3.595;3.599;459;0
ДВМП ао;60;20170201;160000;3.599;3.616;3.584;3.587;435;0
ДВМП ао;60;20170201;170000;3.588;3.597;3.58;3.581;573;0
ДВМП ао;60;20170201;180000;3.581;3.598;3.579;3.595;325;0
ДВМП ао;60;20170202;100000;3.637;3.744;3.584;3.611;581;0
ДВМП ао;60;20170202;110000;3.611;3.631;3.611;3.612;127;0
ДВМП ао;60;20170202;120000;3.613;3.613;3.588;3.588;336;0
ДВМП ао;60;20170202;130000;3.59;3.599;3.55;3.593;586;0
ДВМП ао;60;20170202;140000;3.567;3.578;3.517;3.559;722;0
ДВМП ао;60;20170202;150000;3.561;3.596;3.54;3.596;345;0
ДВМП ао;60;20170202;160000;3.568;3.568;3.522;3.537;575;0
ДВМП ао;60;20170202;170000;3.542;3.549;3.515;3.539;1304;0
ДВМП ао;60;20170202;180000;3.539;3.55;3.517;3.517;301;0
ДВМП ао;60;20170203;100000;3.595;3.666;3.51;3.601;6275;0
ДВМП ао;60;20170203;110000;3.66;3.78;3.544;3.689;24223;0
ДВМП ао;60;20170203;120000;3.666;3.693;3.649;3.693;55;0
ДВМП ао;60;20170203;130000;3.692;3.692;3.661;3.661;166;0
ДВМП ао;60;20170203;140000;3.662;3.674;3.66;3.674;149;0
ДВМП ао;60;20170203;150000;3.661;3.698;3.66;3.698;74;0
ДВМП ао;60;20170203;160000;3.696;3.697;3.66;3.664;83;0
ДВМП ао;60;20170203;170000;3.689;3.689;3.661;3.661;51;0
ДВМП ао;60;20170203;180000;3.661;3.693;3.66;3.685;230;0
ДВМП ао;60;20170206;090000;3.66;3.66;3.66;3.66;1;0
ДВМП ао;60;20170206;100000;3.699;3.699;3.533;3.621;1287;0
ДВМП ао;60;20170206;110000;3.61;3.699;3.61;3.699;853;0
ДВМП ао;60;20170206;120000;3.699;3.749;3.667;3.667;51;0
ДВМП ао;60;20170206;130000;3.697;3.71;3.658;3.71;283;0
ДВМП ао;60;20170206;140000;3.701;3.71;3.699;3.7;37494;0
ДВМП ао;60;20170206;150000;3.71;3.763;3.71;3.759;1612;0
ДВМП ао;60;20170206;160000;3.759;3.764;3.75;3.751;436;0
ДВМП ао;60;20170206;170000;3.751;3.757;3.75;3.75;638;0
ДВМП ао;60;20170206;180000;3.753;3.758;3.7;3.7;313;0
ДВМП ао;60;20170207;100000;3.736;3.736;3.701;3.701;151;0
ДВМП ао;60;20170207;110000;3.701;3.701;3.656;3.672;431;0
ДВМП ао;60;20170207;120000;3.671;3.779;3.656;3.773;875;0
ДВМП ао;60;20170207;130000;3.773;3.776;3.755;3.769;56;0
ДВМП ао;60;20170207;140000;3.755;3.767;3.751;3.752;33;0
ДВМП ао;60;20170207;150000;3.752;3.766;3.75;3.75;637;0
ДВМП ао;60;20170207;160000;3.763;3.795;3.75;3.793;465;0
ДВМП ао;60;20170207;170000;3.794;3.799;3.794;3.799;374;0
ДВМП ао;60;20170207;180000;3.772;3.797;3.75;3.75;2194;0
ДВМП ао;60;20170208;090000;3.777;3.777;3.777;3.777;50;0
ДВМП ао;60;20170208;100000;3.804;3.804;3.7;3.722;371;0
ДВМП ао;60;20170208;110000;3.76;3.76;3.6;3.749;785;0
ДВМП ао;60;20170208;120000;3.725;3.736;3.725;3.736;320;0
ДВМП ао;60;20170208;130000;3.738;3.748;3.725;3.742;373;0
ДВМП ао;60;20170208;140000;3.726;3.743;3.681;3.735;2782;0
ДВМП ао;60;20170208;150000;3.741;3.741;3.685;3.685;3;0
ДВМП ао;60;20170208;160000;3.74;3.741;3.737;3.741;48;0
ДВМП ао;60;20170208;170000;3.741;3.744;3.655;3.655;110;0
ДВМП ао;60;20170208;180000;3.683;3.725;3.642;3.709;270;0
ДВМП ао;60;20170209;100000;3.708;3.708;3.639;3.688;189;0
ДВМП ао;60;20170209;110000;3.66;3.7;3.651;3.652;78;0
ДВМП ао;60;20170209;120000;3.652;3.681;3.637;3.681;117;0
ДВМП ао;60;20170209;130000;3.681;3.681;3.638;3.638;224;0
ДВМП ао;60;20170209;140000;3.638;3.638;3.605;3.636;169;0
ДВМП ао;60;20170209;150000;3.635;3.681;3.633;3.681;1352;0
ДВМП ао;60;20170209;160000;3.66;3.66;3.659;3.659;50;0
ДВМП ао;60;20170209;170000;3.66;3.682;3.659;3.659;4151;0
ДВМП ао;60;20170209;180000;3.652;3.652;3.63;3.635;1610;0
ДВМП ао;60;20170210;100000;3.66;3.683;3.601;3.636;279;0
ДВМП ао;60;20170210;110000;3.676;3.676;3.605;3.673;178;0
ДВМП ао;60;20170210;120000;3.624;3.638;3.61;3.638;308;0
ДВМП ао;60;20170210;130000;3.605;3.68;3.605;3.612;732;0
ДВМП ао;60;20170210;140000;3.613;3.613;3.61;3.61;225;0
ДВМП ао;60;20170210;160000;3.627;3.705;3.627;3.702;2028;0
ДВМП ао;60;20170210;170000;3.665;3.676;3.64;3.676;662;0
ДВМП ао;60;20170210;180000;3.641;3.665;3.64;3.665;1097;0
ДВМП ао;60;20170213;100000;3.603;3.758;3.6;3.65;423;0
ДВМП ао;60;20170213;110000;3.667;3.684;3.65;3.682;5120;0
ДВМП ао;60;20170213;120000;3.652;3.69;3.621;3.643;5213;0
ДВМП ао;60;20170213;130000;3.622;3.624;3.622;3.623;44;0
ДВМП ао;60;20170213;140000;3.627;3.709;3.627;3.67;10445;0
ДВМП ао;60;20170213;150000;3.666;3.666;3.659;3.666;391;0
ДВМП ао;60;20170213;160000;3.67;3.69;3.63;3.648;514;0
ДВМП ао;60;20170213;170000;3.64;3.65;3.64;3.65;44;0
ДВМП ао;60;20170213;180000;3.651;3.68;3.607;3.68;203;0
ДВМП ао;60;20170214;100000;3.676;3.68;3.61;3.61;67;0
ДВМП ао;60;20170214;110000;3.634;3.641;3.62;3.621;388;0
ДВМП ао;60;20170214;120000;3.62;3.663;3.62;3.62;474;0
ДВМП ао;60;20170214;130000;3.621;3.641;3.62;3.62;338;0
ДВМП ао;60;20170214;140000;3.621;3.63;3.62;3.62;2190;0
ДВМП ао;60;20170214;150000;3.62;3.659;3.62;3.659;262;0
ДВМП ао;60;20170214;160000;3.622;3.648;3.62;3.648;238;0
ДВМП ао;60;20170214;170000;3.648;3.648;3.641;3.641;61;0
ДВМП ао;60;20170214;180000;3.645;3.698;3.62;3.68;2635;0
ДВМП ао;60;20170215;100000;3.7;3.715;3.561;3.561;941;0
ДВМП ао;60;20170215;110000;3.627;3.651;3.6;3.615;2913;0
ДВМП ао;60;20170215;120000;3.648;3.67;3.648;3.65;336;0
ДВМП ао;60;20170215;130000;3.63;3.63;3.629;3.629;409;0
ДВМП ао;60;20170215;140000;3.629;3.629;3.628;3.629;289;0
ДВМП ао;60;20170215;150000;3.629;3.629;3.629;3.629;9;0
