<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ДИКСИ ао;60;20170124;090000;257.1;257.1;257.1;257.1;23;0
ДИКСИ ао;60;20170124;100000;258;260.2;258;260.2;1157;0
ДИКСИ ао;60;20170124;110000;260.1;260.5;259.7;260.5;704;0
ДИКСИ ао;60;20170124;120000;260.7;260.9;259.7;259.8;361;0
ДИКСИ ао;60;20170124;130000;259.8;261;259.8;260.7;350;0
ДИКСИ ао;60;20170124;140000;260.9;260.9;259;259.4;1267;0
ДИКСИ ао;60;20170124;150000;259.4;259.5;257;257.4;1728;0
ДИКСИ ао;60;20170124;160000;257.8;258.5;257.4;258.3;274;0
ДИКСИ ао;60;20170124;170000;258.3;259.9;258;259;725;0
ДИКСИ ао;60;20170124;180000;259;259.4;258;259;1416;0
ДИКСИ ао;60;20170125;090000;259;259;259;259;2;0
ДИКСИ ао;60;20170125;100000;259.1;259.8;258;258.6;615;0
ДИКСИ ао;60;20170125;110000;258.7;260.4;258.2;259.8;1982;0
ДИКСИ ао;60;20170125;120000;260;264.9;260;261.2;12691;0
ДИКСИ ао;60;20170125;130000;261.5;262.9;261.1;262.6;483;0
ДИКСИ ао;60;20170125;140000;262.5;265.2;261.9;263.7;6940;0
ДИКСИ ао;60;20170125;150000;263.9;267;263.7;266.6;1619;0
ДИКСИ ао;60;20170125;160000;266.6;267;265;266;648;0
ДИКСИ ао;60;20170125;170000;266.2;269.3;266.2;268.9;1526;0
ДИКСИ ао;60;20170125;180000;268.8;269.9;267.5;268;2503;0
ДИКСИ ао;60;20170126;100000;269.7;271.5;268.8;271.2;1925;0
ДИКСИ ао;60;20170126;110000;271.5;272.4;271;272.2;1703;0
ДИКСИ ао;60;20170126;120000;271.6;272.3;271.3;271.3;939;0
ДИКСИ ао;60;20170126;130000;271.5;271.9;271.3;271.9;531;0
ДИКСИ ао;60;20170126;140000;271.6;271.6;271;271.3;1699;0
ДИКСИ ао;60;20170126;150000;271.3;271.5;271;271.4;450;0
ДИКСИ ао;60;20170126;160000;271.3;271.6;271.1;271.5;3749;0
ДИКСИ ао;60;20170126;170000;271.5;271.6;271.5;271.5;291;0
ДИКСИ ао;60;20170126;180000;271.5;272.8;271.5;272;1149;0
ДИКСИ ао;60;20170127;090000;272.3;272.3;272.3;272.3;25;0
ДИКСИ ао;60;20170127;100000;272.2;272.2;268;270.8;1447;0
