<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ДагСб ао;60;20170124;100000;1.465;1.541;1.455;1.476;8;0
ДагСб ао;60;20170124;110000;1.486;1.6;1.486;1.545;11;0
ДагСб ао;60;20170124;120000;1.53;1.53;1.53;1.53;1;0
ДагСб ао;60;20170125;100000;1.617;1.617;1.617;1.617;1;0
ДагСб ао;60;20170125;110000;1.531;1.531;1.53;1.53;2;0
ДагСб ао;60;20170125;150000;1.54;1.54;1.54;1.54;1;0
ДагСб ао;60;20170125;180000;1.522;1.522;1.522;1.522;1;0
ДагСб ао;60;20170126;170000;1.567;1.577;1.567;1.577;4;0
ДагСб ао;60;20170126;180000;1.542;1.542;1.542;1.542;1;0
ДагСб ао;60;20170127;100000;1.599;1.599;1.599;1.599;1;0
ДагСб ао;60;20170127;120000;1.531;1.531;1.531;1.531;2;0
ДагСб ао;60;20170127;130000;1.508;1.54;1.49;1.54;11;0
ДагСб ао;60;20170127;140000;1.515;1.532;1.501;1.532;4;0
ДагСб ао;60;20170127;150000;1.5;1.501;1.5;1.5;6;0
ДагСб ао;60;20170127;160000;1.5;1.5;1.5;1.5;1;0
ДагСб ао;60;20170127;180000;1.496;1.52;1.496;1.52;4;0
ДагСб ао;60;20170130;100000;1.502;1.502;1.486;1.486;4;0
ДагСб ао;60;20170130;140000;1.471;1.471;1.461;1.461;5;0
ДагСб ао;60;20170130;150000;1.494;1.5;1.472;1.472;7;0
ДагСб ао;60;20170130;180000;1.49;1.49;1.49;1.49;1;0
ДагСб ао;60;20170131;100000;1.456;1.456;1.433;1.433;8;0
ДагСб ао;60;20170131;110000;1.433;1.47;1.422;1.47;12;0
ДагСб ао;60;20170131;120000;1.438;1.438;1.4;1.4;20;0
ДагСб ао;60;20170131;130000;1.405;1.405;1.403;1.403;3;0
ДагСб ао;60;20170131;140000;1.414;1.432;1.414;1.432;2;0
ДагСб ао;60;20170131;150000;1.429;1.429;1.429;1.429;1;0
ДагСб ао;60;20170131;160000;1.433;1.433;1.407;1.427;7;0
ДагСб ао;60;20170131;170000;1.429;1.429;1.429;1.429;1;0
ДагСб ао;60;20170131;180000;1.41;1.437;1.405;1.437;5;0
ДагСб ао;60;20170201;120000;1.405;1.405;1.4;1.4;3;0
ДагСб ао;60;20170201;140000;1.4;1.4;1.36;1.36;9;0
ДагСб ао;60;20170201;150000;1.395;1.395;1.37;1.38;11;0
ДагСб ао;60;20170201;160000;1.375;1.375;1.335;1.335;46;0
ДагСб ао;60;20170201;170000;1.34;1.365;1.33;1.33;16;0
