<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Деликатесы;60;20170124;100000;0.138;0.139;0.136;0.138;1958;0
Деликатесы;60;20170124;110000;0.138;0.138;0.136;0.137;861;0
Деликатесы;60;20170124;120000;0.138;0.138;0.136;0.136;1313;0
Деликатесы;60;20170124;130000;0.138;0.138;0.135;0.137;1626;0
Деликатесы;60;20170124;140000;0.137;0.137;0.136;0.137;34;0
Деликатесы;60;20170124;150000;0.137;0.137;0.136;0.136;11;0
Деликатесы;60;20170124;160000;0.137;0.14;0.136;0.139;3328;0
Деликатесы;60;20170124;170000;0.139;0.142;0.138;0.141;2763;0
Деликатесы;60;20170124;180000;0.14;0.144;0.14;0.144;3303;0
Деликатесы;60;20170125;100000;0.144;0.145;0.138;0.138;3992;0
Деликатесы;60;20170125;110000;0.138;0.14;0.138;0.138;6779;0
Деликатесы;60;20170125;120000;0.139;0.139;0.136;0.138;5998;0
Деликатесы;60;20170125;130000;0.137;0.139;0.136;0.138;1674;0
Деликатесы;60;20170125;140000;0.139;0.152;0.139;0.149;15452;0
Деликатесы;60;20170125;150000;0.149;0.171;0.147;0.164;47739;0
Деликатесы;60;20170125;160000;0.164;0.167;0.155;0.158;20402;0
Деликатесы;60;20170125;170000;0.156;0.162;0.155;0.159;8877;0
Деликатесы;60;20170125;180000;0.159;0.164;0.158;0.164;2422;0
Деликатесы;60;20170126;100000;0.169;0.176;0.161;0.164;11210;0
Деликатесы;60;20170126;110000;0.164;0.164;0.148;0.159;8728;0
Деликатесы;60;20170126;120000;0.16;0.164;0.155;0.162;3498;0
Деликатесы;60;20170126;130000;0.161;0.162;0.154;0.155;4009;0
Деликатесы;60;20170126;140000;0.155;0.156;0.153;0.156;1200;0
Деликатесы;60;20170126;150000;0.156;0.163;0.156;0.158;4260;0
Деликатесы;60;20170126;160000;0.159;0.162;0.155;0.161;3105;0
Деликатесы;60;20170126;170000;0.16;0.162;0.156;0.159;2947;0
Деликатесы;60;20170126;180000;0.159;0.16;0.156;0.159;2374;0
Деликатесы;60;20170127;100000;0.162;0.163;0.157;0.162;3550;0
Деликатесы;60;20170127;110000;0.162;0.165;0.161;0.162;2891;0
Деликатесы;60;20170127;120000;0.162;0.163;0.159;0.161;1637;0
Деликатесы;60;20170127;130000;0.162;0.162;0.155;0.155;5566;0
Деликатесы;60;20170127;140000;0.154;0.157;0.153;0.155;5155;0
Деликатесы;60;20170127;150000;0.155;0.157;0.153;0.153;3011;0
Деликатесы;60;20170127;160000;0.154;0.157;0.153;0.155;1495;0
Деликатесы;60;20170127;170000;0.154;0.156;0.151;0.154;3840;0
Деликатесы;60;20170127;180000;0.153;0.156;0.152;0.153;2258;0
Деликатесы;60;20170130;100000;0.156;0.16;0.151;0.159;3890;0
Деликатесы;60;20170130;110000;0.157;0.158;0.155;0.157;511;0
Деликатесы;60;20170130;120000;0.156;0.156;0.149;0.151;10715;0
Деликатесы;60;20170130;130000;0.15;0.151;0.147;0.148;6194;0
Деликатесы;60;20170130;140000;0.147;0.149;0.145;0.149;3753;0
Деликатесы;60;20170130;150000;0.148;0.149;0.145;0.147;3507;0
Деликатесы;60;20170130;160000;0.146;0.149;0.146;0.149;2968;0
Деликатесы;60;20170130;170000;0.149;0.155;0.148;0.154;3921;0
Деликатесы;60;20170130;180000;0.155;0.158;0.152;0.157;4183;0
Деликатесы;60;20170131;100000;0.151;0.163;0.151;0.156;7751;0
Деликатесы;60;20170131;110000;0.156;0.16;0.155;0.158;1688;0
Деликатесы;60;20170131;120000;0.157;0.16;0.155;0.159;1295;0
Деликатесы;60;20170131;130000;0.157;0.159;0.156;0.157;769;0
Деликатесы;60;20170131;140000;0.157;0.158;0.157;0.158;3;0
Деликатесы;60;20170131;150000;0.156;0.157;0.153;0.155;1442;0
Деликатесы;60;20170131;160000;0.156;0.158;0.156;0.158;531;0
Деликатесы;60;20170131;170000;0.157;0.158;0.156;0.158;360;0
Деликатесы;60;20170131;180000;0.158;0.159;0.154;0.159;3454;0
Деликатесы;60;20170201;100000;0.154;0.165;0.152;0.156;4994;0
Деликатесы;60;20170201;110000;0.156;0.16;0.156;0.16;2294;0
Деликатесы;60;20170201;120000;0.158;0.159;0.154;0.157;1181;0
Деликатесы;60;20170201;130000;0.155;0.158;0.155;0.157;2430;0
Деликатесы;60;20170201;140000;0.157;0.163;0.155;0.16;6969;0
Деликатесы;60;20170201;150000;0.162;0.167;0.16;0.165;29453;0
Деликатесы;60;20170201;160000;0.165;0.167;0.161;0.165;11908;0
Деликатесы;60;20170201;170000;0.165;0.165;0.161;0.163;2263;0
Деликатесы;60;20170201;180000;0.163;0.163;0.16;0.161;1502;0
Деликатесы;60;20170202;100000;0.16;0.164;0.156;0.159;5285;0
Деликатесы;60;20170202;110000;0.158;0.166;0.157;0.166;9353;0
Деликатесы;60;20170202;120000;0.166;0.167;0.163;0.165;9766;0
Деликатесы;60;20170202;130000;0.165;0.167;0.165;0.167;605;0
Деликатесы;60;20170202;140000;0.166;0.173;0.165;0.171;27719;0
Деликатесы;60;20170202;150000;0.172;0.174;0.167;0.173;14607;0
Деликатесы;60;20170202;160000;0.173;0.173;0.17;0.17;541;0
Деликатесы;60;20170202;170000;0.169;0.173;0.168;0.173;8088;0
Деликатесы;60;20170202;180000;0.173;0.176;0.172;0.176;10414;0
Деликатесы;60;20170203;100000;0.174;0.18;0.171;0.173;11579;0
Деликатесы;60;20170203;110000;0.176;0.177;0.173;0.175;846;0
Деликатесы;60;20170203;120000;0.175;0.175;0.172;0.173;966;0
Деликатесы;60;20170203;130000;0.173;0.175;0.173;0.174;904;0
Деликатесы;60;20170203;140000;0.174;0.177;0.173;0.175;3113;0
Деликатесы;60;20170203;150000;0.174;0.175;0.17;0.171;3426;0
Деликатесы;60;20170203;160000;0.171;0.172;0.17;0.171;2069;0
Деликатесы;60;20170203;170000;0.17;0.173;0.17;0.171;4476;0
Деликатесы;60;20170203;180000;0.17;0.175;0.169;0.175;2832;0
Деликатесы;60;20170206;100000;0.175;0.175;0.17;0.175;3669;0
Деликатесы;60;20170206;110000;0.173;0.175;0.173;0.173;2624;0
Деликатесы;60;20170206;120000;0.174;0.174;0.169;0.171;3600;0
Деликатесы;60;20170206;130000;0.172;0.173;0.17;0.171;1125;0
