<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ДетскийМир;60;20170210;090000;90;90;90;90;2000;0
ДетскийМир;60;20170210;100000;96;96;84.88;85.02;477955;0
ДетскийМир;60;20170210;110000;85.03;86.5;83.75;84.65;1471936;0
ДетскийМир;60;20170210;120000;84.75;85;84.5;84.97;215080;0
ДетскийМир;60;20170210;130000;84.82;84.82;83.6;83.84;141642;0
ДетскийМир;60;20170210;140000;83.84;84.4;83.7;83.73;207782;0
ДетскийМир;60;20170210;150000;83.7;84.5;83.7;84.26;194990;0
ДетскийМир;60;20170210;160000;84.25;84.26;83.5;83.5;94281;0
ДетскийМир;60;20170210;170000;83.5;83.54;83;83.1;140665;0
ДетскийМир;60;20170210;180000;83.11;85;83.1;85;567549;0
ДетскийМир;60;20170213;100000;85.6;85.9;84.4;85.41;139394;0
ДетскийМир;60;20170213;110000;85.41;85.41;85.2;85.2;1396;0
ДетскийМир;60;20170213;120000;85.2;85.6;85.15;85.15;23040;0
ДетскийМир;60;20170213;130000;85.15;85.2;85.01;85.2;3024;0
ДетскийМир;60;20170213;140000;85.2;85.5;85.15;85.15;33905;0
ДетскийМир;60;20170213;150000;85.16;85.3;85.02;85.2;3133;0
ДетскийМир;60;20170213;160000;85.25;85.5;85.05;85.2;14677;0
ДетскийМир;60;20170213;170000;85.2;85.41;85.17;85.21;5465;0
ДетскийМир;60;20170213;180000;85.25;85.41;85.2;85.2;4249;0
ДетскийМир;60;20170214;090000;85.5;85.5;85.5;85.5;2829;0
ДетскийМир;60;20170214;100000;85.44;85.45;85.1;85.15;377;0
ДетскийМир;60;20170214;110000;85.15;85.15;85.05;85.1;1068;0
ДетскийМир;60;20170214;120000;85.05;85.1;85;85.01;121107;0
ДетскийМир;60;20170214;130000;85.03;85.08;85;85.06;4209;0
ДетскийМир;60;20170214;140000;85.02;85.07;84.8;84.8;113033;0
ДетскийМир;60;20170214;150000;84.97;85;84.8;84.99;2449;0
ДетскийМир;60;20170214;160000;84.8;84.99;84.75;84.99;201;0
ДетскийМир;60;20170214;170000;84.99;85;84.99;85;6237;0
ДетскийМир;60;20170214;180000;84.78;85;84.64;85;4645;0
ДетскийМир;60;20170215;090000;85.2;85.2;85.2;85.2;5;0
ДетскийМир;60;20170215;100000;85.2;85.2;84.7;84.7;4685;0
ДетскийМир;60;20170215;110000;84.97;84.97;84.8;84.96;170;0
ДетскийМир;60;20170215;120000;84.8;84.85;84.8;84.8;290;0
ДетскийМир;60;20170215;130000;84.8;84.97;84.8;84.8;233;0
ДетскийМир;60;20170215;140000;84.8;84.83;84.8;84.8;3217;0
ДетскийМир;60;20170215;150000;84.8;84.83;84.8;84.83;632;0
ДетскийМир;60;20170215;160000;84.8;85;84.8;84.8;2143;0
ДетскийМир;60;20170215;170000;84.8;84.82;84.8;84.8;1200;0
ДетскийМир;60;20170215;180000;84.96;85;84.8;85;25343;0
ДетскийМир;60;20170216;100000;85.09;85.09;83.71;84.26;20075;0
ДетскийМир;60;20170216;110000;84.25;84.26;83.75;83.76;1275;0
ДетскийМир;60;20170216;120000;83.76;84.01;83.76;83.79;15597;0
ДетскийМир;60;20170216;130000;83.8;84;83.76;83.8;1399;0
ДетскийМир;60;20170216;140000;84;84;84;84;9;0
ДетскийМир;60;20170216;150000;84;84.18;83.7;83.7;33662;0
ДетскийМир;60;20170216;160000;83.7;83.8;83.7;83.73;1492;0
ДетскийМир;60;20170216;170000;83.95;84.01;83.73;84;28953;0
ДетскийМир;60;20170216;180000;84;85;84;84.99;162264;0
ДетскийМир;60;20170217;100000;84;84.9;84;84.42;69;0
ДетскийМир;60;20170217;110000;84.48;84.85;84.45;84.84;105;0
ДетскийМир;60;20170217;120000;84.85;84.85;84.5;84.5;15;0
ДетскийМир;60;20170217;130000;84.48;84.78;84.03;84.22;311;0
ДетскийМир;60;20170217;140000;84.78;84.8;84.2;84.2;284;0
ДетскийМир;60;20170217;150000;84.5;84.82;84.5;84.82;503;0
ДетскийМир;60;20170217;160000;84.82;84.84;84.27;84.83;471;0
ДетскийМир;60;20170217;170000;84.29;84.29;84.29;84.29;22;0
ДетскийМир;60;20170217;180000;84.83;84.9;84.42;84.9;61241;0
ДетскийМир;60;20170220;100000;84.9;84.9;84;84;200;0
ДетскийМир;60;20170220;110000;84.03;84.9;84.03;84.9;189;0
ДетскийМир;60;20170220;120000;84.88;84.88;84.41;84.7;24;0
ДетскийМир;60;20170220;130000;84.7;84.7;84.6;84.6;6;0
ДетскийМир;60;20170220;140000;84.41;84.7;84.41;84.7;7;0
ДетскийМир;60;20170220;150000;84.7;84.7;84.7;84.7;478;0
ДетскийМир;60;20170220;160000;84.7;84.7;84.6;84.63;155;0
ДетскийМир;60;20170220;170000;84.63;84.7;84.4;84.5;316;0
ДетскийМир;60;20170220;180000;84.5;84.85;84;84.85;10367;0
ДетскийМир;60;20170221;090000;84;84;84;84;29;0
ДетскийМир;60;20170221;100000;84.88;84.9;84.07;84.07;41;0
ДетскийМир;60;20170221;110000;84.39;84.6;84.39;84.6;100;0
ДетскийМир;60;20170221;120000;84.18;84.18;84.18;84.18;7;0
ДетскийМир;60;20170221;130000;84.59;84.6;84.59;84.6;23;0
ДетскийМир;60;20170221;140000;84.59;84.6;84.55;84.55;17;0
ДетскийМир;60;20170221;150000;84.55;84.6;84.08;84.08;335;0
ДетскийМир;60;20170221;160000;84.58;84.58;84.28;84.28;7;0
ДетскийМир;60;20170221;170000;84.28;84.28;84.12;84.14;18125;0
ДетскийМир;60;20170221;180000;84.15;84.8;84.15;84.8;3002;0
ДетскийМир;60;20170222;100000;84.79;84.8;84.79;84.79;16;0
ДетскийМир;60;20170222;110000;84.79;84.79;84.25;84.75;25468;0
ДетскийМир;60;20170222;120000;84.51;84.68;84.5;84.51;8;0
ДетскийМир;60;20170222;130000;84.5;84.67;84.44;84.67;11;0
ДетскийМир;60;20170222;140000;84.51;84.51;84.5;84.5;596;0
ДетскийМир;60;20170222;150000;84.5;84.51;84.5;84.5;155;0
ДетскийМир;60;20170222;160000;84.5;84.68;84.5;84.5;137;0
ДетскийМир;60;20170222;170000;84.64;84.64;84.15;84.26;1311;0
ДетскийМир;60;20170222;180000;84.24;84.8;84.24;84.75;34941;0
ДетскийМир;60;20170224;100000;84.01;84.1;83.75;84;405;0
ДетскийМир;60;20170224;110000;83.81;83.99;83.77;83.77;107;0
ДетскийМир;60;20170224;120000;83.95;84;83.86;83.86;1640;0
ДетскийМир;60;20170224;130000;84.62;84.62;84.01;84.01;2;0
ДетскийМир;60;20170224;140000;84;84.57;84;84.57;6;0
ДетскийМир;60;20170224;150000;84.03;84.03;84;84.01;59;0
ДетскийМир;60;20170224;160000;84.02;84.15;84.02;84.12;774;0
ДетскийМир;60;20170224;170000;84.07;84.59;84.07;84.09;24;0
ДетскийМир;60;20170224;180000;84.49;84.7;84.07;84.7;7910;0
ДетскийМир;60;20170227;100000;84.9;85;84.69;84.69;7346;0
ДетскийМир;60;20170227;110000;84.63;84.63;84.02;84.02;172;0
ДетскийМир;60;20170227;120000;84.05;84.05;83.8;84;1060;0
ДетскийМир;60;20170227;130000;83.81;84.01;83.8;84;17760;0
ДетскийМир;60;20170227;140000;84.36;84.37;84.36;84.36;3;0
ДетскийМир;60;20170227;150000;84.36;84.36;84;84.01;1115;0
ДетскийМир;60;20170227;160000;84.01;84.01;84;84;90;0
ДетскийМир;60;20170227;170000;84;84;84;84;847;0
ДетскийМир;60;20170227;180000;84;84.48;84;84.48;53034;0
ДетскийМир;60;20170228;090000;84;84;84;84;3;0
ДетскийМир;60;20170228;100000;83.8;84.02;83.8;84;7575;0
ДетскийМир;60;20170228;110000;83.81;84;83.81;84;16855;0
ДетскийМир;60;20170228;120000;84.16;84.99;84.15;84.9;148544;0
ДетскийМир;60;20170228;130000;84.3;84.79;84.3;84.3;702;0
ДетскийМир;60;20170228;140000;84.3;84.3;84.13;84.3;53124;0
ДетскийМир;60;20170228;150000;84.5;84.5;84.21;84.49;210;0
ДетскийМир;60;20170228;160000;84.33;84.33;84.01;84.01;67738;0
ДетскийМир;60;20170228;170000;84.03;84.14;84;84;31318;0
ДетскийМир;60;20170228;180000;84.08;84.99;84;84.93;348387;0
ДетскийМир;60;20170301;100000;84.9;84.9;84.03;84.21;217;0
ДетскийМир;60;20170301;110000;84.49;84.5;84.49;84.49;12;0
ДетскийМир;60;20170301;120000;84.48;84.48;84.35;84.4;14;0
ДетскийМир;60;20170301;130000;84.4;84.4;84.23;84.23;4;0
ДетскийМир;60;20170301;150000;84.33;84.35;84.33;84.35;114;0
ДетскийМир;60;20170301;160000;84.26;84.35;84.15;84.35;91;0
ДетскийМир;60;20170301;170000;84.4;84.49;84.26;84.49;42;0
ДетскийМир;60;20170301;180000;84.49;84.8;84.42;84.42;3946;0
ДетскийМир;60;20170302;090000;86;86;86;86;110;0
ДетскийМир;60;20170302;100000;85.5;88;84.57;84.78;1407;0
ДетскийМир;60;20170302;110000;84.76;84.76;84.05;84.72;2811;0
ДетскийМир;60;20170302;120000;84.69;84.7;84.5;84.7;684;0
ДетскийМир;60;20170302;130000;84.7;84.7;84.6;84.6;886;0
ДетскийМир;60;20170302;140000;84.26;84.6;84.26;84.6;664;0
ДетскийМир;60;20170302;150000;84.6;84.6;84.55;84.59;962;0
ДетскийМир;60;20170302;160000;84.6;84.85;84.59;84.59;20878;0
ДетскийМир;60;20170302;170000;84.43;84.79;84.24;84.69;1330;0
ДетскийМир;60;20170302;180000;84.69;84.69;83.85;83.85;7939;0
