<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Дорогбж ао;60;20170124;100000;36.2;36.2;34.7;34.7;2;0
Дорогбж ао;60;20170124;120000;35.9;36;35.9;36;2;0
Дорогбж ао;60;20170124;130000;36;36;36;36;4;0
Дорогбж ао;60;20170124;140000;35.8;35.8;35.7;35.7;2;0
Дорогбж ао;60;20170124;150000;35.7;35.7;35.7;35.7;1;0
Дорогбж ао;60;20170124;170000;35.9;35.9;35.9;35.9;1;0
Дорогбж ао;60;20170124;180000;36;36;36;36;1;0
Дорогбж ао;60;20170125;100000;36.3;36.3;36.3;36.3;1;0
Дорогбж ао;60;20170125;120000;36;36;35.5;35.5;13;0
Дорогбж ао;60;20170125;130000;35.7;35.8;35.7;35.8;4;0
Дорогбж ао;60;20170125;140000;35.7;35.7;35.7;35.7;13;0
Дорогбж ао;60;20170125;150000;35.8;35.8;35.7;35.7;2;0
Дорогбж ао;60;20170125;170000;35.8;35.8;35.8;35.8;1;0
Дорогбж ао;60;20170126;100000;36.4;36.4;35.7;35.7;2;0
Дорогбж ао;60;20170126;110000;36;36.1;36;36.1;2;0
Дорогбж ао;60;20170126;120000;35.7;35.7;35.5;35.5;7;0
Дорогбж ао;60;20170126;180000;35.9;35.9;35.9;35.9;1;0
Дорогбж ао;60;20170127;100000;36.4;36.4;36.4;36.4;1;0
Дорогбж ао;60;20170127;120000;36.1;36.5;36.1;36.5;42;0
Дорогбж ао;60;20170127;140000;36.1;36.1;36;36;5;0
Дорогбж ао;60;20170127;150000;36;36;36;36;7;0
Дорогбж ао;60;20170127;160000;36.1;36.1;36.1;36.1;1;0
Дорогбж ао;60;20170127;170000;36.1;36.4;36.1;36.4;41;0
Дорогбж ао;60;20170130;100000;36.5;36.5;36;36.5;13;0
Дорогбж ао;60;20170130;130000;36;36;36;36;1;0
Дорогбж ао;60;20170130;170000;35.7;36.5;35.7;36.5;9;0
Дорогбж ао;60;20170130;180000;36.5;37.3;36.5;37.3;8;0
Дорогбж ао;60;20170131;100000;37.4;37.4;37.4;37.4;1;0
Дорогбж ао;60;20170131;110000;36.4;36.4;36.4;36.4;1;0
Дорогбж ао;60;20170131;120000;36.4;36.4;36.4;36.4;1;0
Дорогбж ао;60;20170131;140000;36.3;36.3;36.3;36.3;2;0
Дорогбж ао;60;20170131;160000;36.1;36.1;36;36;7;0
Дорогбж ао;60;20170131;180000;36.3;36.8;36.3;36.8;2;0
Дорогбж ао;60;20170201;090000;36.9;36.9;36.9;36.9;1;0
Дорогбж ао;60;20170201;100000;38;38;37;37.4;5;0
Дорогбж ао;60;20170201;110000;36.5;36.5;36;36;20;0
Дорогбж ао;60;20170201;120000;36.7;36.7;36.5;36.5;3;0
Дорогбж ао;60;20170201;130000;36.5;36.5;36.5;36.5;1;0
Дорогбж ао;60;20170201;140000;36.4;36.4;36.4;36.4;1;0
Дорогбж ао;60;20170202;100000;38;38;36.3;36.3;2;0
Дорогбж ао;60;20170202;130000;36.6;36.7;36.6;36.7;4;0
Дорогбж ао;60;20170202;170000;36.7;36.7;36.6;36.6;8;0
Дорогбж ао;60;20170202;180000;36.7;36.7;36.7;36.7;1;0
Дорогбж ао;60;20170203;100000;38;38;37;37;3;0
Дорогбж ао;60;20170203;110000;37;37.2;36.6;37.1;4;0
Дорогбж ао;60;20170203;120000;37.3;37.3;37.3;37.3;2;0
Дорогбж ао;60;20170203;180000;36.6;36.7;35;36.7;79;0
Дорогбж ао;60;20170206;100000;37.4;37.4;37.4;37.4;1;0
Дорогбж ао;60;20170206;150000;36.7;36.7;36.7;36.7;1;0
Дорогбж ао;60;20170206;170000;36.6;36.6;36.6;36.6;1;0
Дорогбж ао;60;20170207;100000;37.4;37.4;37.4;37.4;1;0
Дорогбж ао;60;20170208;100000;37.3;37.3;36;36;3;0
Дорогбж ао;60;20170208;160000;36.4;36.5;36.4;36.5;2;0
Дорогбж ао;60;20170208;170000;36.4;36.5;36.4;36.5;2;0
Дорогбж ао;60;20170208;180000;36.3;36.5;36.3;36.5;11;0
Дорогбж ао;60;20170209;100000;37.3;37.3;37;37;2;0
Дорогбж ао;60;20170209;110000;36.7;36.7;36.7;36.7;1;0
Дорогбж ао;60;20170209;140000;36.8;36.8;36.7;36.7;8;0
Дорогбж ао;60;20170210;100000;37.3;37.3;37.3;37.3;1;0
Дорогбж ао;60;20170210;110000;36.7;36.8;36.7;36.8;3;0
Дорогбж ао;60;20170210;150000;36.7;37;36;36;69;0
Дорогбж ао;60;20170210;180000;36.3;36.5;36.3;36.5;26;0
Дорогбж ао;60;20170213;100000;36.9;36.9;36.9;36.9;1;0
Дорогбж ао;60;20170213;140000;36.2;36.2;35.2;36;96;0
Дорогбж ао;60;20170213;150000;35.6;35.7;35.5;35.6;8;0
Дорогбж ао;60;20170213;160000;35.6;35.7;35.6;35.7;4;0
Дорогбж ао;60;20170213;170000;35.6;35.7;35.6;35.7;9;0
Дорогбж ао;60;20170214;100000;36;36;36;36;1;0
Дорогбж ао;60;20170214;110000;35.6;35.7;35.5;35.5;6;0
Дорогбж ао;60;20170214;120000;35.7;35.7;35.7;35.7;1;0
Дорогбж ао;60;20170214;130000;35.2;35.2;35.1;35.1;5;0
Дорогбж ао;60;20170214;140000;35;35;35;35;5;0
Дорогбж ао;60;20170214;150000;35;35.5;35;35.5;61;0
Дорогбж ао;60;20170215;100000;35.7;35.7;35.7;35.7;1;0
Дорогбж ао;60;20170215;120000;35.5;35.6;35.4;35.4;4;0
Дорогбж ао;60;20170215;130000;35.7;35.7;35.7;35.7;1;0
Дорогбж ао;60;20170215;150000;35.7;35.8;35.7;35.8;2;0
Дорогбж ао;60;20170216;100000;36;36;36;36;1;0
Дорогбж ао;60;20170216;110000;35.8;35.8;35.6;35.8;3;0
Дорогбж ао;60;20170216;130000;35.8;35.8;35.6;35.8;3;0
Дорогбж ао;60;20170216;150000;35.7;35.8;35.7;35.8;2;0
Дорогбж ао;60;20170217;100000;35.8;35.8;35.2;35.5;92;0
Дорогбж ао;60;20170217;110000;35.4;35.5;35.3;35.5;6;0
Дорогбж ао;60;20170217;130000;35.2;35.5;35.2;35.5;3;0
Дорогбж ао;60;20170217;180000;35.2;35.3;35.2;35.3;11;0
Дорогбж ао;60;20170220;090000;35.8;35.8;35.8;35.8;2;0
Дорогбж ао;60;20170220;100000;36;36;35.2;35.2;13;0
Дорогбж ао;60;20170220;110000;35.1;35.1;35.1;35.1;1;0
Дорогбж ао;60;20170220;120000;35.2;35.4;35.2;35.4;3;0
Дорогбж ао;60;20170220;130000;35.6;35.6;35.6;35.6;1;0
Дорогбж ао;60;20170220;160000;35.6;35.6;35.6;35.6;1;0
Дорогбж ао;60;20170221;100000;35.8;35.8;35.7;35.7;2;0
Дорогбж ао;60;20170221;110000;35.6;35.6;35.6;35.6;1;0
Дорогбж ао;60;20170221;120000;35.7;35.7;35.6;35.6;2;0
Дорогбж ао;60;20170221;160000;35.6;35.6;35.6;35.6;1;0
Дорогбж ао;60;20170221;170000;35.7;35.7;35.7;35.7;1;0
Дорогбж ао;60;20170222;100000;36;36;36;36;1;0
Дорогбж ао;60;20170222;130000;35.5;35.5;35.5;35.5;2;0
Дорогбж ао;60;20170222;140000;35.5;35.5;35.5;35.5;1;0
