<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЕТС ао;60;20170124;100000;0.7;0.7;0.68;0.7;71;0
ЕТС ао;60;20170124;110000;0.7;0.71;0.7;0.71;20;0
ЕТС ао;60;20170124;120000;0.71;0.71;0.71;0.71;25;0
ЕТС ао;60;20170124;130000;0.7;0.7;0.68;0.68;79;0
ЕТС ао;60;20170124;140000;0.68;0.68;0.67;0.67;148;0
ЕТС ао;60;20170124;150000;0.67;0.68;0.63;0.66;469;0
ЕТС ао;60;20170124;160000;0.66;0.67;0.66;0.67;45;0
ЕТС ао;60;20170124;170000;0.67;0.67;0.63;0.63;1848;0
ЕТС ао;60;20170124;180000;0.63;0.65;0.62;0.63;842;0
ЕТС ао;60;20170125;100000;0.63;0.85;0.61;0.78;3908;0
ЕТС ао;60;20170125;110000;0.78;0.8;0.72;0.73;1176;0
ЕТС ао;60;20170125;120000;0.72;0.73;0.67;0.7;1522;0
ЕТС ао;60;20170125;130000;0.68;0.69;0.67;0.69;291;0
ЕТС ао;60;20170125;140000;0.69;0.8;0.69;0.8;933;0
ЕТС ао;60;20170125;150000;0.77;0.8;0.76;0.79;814;0
ЕТС ао;60;20170125;160000;0.8;0.8;0.77;0.77;263;0
ЕТС ао;60;20170125;170000;0.77;0.77;0.75;0.75;159;0
ЕТС ао;60;20170125;180000;0.76;0.79;0.76;0.79;168;0
ЕТС ао;60;20170126;100000;0.85;0.89;0.77;0.78;586;0
ЕТС ао;60;20170126;110000;0.77;0.8;0.77;0.79;611;0
ЕТС ао;60;20170126;120000;0.79;0.79;0.76;0.78;171;0
ЕТС ао;60;20170126;130000;0.76;0.78;0.75;0.78;121;0
ЕТС ао;60;20170126;140000;0.78;0.78;0.76;0.78;34;0
ЕТС ао;60;20170126;150000;0.76;0.83;0.75;0.82;788;0
ЕТС ао;60;20170126;160000;0.82;0.82;0.75;0.75;1274;0
ЕТС ао;60;20170126;170000;0.75;0.78;0.75;0.75;191;0
ЕТС ао;60;20170126;180000;0.75;0.77;0.75;0.77;29;0
ЕТС ао;60;20170127;100000;0.77;0.79;0.75;0.76;54;0
ЕТС ао;60;20170127;110000;0.76;0.77;0.71;0.77;1000;0
ЕТС ао;60;20170127;120000;0.76;0.79;0.76;0.77;233;0
ЕТС ао;60;20170127;130000;0.76;0.77;0.76;0.76;11;0
ЕТС ао;60;20170127;140000;0.77;0.78;0.75;0.76;117;0
ЕТС ао;60;20170127;150000;0.75;0.76;0.74;0.75;207;0
ЕТС ао;60;20170127;160000;0.76;0.76;0.74;0.76;90;0
ЕТС ао;60;20170127;170000;0.76;0.76;0.76;0.76;21;0
ЕТС ао;60;20170127;180000;0.76;0.76;0.75;0.75;20;0
ЕТС ао;60;20170130;100000;0.83;0.95;0.74;0.87;3222;0
ЕТС ао;60;20170130;110000;0.88;0.95;0.84;0.87;5228;0
ЕТС ао;60;20170130;120000;0.87;0.99;0.87;0.99;3149;0
ЕТС ао;60;20170130;130000;0.99;1;0.93;0.98;2280;0
ЕТС ао;60;20170130;140000;0.97;0.97;0.94;0.94;628;0
ЕТС ао;60;20170130;150000;0.94;0.97;0.82;0.89;8078;0
ЕТС ао;60;20170130;160000;0.89;0.9;0.85;0.86;1267;0
ЕТС ао;60;20170130;170000;0.87;0.87;0.83;0.85;1295;0
ЕТС ао;60;20170130;180000;0.86;0.86;0.82;0.83;1412;0
ЕТС ао;60;20170131;100000;0.86;0.9;0.82;0.86;2075;0
ЕТС ао;60;20170131;110000;0.86;0.86;0.84;0.85;448;0
ЕТС ао;60;20170131;120000;0.84;0.84;0.82;0.82;555;0
ЕТС ао;60;20170131;130000;0.81;0.82;0.81;0.82;340;0
ЕТС ао;60;20170131;140000;0.81;0.89;0.8;0.89;2312;0
ЕТС ао;60;20170131;150000;0.88;0.89;0.85;0.86;1664;0
ЕТС ао;60;20170131;160000;0.87;0.87;0.84;0.86;719;0
ЕТС ао;60;20170131;170000;0.87;0.89;0.85;0.89;400;0
ЕТС ао;60;20170131;180000;0.88;0.88;0.85;0.86;279;0
ЕТС ао;60;20170201;100000;0.87;0.89;0.82;0.84;1497;0
ЕТС ао;60;20170201;110000;0.84;0.84;0.81;0.83;847;0
ЕТС ао;60;20170201;120000;0.82;0.82;0.82;0.82;104;0
ЕТС ао;60;20170201;130000;0.83;0.84;0.82;0.84;147;0
ЕТС ао;60;20170201;140000;0.82;0.84;0.82;0.83;144;0
ЕТС ао;60;20170201;150000;0.84;0.85;0.82;0.82;515;0
ЕТС ао;60;20170201;160000;0.82;0.86;0.82;0.86;567;0
ЕТС ао;60;20170201;170000;0.85;0.85;0.82;0.84;521;0
ЕТС ао;60;20170201;180000;0.84;0.84;0.83;0.83;2;0
ЕТС ао;60;20170202;100000;0.85;0.89;0.84;0.86;1052;0
ЕТС ао;60;20170202;110000;0.85;0.86;0.83;0.84;284;0
ЕТС ао;60;20170202;120000;0.85;0.85;0.83;0.83;242;0
ЕТС ао;60;20170202;130000;0.84;0.84;0.82;0.83;140;0
ЕТС ао;60;20170202;140000;0.83;0.83;0.81;0.82;498;0
ЕТС ао;60;20170202;150000;0.82;0.83;0.82;0.82;92;0
ЕТС ао;60;20170202;160000;0.82;0.83;0.82;0.83;32;0
ЕТС ао;60;20170202;170000;0.82;0.83;0.82;0.82;74;0
ЕТС ао;60;20170202;180000;0.82;0.83;0.8;0.82;382;0
ЕТС ао;60;20170203;100000;0.82;0.83;0.78;0.79;576;0
ЕТС ао;60;20170203;110000;0.78;0.79;0.75;0.78;629;0
ЕТС ао;60;20170203;120000;0.78;0.79;0.77;0.78;161;0
ЕТС ао;60;20170203;130000;0.78;0.78;0.75;0.77;907;0
ЕТС ао;60;20170203;140000;0.77;0.81;0.76;0.76;3105;0
ЕТС ао;60;20170203;150000;0.78;0.84;0.78;0.83;1198;0
ЕТС ао;60;20170203;160000;0.81;0.81;0.81;0.81;25;0
ЕТС ао;60;20170203;170000;0.81;0.82;0.78;0.78;302;0
ЕТС ао;60;20170203;180000;0.78;0.79;0.78;0.79;50;0
ЕТС ао;60;20170206;100000;0.8;0.87;0.75;0.76;2071;0
ЕТС ао;60;20170206;110000;0.76;0.77;0.71;0.73;3483;0
ЕТС ао;60;20170206;120000;0.73;0.74;0.69;0.71;5494;0
ЕТС ао;60;20170206;130000;0.72;0.72;0.69;0.7;2137;0
ЕТС ао;60;20170206;140000;0.71;0.71;0.69;0.71;878;0
ЕТС ао;60;20170206;150000;0.7;0.71;0.69;0.69;960;0
ЕТС ао;60;20170206;160000;0.69;0.71;0.69;0.7;439;0
ЕТС ао;60;20170206;170000;0.7;0.71;0.69;0.7;258;0
ЕТС ао;60;20170206;180000;0.7;0.71;0.69;0.71;181;0
ЕТС ао;60;20170207;100000;0.71;0.72;0.69;0.71;1330;0
ЕТС ао;60;20170207;110000;0.7;0.71;0.69;0.7;164;0
ЕТС ао;60;20170207;120000;0.69;0.71;0.69;0.71;314;0
ЕТС ао;60;20170207;130000;0.71;0.74;0.71;0.71;1923;0
ЕТС ао;60;20170207;140000;0.72;0.72;0.7;0.72;573;0
ЕТС ао;60;20170207;150000;0.71;0.72;0.69;0.7;1336;0
ЕТС ао;60;20170207;160000;0.7;0.7;0.7;0.7;52;0
ЕТС ао;60;20170207;170000;0.7;0.71;0.69;0.71;506;0
ЕТС ао;60;20170207;180000;0.7;0.71;0.7;0.71;96;0
ЕТС ао;60;20170208;100000;0.7;0.73;0.7;0.7;809;0
ЕТС ао;60;20170208;110000;0.7;0.71;0.68;0.7;380;0
ЕТС ао;60;20170208;120000;0.7;0.7;0.68;0.68;349;0
ЕТС ао;60;20170208;130000;0.68;0.69;0.67;0.69;287;0
ЕТС ао;60;20170208;140000;0.68;0.69;0.67;0.68;342;0
ЕТС ао;60;20170208;150000;0.68;0.69;0.66;0.67;220;0
ЕТС ао;60;20170208;160000;0.66;0.69;0.66;0.68;992;0
ЕТС ао;60;20170208;170000;0.67;0.68;0.66;0.67;101;0
ЕТС ао;60;20170208;180000;0.67;0.68;0.66;0.68;640;0
ЕТС ао;60;20170209;100000;0.68;0.69;0.61;0.62;2626;0
ЕТС ао;60;20170209;110000;0.62;0.66;0.62;0.64;1368;0
ЕТС ао;60;20170209;120000;0.64;0.64;0.63;0.64;160;0
ЕТС ао;60;20170209;130000;0.64;0.65;0.63;0.65;54;0
ЕТС ао;60;20170209;140000;0.64;0.65;0.64;0.64;11;0
ЕТС ао;60;20170209;150000;0.65;0.65;0.64;0.65;120;0
ЕТС ао;60;20170209;160000;0.64;0.65;0.63;0.64;86;0
ЕТС ао;60;20170209;170000;0.63;0.64;0.63;0.64;79;0
ЕТС ао;60;20170209;180000;0.63;0.64;0.63;0.64;120;0
ЕТС ао;60;20170210;100000;0.63;0.64;0.62;0.64;156;0
ЕТС ао;60;20170210;110000;0.63;0.64;0.63;0.64;9;0
ЕТС ао;60;20170210;120000;0.63;0.69;0.61;0.69;3432;0
ЕТС ао;60;20170210;130000;0.7;0.7;0.63;0.66;4116;0
ЕТС ао;60;20170210;140000;0.66;0.66;0.64;0.66;485;0
ЕТС ао;60;20170210;150000;0.66;0.66;0.65;0.66;15;0
ЕТС ао;60;20170210;160000;0.64;0.65;0.64;0.64;356;0
ЕТС ао;60;20170210;170000;0.63;0.65;0.63;0.64;1097;0
ЕТС ао;60;20170210;180000;0.63;0.64;0.62;0.64;485;0
ЕТС ао;60;20170213;100000;0.64;0.66;0.59;0.62;1499;0
ЕТС ао;60;20170213;110000;0.61;0.62;0.6;0.61;582;0
ЕТС ао;60;20170213;120000;0.61;0.62;0.6;0.62;386;0
ЕТС ао;60;20170213;130000;0.61;0.62;0.61;0.62;319;0
ЕТС ао;60;20170213;140000;0.61;0.62;0.61;0.61;84;0
ЕТС ао;60;20170213;150000;0.62;0.62;0.59;0.6;1018;0
ЕТС ао;60;20170213;160000;0.6;0.61;0.59;0.61;318;0
ЕТС ао;60;20170213;170000;0.6;0.62;0.6;0.61;161;0
ЕТС ао;60;20170213;180000;0.61;0.62;0.6;0.62;169;0
ЕТС ао;60;20170214;100000;0.61;0.62;0.6;0.6;258;0
ЕТС ао;60;20170214;110000;0.6;0.62;0.6;0.62;209;0
ЕТС ао;60;20170214;120000;0.61;0.61;0.59;0.6;338;0
ЕТС ао;60;20170214;130000;0.61;0.62;0.61;0.62;73;0
ЕТС ао;60;20170214;140000;0.61;0.62;0.6;0.6;8;0
ЕТС ао;60;20170214;150000;0.61;0.61;0.6;0.6;147;0
ЕТС ао;60;20170214;160000;0.6;0.61;0.6;0.61;75;0
ЕТС ао;60;20170214;170000;0.6;0.61;0.6;0.61;66;0
ЕТС ао;60;20170214;180000;0.6;0.63;0.59;0.6;1754;0
ЕТС ао;60;20170215;100000;0.6;0.61;0.57;0.57;539;0
ЕТС ао;60;20170215;110000;0.58;0.6;0.57;0.58;420;0
ЕТС ао;60;20170215;120000;0.58;0.59;0.57;0.59;812;0
ЕТС ао;60;20170215;130000;0.58;0.59;0.5;0.55;5351;0
ЕТС ао;60;20170215;140000;0.55;0.58;0.54;0.55;2836;0
ЕТС ао;60;20170215;150000;0.55;0.63;0.54;0.58;4894;0
ЕТС ао;60;20170215;160000;0.57;0.59;0.55;0.57;2162;0
ЕТС ао;60;20170215;170000;0.58;0.58;0.55;0.55;939;0
ЕТС ао;60;20170215;180000;0.56;0.57;0.54;0.56;711;0
ЕТС ао;60;20170216;100000;0.54;0.55;0.53;0.55;440;0
ЕТС ао;60;20170216;110000;0.54;0.55;0.53;0.54;714;0
ЕТС ао;60;20170216;120000;0.53;0.54;0.5;0.53;1214;0
ЕТС ао;60;20170216;130000;0.52;0.54;0.52;0.52;818;0
ЕТС ао;60;20170216;140000;0.52;0.52;0.49;0.51;1608;0
ЕТС ао;60;20170216;150000;0.51;0.51;0.49;0.51;672;0
ЕТС ао;60;20170216;160000;0.5;0.5;0.49;0.5;418;0
ЕТС ао;60;20170216;170000;0.51;0.51;0.5;0.5;232;0
ЕТС ао;60;20170216;180000;0.51;0.51;0.5;0.51;162;0
ЕТС ао;60;20170217;100000;0.51;0.63;0.5;0.57;5996;0
ЕТС ао;60;20170217;110000;0.56;0.57;0.54;0.55;736;0
ЕТС ао;60;20170217;120000;0.55;0.6;0.54;0.6;2137;0
ЕТС ао;60;20170217;130000;0.58;0.68;0.57;0.66;5963;0
ЕТС ао;60;20170217;140000;0.65;0.69;0.63;0.67;3125;0
ЕТС ао;60;20170217;150000;0.67;0.68;0.65;0.66;1759;0
ЕТС ао;60;20170217;160000;0.66;0.66;0.61;0.62;2495;0
ЕТС ао;60;20170217;170000;0.63;0.66;0.58;0.6;6819;0
ЕТС ао;60;20170217;180000;0.59;0.6;0.55;0.59;5078;0
ЕТС ао;60;20170220;100000;0.62;0.64;0.57;0.57;1943;0
ЕТС ао;60;20170220;110000;0.58;0.65;0.55;0.61;2112;0
ЕТС ао;60;20170220;120000;0.61;0.63;0.59;0.63;1212;0
ЕТС ао;60;20170220;130000;0.63;0.64;0.6;0.62;423;0
ЕТС ао;60;20170220;140000;0.61;0.62;0.6;0.61;322;0
ЕТС ао;60;20170220;150000;0.61;0.62;0.59;0.6;590;0
ЕТС ао;60;20170220;160000;0.6;0.61;0.59;0.61;174;0
ЕТС ао;60;20170220;170000;0.6;0.61;0.59;0.59;215;0
ЕТС ао;60;20170220;180000;0.59;0.6;0.58;0.58;361;0
ЕТС ао;60;20170221;100000;0.6;0.6;0.53;0.55;2914;0
ЕТС ао;60;20170221;110000;0.54;0.61;0.51;0.57;4041;0
ЕТС ао;60;20170221;120000;0.57;0.57;0.53;0.54;1722;0
ЕТС ао;60;20170221;130000;0.54;0.55;0.53;0.53;905;0
ЕТС ао;60;20170221;140000;0.53;0.54;0.52;0.53;1566;0
ЕТС ао;60;20170221;150000;0.52;0.54;0.52;0.53;650;0
ЕТС ао;60;20170221;160000;0.54;0.54;0.52;0.53;943;0
ЕТС ао;60;20170221;170000;0.53;0.55;0.53;0.54;794;0
ЕТС ао;60;20170221;180000;0.55;0.55;0.52;0.53;1131;0
ЕТС ао;60;20170222;100000;0.53;0.53;0.5;0.52;769;0
ЕТС ао;60;20170222;110000;0.52;0.52;0.5;0.51;1363;0
ЕТС ао;60;20170222;120000;0.51;0.52;0.5;0.51;254;0
ЕТС ао;60;20170222;130000;0.52;0.52;0.5;0.52;168;0
ЕТС ао;60;20170222;140000;0.52;0.52;0.49;0.51;1193;0
ЕТС ао;60;20170222;150000;0.52;0.52;0.5;0.52;133;0
ЕТС ао;60;20170222;160000;0.52;0.52;0.51;0.52;219;0
ЕТС ао;60;20170222;170000;0.51;0.63;0.5;0.57;5404;0
