<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЕвроЭлтех;60;20170907;110000;9.515;9.515;9.515;9.515;5;0
ЕвроЭлтех;60;20170907;120000;9.515;12.021;9.33;12;1277;0
ЕвроЭлтех;60;20170907;130000;12.5;12.999;9.8;9.8;1142;0
ЕвроЭлтех;60;20170907;140000;9.85;9.85;9.586;9.586;1249;0
ЕвроЭлтех;60;20170907;150000;9.695;9.695;9.68;9.695;210;0
ЕвроЭлтех;60;20170907;160000;9.695;9.695;9.695;9.695;37;0
ЕвроЭлтех;60;20170907;170000;9.695;9.695;9.69;9.695;252;0
ЕвроЭлтех;60;20170907;180000;9.695;10.36;9.6;10.2;733;0
ЕвроЭлтех;60;20170908;100000;9.67;10.5;9.668;9.825;747;0
ЕвроЭлтех;60;20170908;110000;9.716;9.74;9.69;9.74;697;0
ЕвроЭлтех;60;20170908;120000;9.791;10.478;9.551;9.846;2112;0
ЕвроЭлтех;60;20170908;130000;9.906;9.957;9.712;9.95;60;0
ЕвроЭлтех;60;20170908;140000;9.98;9.98;9.97;9.97;40;0
ЕвроЭлтех;60;20170908;150000;9.9;9.9;9.8;9.89;301;0
ЕвроЭлтех;60;20170908;160000;9.85;10.2;9.85;10;708;0
ЕвроЭлтех;60;20170908;170000;9.9;9.9;9.801;9.9;430;0
ЕвроЭлтех;60;20170908;180000;9.9;10;9.885;9.885;263;0
ЕвроЭлтех;60;20170911;090000;10;10;10;10;5;0
ЕвроЭлтех;60;20170911;100000;10.199;10.301;9.895;10.301;2443;0
ЕвроЭлтех;60;20170911;110000;10.395;10.402;10.35;10.402;639;0
ЕвроЭлтех;60;20170911;120000;10.479;10.479;10.339;10.339;26;0
ЕвроЭлтех;60;20170911;130000;10.449;10.48;10.449;10.48;145;0
ЕвроЭлтех;60;20170911;140000;10.479;10.48;10.45;10.48;150;0
ЕвроЭлтех;60;20170911;150000;10.45;10.46;10.45;10.46;6;0
