<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Европлан;60;20170124;090000;735.5;735.5;735.5;735.5;3;0
Европлан;60;20170124;100000;723.5;723.5;710;710;4;0
Европлан;60;20170124;110000;728.5;729;727.5;729;428;0
Европлан;60;20170124;120000;728.5;729;728.5;728.5;189;0
Европлан;60;20170124;130000;728.5;729.5;728.5;728.5;282;0
Европлан;60;20170124;140000;728.5;729;728.5;729;141;0
Европлан;60;20170124;150000;729;729;729;729;18;0
Европлан;60;20170124;160000;729;729.5;729;729.5;86;0
Европлан;60;20170124;170000;729.5;729.5;729;729;102;0
Европлан;60;20170124;180000;729;730;729;729.5;634;0
Европлан;60;20170125;100000;730.5;731.5;730.5;731;85;0
Европлан;60;20170125;110000;731.5;731.5;731;731;406;0
Европлан;60;20170125;120000;731;731;730.5;730.5;160;0
Европлан;60;20170125;130000;730.5;730.5;730.5;730.5;474;0
Европлан;60;20170125;160000;730.5;731;730.5;730.5;251;0
Европлан;60;20170125;170000;730;732;730;731.5;194;0
Европлан;60;20170126;100000;729;729;729;729;1;0
Европлан;60;20170126;110000;730;730;730;730;405;0
Европлан;60;20170126;120000;730.5;730.5;730.5;730.5;1;0
Европлан;60;20170126;130000;730.5;730.5;730.5;730.5;275;0
Европлан;60;20170126;140000;730.5;730.5;730.5;730.5;245;0
Европлан;60;20170126;150000;730.5;731.5;730;730.5;843;0
Европлан;60;20170126;160000;730;730.5;730;730.5;443;0
Европлан;60;20170127;110000;730.5;730.5;730.5;730.5;375;0
Европлан;60;20170127;120000;730.5;730.5;729;730;187;0
Европлан;60;20170127;130000;730;730;730;730;575;0
Европлан;60;20170127;140000;730;730.5;729;729.5;930;0
Европлан;60;20170127;160000;730.5;730.5;730;730;257;0
Европлан;60;20170127;170000;730.5;730.5;730.5;730.5;1;0
Европлан;60;20170130;100000;731;731;729;729;75;0
Европлан;60;20170130;110000;730;730.5;730;730.5;354;0
Европлан;60;20170130;120000;730.5;730.5;730.5;730.5;417;0
Европлан;60;20170130;130000;730.5;730.5;730.5;730.5;250;0
Европлан;60;20170130;140000;730.5;730.5;730.5;730.5;80;0
Европлан;60;20170130;150000;730.5;731;730.5;731;151;0
Европлан;60;20170130;160000;730;731;730;730.5;651;0
Европлан;60;20170131;100000;730.5;730.5;728.5;728.5;36;0
Европлан;60;20170131;110000;730.5;731;730.5;730.5;339;0
Европлан;60;20170131;120000;730.5;730.5;730.5;730.5;50;0
Европлан;60;20170131;130000;730.5;731.5;730.5;731.5;135;0
Европлан;60;20170131;140000;731.5;732.5;731.5;732.5;160;0
Европлан;60;20170131;150000;732.5;732.5;732.5;732.5;5;0
Европлан;60;20170131;160000;732.5;733;732.5;733;295;0
Европлан;60;20170131;170000;733.5;735;732.5;734;1028;0
Европлан;60;20170131;180000;733;736;733;736;127;0
Европлан;60;20170201;100000;733;733;733;733;1;0
Европлан;60;20170201;110000;733;733;733;733;1;0
Европлан;60;20170201;120000;733;735;733;735;277;0
Европлан;60;20170201;140000;735;735;735;735;275;0
Европлан;60;20170201;150000;733;735;732.5;735;278;0
Европлан;60;20170201;160000;734.5;735.5;734;735;1497;0
Европлан;60;20170201;170000;735;735;735;735;110;0
Европлан;60;20170202;100000;733;734;732.5;734;95;0
Европлан;60;20170202;110000;734.5;734.5;734.5;734.5;430;0
Европлан;60;20170202;120000;735;735;734.5;734.5;125;0
Европлан;60;20170202;130000;734.5;734.5;734.5;734.5;76;0
Европлан;60;20170202;140000;734.5;734.5;734.5;734.5;420;0
Европлан;60;20170202;170000;734.5;734.5;734.5;734.5;9;0
Европлан;60;20170202;180000;735;735.5;734;734.5;491;0
Европлан;60;20170203;100000;734;734.5;734;734.5;86;0
Европлан;60;20170203;110000;735;735;735;735;275;0
Европлан;60;20170203;120000;735;735;734.5;734.5;16;0
Европлан;60;20170203;130000;734;734;732.5;732.5;35;0
Европлан;60;20170203;140000;734.5;735;734.5;735;315;0
Европлан;60;20170203;160000;734.5;734.5;734;734;41;0
Европлан;60;20170203;180000;734.5;735;734;734.5;911;0
Европлан;60;20170206;110000;734.5;734.5;734.5;734.5;75;0
Европлан;60;20170206;120000;735;735;735;735;446;0
Европлан;60;20170206;130000;735;735;735;735;2;0
Европлан;60;20170206;140000;735;735;735;735;316;0
Европлан;60;20170206;150000;735;735;735;735;4;0
Европлан;60;20170206;160000;735;735;735;735;279;0
Европлан;60;20170206;170000;735;735.5;734.5;735.5;783;0
Европлан;60;20170207;100000;734.5;734.5;733.5;733.5;92;0
Европлан;60;20170207;110000;734;734;733.5;733.5;376;0
Европлан;60;20170207;120000;733.5;734.5;733.5;733.5;101;0
Европлан;60;20170207;130000;733.5;734;733.5;733.5;427;0
Европлан;60;20170207;140000;733.5;734;733.5;733.5;49;0
Европлан;60;20170207;150000;733.5;733.5;733.5;733.5;40;0
Европлан;60;20170207;160000;733.5;735;733;733;1258;0
Европлан;60;20170207;170000;733;733;731.5;731.5;39;0
Европлан;60;20170207;180000;731.5;731.5;731;731;25;0
Европлан;60;20170208;100000;732;732;732;732;65;0
Европлан;60;20170208;120000;731.5;732;731.5;732;276;0
Европлан;60;20170208;140000;732;733;732;733;66;0
Европлан;60;20170208;150000;732;732;732;732;25;0
Европлан;60;20170208;160000;732;732.5;732;732;276;0
Европлан;60;20170208;180000;731;734;731;732;1066;0
Европлан;60;20170209;100000;733.5;733.5;732;732;9;0
Европлан;60;20170209;110000;733.5;733.5;733.5;733.5;375;0
Европлан;60;20170209;120000;733.5;733.5;733.5;733.5;5;0
Европлан;60;20170209;140000;733.5;734;733;733;492;0
Европлан;60;20170209;170000;733.5;734;733.5;733.5;630;0
Европлан;60;20170209;180000;734;734;733;733;238;0
Европлан;60;20170210;100000;733.5;733.5;733.5;733.5;76;0
Европлан;60;20170210;110000;733.5;733.5;733.5;733.5;276;0
Европлан;60;20170210;130000;733.5;734;733;734;492;0
Европлан;60;20170210;140000;734;734;733;733.5;487;0
Европлан;60;20170210;150000;733.5;733.5;733.5;733.5;154;0
Европлан;60;20170210;160000;733.5;733.5;733.5;733.5;346;0
Европлан;60;20170210;170000;734;734;734;734;1;0
Европлан;60;20170210;180000;733;733;733;733;5;0
Европлан;60;20170213;100000;733.5;733.5;733.5;733.5;70;0
Европлан;60;20170213;110000;733.5;734;733.5;733.5;103;0
Европлан;60;20170213;120000;733.5;733.5;733.5;733.5;9;0
Европлан;60;20170213;130000;733.5;733.5;733.5;733.5;295;0
Европлан;60;20170213;150000;733.5;733.5;733.5;733.5;68;0
Европлан;60;20170213;160000;734;734;733;733;1180;0
Европлан;60;20170213;170000;734;734;733;733;165;0
Европлан;60;20170214;100000;735.5;735.5;734;734;90;0
Европлан;60;20170214;110000;734;734;734;734;200;0
Европлан;60;20170214;120000;734;734;734;734;81;0
Европлан;60;20170214;130000;734;734;734;734;115;0
Европлан;60;20170214;150000;734;734;734;734;89;0
Европлан;60;20170214;160000;734.5;735;733;733.5;1118;0
Европлан;60;20170214;170000;733.5;743;733.5;743;158;0
Европлан;60;20170214;180000;738.5;738.5;738.5;738.5;1;0
Европлан;60;20170215;110000;737;738;737;738;340;0
Европлан;60;20170215;130000;738;738;738;738;99;0
Европлан;60;20170215;140000;738;738;738;738;107;0
Европлан;60;20170215;150000;738;738;738;738;219;0
Европлан;60;20170215;160000;738;738;738;738;200;0
Европлан;60;20170215;170000;739;739;737;738;904;0
Европлан;60;20170216;100000;736;736;736;736;35;0
Европлан;60;20170216;110000;739;739;739;739;211;0
Европлан;60;20170216;120000;738.5;738.5;738;738;11;0
Европлан;60;20170216;130000;737.5;737.5;734;737.5;259;0
Европлан;60;20170216;140000;736;737.5;736;737.5;41;0
Европлан;60;20170216;150000;737.5;737.5;734;734;253;0
Европлан;60;20170216;160000;734;737;731.5;737;1089;0
Европлан;60;20170216;170000;736.5;737;736.5;737;87;0
Европлан;60;20170216;180000;737;737;737;737;45;0
Европлан;60;20170217;100000;739.5;740;737.5;739;116;0
