<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Европлан2D;60;20170124;130000;729;729;729;729;8;0
Европлан2D;60;20170124;140000;732.5;735.5;732.5;735.5;21;0
Европлан2D;60;20170124;150000;737;737;737;737;175;0
Европлан2D;60;20170124;160000;736;736;736;736;1;0
Европлан2D;60;20170124;170000;736;736;736;736;1;0
Европлан2D;60;20170124;180000;736.5;736.5;736.5;736.5;135;0
Европлан2D;60;20170125;120000;730.5;730.5;730.5;730.5;7;0
Европлан2D;60;20170125;140000;731;731;731;731;11;0
Европлан2D;60;20170125;170000;731.5;736;730.5;736;818;0
Европлан2D;60;20170125;180000;731.5;731.5;731.5;731.5;10;0
Европлан2D;60;20170126;120000;733;736.5;733;736.5;293;0
Европлан2D;60;20170126;170000;735.5;735.5;729.5;729.5;68;0
Европлан2D;60;20170127;130000;736.5;736.5;735.5;735.5;261;0
Европлан2D;60;20170127;180000;736;736;730.5;730.5;177;0
Европлан2D;60;20170130;120000;730;737.5;730;737.5;345;0
Европлан2D;60;20170130;170000;736.5;736.5;736.5;736.5;1;0
Европлан2D;60;20170131;100000;730;730;730;730;8;0
Европлан2D;60;20170131;160000;732.5;732.5;732.5;732.5;166;0
Европлан2D;60;20170131;180000;736;736;730;736;178;0
Европлан2D;60;20170201;120000;736;736;732;735;33;0
Европлан2D;60;20170201;160000;734.5;738;734.5;738;116;0
Европлан2D;60;20170201;170000;735;735;735;735;275;0
Европлан2D;60;20170202;140000;734;734;734;734;1;0
Европлан2D;60;20170202;150000;734;734;734;734;17;0
Европлан2D;60;20170202;170000;737;737;737;737;350;0
Европлан2D;60;20170203;140000;735;735;735;735;27;0
Европлан2D;60;20170203;150000;736;736;736;736;203;0
Европлан2D;60;20170203;170000;736;736;736;736;135;0
Европлан2D;60;20170206;100000;740;740;740;740;2;0
Европлан2D;60;20170206;160000;736;736;733.5;733.5;251;0
Европлан2D;60;20170206;170000;737;737.5;737;737.5;144;0
Европлан2D;60;20170207;130000;733.5;733.5;733.5;733.5;2;0
Европлан2D;60;20170207;150000;740;740;740;740;48;0
Европлан2D;60;20170207;170000;734.5;734.5;734.5;734.5;340;0
Европлан2D;60;20170208;160000;739;739;739;739;130;0
Европлан2D;60;20170208;170000;740;740;740;740;220;0
Европлан2D;60;20170209;150000;740;740;740;740;150;0
Европлан2D;60;20170209;170000;740;740;740;740;202;0
Европлан2D;60;20170210;150000;734;734.5;734;734.5;205;0
Европлан2D;60;20170210;170000;736;736;736;736;155;0
Европлан2D;60;20170210;180000;734;734;734;734;4;0
Европлан2D;60;20170213;100000;734;734;734;734;7;0
Европлан2D;60;20170213;160000;739;739;739;739;210;0
Европлан2D;60;20170213;170000;739;739;739;739;135;0
Европлан2D;60;20170214;140000;740;740;740;740;216;0
Европлан2D;60;20170214;160000;740;740;740;740;135;0
Европлан2D;60;20170215;150000;740.5;740.5;740.5;740.5;200;0
Европлан2D;60;20170215;170000;740.5;740.5;740;740;178;0
Европлан2D;60;20170216;130000;740;740;740;740;7;0
Европлан2D;60;20170216;150000;740;740;740;740;200;0
Европлан2D;60;20170216;160000;740;740;740;740;200;0
Европлан2D;60;20170217;150000;743;743;743;743;13;0
Европлан2D;60;20170217;160000;742.5;742.5;740;740;431;0
Европлан2D;60;20170220;120000;739.5;739.5;739.5;739.5;1;0
Европлан2D;60;20170220;150000;740.5;740.5;740.5;740.5;178;0
Европлан2D;60;20170220;180000;743;743;743;743;180;0
Европлан2D;60;20170221;100000;744;744;744;744;10;0
Европлан2D;60;20170221;140000;743;743;743;743;138;0
Европлан2D;60;20170221;150000;742;744;742;744;9;0
Европлан2D;60;20170221;170000;744;744;744;744;204;0
Европлан2D;60;20170222;110000;740;740;740;740;1;0
Европлан2D;60;20170222;140000;744.5;746;744.5;744.5;21;0
Европлан2D;60;20170222;170000;746;746;744;744;338;0
Европлан2D;60;20170222;180000;744;744;744;744;13;0
Европлан2D;60;20170224;150000;744;744;744;744;250;0
Европлан2D;60;20170224;160000;744;744;744;744;107;0
Европлан2D;60;20170227;150000;744;744;744;744;174;0
Европлан2D;60;20170227;170000;744;745.5;744;744;179;0
Европлан2D;60;20170227;180000;739.5;739.5;739.5;739.5;7;0
Европлан2D;60;20170228;120000;745.5;746;744;744;229;0
Европлан2D;60;20170228;130000;739.5;746;739.5;746;8;0
Европлан2D;60;20170228;140000;746;746;746;746;7;0
Европлан2D;60;20170228;160000;744;744;744;744;134;0
Европлан2D;60;20170228;170000;746;746;746;746;2;0
Европлан2D;60;20170228;180000;746;746;746;746;1;0
Европлан2D;60;20170301;110000;746.5;746.5;746.5;746.5;2;0
Европлан2D;60;20170301;150000;746.5;746.5;746.5;746.5;1;0
Европлан2D;60;20170301;160000;744;744;744;744;174;0
Европлан2D;60;20170301;170000;744;744;740;740;176;0
Европлан2D;60;20170302;110000;746.5;746.5;746.5;746.5;13;0
Европлан2D;60;20170302;120000;752.5;767;752.5;767;184;0
Европлан2D;60;20170302;170000;764;770;762.5;762.5;17;0
Европлан2D;60;20170302;180000;770;770;752.5;752.5;12;0
Европлан2D;60;20170303;100000;749;749;749;749;10;0
Европлан2D;60;20170303;130000;748.5;749.5;748.5;749.5;369;0
Европлан2D;60;20170303;170000;748.5;748.5;748;748;68;0
Европлан2D;60;20170306;100000;747.5;752.5;747.5;752.5;71;0
Европлан2D;60;20170306;120000;748;748;748;748;1;0
Европлан2D;60;20170306;130000;748;748;748;748;13;0
Европлан2D;60;20170306;140000;748;748;748;748;66;0
Европлан2D;60;20170306;150000;748;748;748;748;99;0
Европлан2D;60;20170306;160000;748;748;748;748;14;0
Европлан2D;60;20170306;170000;747.5;752.5;747.5;752.5;72;0
Европлан2D;60;20170306;180000;748;748;748;748;3;0
Европлан2D;60;20170307;120000;748.5;748.5;748.5;748.5;24;0
Европлан2D;60;20170307;140000;750;750;748.5;748.5;2027;0
Европлан2D;60;20170307;160000;749;749;749;749;135;0
Европлан2D;60;20170307;170000;748.5;748.5;748.5;748.5;2;0
Европлан2D;60;20170307;180000;747.5;749;747.5;748.5;173;0
Европлан2D;60;20170309;100000;747;747;747;747;8;0
Европлан2D;60;20170309;110000;747;747;747;747;48;0
Европлан2D;60;20170309;130000;750;750;750;750;48;0
Европлан2D;60;20170309;140000;748.5;749;748.5;749;84;0
Европлан2D;60;20170309;150000;749;749;742.5;747;89;0
Европлан2D;60;20170309;160000;749;749;749;749;1;0
Европлан2D;60;20170309;180000;748.5;749;748;749;73;0
Европлан2D;60;20170310;110000;748.5;748.5;748.5;748.5;133;0
Европлан2D;60;20170310;120000;749;749;749;749;1;0
Европлан2D;60;20170310;150000;748;748.5;748;748.5;120;0
Европлан2D;60;20170310;170000;748.5;749;748.5;749;119;0
