<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Живой Оф;60;20170124;090000;4.12;4.12;4.12;4.12;1;0
Живой Оф;60;20170124;100000;4.07;4.12;4.02;4.04;510;0
Живой Оф;60;20170124;110000;4.04;4.09;4.03;4.07;244;0
Живой Оф;60;20170124;120000;4.05;4.08;4.05;4.05;96;0
Живой Оф;60;20170124;130000;4.04;4.08;4.04;4.08;153;0
Живой Оф;60;20170124;140000;4.05;4.05;3.99;4;7516;0
Живой Оф;60;20170124;150000;4;4.01;3.93;3.98;1363;0
Живой Оф;60;20170124;160000;3.99;3.99;3.94;3.99;1553;0
Живой Оф;60;20170124;170000;3.99;3.99;3.97;3.99;307;0
Живой Оф;60;20170124;180000;3.99;4;3.96;3.99;2060;0
Живой Оф;60;20170125;090000;4.04;4.04;4.04;4.04;6;0
Живой Оф;60;20170125;100000;4.02;4.08;4.02;4.05;1318;0
Живой Оф;60;20170125;110000;4.05;4.06;3.95;4.01;494;0
Живой Оф;60;20170125;120000;4;4;3.76;3.92;6406;0
Живой Оф;60;20170125;130000;3.9;4.08;3.65;3.79;12893;0
Живой Оф;60;20170125;140000;3.79;3.98;3.69;3.74;11992;0
Живой Оф;60;20170125;150000;3.74;4.02;3.69;3.79;18670;0
Живой Оф;60;20170125;160000;3.78;3.84;3.74;3.84;3832;0
Живой Оф;60;20170125;170000;3.84;3.88;3.8;3.85;2057;0
Живой Оф;60;20170125;180000;3.87;3.88;3.86;3.87;556;0
Живой Оф;60;20170126;090000;3.84;3.84;3.84;3.84;2;0
Живой Оф;60;20170126;100000;3.84;3.86;3.8;3.85;163;0
Живой Оф;60;20170126;110000;3.84;3.84;3.68;3.72;10526;0
Живой Оф;60;20170126;120000;3.69;3.71;3.54;3.58;8272;0
Живой Оф;60;20170126;130000;3.58;3.64;3.57;3.63;2658;0
Живой Оф;60;20170126;140000;3.62;3.72;3.6;3.71;2832;0
Живой Оф;60;20170126;150000;3.7;3.7;3.49;3.53;20018;0
Живой Оф;60;20170126;160000;3.54;3.61;3.52;3.61;4285;0
Живой Оф;60;20170126;170000;3.61;3.83;3.61;3.74;8059;0
Живой Оф;60;20170126;180000;3.77;3.77;3.5;3.58;9414;0
Живой Оф;60;20170127;090000;3.45;3.45;3.45;3.45;22;0
Живой Оф;60;20170127;100000;3.6;3.63;3.51;3.61;1633;0
Живой Оф;60;20170127;110000;3.55;3.55;3.29;3.34;31731;0
Живой Оф;60;20170127;120000;3.34;3.38;3.3;3.37;3728;0
Живой Оф;60;20170127;130000;3.37;3.44;3.35;3.37;2985;0
Живой Оф;60;20170127;140000;3.37;3.39;3.3;3.34;2758;0
Живой Оф;60;20170127;150000;3.31;3.34;3.24;3.29;4264;0
Живой Оф;60;20170127;160000;3.28;3.3;3.25;3.29;2131;0
Живой Оф;60;20170127;170000;3.29;3.3;3.23;3.27;4254;0
Живой Оф;60;20170127;180000;3.27;3.36;3.25;3.34;4479;0
Живой Оф;60;20170130;090000;3.4;3.4;3.4;3.4;624;0
Живой Оф;60;20170130;100000;3.41;3.43;3.35;3.36;2541;0
Живой Оф;60;20170130;110000;3.36;3.39;3.31;3.38;69;0
Живой Оф;60;20170130;120000;3.38;3.41;3.36;3.36;428;0
Живой Оф;60;20170130;130000;3.39;3.4;3.39;3.4;17;0
Живой Оф;60;20170130;150000;3.39;3.39;3.35;3.35;70;0
Живой Оф;60;20170130;160000;3.34;3.37;3.33;3.35;114;0
Живой Оф;60;20170130;170000;3.33;3.38;3.32;3.38;118;0
Живой Оф;60;20170130;180000;3.38;3.38;3.31;3.37;471;0
Живой Оф;60;20170131;090000;3.38;3.38;3.38;3.38;2;0
Живой Оф;60;20170131;100000;3.39;3.39;3.35;3.39;709;0
Живой Оф;60;20170131;110000;3.36;3.36;3.26;3.29;534;0
Живой Оф;60;20170131;120000;3.27;3.27;3.24;3.25;398;0
Живой Оф;60;20170131;130000;3.25;3.28;3.23;3.26;319;0
Живой Оф;60;20170131;140000;3.26;3.3;3.19;3.24;1814;0
Живой Оф;60;20170131;150000;3.24;3.31;3.24;3.31;216;0
Живой Оф;60;20170131;160000;3.29;3.31;3.26;3.26;21;0
Живой Оф;60;20170131;170000;3.3;3.3;3.24;3.24;316;0
Живой Оф;60;20170131;180000;3.24;3.3;3.24;3.3;149;0
Живой Оф;60;20170201;100000;3.25;3.32;3.24;3.32;143;0
Живой Оф;60;20170201;110000;3.32;3.35;3.32;3.35;2529;0
Живой Оф;60;20170201;120000;3.3;3.3;3.24;3.29;101;0
Живой Оф;60;20170201;130000;3.25;3.25;3.24;3.24;125;0
Живой Оф;60;20170201;140000;3.25;3.28;3.24;3.28;37;0
Живой Оф;60;20170201;150000;3.25;3.25;3.25;3.25;1;0
Живой Оф;60;20170201;160000;3.28;3.32;3.24;3.25;280;0
Живой Оф;60;20170201;170000;3.29;3.29;3.26;3.26;59;0
Живой Оф;60;20170201;180000;3.27;3.34;3.27;3.34;198;0
Живой Оф;60;20170202;100000;3.26;3.36;3.25;3.34;36;0
Живой Оф;60;20170202;110000;3.34;3.35;3.29;3.29;1123;0
Живой Оф;60;20170202;120000;3.3;3.3;3.3;3.3;11;0
Живой Оф;60;20170202;130000;3.3;3.32;3.29;3.29;234;0
Живой Оф;60;20170202;140000;3.29;3.29;3.25;3.25;3221;0
Живой Оф;60;20170202;150000;3.25;3.28;2.99;3.08;28745;0
Живой Оф;60;20170202;160000;3.1;3.2;3.1;3.2;765;0
Живой Оф;60;20170202;170000;3.21;3.22;3.2;3.22;162;0
Живой Оф;60;20170202;180000;3.22;3.23;3.15;3.15;367;0
Живой Оф;60;20170203;090000;3.22;3.22;3.22;3.22;1;0
Живой Оф;60;20170203;100000;3.23;3.26;3.13;3.16;2261;0
Живой Оф;60;20170203;110000;3.15;3.15;3.12;3.12;72;0
Живой Оф;60;20170203;120000;3.15;3.16;3.13;3.13;55;0
Живой Оф;60;20170203;130000;3.14;3.16;3.13;3.16;601;0
Живой Оф;60;20170203;140000;3.15;3.15;3.12;3.12;936;0
Живой Оф;60;20170203;150000;3.14;3.15;2.99;3.1;6322;0
Живой Оф;60;20170203;160000;3.09;3.13;3.02;3.13;412;0
Живой Оф;60;20170203;170000;3.1;3.13;3.04;3.09;2045;0
Живой Оф;60;20170203;180000;3.1;3.16;3.05;3.16;719;0
Живой Оф;60;20170206;100000;3.17;3.17;3.04;3.05;382;0
Живой Оф;60;20170206;110000;3.05;3.14;3.04;3.14;545;0
Живой Оф;60;20170206;120000;3.1;3.12;3.08;3.12;794;0
Живой Оф;60;20170206;130000;3.1;3.1;3.08;3.08;92;0
