<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЗВЕЗДА ао;60;20170124;110000;5;5.19;5;5.09;23;0
ЗВЕЗДА ао;60;20170124;120000;4.97;4.97;4.97;4.97;1;0
ЗВЕЗДА ао;60;20170124;130000;4.97;4.97;4.97;4.97;1;0
ЗВЕЗДА ао;60;20170124;140000;4.95;4.95;4.95;4.95;1;0
ЗВЕЗДА ао;60;20170124;150000;5;5;5;5;2;0
ЗВЕЗДА ао;60;20170124;180000;5.04;5.04;5.04;5.04;1;0
ЗВЕЗДА ао;60;20170125;110000;5.09;5.4;5.09;5.25;87;0
ЗВЕЗДА ао;60;20170125;120000;5.3;5.3;5.3;5.3;1;0
ЗВЕЗДА ао;60;20170125;130000;5.18;5.18;5.16;5.16;4;0
ЗВЕЗДА ао;60;20170125;170000;5.11;5.11;5.11;5.11;1;0
ЗВЕЗДА ао;60;20170126;100000;5.28;5.28;5.28;5.28;1;0
ЗВЕЗДА ао;60;20170126;110000;5.13;5.31;5.1;5.31;13;0
ЗВЕЗДА ао;60;20170126;120000;5.3;5.32;5.3;5.32;5;0
ЗВЕЗДА ао;60;20170126;130000;5.32;5.37;5.25;5.25;27;0
ЗВЕЗДА ао;60;20170126;140000;5.25;5.25;5.25;5.25;3;0
ЗВЕЗДА ао;60;20170126;160000;5.26;5.26;5.26;5.26;4;0
ЗВЕЗДА ао;60;20170126;170000;5.25;5.3;5.25;5.3;3;0
ЗВЕЗДА ао;60;20170126;180000;5.27;5.27;5.23;5.23;10;0
ЗВЕЗДА ао;60;20170127;100000;5.16;5.38;5.05;5.38;13;0
ЗВЕЗДА ао;60;20170127;110000;5.2;5.2;5.05;5.05;34;0
ЗВЕЗДА ао;60;20170127;130000;5.16;5.29;5.16;5.29;6;0
ЗВЕЗДА ао;60;20170127;140000;5.12;5.12;5.12;5.12;1;0
ЗВЕЗДА ао;60;20170127;150000;5.15;5.15;5.15;5.15;2;0
ЗВЕЗДА ао;60;20170127;170000;5.17;5.17;5.11;5.11;3;0
ЗВЕЗДА ао;60;20170127;180000;5.1;5.1;5.1;5.1;10;0
ЗВЕЗДА ао;60;20170130;160000;5.18;5.18;5.18;5.18;2;0
ЗВЕЗДА ао;60;20170130;180000;5;5;5;5;4;0
ЗВЕЗДА ао;60;20170131;150000;5.01;5.01;4.88;4.88;6;0
ЗВЕЗДА ао;60;20170201;100000;5.12;5.15;5.12;5.15;5;0
ЗВЕЗДА ао;60;20170201;120000;5;5;5;5;1;0
ЗВЕЗДА ао;60;20170201;140000;5.03;5.03;5.03;5.03;1;0
ЗВЕЗДА ао;60;20170201;160000;5.14;5.14;5.14;5.14;1;0
ЗВЕЗДА ао;60;20170201;180000;5;5;5;5;1;0
ЗВЕЗДА ао;60;20170202;100000;5.2;5.2;5.2;5.2;11;0
ЗВЕЗДА ао;60;20170202;140000;5.18;5.21;5.18;5.21;20;0
ЗВЕЗДА ао;60;20170202;150000;5.05;5.05;4.98;4.98;3;0
ЗВЕЗДА ао;60;20170202;160000;5.18;5.18;5.18;5.18;1;0
ЗВЕЗДА ао;60;20170203;100000;5.24;5.24;5.06;5.06;2;0
ЗВЕЗДА ао;60;20170203;110000;5.24;5.27;5.24;5.27;3;0
ЗВЕЗДА ао;60;20170206;100000;5.29;5.3;5.29;5.3;19;0
ЗВЕЗДА ао;60;20170206;110000;5.04;5.08;5.04;5.08;6;0
ЗВЕЗДА ао;60;20170206;130000;5.04;5.04;5.04;5.04;1;0
ЗВЕЗДА ао;60;20170206;150000;5.24;5.24;5.24;5.24;4;0
ЗВЕЗДА ао;60;20170207;140000;5.05;5.05;5.05;5.05;2;0
ЗВЕЗДА ао;60;20170207;150000;5.23;5.25;5.23;5.25;3;0
ЗВЕЗДА ао;60;20170208;100000;5.07;5.07;5.07;5.07;2;0
ЗВЕЗДА ао;60;20170208;140000;5.06;5.06;5.06;5.06;1;0
ЗВЕЗДА ао;60;20170209;100000;4.95;5.04;4.95;5.04;3;0
ЗВЕЗДА ао;60;20170210;100000;4.93;4.93;4.87;4.88;8;0
ЗВЕЗДА ао;60;20170210;120000;4.9;4.9;4.9;4.9;1;0
ЗВЕЗДА ао;60;20170210;180000;5.04;5.04;5.04;5.04;6;0
ЗВЕЗДА ао;60;20170213;120000;4.82;4.82;4.82;4.82;2;0
ЗВЕЗДА ао;60;20170213;130000;4.81;4.81;4.81;4.81;2;0
ЗВЕЗДА ао;60;20170213;150000;4.9;4.9;4.9;4.9;2;0
ЗВЕЗДА ао;60;20170213;170000;4.9;4.9;4.9;4.9;8;0
ЗВЕЗДА ао;60;20170214;100000;4.91;4.91;4.9;4.9;2;0
ЗВЕЗДА ао;60;20170214;110000;4.9;4.9;4.9;4.9;1;0
ЗВЕЗДА ао;60;20170214;120000;5.08;5.08;5.08;5.08;1;0
ЗВЕЗДА ао;60;20170214;160000;4.87;4.87;4.87;4.87;1;0
ЗВЕЗДА ао;60;20170215;100000;4.87;5.04;4.87;5.04;5;0
ЗВЕЗДА ао;60;20170215;110000;4.87;4.87;4.87;4.87;4;0
ЗВЕЗДА ао;60;20170215;150000;4.95;4.95;4.87;4.87;2;0
ЗВЕЗДА ао;60;20170216;110000;4.97;4.98;4.89;4.89;10;0
ЗВЕЗДА ао;60;20170216;130000;4.89;4.89;4.89;4.89;2;0
ЗВЕЗДА ао;60;20170216;150000;4.84;5.04;4.84;5.01;37;0
ЗВЕЗДА ао;60;20170216;160000;5;5;5;5;8;0
ЗВЕЗДА ао;60;20170217;100000;4.9;4.92;4.9;4.92;3;0
ЗВЕЗДА ао;60;20170217;110000;4.99;5.03;4.99;5.03;6;0
ЗВЕЗДА ао;60;20170217;120000;5.05;5.05;5;5;2;0
ЗВЕЗДА ао;60;20170217;140000;5.01;5.01;5.01;5.01;1;0
ЗВЕЗДА ао;60;20170217;150000;5.05;5.1;5.05;5.1;7;0
ЗВЕЗДА ао;60;20170217;160000;5.1;5.1;5.1;5.1;1;0
ЗВЕЗДА ао;60;20170217;170000;5.11;5.17;5.1;5.17;6;0
ЗВЕЗДА ао;60;20170220;110000;5.18;5.4;5.18;5.29;28;0
ЗВЕЗДА ао;60;20170220;120000;5.22;5.22;5.2;5.2;22;0
ЗВЕЗДА ао;60;20170220;130000;5.18;5.18;5.18;5.18;4;0
ЗВЕЗДА ао;60;20170220;140000;5.11;5.29;5.11;5.29;2;0
ЗВЕЗДА ао;60;20170220;160000;5.24;5.24;5.24;5.24;1;0
ЗВЕЗДА ао;60;20170220;170000;5.16;5.16;5;5;5;0
ЗВЕЗДА ао;60;20170220;180000;5;5.25;4.99;5.25;21;0
ЗВЕЗДА ао;60;20170221;100000;5.4;5.4;5.28;5.3;17;0
