<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЗИЛ ао;60;20170124;140000;1535;1605;1535;1605;2;0
ЗИЛ ао;60;20170124;160000;1605;1650;1570;1650;26;0
ЗИЛ ао;60;20170124;170000;1660;1700;1660;1700;20;0
ЗИЛ ао;60;20170125;110000;1735;1740;1735;1740;2;0
ЗИЛ ао;60;20170125;130000;1720;1720;1660;1700;9;0
ЗИЛ ао;60;20170125;160000;1600;1600;1595;1595;5;0
ЗИЛ ао;60;20170126;110000;1545;1565;1535;1535;7;0
ЗИЛ ао;60;20170126;140000;1630;1720;1520;1520;120;0
ЗИЛ ао;60;20170126;160000;1600;1600;1600;1600;3;0
ЗИЛ ао;60;20170126;180000;1635;1635;1635;1635;1;0
ЗИЛ ао;60;20170127;110000;1580;1615;1545;1615;25;0
ЗИЛ ао;60;20170127;120000;1545;1600;1545;1600;4;0
ЗИЛ ао;60;20170127;130000;1580;1615;1580;1615;6;0
ЗИЛ ао;60;20170127;180000;1615;1615;1615;1615;1;0
ЗИЛ ао;60;20170130;110000;1575;1605;1570;1605;20;0
ЗИЛ ао;60;20170130;180000;1560;1560;1560;1560;1;0
ЗИЛ ао;60;20170131;150000;1565;1570;1565;1570;4;0
ЗИЛ ао;60;20170131;170000;1560;1560;1530;1550;57;0
ЗИЛ ао;60;20170131;180000;1530;1530;1530;1530;2;0
ЗИЛ ао;60;20170201;110000;1525;1545;1525;1545;10;0
ЗИЛ ао;60;20170201;150000;1560;1560;1560;1560;1;0
ЗИЛ ао;60;20170201;160000;1525;1525;1510;1510;18;0
ЗИЛ ао;60;20170201;170000;1525;1540;1525;1540;2;0
ЗИЛ ао;60;20170202;110000;1520;1545;1520;1545;8;0
ЗИЛ ао;60;20170202;120000;1560;1580;1560;1580;5;0
ЗИЛ ао;60;20170202;150000;1535;1570;1535;1550;5;0
ЗИЛ ао;60;20170203;100000;1500;1575;1500;1575;27;0
ЗИЛ ао;60;20170203;110000;1565;1565;1565;1565;1;0
ЗИЛ ао;60;20170203;130000;1505;1505;1500;1500;7;0
ЗИЛ ао;60;20170203;140000;1515;1550;1515;1545;12;0
ЗИЛ ао;60;20170203;170000;1525;1525;1520;1520;10;0
ЗИЛ ао;60;20170203;180000;1520;1520;1520;1520;5;0
ЗИЛ ао;60;20170206;100000;1465;1585;1465;1585;12;0
ЗИЛ ао;60;20170206;110000;1515;1545;1515;1525;11;0
ЗИЛ ао;60;20170206;120000;1530;1530;1530;1530;1;0
ЗИЛ ао;60;20170206;130000;1545;1545;1545;1545;1;0
ЗИЛ ао;60;20170206;160000;1515;1515;1465;1465;20;0
ЗИЛ ао;60;20170206;180000;1500;1500;1500;1500;1;0
ЗИЛ ао;60;20170207;130000;1485;1485;1485;1485;1;0
ЗИЛ ао;60;20170207;150000;1505;1525;1505;1525;7;0
ЗИЛ ао;60;20170207;160000;1525;1530;1525;1530;13;0
ЗИЛ ао;60;20170208;110000;1515;1575;1515;1575;13;0
ЗИЛ ао;60;20170208;120000;1550;1550;1525;1525;4;0
ЗИЛ ао;60;20170208;140000;1530;1545;1530;1545;4;0
ЗИЛ ао;60;20170208;150000;1525;1540;1515;1530;11;0
ЗИЛ ао;60;20170208;180000;1505;1505;1505;1505;2;0
ЗИЛ ао;60;20170209;100000;1505;1535;1505;1525;14;0
ЗИЛ ао;60;20170209;120000;1520;1520;1465;1500;11;0
ЗИЛ ао;60;20170209;150000;1495;1530;1495;1520;7;0
ЗИЛ ао;60;20170209;180000;1490;1490;1490;1490;1;0
ЗИЛ ао;60;20170210;110000;1500;1510;1500;1510;2;0
ЗИЛ ао;60;20170210;120000;1490;1490;1490;1490;2;0
ЗИЛ ао;60;20170210;130000;1505;1510;1505;1510;10;0
ЗИЛ ао;60;20170210;160000;1515;1530;1515;1530;4;0
ЗИЛ ао;60;20170210;170000;1500;1500;1495;1495;4;0
ЗИЛ ао;60;20170213;110000;1500;1535;1500;1535;4;0
ЗИЛ ао;60;20170213;180000;1520;1520;1520;1520;3;0
ЗИЛ ао;60;20170214;110000;1505;1505;1500;1500;11;0
ЗИЛ ао;60;20170214;140000;1500;1500;1495;1495;2;0
ЗИЛ ао;60;20170214;160000;1485;1495;1415;1490;47;0
ЗИЛ ао;60;20170214;170000;1465;1465;1465;1465;4;0
ЗИЛ ао;60;20170214;180000;1485;1485;1485;1485;1;0
ЗИЛ ао;60;20170215;100000;1465;1465;1460;1465;4;0
ЗИЛ ао;60;20170215;150000;1480;1480;1470;1470;19;0
ЗИЛ ао;60;20170215;180000;1495;1495;1495;1495;1;0
ЗИЛ ао;60;20170216;100000;1515;1515;1515;1515;2;0
ЗИЛ ао;60;20170216;120000;1495;1495;1495;1495;2;0
ЗИЛ ао;60;20170216;150000;1485;1485;1485;1485;2;0
ЗИЛ ао;60;20170216;180000;1485;1485;1485;1485;10;0
ЗИЛ ао;60;20170217;160000;1495;1500;1495;1500;35;0
ЗИЛ ао;60;20170217;180000;1505;1505;1505;1505;28;0
ЗИЛ ао;60;20170220;110000;1480;1495;1480;1495;4;0
ЗИЛ ао;60;20170220;130000;1480;1480;1455;1455;10;0
ЗИЛ ао;60;20170220;180000;1495;1495;1495;1495;1;0
ЗИЛ ао;60;20170221;110000;1480;1495;1480;1495;20;0
ЗИЛ ао;60;20170221;120000;1480;1495;1415;1495;31;0
ЗИЛ ао;60;20170221;150000;1470;1470;1450;1450;2;0
ЗИЛ ао;60;20170221;180000;1460;1460;1460;1460;58;0
ЗИЛ ао;60;20170222;100000;1465;1500;1465;1500;16;0
ЗИЛ ао;60;20170222;110000;1500;1500;1500;1500;39;0
ЗИЛ ао;60;20170222;150000;1460;1460;1455;1455;2;0
ЗИЛ ао;60;20170222;180000;1460;1495;1460;1495;6;0
ЗИЛ ао;60;20170224;120000;1465;1495;1465;1495;12;0
ЗИЛ ао;60;20170227;130000;1470;1490;1470;1490;2;0
ЗИЛ ао;60;20170228;100000;1455;1455;1435;1435;8;0
ЗИЛ ао;60;20170228;110000;1450;1450;1410;1410;11;0
ЗИЛ ао;60;20170228;120000;1410;1410;1400;1400;10;0
ЗИЛ ао;60;20170228;140000;1445;1445;1445;1445;3;0
ЗИЛ ао;60;20170228;160000;1450;1450;1450;1450;1;0
ЗИЛ ао;60;20170228;180000;1450;1450;1450;1450;2;0
ЗИЛ ао;60;20170301;100000;1425;1425;1420;1420;5;0
ЗИЛ ао;60;20170301;110000;1430;1445;1430;1445;4;0
ЗИЛ ао;60;20170301;170000;1440;1440;1440;1440;4;0
ЗИЛ ао;60;20170302;100000;1450;1455;1435;1435;7;0
ЗИЛ ао;60;20170302;110000;1450;1455;1440;1455;8;0
ЗИЛ ао;60;20170302;150000;1460;1460;1460;1460;1;0
