<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЗМЗ-ао;60;20170124;100000;40.5;40.5;40;40;2;0
ЗМЗ-ао;60;20170124;140000;40;40;40;40;1;0
ЗМЗ-ао;60;20170124;160000;40.3;40.6;40.3;40.6;2;0
ЗМЗ-ао;60;20170124;170000;41.1;41.6;41.1;41.6;3;0
ЗМЗ-ао;60;20170125;100000;40.5;40.5;40.5;40.5;1;0
ЗМЗ-ао;60;20170125;120000;40.1;40.6;39.6;40.6;5;0
ЗМЗ-ао;60;20170125;140000;40;40;39.5;39.5;2;0
ЗМЗ-ао;60;20170125;160000;40;41.7;40;41.7;103;0
ЗМЗ-ао;60;20170126;100000;40.6;41.1;40;40;17;0
ЗМЗ-ао;60;20170126;130000;40.1;40.5;37.8;39.8;124;0
ЗМЗ-ао;60;20170126;140000;39.8;39.8;39.8;39.8;3;0
ЗМЗ-ао;60;20170126;170000;39.4;39.9;39.4;39.9;2;0
ЗМЗ-ао;60;20170126;180000;39.9;39.9;39.9;39.9;1;0
ЗМЗ-ао;60;20170127;110000;40.1;40.1;40.1;40.1;1;0
ЗМЗ-ао;60;20170127;130000;40.3;40.3;40.2;40.2;3;0
ЗМЗ-ао;60;20170127;160000;40.4;40.4;40.4;40.4;1;0
ЗМЗ-ао;60;20170127;170000;40.5;40.6;40.5;40.6;4;0
ЗМЗ-ао;60;20170130;110000;40.9;41;40.9;41;4;0
ЗМЗ-ао;60;20170130;160000;40.1;40.6;39;40.6;6;0
ЗМЗ-ао;60;20170130;170000;40;40.6;40;40.6;4;0
ЗМЗ-ао;60;20170131;130000;40.6;41;40.6;41;12;0
ЗМЗ-ао;60;20170201;140000;40.1;40.1;40.1;40.1;3;0
ЗМЗ-ао;60;20170201;160000;40;40;40;40;1;0
ЗМЗ-ао;60;20170201;180000;40.5;40.9;40.5;40.9;5;0
ЗМЗ-ао;60;20170202;170000;40.3;40.8;40.2;40.8;6;0
ЗМЗ-ао;60;20170203;110000;40.1;40.1;40;40;2;0
ЗМЗ-ао;60;20170203;130000;40.5;40.8;40.5;40.8;4;0
ЗМЗ-ао;60;20170203;150000;40.8;40.9;40.8;40.9;30;0
ЗМЗ-ао;60;20170203;160000;40.9;42.5;40.9;42.5;306;0
ЗМЗ-ао;60;20170203;180000;42;42;42;42;4;0
ЗМЗ-ао;60;20170206;100000;42.6;47.7;41;45;402;0
ЗМЗ-ао;60;20170206;110000;44.4;46.5;44.2;46.3;20;0
ЗМЗ-ао;60;20170206;120000;46.2;46.3;46.2;46.3;16;0
ЗМЗ-ао;60;20170206;130000;44.5;45.7;43.1;45.6;23;0
ЗМЗ-ао;60;20170206;140000;45;45;43.1;44.4;17;0
ЗМЗ-ао;60;20170206;150000;44.4;44.4;43.5;43.5;40;0
ЗМЗ-ао;60;20170206;170000;43.5;45.8;43.1;45.8;27;0
ЗМЗ-ао;60;20170206;180000;44.5;45.7;44.5;45.7;19;0
ЗМЗ-ао;60;20170207;100000;44;45;40.8;44;251;0
ЗМЗ-ао;60;20170207;110000;43.9;45;43.9;44.9;98;0
ЗМЗ-ао;60;20170207;120000;45;45;45;45;199;0
ЗМЗ-ао;60;20170207;130000;44.6;44.6;44.6;44.6;3;0
ЗМЗ-ао;60;20170207;180000;45;45;45;45;1;0
ЗМЗ-ао;60;20170208;100000;45.1;48;45.1;48;123;0
ЗМЗ-ао;60;20170208;110000;45.9;47.8;45.9;47;17;0
ЗМЗ-ао;60;20170208;140000;46.8;47;46.8;47;10;0
ЗМЗ-ао;60;20170208;170000;46.5;46.5;44.4;45.4;137;0
ЗМЗ-ао;60;20170208;180000;46.9;46.9;46.9;46.9;3;0
ЗМЗ-ао;60;20170209;100000;47.9;47.9;46.5;47.7;7;0
ЗМЗ-ао;60;20170209;110000;46;47.1;42.3;46.5;61;0
ЗМЗ-ао;60;20170209;120000;45.1;45.4;45;45.4;5;0
ЗМЗ-ао;60;20170209;140000;44.5;44.5;44.5;44.5;2;0
ЗМЗ-ао;60;20170209;170000;45.3;47;45.3;47;375;0
ЗМЗ-ао;60;20170209;180000;47.3;47.3;47.3;47.3;1;0
ЗМЗ-ао;60;20170210;100000;48.2;48.2;47;47;16;0
ЗМЗ-ао;60;20170210;140000;47.6;47.6;46.5;46.5;3;0
ЗМЗ-ао;60;20170210;160000;47.6;47.6;47.6;47.6;1;0
ЗМЗ-ао;60;20170213;100000;49.2;49.2;49.2;49.2;1;0
ЗМЗ-ао;60;20170213;120000;48;49.3;48;49;196;0
ЗМЗ-ао;60;20170213;130000;49;49.2;48;49.2;21;0
ЗМЗ-ао;60;20170213;150000;48;48;48;48;15;0
ЗМЗ-ао;60;20170213;160000;48.4;49;48.4;49;72;0
ЗМЗ-ао;60;20170213;170000;48;48;47.4;47.4;13;0
ЗМЗ-ао;60;20170213;180000;47.4;48.7;45.2;48.7;32;0
ЗМЗ-ао;60;20170214;100000;48.9;49;48;49;21;0
ЗМЗ-ао;60;20170214;110000;47.1;48.8;47;48.8;15;0
ЗМЗ-ао;60;20170214;120000;48.4;48.4;48.4;48.4;1;0
ЗМЗ-ао;60;20170214;180000;48.8;48.8;48.8;48.8;1;0
ЗМЗ-ао;60;20170215;100000;48.4;49;48.4;49;102;0
ЗМЗ-ао;60;20170215;110000;49.7;52.4;49;49;1248;0
ЗМЗ-ао;60;20170215;150000;48.9;48.9;48.9;48.9;2;0
ЗМЗ-ао;60;20170215;160000;48.9;48.9;48.9;48.9;13;0
ЗМЗ-ао;60;20170215;170000;48.1;48.9;48.1;48.9;30;0
ЗМЗ-ао;60;20170215;180000;48.1;49.4;46.9;49.4;42;0
ЗМЗ-ао;60;20170216;100000;49;49;45.1;48.9;27;0
ЗМЗ-ао;60;20170216;110000;48.8;50;46;50;108;0
ЗМЗ-ао;60;20170216;120000;49.5;49.5;49.5;49.5;1;0
ЗМЗ-ао;60;20170216;140000;49.3;49.3;49.3;49.3;1;0
ЗМЗ-ао;60;20170216;150000;49.3;50;49.3;50;14;0
ЗМЗ-ао;60;20170216;160000;49.1;50;49.1;50;24;0
ЗМЗ-ао;60;20170216;180000;49;49;48.3;48.3;2;0
ЗМЗ-ао;60;20170217;100000;46.5;50.9;46.4;50.9;5;0
ЗМЗ-ао;60;20170220;100000;51;51;51;51;1;0
ЗМЗ-ао;60;20170220;120000;49.9;49.9;49.9;49.9;5;0
ЗМЗ-ао;60;20170220;180000;46.1;46.1;45.9;45.9;5;0
ЗМЗ-ао;60;20170221;100000;52.5;52.5;50.1;51.9;5;0
ЗМЗ-ао;60;20170221;170000;49.7;49.7;49.7;49.7;14;0
ЗМЗ-ао;60;20170221;180000;49.8;49.8;49.8;49.8;1;0
ЗМЗ-ао;60;20170224;130000;45.5;45.5;42.7;42.7;13;0
ЗМЗ-ао;60;20170224;180000;44.2;45.5;44.2;45.5;9;0
ЗМЗ-ао;60;20170227;110000;46.2;46.8;45.9;46.8;19;0
ЗМЗ-ао;60;20170227;130000;47.2;49.9;47.2;49.9;11;0
ЗМЗ-ао;60;20170227;140000;49.8;49.9;49.8;49.9;12;0
ЗМЗ-ао;60;20170227;150000;49.8;49.8;49.8;49.8;1;0
ЗМЗ-ао;60;20170228;100000;52.5;59.8;42.6;50;18;0
ЗМЗ-ао;60;20170228;130000;47.2;47.2;44.5;44.8;31;0
ЗМЗ-ао;60;20170228;140000;49.8;49.8;49.8;49.8;1;0
