<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЗМЗ-ап;60;20170124;110000;15.95;15.95;15.05;15.05;11;0
ЗМЗ-ап;60;20170124;120000;15.75;16.25;15.75;16.25;11;0
ЗМЗ-ап;60;20170124;140000;16.15;16.15;16.15;16.15;3;0
ЗМЗ-ап;60;20170124;150000;15.8;15.8;15.75;15.75;14;0
ЗМЗ-ап;60;20170124;160000;15.75;16.05;15.75;16.05;15;0
ЗМЗ-ап;60;20170124;170000;16;16;16;16;3;0
ЗМЗ-ап;60;20170125;170000;16.35;16.95;16.35;16.95;37;0
ЗМЗ-ап;60;20170125;180000;15.9;15.9;15.7;15.7;20;0
ЗМЗ-ап;60;20170126;110000;15.8;15.8;15.8;15.8;2;0
ЗМЗ-ап;60;20170126;120000;15.8;15.8;15.8;15.8;4;0
ЗМЗ-ап;60;20170126;130000;15.8;16.65;15.8;16.65;13;0
ЗМЗ-ап;60;20170126;150000;16.65;16.95;16.65;16.95;48;0
ЗМЗ-ап;60;20170126;170000;16;16;15.8;15.8;6;0
ЗМЗ-ап;60;20170130;100000;15.85;15.9;15.85;15.9;3;0
ЗМЗ-ап;60;20170130;120000;15.9;15.9;15.9;15.9;3;0
ЗМЗ-ап;60;20170130;130000;15.95;15.95;15.95;15.95;5;0
ЗМЗ-ап;60;20170130;160000;15.8;15.8;15.8;15.8;1;0
ЗМЗ-ап;60;20170130;170000;16;16;16;16;1;0
ЗМЗ-ап;60;20170130;180000;15.8;15.8;15.6;15.6;20;0
ЗМЗ-ап;60;20170131;110000;15.6;15.6;15.6;15.6;5;0
ЗМЗ-ап;60;20170131;120000;15.95;15.95;15.95;15.95;3;0
ЗМЗ-ап;60;20170131;180000;15.8;15.9;15.8;15.9;6;0
ЗМЗ-ап;60;20170201;100000;15.7;15.7;15.7;15.7;1;0
ЗМЗ-ап;60;20170201;110000;16.15;16.15;16.15;16.15;1;0
ЗМЗ-ап;60;20170201;130000;16.5;16.5;16.5;16.5;1;0
ЗМЗ-ап;60;20170201;140000;15.8;15.8;15.8;15.8;5;0
ЗМЗ-ап;60;20170201;160000;15.75;15.75;15.75;15.75;2;0
ЗМЗ-ап;60;20170201;180000;15.85;15.9;15.85;15.9;10;0
ЗМЗ-ап;60;20170202;150000;15.8;15.8;15.8;15.8;8;0
ЗМЗ-ап;60;20170202;160000;15.8;15.8;15.75;15.75;5;0
ЗМЗ-ап;60;20170202;170000;15.9;15.9;15.9;15.9;1;0
