<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЗПИФ ФинКВ;60;20170130;100000;143;143;143;143;8;0
ЗПИФ ФинКВ;60;20170130;130000;138;138;138;138;10;0
ЗПИФ ФинКВ;60;20170130;140000;138;138;135;135;165;0
ЗПИФ ФинКВ;60;20170202;170000;138;138;138;138;5;0
ЗПИФ ФинКВ;60;20170203;150000;143;143;143;143;1;0
ЗПИФ ФинКВ;60;20170203;160000;138;138;138;138;8;0
ЗПИФ ФинКВ;60;20170213;150000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20170216;180000;160;160;160;160;3;0
ЗПИФ ФинКВ;60;20170221;150000;138;138;138;138;1;0
ЗПИФ ФинКВ;60;20170221;160000;144;144;144;144;5;0
ЗПИФ ФинКВ;60;20170227;150000;144;144;144;144;5;0
ЗПИФ ФинКВ;60;20170301;170000;104.5;125;104.5;125;2;0
ЗПИФ ФинКВ;60;20170302;100000;138;138;138;138;1;0
ЗПИФ ФинКВ;60;20170302;130000;138;138;138;138;5;0
ЗПИФ ФинКВ;60;20170302;180000;138;138;138;138;5;0
ЗПИФ ФинКВ;60;20170306;170000;138;138;104;104;24;0
ЗПИФ ФинКВ;60;20170307;100000;138;138;138;138;14;0
ЗПИФ ФинКВ;60;20170322;160000;138;138;138;138;60;0
ЗПИФ ФинКВ;60;20170327;180000;140;144;140;144;3;0
ЗПИФ ФинКВ;60;20170405;160000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20170414;160000;138;138;138;138;38;0
ЗПИФ ФинКВ;60;20170420;120000;138;138;138;138;1;0
ЗПИФ ФинКВ;60;20170424;150000;138;138;138;138;60;0
ЗПИФ ФинКВ;60;20170510;170000;138;138;138;138;1;0
ЗПИФ ФинКВ;60;20170511;150000;138;138;138;138;4;0
ЗПИФ ФинКВ;60;20170517;150000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20170606;170000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20170615;170000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20170619;130000;138;138;138;138;60;0
ЗПИФ ФинКВ;60;20170619;140000;138;138;138;138;79;0
ЗПИФ ФинКВ;60;20170627;100000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20170628;150000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20170703;160000;138;138;138;138;2;0
ЗПИФ ФинКВ;60;20170703;180000;138;138;138;138;1;0
ЗПИФ ФинКВ;60;20170721;150000;144;144;144;144;7;0
ЗПИФ ФинКВ;60;20170724;140000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20170731;170000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20170804;110000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20170817;110000;138;138;138;138;11;0
ЗПИФ ФинКВ;60;20170905;130000;138;138;138;138;8;0
ЗПИФ ФинКВ;60;20170929;170000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20171002;150000;144;144;144;144;1;0
ЗПИФ ФинКВ;60;20171020;180000;160;160;160;160;1;0
ЗПИФ ФинКВ;60;20171205;160000;110.5;110.5;110.5;110.5;1;0
ЗПИФ ФинКВ;60;20171218;160000;110.5;110.5;110.5;110.5;7;0
ЗПИФ ФинКВ;60;20171220;100000;157;157;157;157;1;0
