<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ИНГРАД ао;60;20171228;130000;970;970;970;970;1;0
ИНГРАД ао;60;20171228;140000;970;1025;970;1025;2013;0
ИНГРАД ао;60;20171228;150000;1015;1015;1000;1000;3503;0
ИНГРАД ао;60;20171228;160000;1010;1015;1000;1015;1613;0
ИНГРАД ао;60;20171228;170000;1010;1015;1000;1000;704;0
ИНГРАД ао;60;20171228;180000;1000;1000;1000;1000;727;0
ИНГРАД ао;60;20171229;100000;995;1000;975;1000;19809;0
ИНГРАД ао;60;20171229;110000;1000;1040;1000;1040;17527;0
ИНГРАД ао;60;20171229;120000;1035;1035;1030;1030;5;0
ИНГРАД ао;60;20171229;130000;1025;1045;1000;1045;2075;0
ИНГРАД ао;60;20171229;140000;1045;1045;1035;1035;13;0
ИНГРАД ао;60;20171229;150000;1045;1045;1035;1035;6;0
ИНГРАД ао;60;20171229;160000;1035;1035;1035;1035;9;0
ИНГРАД ао;60;20171229;170000;1040;1040;1020;1020;508;0
ИНГРАД ао;60;20171229;180000;1025;1025;975;975;3924;0
