<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ИРКУТ-3;60;20170124;100000;9.72;9.72;9.7;9.7;30;0
ИРКУТ-3;60;20170124;110000;9.73;9.74;9.73;9.74;27;0
ИРКУТ-3;60;20170124;120000;9.71;9.71;9.67;9.67;223;0
ИРКУТ-3;60;20170124;130000;9.67;9.67;9.66;9.66;5;0
ИРКУТ-3;60;20170124;150000;9.7;9.8;9.7;9.8;656;0
ИРКУТ-3;60;20170124;160000;9.8;9.8;9.8;9.8;195;0
ИРКУТ-3;60;20170124;170000;9.79;9.86;9.75;9.86;243;0
ИРКУТ-3;60;20170124;180000;9.86;9.86;9.85;9.85;683;0
ИРКУТ-3;60;20170125;090000;9.87;9.87;9.87;9.87;1;0
ИРКУТ-3;60;20170125;100000;9.86;10;9.86;10;626;0
ИРКУТ-3;60;20170125;110000;10;10.14;9.83;9.86;558;0
ИРКУТ-3;60;20170125;120000;9.94;9.97;9.9;9.9;1837;0
ИРКУТ-3;60;20170125;130000;9.96;9.96;9.9;9.94;107;0
ИРКУТ-3;60;20170125;140000;9.91;9.95;9.9;9.95;90;0
ИРКУТ-3;60;20170125;150000;9.95;10.07;9.95;10.07;135;0
ИРКУТ-3;60;20170125;160000;10.01;10.01;10.01;10.01;20;0
ИРКУТ-3;60;20170125;170000;9.93;10.1;9.82;10.1;418;0
ИРКУТ-3;60;20170125;180000;10.1;10.13;10;10;773;0
ИРКУТ-3;60;20170126;100000;10.02;10.02;9.99;9.99;33;0
ИРКУТ-3;60;20170126;110000;9.99;10;9.97;10;90;0
ИРКУТ-3;60;20170126;120000;9.99;10.28;9.99;10.24;1924;0
ИРКУТ-3;60;20170126;130000;10.24;10.28;10.16;10.28;280;0
ИРКУТ-3;60;20170126;140000;10.21;10.28;10.2;10.2;161;0
ИРКУТ-3;60;20170126;150000;10.25;10.3;10.25;10.29;510;0
ИРКУТ-3;60;20170126;160000;10.29;10.3;10.29;10.29;256;0
ИРКУТ-3;60;20170126;170000;10.29;10.3;10.26;10.26;224;0
ИРКУТ-3;60;20170126;180000;10.29;10.29;10.27;10.27;49;0
ИРКУТ-3;60;20170127;100000;10.3;10.69;10.3;10.5;829;0
ИРКУТ-3;60;20170127;110000;10.48;10.95;10.46;10.95;1938;0
ИРКУТ-3;60;20170127;120000;10.74;11.5;10.74;10.95;8573;0
ИРКУТ-3;60;20170127;130000;10.93;10.96;10.61;10.8;3434;0
ИРКУТ-3;60;20170127;140000;10.79;10.8;10.6;10.66;413;0
ИРКУТ-3;60;20170127;150000;10.66;10.87;10.6;10.8;921;0
ИРКУТ-3;60;20170127;160000;10.86;10.86;10.73;10.85;59;0
ИРКУТ-3;60;20170127;170000;10.81;10.82;10.75;10.82;67;0
ИРКУТ-3;60;20170127;180000;10.82;10.93;10.75;10.75;563;0
ИРКУТ-3;60;20170130;100000;10.78;10.95;10.66;10.75;290;0
ИРКУТ-3;60;20170130;110000;10.75;10.75;10.67;10.72;96;0
ИРКУТ-3;60;20170130;120000;10.71;10.91;10.7;10.91;80;0
ИРКУТ-3;60;20170130;130000;10.8;10.92;10.77;10.92;155;0
ИРКУТ-3;60;20170130;140000;10.82;10.92;10.8;10.92;50;0
ИРКУТ-3;60;20170130;150000;10.9;10.95;10.9;10.95;114;0
ИРКУТ-3;60;20170130;160000;10.95;11.3;10.95;11.29;1370;0
ИРКУТ-3;60;20170130;170000;11.34;11.45;11.12;11.34;1396;0
ИРКУТ-3;60;20170130;180000;11.24;11.37;11.15;11.35;298;0
ИРКУТ-3;60;20170131;090000;11.35;11.35;11.35;11.35;1;0
ИРКУТ-3;60;20170131;100000;11.34;11.35;11.14;11.25;536;0
ИРКУТ-3;60;20170131;110000;11.23;11.6;11.17;11.4;2777;0
ИРКУТ-3;60;20170131;120000;11.31;11.39;11.15;11.15;308;0
ИРКУТ-3;60;20170131;130000;11.27;11.35;11.15;11.2;91;0
ИРКУТ-3;60;20170131;140000;11.2;11.2;11.13;11.16;1014;0
ИРКУТ-3;60;20170131;150000;11.15;11.2;11.15;11.17;218;0
ИРКУТ-3;60;20170131;160000;11.17;11.2;11.17;11.2;415;0
ИРКУТ-3;60;20170131;170000;11.19;11.2;11.17;11.17;87;0
ИРКУТ-3;60;20170131;180000;11.17;11.2;10.86;11;2021;0
ИРКУТ-3;60;20170201;100000;11.07;11.08;10.94;11.02;198;0
ИРКУТ-3;60;20170201;110000;11.02;11.02;10.98;10.98;905;0
ИРКУТ-3;60;20170201;120000;10.97;10.98;10.9;10.98;125;0
ИРКУТ-3;60;20170201;130000;10.91;10.91;10.61;10.76;1127;0
ИРКУТ-3;60;20170201;140000;10.76;10.76;10.7;10.75;58;0
ИРКУТ-3;60;20170201;150000;10.72;10.75;10.7;10.7;282;0
ИРКУТ-3;60;20170201;160000;10.68;10.75;10.68;10.75;384;0
ИРКУТ-3;60;20170201;170000;10.7;10.9;10.63;10.9;361;0
ИРКУТ-3;60;20170201;180000;10.9;10.9;10.75;10.85;83;0
ИРКУТ-3;60;20170202;100000;10.8;10.85;10.71;10.71;73;0
ИРКУТ-3;60;20170202;110000;10.83;10.84;10.7;10.84;35;0
ИРКУТ-3;60;20170202;120000;10.83;10.86;10.7;10.7;177;0
ИРКУТ-3;60;20170202;130000;10.73;10.73;10.6;10.6;117;0
ИРКУТ-3;60;20170202;140000;10.73;10.88;10.73;10.88;212;0
ИРКУТ-3;60;20170202;160000;10.75;10.8;10.68;10.8;33;0
ИРКУТ-3;60;20170202;170000;10.74;10.74;10.74;10.74;27;0
ИРКУТ-3;60;20170202;180000;10.73;10.73;10.55;10.65;214;0
ИРКУТ-3;60;20170203;100000;10.65;10.7;10.65;10.65;205;0
ИРКУТ-3;60;20170203;110000;10.7;10.78;10.7;10.78;141;0
ИРКУТ-3;60;20170203;120000;10.74;10.9;10.7;10.8;231;0
ИРКУТ-3;60;20170203;130000;10.8;10.94;10.8;10.9;182;0
ИРКУТ-3;60;20170203;140000;10.9;11.18;10.9;11.18;910;0
ИРКУТ-3;60;20170203;150000;11.04;11.16;11.03;11.05;51;0
ИРКУТ-3;60;20170203;160000;11.03;11.15;11.03;11.15;34;0
ИРКУТ-3;60;20170203;170000;11.11;11.2;10.92;11.08;526;0
ИРКУТ-3;60;20170203;180000;11;11.08;10.9;10.9;112;0
ИРКУТ-3;60;20170206;100000;11.05;11.13;10.9;11.09;165;0
ИРКУТ-3;60;20170206;110000;11.06;11.07;10.82;10.82;103;0
ИРКУТ-3;60;20170206;120000;10.97;10.97;10.96;10.97;7;0
ИРКУТ-3;60;20170206;130000;10.97;10.98;10.81;10.98;201;0
ИРКУТ-3;60;20170206;140000;10.95;10.95;10.95;10.95;25;0
ИРКУТ-3;60;20170206;150000;10.97;10.97;10.97;10.97;13;0
ИРКУТ-3;60;20170206;160000;10.99;11.15;10.99;11.12;728;0
ИРКУТ-3;60;20170206;170000;11.03;11.11;11;11.11;85;0
ИРКУТ-3;60;20170206;180000;11.01;11.17;10.81;11.09;644;0
ИРКУТ-3;60;20170207;100000;11.08;11.23;11;11.03;584;0
ИРКУТ-3;60;20170207;110000;11.04;11.17;11.04;11.15;223;0
ИРКУТ-3;60;20170207;120000;11.16;11.2;11.05;11.17;623;0
ИРКУТ-3;60;20170207;130000;11.16;11.23;11.07;11.07;540;0
ИРКУТ-3;60;20170207;140000;11.07;11.07;11;11;87;0
ИРКУТ-3;60;20170207;150000;11.13;11.13;11.13;11.13;1;0
ИРКУТ-3;60;20170207;160000;11.12;11.2;11.04;11.18;116;0
ИРКУТ-3;60;20170207;170000;11.19;11.2;10.98;10.99;232;0
ИРКУТ-3;60;20170207;180000;11.09;11.1;11.09;11.1;571;0
ИРКУТ-3;60;20170208;100000;11.08;11.1;10.99;10.99;309;0
ИРКУТ-3;60;20170208;110000;10.97;10.97;10.88;10.88;188;0
ИРКУТ-3;60;20170208;120000;10.89;10.95;10.88;10.95;47;0
ИРКУТ-3;60;20170208;150000;10.9;10.9;10.8;10.87;51;0
ИРКУТ-3;60;20170208;160000;10.87;10.87;10.8;10.8;18;0
ИРКУТ-3;60;20170208;170000;10.9;10.9;10.88;10.9;51;0
ИРКУТ-3;60;20170208;180000;10.88;10.99;10.57;10.8;2560;0
ИРКУТ-3;60;20170209;100000;10.83;10.91;10.76;10.9;1410;0
ИРКУТ-3;60;20170209;110000;10.91;11.08;10.63;10.9;921;0
ИРКУТ-3;60;20170209;120000;10.99;11;10.87;10.9;73;0
ИРКУТ-3;60;20170209;130000;10.9;11;10.63;10.77;1070;0
ИРКУТ-3;60;20170209;140000;10.77;10.77;10.62;10.7;420;0
ИРКУТ-3;60;20170209;150000;10.79;10.86;10.63;10.81;126;0
ИРКУТ-3;60;20170209;160000;10.76;10.78;10.76;10.78;39;0
ИРКУТ-3;60;20170209;170000;10.8;10.82;10.72;10.81;86;0
ИРКУТ-3;60;20170209;180000;10.75;10.9;10.73;10.76;426;0
ИРКУТ-3;60;20170210;100000;10.91;10.94;10.73;10.84;54;0
ИРКУТ-3;60;20170210;110000;10.8;10.8;10.55;10.78;1114;0
ИРКУТ-3;60;20170210;120000;10.77;10.77;10.77;10.77;1;0
ИРКУТ-3;60;20170210;130000;10.78;10.8;10.78;10.79;1289;0
ИРКУТ-3;60;20170210;140000;10.78;10.78;10.6;10.71;104;0
ИРКУТ-3;60;20170210;150000;10.65;10.79;10.65;10.75;92;0
ИРКУТ-3;60;20170210;160000;10.7;10.75;10.67;10.75;85;0
ИРКУТ-3;60;20170210;170000;10.7;10.7;10.6;10.69;193;0
ИРКУТ-3;60;20170210;180000;10.69;10.69;10.65;10.65;17;0
ИРКУТ-3;60;20170213;100000;10.64;10.64;10.62;10.62;32;0
ИРКУТ-3;60;20170213;110000;10.68;11.05;10.62;10.94;1294;0
ИРКУТ-3;60;20170213;120000;10.87;11.2;10.86;11.04;1177;0
ИРКУТ-3;60;20170213;130000;11.03;11.06;10.94;10.94;441;0
ИРКУТ-3;60;20170213;140000;10.93;11.17;10.93;11.17;1526;0
ИРКУТ-3;60;20170213;150000;11.14;11.17;10.9;11;62;0
ИРКУТ-3;60;20170213;160000;10.98;10.98;10.95;10.95;42;0
ИРКУТ-3;60;20170213;170000;10.94;10.94;10.92;10.92;47;0
ИРКУТ-3;60;20170213;180000;10.92;10.93;10.92;10.93;12;0
ИРКУТ-3;60;20170214;100000;10.93;10.93;10.8;10.91;172;0
ИРКУТ-3;60;20170214;110000;10.91;10.93;10.9;10.93;8;0
