<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ИСУ ГК-3;60;20170124;170000;7450;7450;7450;7450;460;0
ИСУ ГК-3;60;20170201;120000;7140;7140;7070;7070;88;0
ИСУ ГК-3;60;20170202;110000;7140;7140;7070;7070;16;0
ИСУ ГК-3;60;20170331;110000;6410;6410;6350;6350;98;0
ИСУ ГК-3;60;20170403;100000;6410;6410;6350;6350;100;0
ИСУ ГК-3;60;20170413;120000;6450;6450;6450;6450;1;0
ИСУ ГК-3;60;20170419;140000;6560;6560;6560;6560;100;0
ИСУ ГК-3;60;20170419;170000;6730;6730;6730;6730;100;0
ИСУ ГК-3;60;20170420;100000;6900;6975;6900;6975;150;0
ИСУ ГК-3;60;20170420;110000;7000;7000;7000;7000;10;0
ИСУ ГК-3;60;20170421;110000;7140;7140;7140;7140;50;0
ИСУ ГК-3;60;20170424;100000;7260;7260;7260;7260;50;0
ИСУ ГК-3;60;20170424;110000;7300;7300;7300;7300;200;0
ИСУ ГК-3;60;20170424;150000;7400;7400;7400;7400;260;0
ИСУ ГК-3;60;20170425;110000;7400;7400;7370;7370;200;0
ИСУ ГК-3;60;20170427;120000;7420;7420;7420;7420;3;0
ИСУ ГК-3;60;20170427;130000;7370;7420;7370;7400;533;0
ИСУ ГК-3;60;20170518;100000;7400;7400;7400;7400;100;0
ИСУ ГК-3;60;20170518;130000;7400;7400;7400;7400;9;0
ИСУ ГК-3;60;20170518;180000;7400;7400;7400;7400;133;0
ИСУ ГК-3;60;20170530;170000;7400;7400;7400;7400;460;0
ИСУ ГК-3;60;20170531;170000;7380;7405;7380;7405;11;0
ИСУ ГК-3;60;20170601;180000;7350;7405;7350;7405;68;0
ИСУ ГК-3;60;20170615;130000;7405;7405;7350;7350;40;0
ИСУ ГК-3;60;20170615;140000;7405;7405;7405;7405;29;0
ИСУ ГК-3;60;20170629;180000;7360;7405;7360;7405;68;0
ИСУ ГК-3;60;20170707;100000;7205;7205;7205;7205;70;0
ИСУ ГК-3;60;20170712;100000;7410;7410;7410;7410;10;0
ИСУ ГК-3;60;20170712;110000;7410;7410;7410;7410;60;0
ИСУ ГК-3;60;20170721;170000;7410;7410;7410;7410;68;0
ИСУ ГК-3;60;20170804;130000;7420;7420;7420;7420;72;0
ИСУ ГК-3;60;20170818;150000;7390;7390;7390;7390;34;0
ИСУ ГК-3;60;20170818;160000;7430;7430;7390;7420;42;0
ИСУ ГК-3;60;20170904;130000;7480;7480;7480;7480;142;0
ИСУ ГК-3;60;20170914;110000;7480;7480;7480;7480;100;0
ИСУ ГК-3;60;20171004;140000;7480;7480;7480;7480;142;0
ИСУ ГК-3;60;20171016;160000;7480;7480;7480;7480;100;0
ИСУ ГК-3;60;20171221;180000;7380;7380;7380;7380;10;0
ИСУ ГК-3;60;20171222;120000;7380;7380;7380;7380;10;0
ИСУ ГК-3;60;20171227;180000;7490;7490;7490;7490;20;0
