<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ИСУ-3 ГФТ;60;20170209;120000;2650;2650;2650;2650;11320;0
ИСУ-3 ГФТ;60;20170329;130000;2670;2670;2670;2670;9363;0
ИСУ-3 ГФТ;60;20170330;120000;2670;2670;2670;2670;7116;0
ИСУ-3 ГФТ;60;20170405;160000;2670;2670;2670;2670;4000;0
ИСУ-3 ГФТ;60;20170406;110000;2670;2670;2670;2670;436;0
ИСУ-3 ГФТ;60;20170522;140000;2700;2700;2700;2700;1480;0
ИСУ-3 ГФТ;60;20171110;140000;2645;2645;2645;2645;1150;0
ИСУ-3 ГФТ;60;20171122;160000;2645;2645;2645;2645;1060;0
ИСУ-3 ГФТ;60;20171124;140000;2645;2645;2645;2645;380;0
ИСУ-3 ГФТ;60;20171205;160000;2530;2530;2530;2530;2770;0
