<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ИСУ-КП;60;20170126;160000;1670;1670;1670;1670;4090;0
ИСУ-КП;60;20170130;160000;1670;1670;1670;1670;2726;0
ИСУ-КП;60;20170131;170000;1650;1650;1650;1650;4;0
ИСУ-КП;60;20170215;170000;1645;1645;1645;1645;65950;0
ИСУ-КП;60;20170227;180000;1640;1640;1640;1640;19500;0
ИСУ-КП;60;20170228;150000;1640;1640;1640;1640;82700;0
ИСУ-КП;60;20170228;160000;1640;1640;1640;1640;930;0
ИСУ-КП;60;20170301;140000;1640;1640;1640;1640;60980;0
ИСУ-КП;60;20170316;150000;1635;1635;1635;1635;129600;0
ИСУ-КП;60;20170317;100000;1750;1790;1750;1790;11;0
ИСУ-КП;60;20170317;160000;1640;1640;1640;1640;22560;0
ИСУ-КП;60;20170327;140000;1635;1635;1635;1635;55045;0
ИСУ-КП;60;20170329;100000;1700;1700;1700;1700;11175;0
ИСУ-КП;60;20170406;170000;1630;1630;1630;1630;6727;0
ИСУ-КП;60;20170411;110000;1620;1620;1620;1620;13600;0
ИСУ-КП;60;20170419;100000;1695;1695;1695;1695;147465;0
ИСУ-КП;60;20170426;100000;1865;1865;1865;1865;134010;0
ИСУ-КП;60;20170504;110000;2250;2250;2250;2250;300;0
ИСУ-КП;60;20170517;180000;1630;1630;1630;1630;1830;0
ИСУ-КП;60;20170519;170000;1000;1000;1000;1000;25;0
ИСУ-КП;60;20170524;160000;1045;1300;1045;1300;6035;0
ИСУ-КП;60;20170524;170000;1300;1300;1300;1300;5;0
ИСУ-КП;60;20170530;180000;1350;1440;1350;1440;4950;0
ИСУ-КП;60;20170531;160000;1480;1480;1480;1480;462;0
ИСУ-КП;60;20170605;180000;1500;1700;1500;1700;7605;0
ИСУ-КП;60;20170613;130000;1190;1190;1190;1190;1;0
ИСУ-КП;60;20170614;120000;1505;1520;1505;1520;3285;0
ИСУ-КП;60;20170622;140000;1065;1065;1065;1065;53250;0
ИСУ-КП;60;20170720;100000;1300;1300;1300;1300;1600;0
ИСУ-КП;60;20170724;170000;1040;1045;1040;1045;447770;0
ИСУ-КП;60;20170725;100000;1435;1460;1435;1460;200;0
ИСУ-КП;60;20170726;100000;1885;1885;1885;1885;132650;0
