<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Ижсталь ап;60;20170125;140000;499;499;499;499;9;0
Ижсталь ап;60;20170125;160000;474;474;474;474;1;0
Ижсталь ап;60;20170126;110000;445;445;444;444;3;0
Ижсталь ап;60;20170126;180000;489;489;489;489;1;0
Ижсталь ап;60;20170127;100000;444;444;444;444;4;0
Ижсталь ап;60;20170127;130000;488;523;488;523;15;0
Ижсталь ап;60;20170130;110000;527;527;527;527;1;0
Ижсталь ап;60;20170130;150000;510;510;510;510;1;0
Ижсталь ап;60;20170131;100000;510;510;510;510;10;0
Ижсталь ап;60;20170131;120000;515;524;515;524;2;0
Ижсталь ап;60;20170131;140000;524;529;524;529;23;0
Ижсталь ап;60;20170131;150000;529;530;529;530;5;0
Ижсталь ап;60;20170131;160000;515;515;512;512;4;0
Ижсталь ап;60;20170131;180000;528;530;528;530;5;0
Ижсталь ап;60;20170201;100000;535;535;490;490;17;0
Ижсталь ап;60;20170201;110000;539;539;539;539;1;0
Ижсталь ап;60;20170201;120000;544;553;544;553;15;0
Ижсталь ап;60;20170201;140000;574;600;574;600;30;0
Ижсталь ап;60;20170201;150000;575;595;575;595;2;0
Ижсталь ап;60;20170201;180000;589;593;589;593;2;0
Ижсталь ап;60;20170202;100000;561;578;561;578;2;0
Ижсталь ап;60;20170207;100000;605;605;605;605;1;0
Ижсталь ап;60;20170207;150000;594;600;594;600;6;0
Ижсталь ап;60;20170207;180000;580;580;580;580;1;0
Ижсталь ап;60;20170208;110000;555;555;555;555;1;0
Ижсталь ап;60;20170208;120000;575;575;560;560;5;0
Ижсталь ап;60;20170208;130000;575;575;575;575;2;0
Ижсталь ап;60;20170208;140000;585;585;585;585;1;0
Ижсталь ап;60;20170208;160000;563;563;563;563;3;0
Ижсталь ап;60;20170208;180000;565;565;565;565;1;0
Ижсталь ап;60;20170209;160000;587;587;587;587;1;0
Ижсталь ап;60;20170209;170000;587;587;587;587;3;0
Ижсталь ап;60;20170209;180000;588;588;588;588;1;0
Ижсталь ап;60;20170210;170000;598;600;598;600;5;0
Ижсталь ап;60;20170210;180000;614;618;614;618;3;0
Ижсталь ап;60;20170213;100000;629;629;629;629;3;0
Ижсталь ап;60;20170213;160000;559;559;558;558;3;0
Ижсталь ап;60;20170214;160000;544;544;544;544;1;0
Ижсталь ап;60;20170214;180000;541;541;541;541;1;0
Ижсталь ап;60;20170215;130000;542;542;495;495;9;0
Ижсталь ап;60;20170215;140000;530;530;530;530;1;0
Ижсталь ап;60;20170215;180000;536;536;536;536;1;0
Ижсталь ап;60;20170216;170000;555;555;555;555;1;0
Ижсталь ап;60;20170222;130000;565;565;565;565;1;0
Ижсталь ап;60;20170222;140000;566;566;565;565;4;0
Ижсталь ап;60;20170222;150000;565;565;565;565;1;0
Ижсталь ап;60;20170224;180000;560;560;560;560;3;0
Ижсталь ап;60;20170227;130000;545;545;545;545;5;0
Ижсталь ап;60;20170228;120000;540;540;540;540;5;0
Ижсталь ап;60;20170228;160000;515;515;515;515;1;0
Ижсталь ап;60;20170302;150000;515;515;515;515;1;0
Ижсталь ап;60;20170302;180000;507;507;505;505;2;0
Ижсталь ап;60;20170303;130000;511;530;511;530;34;0
Ижсталь ап;60;20170306;170000;550;642;550;642;21;0
Ижсталь ап;60;20170307;150000;600;613;600;610;3;0
Ижсталь ап;60;20170307;180000;608;608;608;608;1;0
Ижсталь ап;60;20170309;100000;551;558;551;558;2;0
Ижсталь ап;60;20170309;140000;559;559;559;559;3;0
Ижсталь ап;60;20170309;180000;560;560;558;558;12;0
Ижсталь ап;60;20170310;150000;505;505;501;501;4;0
Ижсталь ап;60;20170314;150000;597;597;597;597;4;0
Ижсталь ап;60;20170317;120000;550;550;547;547;5;0
Ижсталь ап;60;20170317;180000;599;599;599;599;1;0
Ижсталь ап;60;20170320;130000;613;614;613;614;3;0
Ижсталь ап;60;20170322;160000;649;649;649;649;5;0
Ижсталь ап;60;20170323;110000;649;649;649;649;1;0
Ижсталь ап;60;20170324;140000;640;640;640;640;11;0
Ижсталь ап;60;20170324;160000;575;575;575;575;1;0
Ижсталь ап;60;20170327;100000;652;652;652;652;6;0
Ижсталь ап;60;20170328;150000;575;575;575;575;1;0
Ижсталь ап;60;20170405;110000;574;574;574;574;1;0
Ижсталь ап;60;20170405;140000;614;614;614;614;1;0
Ижсталь ап;60;20170406;170000;574;574;574;574;1;0
Ижсталь ап;60;20170406;180000;623;623;623;623;1;0
Ижсталь ап;60;20170410;180000;610;625;610;625;29;0
Ижсталь ап;60;20170412;170000;609;609;609;609;1;0
Ижсталь ап;60;20170414;160000;622;622;622;622;2;0
Ижсталь ап;60;20170417;160000;627;627;627;627;2;0
Ижсталь ап;60;20170419;110000;570;570;570;570;1;0
Ижсталь ап;60;20170419;120000;568;630;567;630;4;0
Ижсталь ап;60;20170420;110000;560;568;560;568;2;0
Ижсталь ап;60;20170420;180000;561;561;561;561;1;0
Ижсталь ап;60;20170421;110000;537;544;537;544;2;0
Ижсталь ап;60;20170421;150000;568;568;568;568;1;0
Ижсталь ап;60;20170425;170000;570;570;570;570;1;0
Ижсталь ап;60;20170503;150000;557;557;557;557;1;0
Ижсталь ап;60;20170504;170000;568;584;568;584;2;0
Ижсталь ап;60;20170505;180000;573;573;573;573;1;0
Ижсталь ап;60;20170510;180000;584;584;584;584;1;0
Ижсталь ап;60;20170511;110000;573;573;573;573;1;0
Ижсталь ап;60;20170511;140000;584;643;584;640;43;0
Ижсталь ап;60;20170511;150000;601;632;601;632;3;0
Ижсталь ап;60;20170512;120000;601;609;550;597;52;0
Ижсталь ап;60;20170512;130000;597;610;596;596;4;0
Ижсталь ап;60;20170515;130000;605;634;605;634;59;0
Ижсталь ап;60;20170515;150000;631;632;625;625;21;0
Ижсталь ап;60;20170515;160000;605;605;605;605;1;0
Ижсталь ап;60;20170515;170000;614;625;614;625;5;0
Ижсталь ап;60;20170516;100000;600;600;600;600;1;0
Ижсталь ап;60;20170516;140000;600;600;600;600;1;0
Ижсталь ап;60;20170516;160000;600;607;600;607;16;0
Ижсталь ап;60;20170517;130000;580;588;552;552;4;0
Ижсталь ап;60;20170517;160000;557;557;540;540;20;0
Ижсталь ап;60;20170518;110000;541;541;541;541;1;0
Ижсталь ап;60;20170518;120000;545;548;545;548;2;0
Ижсталь ап;60;20170518;130000;541;541;541;541;1;0
Ижсталь ап;60;20170518;140000;548;601;548;553;22;0
Ижсталь ап;60;20170519;110000;564;599;505;505;8;0
Ижсталь ап;60;20170523;130000;557;557;555;555;3;0
Ижсталь ап;60;20170524;170000;538;538;536;536;2;0
Ижсталь ап;60;20170525;170000;515;515;506;506;2;0
Ижсталь ап;60;20170530;140000;497;497;497;497;2;0
Ижсталь ап;60;20170530;170000;497;497;497;497;3;0
Ижсталь ап;60;20170601;140000;492;492;492;492;1;0
Ижсталь ап;60;20170602;110000;480;480;467;467;2;0
Ижсталь ап;60;20170602;140000;462;462;462;462;1;0
Ижсталь ап;60;20170602;170000;468;474;468;474;2;0
Ижсталь ап;60;20170605;100000;467;467;467;467;1;0
Ижсталь ап;60;20170605;180000;474;474;474;474;2;0
Ижсталь ап;60;20170606;180000;474;474;474;474;2;0
Ижсталь ап;60;20170608;100000;478;478;413;461;5;0
Ижсталь ап;60;20170608;140000;452;452;452;452;1;0
Ижсталь ап;60;20170608;180000;459;459;459;459;1;0
Ижсталь ап;60;20170609;110000;452;452;452;452;1;0
Ижсталь ап;60;20170609;170000;450;450;443;443;4;0
Ижсталь ап;60;20170609;180000;449;449;449;449;1;0
Ижсталь ап;60;20170613;140000;442;442;442;442;1;0
Ижсталь ап;60;20170614;100000;448;448;448;448;1;0
Ижсталь ап;60;20170614;160000;441;441;441;441;1;0
Ижсталь ап;60;20170614;180000;448;448;448;448;1;0
Ижсталь ап;60;20170615;110000;449;449;448;448;26;0
Ижсталь ап;60;20170615;180000;451;451;450;450;2;0
Ижсталь ап;60;20170616;180000;459;459;459;459;1;0
Ижсталь ап;60;20170619;170000;469;493;469;493;6;0
Ижсталь ап;60;20170620;160000;477;477;440;440;12;0
Ижсталь ап;60;20170620;180000;459;459;459;459;1;0
Ижсталь ап;60;20170621;180000;479;479;479;479;1;0
Ижсталь ап;60;20170628;100000;479;499;479;499;3;0
Ижсталь ап;60;20170628;130000;481;481;450;450;10;0
Ижсталь ап;60;20170629;100000;464;508;464;500;6;0
Ижсталь ап;60;20170629;140000;490;490;490;490;1;0
Ижсталь ап;60;20170629;170000;480;480;480;480;1;0
Ижсталь ап;60;20170630;120000;470;470;470;470;1;0
Ижсталь ап;60;20170704;180000;470;470;470;470;3;0
Ижсталь ап;60;20170712;150000;467;467;460;460;5;0
Ижсталь ап;60;20170714;090000;480;480;480;480;2;0
Ижсталь ап;60;20170714;100000;484;484;481;481;2;0
Ижсталь ап;60;20170714;120000;481;481;475;475;15;0
Ижсталь ап;60;20170714;160000;485;485;480;480;2;0
Ижсталь ап;60;20170714;180000;494;498;494;498;4;0
Ижсталь ап;60;20170717;100000;508;508;508;508;2;0
Ижсталь ап;60;20170717;110000;501;501;495;495;9;0
Ижсталь ап;60;20170718;100000;500;500;475;475;8;0
Ижсталь ап;60;20170718;110000;498;498;498;498;1;0
Ижсталь ап;60;20170718;130000;491;491;491;491;1;0
Ижсталь ап;60;20170721;180000;485;485;485;485;3;0
Ижсталь ап;60;20170725;090000;500;500;500;500;1;0
Ижсталь ап;60;20170725;100000;504;510;504;510;12;0
Ижсталь ап;60;20170725;110000;502;502;502;502;1;0
Ижсталь ап;60;20170725;130000;502;502;502;502;1;0
Ижсталь ап;60;20170726;100000;501;501;500;500;11;0
Ижсталь ап;60;20170726;170000;501;501;497;497;2;0
Ижсталь ап;60;20170726;180000;500;500;496;496;2;0
Ижсталь ап;60;20170727;100000;496;496;495;495;2;0
Ижсталь ап;60;20170727;110000;496;496;496;496;1;0
Ижсталь ап;60;20170727;120000;496;496;496;496;1;0
Ижсталь ап;60;20170731;110000;496;496;496;496;1;0
Ижсталь ап;60;20170802;110000;508;508;500;500;3;0
Ижсталь ап;60;20170807;100000;514;514;514;514;1;0
Ижсталь ап;60;20170807;180000;506;506;506;506;1;0
Ижсталь ап;60;20170808;160000;513;513;513;513;1;0
Ижсталь ап;60;20170808;170000;513;513;513;513;1;0
Ижсталь ап;60;20170809;100000;514;514;514;514;3;0
Ижсталь ап;60;20170809;110000;518;519;518;519;3;0
Ижсталь ап;60;20170810;140000;516;516;516;516;1;0
Ижсталь ап;60;20170810;180000;515;515;515;515;1;0
Ижсталь ап;60;20170814;130000;520;520;520;520;2;0
Ижсталь ап;60;20170814;150000;521;521;521;521;1;0
Ижсталь ап;60;20170815;180000;524;524;524;524;1;0
Ижсталь ап;60;20170816;140000;539;539;539;539;2;0
Ижсталь ап;60;20170816;180000;550;550;550;550;12;0
Ижсталь ап;60;20170817;100000;550;550;550;550;4;0
Ижсталь ап;60;20170817;130000;526;526;526;526;1;0
Ижсталь ап;60;20170818;140000;534;534;534;534;1;0
Ижсталь ап;60;20170821;140000;564;564;564;564;1;0
Ижсталь ап;60;20170821;170000;550;550;550;550;1;0
Ижсталь ап;60;20170823;120000;557;557;557;557;1;0
Ижсталь ап;60;20170825;170000;558;558;558;558;1;0
Ижсталь ап;60;20170825;180000;558;558;543;543;2;0
Ижсталь ап;60;20170829;120000;535;535;524;524;2;0
Ижсталь ап;60;20170830;100000;520;520;507;507;16;0
Ижсталь ап;60;20170901;160000;518;518;518;518;1;0
Ижсталь ап;60;20170904;110000;511;511;511;511;1;0
Ижсталь ап;60;20170904;140000;506;508;495;500;5;0
Ижсталь ап;60;20170905;100000;506;506;500;500;2;0
Ижсталь ап;60;20170905;120000;502;502;500;500;2;0
Ижсталь ап;60;20170905;130000;500;514;500;514;2;0
Ижсталь ап;60;20170905;140000;507;507;503;503;2;0
Ижсталь ап;60;20170907;130000;497;497;440;493;14;0
Ижсталь ап;60;20170907;150000;501;501;501;501;1;0
Ижсталь ап;60;20170908;160000;487;487;487;487;1;0
Ижсталь ап;60;20170911;130000;483;483;483;483;1;0
Ижсталь ап;60;20170911;140000;483;483;483;483;2;0
Ижсталь ап;60;20170911;150000;487;487;487;487;1;0
Ижсталь ап;60;20170911;160000;487;487;487;487;3;0
Ижсталь ап;60;20170913;140000;483;483;483;483;1;0
Ижсталь ап;60;20170914;100000;477;477;477;477;1;0
Ижсталь ап;60;20170914;180000;477;477;477;477;1;0
Ижсталь ап;60;20170915;120000;475;475;475;475;1;0
Ижсталь ап;60;20170915;180000;484;484;484;484;1;0
Ижсталь ап;60;20170918;170000;477;477;470;471;3;0
Ижсталь ап;60;20170918;180000;471;471;471;471;3;0
Ижсталь ап;60;20170919;180000;478;478;478;478;1;0
Ижсталь ап;60;20170920;110000;488;488;488;488;1;0
Ижсталь ап;60;20170920;150000;482;482;482;482;1;0
Ижсталь ап;60;20170921;110000;488;515;488;502;50;0
Ижсталь ап;60;20170921;130000;506;506;506;506;3;0
Ижсталь ап;60;20170922;180000;502;502;502;502;5;0
Ижсталь ап;60;20170925;100000;501;501;500;500;5;0
