<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Ижсталь2ао;60;20170124;100000;1280;1280;1280;1280;3;0
Ижсталь2ао;60;20170125;110000;1095;1155;1095;1120;5;0
Ижсталь2ао;60;20170125;120000;1120;1330;1090;1330;49;0
Ижсталь2ао;60;20170125;160000;1300;1300;1300;1300;1;0
Ижсталь2ао;60;20170126;100000;1105;1130;1105;1130;2;0
Ижсталь2ао;60;20170126;120000;1160;1160;1160;1160;2;0
Ижсталь2ао;60;20170126;130000;1160;1240;1160;1240;5;0
Ижсталь2ао;60;20170126;160000;1225;1275;1225;1275;4;0
Ижсталь2ао;60;20170130;110000;1300;1300;1300;1300;1;0
Ижсталь2ао;60;20170131;100000;1300;1300;1300;1300;2;0
Ижсталь2ао;60;20170131;120000;1300;1300;1300;1300;5;0
Ижсталь2ао;60;20170131;130000;1285;1295;1270;1295;18;0
Ижсталь2ао;60;20170131;160000;1280;1280;1275;1275;8;0
Ижсталь2ао;60;20170131;170000;1270;1270;1260;1260;7;0
Ижсталь2ао;60;20170131;180000;1260;1270;1260;1270;20;0
Ижсталь2ао;60;20170201;100000;1250;1250;1250;1250;1;0
Ижсталь2ао;60;20170201;110000;1235;1235;1200;1200;126;0
Ижсталь2ао;60;20170201;120000;1295;1295;1295;1295;1;0
Ижсталь2ао;60;20170201;140000;1295;1295;1295;1295;2;0
Ижсталь2ао;60;20170201;170000;1290;1295;1290;1295;9;0
Ижсталь2ао;60;20170201;180000;1295;1300;1290;1300;18;0
Ижсталь2ао;60;20170202;120000;1345;1345;1345;1345;1;0
Ижсталь2ао;60;20170202;140000;1300;1300;1300;1300;10;0
Ижсталь2ао;60;20170202;170000;1265;1265;1265;1265;1;0
Ижсталь2ао;60;20170203;110000;1345;1385;1155;1345;231;0
Ижсталь2ао;60;20170203;130000;1340;1340;1340;1340;2;0
Ижсталь2ао;60;20170203;140000;1340;1345;1340;1345;175;0
Ижсталь2ао;60;20170203;180000;1345;1345;1345;1345;134;0
Ижсталь2ао;60;20170206;160000;1215;1215;1215;1215;1;0
Ижсталь2ао;60;20170207;130000;1330;1330;1330;1330;1;0
Ижсталь2ао;60;20170207;150000;1300;1300;1225;1225;5;0
Ижсталь2ао;60;20170208;110000;1340;1340;1340;1340;1;0
Ижсталь2ао;60;20170208;120000;1345;1345;1345;1345;7;0
Ижсталь2ао;60;20170208;180000;1300;1335;1300;1335;3;0
Ижсталь2ао;60;20170210;100000;1300;1300;1300;1300;1;0
Ижсталь2ао;60;20170210;120000;1320;1345;1300;1345;10;0
Ижсталь2ао;60;20170210;130000;1290;1345;1275;1345;3;0
Ижсталь2ао;60;20170210;150000;1340;1345;1340;1345;2;0
Ижсталь2ао;60;20170213;180000;1210;1210;1200;1200;6;0
Ижсталь2ао;60;20170214;120000;1250;1250;1230;1230;4;0
Ижсталь2ао;60;20170214;150000;1250;1250;1250;1250;21;0
Ижсталь2ао;60;20170214;160000;1270;1270;1270;1270;2;0
Ижсталь2ао;60;20170214;170000;1270;1270;1250;1250;20;0
Ижсталь2ао;60;20170214;180000;1250;1250;1250;1250;48;0
Ижсталь2ао;60;20170217;120000;1300;1300;1300;1300;1;0
Ижсталь2ао;60;20170217;140000;1150;1150;820;820;100;0
Ижсталь2ао;60;20170217;150000;1215;1215;1115;1115;2;0
Ижсталь2ао;60;20170217;160000;1120;1185;1120;1165;14;0
Ижсталь2ао;60;20170217;180000;1185;1185;1185;1185;1;0
Ижсталь2ао;60;20170220;090000;1195;1195;1195;1195;5;0
Ижсталь2ао;60;20170220;110000;1120;1135;1120;1135;60;0
Ижсталь2ао;60;20170220;120000;1190;1195;1190;1195;2;0
Ижсталь2ао;60;20170220;150000;1205;1205;1205;1205;1;0
Ижсталь2ао;60;20170221;110000;1140;1230;1140;1230;5;0
Ижсталь2ао;60;20170221;170000;1225;1230;1200;1230;5;0
Ижсталь2ао;60;20170224;180000;1200;1200;1200;1200;1;0
Ижсталь2ао;60;20170228;180000;1020;1160;1015;1130;9;0
Ижсталь2ао;60;20170301;100000;1125;1125;1125;1125;2;0
Ижсталь2ао;60;20170301;150000;1100;1100;1100;1100;1;0
Ижсталь2ао;60;20170302;150000;1100;1100;1100;1100;1;0
Ижсталь2ао;60;20170302;180000;1100;1100;1100;1100;3;0
Ижсталь2ао;60;20170303;160000;1155;1190;1155;1190;3;0
Ижсталь2ао;60;20170303;180000;1180;1185;1180;1185;4;0
Ижсталь2ао;60;20170306;160000;1215;1215;1215;1215;1;0
Ижсталь2ао;60;20170306;180000;1210;1215;1210;1215;8;0
Ижсталь2ао;60;20170307;140000;1050;1235;1040;1235;4;0
Ижсталь2ао;60;20170307;150000;1230;1230;1230;1230;9;0
Ижсталь2ао;60;20170309;120000;1045;1045;1045;1045;1;0
Ижсталь2ао;60;20170310;110000;1020;1095;1020;1095;6;0
Ижсталь2ао;60;20170310;180000;1045;1045;1040;1045;3;0
Ижсталь2ао;60;20170313;170000;1010;1010;970;970;2;0
Ижсталь2ао;60;20170313;180000;1095;1095;1095;1095;1;0
Ижсталь2ао;60;20170314;160000;1100;1100;1100;1100;10;0
Ижсталь2ао;60;20170315;110000;1100;1110;1100;1110;3;0
Ижсталь2ао;60;20170316;100000;1010;1160;1010;1160;2;0
Ижсталь2ао;60;20170316;160000;1050;1050;1010;1010;4;0
Ижсталь2ао;60;20170316;170000;1145;1150;1145;1150;2;0
Ижсталь2ао;60;20170316;180000;1025;1050;1020;1050;11;0
