<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Инв-Девел;60;20170124;170000;8700;8700;8700;8700;1;0
Инв-Девел;60;20170302;100000;6500;12000;6500;12000;2;0
Инв-Девел;60;20170321;150000;6300;6720;6300;6720;2;0
Инв-Девел;60;20170321;180000;6720;6720;6720;6720;1;0
Инв-Девел;60;20170322;140000;6000;6000;6000;6000;1;0
Инв-Девел;60;20170324;140000;6900;6900;6900;6900;1;0
Инв-Девел;60;20170330;150000;6050;9200;6050;8950;8;0
Инв-Девел;60;20170330;160000;7300;8980;6750;8880;13;0
Инв-Девел;60;20170330;170000;6560;8840;6560;8840;4;0
Инв-Девел;60;20170330;180000;6380;8640;6380;8640;2;0
Инв-Девел;60;20170418;120000;6250;11250;6250;11250;2;0
Инв-Девел;60;20170502;150000;6350;10650;6350;10650;2;0
Инв-Девел;60;20170505;110000;6100;7900;6100;7500;4;0
Инв-Девел;60;20170505;160000;6250;8950;6250;8950;2;0
Инв-Девел;60;20170515;100000;5650;5650;5650;5650;1;0
Инв-Девел;60;20170515;110000;6150;7850;6150;7830;6;0
Инв-Девел;60;20170526;100000;6750;7850;6750;7850;2;0
Инв-Девел;60;20170526;120000;7240;7240;7240;7240;1;0
Инв-Девел;60;20170529;120000;6360;8750;6360;8750;2;0
Инв-Девел;60;20170529;170000;6460;7990;6460;7990;2;0
Инв-Девел;60;20170530;100000;6360;7950;6360;7950;2;0
Инв-Девел;60;20170602;100000;6360;8880;6360;8880;2;0
Инв-Девел;60;20170605;110000;5680;7770;5680;7190;4;0
Инв-Девел;60;20170606;170000;6270;6270;6270;6270;1;0
Инв-Девел;60;20170606;180000;8760;8760;6270;7770;9;0
Инв-Девел;60;20170710;100000;5120;7380;5120;7380;2;0
Инв-Девел;60;20170710;110000;5260;7230;5260;7230;3;0
Инв-Девел;60;20170711;100000;5260;6870;5260;6770;4;0
Инв-Девел;60;20170712;160000;5260;7770;5260;7770;2;0
Инв-Девел;60;20170724;130000;7770;8740;5670;8740;3;0
Инв-Девел;60;20170724;160000;5250;7740;5250;7740;2;0
Инв-Девел;60;20170807;140000;5130;7990;5130;7990;2;0
Инв-Девел;60;20170807;160000;5660;7560;5660;7560;2;0
Инв-Девел;60;20170808;100000;5260;7770;5260;7770;2;0
Инв-Девел;60;20170814;130000;5210;7960;5210;7960;2;0
Инв-Девел;60;20170814;160000;5260;7940;5260;7940;2;0
Инв-Девел;60;20170817;140000;7990;8000;7990;8000;2;0
Инв-Девел;60;20170817;150000;8000;8000;8000;8000;1;0
Инв-Девел;60;20170829;130000;6800;6800;6800;6800;1;0
