<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ИнтерРАОао;60;20170124;090000;3.845;3.845;3.845;3.845;93;0
ИнтерРАОао;60;20170124;100000;3.845;3.93;3.845;3.8895;51987;0
ИнтерРАОао;60;20170124;110000;3.886;3.898;3.874;3.8925;13410;0
ИнтерРАОао;60;20170124;120000;3.8905;3.896;3.8225;3.8545;18349;0
ИнтерРАОао;60;20170124;130000;3.8525;3.896;3.8415;3.8715;20681;0
ИнтерРАОао;60;20170124;140000;3.8715;3.883;3.8605;3.8685;7564;0
ИнтерРАОао;60;20170124;150000;3.8695;3.8795;3.864;3.8715;9174;0
ИнтерРАОао;60;20170124;160000;3.873;3.879;3.86;3.8695;6617;0
ИнтерРАОао;60;20170124;170000;3.869;3.8785;3.86;3.8735;7551;0
ИнтерРАОао;60;20170124;180000;3.871;3.89;3.8675;3.89;9474;0
ИнтерРАОао;60;20170125;090000;3.8925;3.8925;3.8925;3.8925;36;0
ИнтерРАОао;60;20170125;100000;3.8905;3.918;3.87;3.917;8960;0
ИнтерРАОао;60;20170125;110000;3.917;3.919;3.89;3.91;7156;0
ИнтерРАОао;60;20170125;120000;3.91;3.9175;3.899;3.903;7456;0
ИнтерРАОао;60;20170125;130000;3.9035;3.911;3.8705;3.8975;13800;0
ИнтерРАОао;60;20170125;140000;3.893;3.897;3.872;3.882;11472;0
ИнтерРАОао;60;20170125;150000;3.882;3.9565;3.879;3.9025;58505;0
ИнтерРАОао;60;20170125;160000;3.9085;3.9275;3.89;3.905;18744;0
ИнтерРАОао;60;20170125;170000;3.9075;3.9495;3.9075;3.9495;13702;0
ИнтерРАОао;60;20170125;180000;3.949;3.965;3.9325;3.9585;27780;0
ИнтерРАОао;60;20170126;090000;3.9585;3.9585;3.9585;3.9585;21;0
ИнтерРАОао;60;20170126;100000;3.9585;3.996;3.946;3.9715;11761;0
ИнтерРАОао;60;20170126;110000;3.9715;3.9795;3.945;3.962;14299;0
ИнтерРАОао;60;20170126;120000;3.9615;3.97;3.9315;3.9475;14921;0
ИнтерРАОао;60;20170126;130000;3.945;3.9495;3.9235;3.93;11424;0
ИнтерРАОао;60;20170126;140000;3.93;3.9355;3.925;3.9285;6171;0
ИнтерРАОао;60;20170126;150000;3.928;3.97;3.9235;3.9625;9621;0
ИнтерРАОао;60;20170126;160000;3.9625;3.973;3.9385;3.949;7454;0
ИнтерРАОао;60;20170126;170000;3.949;3.958;3.9405;3.9445;5777;0
ИнтерРАОао;60;20170126;180000;3.9445;3.9475;3.93;3.946;5664;0
ИнтерРАОао;60;20170127;090000;3.96;3.96;3.96;3.96;17;0
ИнтерРАОао;60;20170127;100000;3.959;3.9685;3.903;3.958;14521;0
ИнтерРАОао;60;20170127;110000;3.9575;3.964;3.95;3.9575;4756;0
ИнтерРАОао;60;20170127;120000;3.9565;3.9845;3.954;3.969;14379;0
ИнтерРАОао;60;20170127;130000;3.969;3.988;3.966;3.966;10884;0
ИнтерРАОао;60;20170127;140000;3.9665;3.975;3.9645;3.9715;2957;0
ИнтерРАОао;60;20170127;150000;3.9715;3.985;3.9705;3.983;6299;0
ИнтерРАОао;60;20170127;160000;3.982;3.9945;3.9745;3.9935;12493;0
ИнтерРАОао;60;20170127;170000;3.9915;4;3.9545;3.9745;22525;0
ИнтерРАОао;60;20170127;180000;3.9725;3.9865;3.9505;3.9505;9795;0
ИнтерРАОао;60;20170130;090000;3.9665;3.9665;3.9665;3.9665;15;0
ИнтерРАОао;60;20170130;100000;3.969;3.975;3.934;3.968;8687;0
ИнтерРАОао;60;20170130;110000;3.967;4.0295;3.9655;3.982;20490;0
ИнтерРАОао;60;20170130;120000;3.98;4.015;3.9715;4.013;9116;0
ИнтерРАОао;60;20170130;130000;4.013;4.014;3.997;4.007;7161;0
ИнтерРАОао;60;20170130;140000;4.006;4.0145;3.992;3.9985;4727;0
ИнтерРАОао;60;20170130;150000;3.9985;4.013;3.9955;4.0085;5661;0
ИнтерРАОао;60;20170130;160000;4.0085;4.0195;4.006;4.0145;9027;0
ИнтерРАОао;60;20170130;170000;4.0155;4.0275;4.0115;4.024;9826;0
ИнтерРАОао;60;20170130;180000;4.023;4.06;4.0225;4.06;41530;0
ИнтерРАОао;60;20170131;090000;4.0625;4.0625;4.0625;4.0625;233;0
ИнтерРАОао;60;20170131;100000;4.0625;4.148;4.052;4.084;85461;0
ИнтерРАОао;60;20170131;110000;4.084;4.0925;4.055;4.0795;22421;0
ИнтерРАОао;60;20170131;120000;4.079;4.1;4.04;4.046;18630;0
ИнтерРАОао;60;20170131;130000;4.046;4.0625;4.0425;4.0515;16616;0
ИнтерРАОао;60;20170131;140000;4.051;4.08;4.03;4.049;21024;0
ИнтерРАОао;60;20170131;150000;4.05;4.08;4.0375;4.0495;22243;0
ИнтерРАОао;60;20170131;160000;4.0495;4.069;4.0445;4.0515;28900;0
ИнтерРАОао;60;20170131;170000;4.052;4.092;4.05;4.08;11443;0
ИнтерРАОао;60;20170131;180000;4.0775;4.09;4.058;4.0735;8956;0
ИнтерРАОао;60;20170201;090000;4.0515;4.0515;4.0515;4.0515;536;0
ИнтерРАОао;60;20170201;100000;4.0795;4.099;4.066;4.099;12565;0
ИнтерРАОао;60;20170201;110000;4.098;4.1285;4.065;4.07;27061;0
ИнтерРАОао;60;20170201;120000;4.0705;4.11;4.07;4.088;16923;0
ИнтерРАОао;60;20170201;130000;4.0885;4.092;4.068;4.075;17269;0
ИнтерРАОао;60;20170201;140000;4.076;4.0965;4.076;4.0825;14953;0
ИнтерРАОао;60;20170201;150000;4.084;4.0895;4.077;4.085;18147;0
ИнтерРАОао;60;20170201;160000;4.0855;4.0895;4.065;4.0695;15720;0
ИнтерРАОао;60;20170201;170000;4.0715;4.095;4.067;4.074;8790;0
ИнтерРАОао;60;20170201;180000;4.0735;4.082;4.0455;4.07;22401;0
ИнтерРАОао;60;20170202;090000;4.099;4.099;4.099;4.099;349;0
ИнтерРАОао;60;20170202;100000;4.079;4.091;4.0665;4.0875;14107;0
ИнтерРАОао;60;20170202;110000;4.085;4.0965;4.05;4.0675;17552;0
