<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ИркЭнерго;60;20170124;100000;15.01;15.02;14.85;14.85;927;0
ИркЭнерго;60;20170124;110000;14.88;14.88;14.73;14.83;361;0
ИркЭнерго;60;20170124;120000;14.78;14.78;14.67;14.75;1661;0
ИркЭнерго;60;20170124;130000;14.74;14.79;14.69;14.75;1353;0
ИркЭнерго;60;20170124;140000;14.72;14.83;14.57;14.59;2060;0
ИркЭнерго;60;20170124;150000;14.65;14.82;14.65;14.82;329;0
ИркЭнерго;60;20170124;160000;14.83;14.85;14.79;14.79;1904;0
ИркЭнерго;60;20170124;170000;14.8;14.85;14.8;14.8;202;0
ИркЭнерго;60;20170124;180000;14.83;14.84;14.82;14.84;44;0
ИркЭнерго;60;20170125;100000;14.8;14.86;14.75;14.86;13;0
ИркЭнерго;60;20170125;110000;14.86;14.86;14.79;14.79;10;0
ИркЭнерго;60;20170125;120000;14.82;14.85;14.8;14.8;166;0
ИркЭнерго;60;20170125;130000;14.84;14.84;14.84;14.84;3;0
ИркЭнерго;60;20170125;140000;14.84;14.84;14.81;14.81;6;0
ИркЭнерго;60;20170125;150000;14.84;14.84;14.81;14.81;9;0
ИркЭнерго;60;20170125;160000;14.81;14.81;14.75;14.79;148;0
ИркЭнерго;60;20170125;170000;14.78;14.8;14.54;14.68;1054;0
ИркЭнерго;60;20170125;180000;14.67;14.72;14.67;14.67;76;0
ИркЭнерго;60;20170126;090000;14.7;14.7;14.7;14.7;20;0
ИркЭнерго;60;20170126;100000;14.7;14.72;14.57;14.65;64;0
ИркЭнерго;60;20170126;110000;14.7;14.72;14.6;14.6;206;0
ИркЭнерго;60;20170126;120000;14.71;14.72;14.64;14.68;37;0
ИркЭнерго;60;20170126;130000;14.68;14.7;14.61;14.7;726;0
ИркЭнерго;60;20170126;140000;14.69;14.69;14.61;14.61;203;0
ИркЭнерго;60;20170126;150000;14.66;14.68;14.66;14.68;2073;0
ИркЭнерго;60;20170126;160000;14.68;14.72;14.66;14.71;8735;0
ИркЭнерго;60;20170126;170000;14.71;14.77;14.69;14.77;236;0
ИркЭнерго;60;20170126;180000;14.78;14.83;14.78;14.8;178;0
ИркЭнерго;60;20170127;100000;14.84;14.87;14.77;14.86;86;0
ИркЭнерго;60;20170127;110000;14.84;15.15;14.8;15.12;1525;0
ИркЭнерго;60;20170127;120000;15.07;15.09;14.9;14.95;1980;0
ИркЭнерго;60;20170127;130000;14.95;15.01;14.94;14.94;2111;0
ИркЭнерго;60;20170127;140000;14.96;15;14.93;14.93;163;0
ИркЭнерго;60;20170127;150000;14.97;15;14.94;15;576;0
ИркЭнерго;60;20170127;160000;14.99;15;14.99;15;196;0
ИркЭнерго;60;20170127;170000;15;15;14.94;14.98;114;0
ИркЭнерго;60;20170127;180000;14.94;14.97;14.94;14.94;67;0
ИркЭнерго;60;20170130;100000;14.97;15.1;14.97;15.06;152;0
ИркЭнерго;60;20170130;110000;15.02;15.02;14.69;14.83;1428;0
ИркЭнерго;60;20170130;120000;14.83;14.94;14.8;14.94;436;0
ИркЭнерго;60;20170130;130000;14.91;14.91;14.8;14.8;119;0
ИркЭнерго;60;20170130;140000;14.88;14.94;14.87;14.94;65;0
ИркЭнерго;60;20170130;150000;14.87;14.93;14.85;14.93;67;0
ИркЭнерго;60;20170130;160000;14.89;14.89;14.89;14.89;1;0
ИркЭнерго;60;20170130;170000;14.89;14.89;14.88;14.88;21;0
ИркЭнерго;60;20170130;180000;14.88;14.88;14.86;14.86;24;0
ИркЭнерго;60;20170131;090000;14.83;14.83;14.83;14.83;1;0
ИркЭнерго;60;20170131;100000;14.88;14.88;14.88;14.88;2;0
ИркЭнерго;60;20170131;110000;14.87;15;14.87;14.9;186;0
ИркЭнерго;60;20170131;120000;14.92;14.92;14.9;14.9;108;0
ИркЭнерго;60;20170131;130000;14.9;14.95;14.9;14.95;12;0
