<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КАМАЗ;60;20170124;100000;48.8;49;48.8;49;16;0
КАМАЗ;60;20170124;110000;49;49.05;48.95;49;11;0
КАМАЗ;60;20170124;120000;49;49.1;48.45;49;92;0
КАМАЗ;60;20170124;130000;49.05;51.05;49.05;50.6;500;0
КАМАЗ;60;20170124;140000;50.75;51.5;50.75;51.3;317;0
КАМАЗ;60;20170124;150000;51.35;52.95;51.15;52.6;664;0
КАМАЗ;60;20170124;160000;52.35;53.05;51.85;51.85;612;0
КАМАЗ;60;20170124;170000;51.7;51.8;51;51.25;247;0
КАМАЗ;60;20170124;180000;51.3;51.4;51.05;51.3;85;0
КАМАЗ;60;20170125;100000;51.85;51.85;50.45;51.3;152;0
КАМАЗ;60;20170125;110000;51.3;51.75;51;51.75;116;0
КАМАЗ;60;20170125;120000;51.6;52;51.6;51.7;110;0
КАМАЗ;60;20170125;130000;51.85;51.9;51.6;51.6;33;0
КАМАЗ;60;20170125;140000;51.65;51.85;51.6;51.85;14;0
КАМАЗ;60;20170125;150000;51.85;52;51.65;51.65;62;0
КАМАЗ;60;20170125;160000;51.6;51.6;51.6;51.6;22;0
КАМАЗ;60;20170125;170000;51.6;51.8;51.6;51.6;53;0
КАМАЗ;60;20170125;180000;51.5;51.5;50.9;51;35;0
КАМАЗ;60;20170126;100000;51.05;52;51;51.55;103;0
КАМАЗ;60;20170126;110000;51.8;51.9;51.25;51.25;52;0
КАМАЗ;60;20170126;120000;51.35;51.35;51;51.05;112;0
КАМАЗ;60;20170126;130000;51;51;50.4;50.6;75;0
КАМАЗ;60;20170126;140000;50.7;51.15;50.6;51.15;26;0
КАМАЗ;60;20170126;150000;51.15;51.7;51.05;51.05;18;0
КАМАЗ;60;20170126;160000;51;51.3;51;51.3;8;0
КАМАЗ;60;20170126;170000;51.3;51.4;51.05;51.3;17;0
КАМАЗ;60;20170126;180000;51.05;51.05;50.55;50.65;6;0
КАМАЗ;60;20170127;100000;50.3;51.1;50.25;51.1;30;0
КАМАЗ;60;20170127;110000;50.65;50.85;50.35;50.85;63;0
КАМАЗ;60;20170127;120000;50.7;51;50.65;51;91;0
КАМАЗ;60;20170127;130000;51;51.2;51;51;4;0
КАМАЗ;60;20170127;140000;51;51.3;51;51.3;15;0
КАМАЗ;60;20170127;150000;51.3;51.95;51.3;51.5;90;0
КАМАЗ;60;20170127;160000;51.45;51.5;51.2;51.2;73;0
КАМАЗ;60;20170127;170000;51;51.15;51;51.15;11;0
КАМАЗ;60;20170127;180000;51.45;51.45;50.4;50.4;55;0
КАМАЗ;60;20170130;100000;50.05;51.85;50;51.1;120;0
КАМАЗ;60;20170130;110000;51;51;50.85;50.9;6;0
КАМАЗ;60;20170130;120000;50.95;50.95;50.95;50.95;1;0
КАМАЗ;60;20170130;130000;51;51;51;51;8;0
КАМАЗ;60;20170130;140000;50.7;50.7;50.6;50.6;10;0
КАМАЗ;60;20170130;160000;51;51.05;51;51.05;2;0
КАМАЗ;60;20170130;170000;50.95;51;50.6;50.95;11;0
КАМАЗ;60;20170130;180000;50.95;50.95;50.8;50.95;5;0
КАМАЗ;60;20170131;100000;50.95;50.95;50.55;50.55;24;0
КАМАЗ;60;20170131;110000;51.05;51.05;51.05;51.05;3;0
КАМАЗ;60;20170131;120000;51.05;51.05;51;51;2;0
КАМАЗ;60;20170131;130000;51.05;51.05;51.05;51.05;8;0
КАМАЗ;60;20170131;140000;51;51;51;51;4;0
КАМАЗ;60;20170131;150000;51.3;51.95;51.3;51.6;126;0
