<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КМЗ;60;20170124;110000;401;407;401;407;16;0
КМЗ;60;20170124;140000;408;408;408;408;101;0
КМЗ;60;20170124;150000;404;406;400;406;22;0
КМЗ;60;20170124;180000;406;406;406;406;1;0
КМЗ;60;20170125;100000;401;401;401;401;1;0
КМЗ;60;20170125;110000;407;407;407;407;1;0
КМЗ;60;20170125;120000;407;408;407;408;7;0
КМЗ;60;20170125;140000;409;409;409;409;1;0
КМЗ;60;20170126;090000;409;409;409;409;1;0
КМЗ;60;20170126;110000;401;401;400;400;11;0
КМЗ;60;20170126;120000;405;406;400;405;933;0
КМЗ;60;20170126;130000;405;405;405;405;110;0
КМЗ;60;20170126;140000;405;405;405;405;120;0
КМЗ;60;20170126;150000;405;405;404;404;21;0
КМЗ;60;20170126;160000;404;410;400;410;512;0
КМЗ;60;20170126;180000;409;410;409;410;50;0
КМЗ;60;20170127;100000;410;410;410;410;465;0
КМЗ;60;20170127;110000;410;410;410;410;10;0
КМЗ;60;20170127;140000;409;409;409;409;5;0
КМЗ;60;20170127;150000;410;424;410;410;584;0
КМЗ;60;20170127;170000;411;415;411;415;7;0
КМЗ;60;20170127;180000;415;415;410;415;120;0
КМЗ;60;20170130;100000;415;415;411;411;3;0
КМЗ;60;20170130;110000;414;415;411;411;13;0
КМЗ;60;20170130;120000;413;415;412;415;4;0
КМЗ;60;20170130;130000;415;415;415;415;6;0
КМЗ;60;20170130;140000;415;415;415;415;37;0
КМЗ;60;20170130;150000;415;415;404;404;316;0
КМЗ;60;20170130;160000;409;410;407;410;7;0
КМЗ;60;20170130;170000;409;410;409;410;5;0
КМЗ;60;20170131;100000;410;410;408;408;383;0
КМЗ;60;20170131;120000;408;410;404;409;182;0
КМЗ;60;20170131;130000;409;409;409;409;35;0
КМЗ;60;20170131;140000;409;409;409;409;1;0
КМЗ;60;20170131;150000;408;408;408;408;12;0
КМЗ;60;20170131;170000;410;413;410;410;55;0
КМЗ;60;20170131;180000;410;410;410;410;12;0
КМЗ;60;20170201;100000;407;408;403;408;17;0
КМЗ;60;20170201;120000;408;410;408;410;11;0
КМЗ;60;20170201;130000;410;414;410;414;52;0
КМЗ;60;20170201;140000;411;411;411;411;15;0
КМЗ;60;20170201;150000;411;417;410;417;63;0
КМЗ;60;20170201;160000;412;412;410;410;101;0
КМЗ;60;20170201;170000;410;416;410;410;84;0
КМЗ;60;20170201;180000;410;410;408;408;126;0
КМЗ;60;20170202;100000;407;408;407;408;2;0
КМЗ;60;20170202;120000;409;409;409;409;1;0
КМЗ;60;20170202;140000;409;409;409;409;1;0
КМЗ;60;20170202;160000;410;419;400;404;1895;0
КМЗ;60;20170202;170000;401;405;401;405;9;0
КМЗ;60;20170202;180000;405;405;405;405;5;0
КМЗ;60;20170203;100000;402;405;400;403;125;0
КМЗ;60;20170203;110000;403;410;403;410;157;0
