<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КСБ ао;60;20170130;180000;0.461;0.461;0.461;0.461;1;0
КСБ ао;60;20170203;130000;0.46;0.46;0.451;0.451;3;0
КСБ ао;60;20170206;100000;0.45;0.45;0.425;0.425;13;0
КСБ ао;60;20170206;140000;0.446;0.454;0.445;0.454;3;0
КСБ ао;60;20170206;150000;0.435;0.444;0.434;0.444;3;0
КСБ ао;60;20170209;110000;0.44;0.44;0.44;0.44;1;0
КСБ ао;60;20170209;120000;0.445;0.445;0.445;0.445;1;0
КСБ ао;60;20170209;160000;0.44;0.44;0.44;0.44;1;0
КСБ ао;60;20170209;170000;0.476;0.476;0.476;0.476;1;0
КСБ ао;60;20170214;100000;0.439;0.494;0.439;0.494;4;0
КСБ ао;60;20170214;130000;0.452;0.452;0.452;0.452;1;0
КСБ ао;60;20170227;120000;0.454;0.454;0.454;0.454;1;0
КСБ ао;60;20170309;130000;0.425;0.425;0.388;0.388;10;0
КСБ ао;60;20170310;100000;0.4;0.4;0.381;0.381;2;0
КСБ ао;60;20170314;160000;0.378;0.378;0.378;0.378;2;0
КСБ ао;60;20170314;170000;0.376;0.376;0.376;0.376;2;0
КСБ ао;60;20170315;170000;0.374;0.374;0.374;0.374;1;0
КСБ ао;60;20170316;100000;0.384;0.384;0.384;0.384;1;0
КСБ ао;60;20170316;110000;0.385;0.405;0.385;0.405;3;0
КСБ ао;60;20170317;100000;0.447;0.447;0.4;0.4;2;0
КСБ ао;60;20170320;100000;0.425;0.425;0.425;0.425;1;0
КСБ ао;60;20170320;170000;0.451;0.451;0.451;0.451;4;0
КСБ ао;60;20170321;100000;0.343;0.343;0.343;0.343;1;0
КСБ ао;60;20170321;110000;0.412;0.412;0.412;0.412;1;0
КСБ ао;60;20170321;120000;0.41;0.41;0.41;0.41;1;0
КСБ ао;60;20170324;130000;0.4;0.4;0.4;0.4;1;0
КСБ ао;60;20170324;150000;0.431;0.431;0.431;0.431;1;0
КСБ ао;60;20170324;180000;0.45;0.451;0.45;0.451;2;0
КСБ ао;60;20170327;100000;0.438;0.438;0.438;0.438;1;0
КСБ ао;60;20170328;140000;0.467;0.468;0.467;0.468;2;0
КСБ ао;60;20170328;170000;0.445;0.445;0.445;0.445;3;0
КСБ ао;60;20170403;170000;0.43;0.43;0.43;0.43;7;0
КСБ ао;60;20170406;100000;0.43;0.43;0.43;0.43;1;0
КСБ ао;60;20170420;150000;0.378;0.378;0.378;0.378;1;0
КСБ ао;60;20170421;100000;0.384;0.384;0.384;0.384;1;0
КСБ ао;60;20170424;110000;0.435;0.435;0.435;0.435;1;0
КСБ ао;60;20170427;170000;0.35;0.35;0.35;0.35;1;0
КСБ ао;60;20170428;170000;0.369;0.369;0.369;0.369;1;0
КСБ ао;60;20170505;120000;0.353;0.353;0.353;0.353;1;0
КСБ ао;60;20170505;180000;0.361;0.361;0.354;0.354;9;0
КСБ ао;60;20170510;180000;0.352;0.352;0.352;0.352;2;0
КСБ ао;60;20170522;110000;0.351;0.351;0.35;0.35;6;0
КСБ ао;60;20170602;100000;0.344;0.344;0.343;0.343;4;0
КСБ ао;60;20170613;110000;0.4;0.4;0.4;0.4;4;0
КСБ ао;60;20170615;130000;0.343;0.343;0.34;0.34;15;0
КСБ ао;60;20170615;150000;0.35;0.35;0.35;0.35;1;0
КСБ ао;60;20170615;180000;0.335;0.335;0.333;0.333;2;0
КСБ ао;60;20170622;160000;0.333;0.333;0.333;0.333;1;0
КСБ ао;60;20170710;160000;0.375;0.375;0.375;0.375;1;0
КСБ ао;60;20170712;120000;0.386;0.386;0.386;0.386;1;0
КСБ ао;60;20170714;170000;0.392;0.392;0.388;0.388;53;0
КСБ ао;60;20170717;120000;0.333;0.333;0.333;0.333;1;0
КСБ ао;60;20170717;160000;0.346;0.346;0.345;0.345;2;0
КСБ ао;60;20170731;130000;0.31;0.31;0.31;0.31;4;0
КСБ ао;60;20170801;130000;0.323;0.323;0.323;0.323;2;0
КСБ ао;60;20170803;160000;0.396;0.401;0.394;0.401;8;0
КСБ ао;60;20170803;170000;0.412;0.414;0.412;0.414;2;0
КСБ ао;60;20170807;100000;0.39;0.39;0.39;0.39;1;0
КСБ ао;60;20170808;170000;0.361;0.361;0.361;0.361;1;0
КСБ ао;60;20170809;150000;0.352;0.352;0.34;0.34;2;0
КСБ ао;60;20170811;180000;0.34;0.34;0.34;0.34;1;0
КСБ ао;60;20170814;150000;0.369;0.37;0.369;0.37;2;0
КСБ ао;60;20170817;170000;0.401;0.401;0.401;0.401;1;0
КСБ ао;60;20170825;100000;0.452;0.452;0.452;0.452;1;0
КСБ ао;60;20170825;110000;0.367;0.397;0.352;0.397;5;0
КСБ ао;60;20170829;150000;0.374;0.374;0.374;0.374;2;0
КСБ ао;60;20170829;160000;0.374;0.374;0.374;0.374;1;0
КСБ ао;60;20170830;120000;0.371;0.371;0.369;0.369;3;0
КСБ ао;60;20170831;180000;0.365;0.365;0.365;0.365;1;0
КСБ ао;60;20170901;170000;0.367;0.367;0.367;0.367;1;0
КСБ ао;60;20170905;180000;0.366;0.366;0.366;0.366;1;0
КСБ ао;60;20170908;100000;0.362;0.362;0.362;0.362;4;0
КСБ ао;60;20170912;180000;0.381;0.381;0.381;0.381;1;0
КСБ ао;60;20170913;110000;0.37;0.37;0.363;0.363;2;0
КСБ ао;60;20170913;140000;0.362;0.362;0.36;0.36;3;0
КСБ ао;60;20170915;130000;0.341;0.392;0.34;0.392;4;0
КСБ ао;60;20170922;180000;0.342;0.342;0.34;0.34;2;0
КСБ ао;60;20170925;180000;0.36;0.36;0.36;0.36;1;0
КСБ ао;60;20170928;130000;0.33;0.33;0.33;0.33;1;0
КСБ ао;60;20170929;170000;0.35;0.35;0.35;0.35;4;0
КСБ ао;60;20171006;150000;0.34;0.34;0.34;0.34;1;0
КСБ ао;60;20171006;180000;0.34;0.34;0.34;0.34;1;0
КСБ ао;60;20171012;170000;0.35;0.35;0.35;0.35;1;0
КСБ ао;60;20171016;140000;0.35;0.35;0.35;0.35;2;0
КСБ ао;60;20171020;100000;0.34;0.34;0.34;0.34;3;0
КСБ ао;60;20171023;170000;0.33;0.33;0.33;0.33;1;0
КСБ ао;60;20171024;180000;0.35;0.35;0.35;0.35;1;0
КСБ ао;60;20171102;170000;0.346;0.346;0.346;0.346;3;0
КСБ ао;60;20171107;180000;0.33;0.33;0.33;0.33;1;0
КСБ ао;60;20171110;130000;0.33;0.33;0.33;0.33;1;0
КСБ ао;60;20171115;120000;0.335;0.34;0.335;0.335;42;0
КСБ ао;60;20171116;100000;0.326;0.33;0.326;0.326;3;0
КСБ ао;60;20171116;170000;0.335;0.355;0.335;0.355;6;0
КСБ ао;60;20171116;180000;0.335;0.335;0.331;0.331;11;0
КСБ ао;60;20171117;130000;0.307;0.33;0.307;0.32;4;0
КСБ ао;60;20171117;140000;0.315;0.315;0.315;0.315;1;0
КСБ ао;60;20171121;130000;0.305;0.31;0.305;0.305;4;0
КСБ ао;60;20171121;140000;0.3;0.3;0.3;0.3;2;0
КСБ ао;60;20171121;150000;0.295;0.295;0.295;0.295;4;0
КСБ ао;60;20171121;170000;0.305;0.305;0.3;0.3;2;0
