<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КСБ ап;60;20170126;180000;0.331;0.331;0.33;0.33;3;0
КСБ ап;60;20170130;150000;0.331;0.331;0.33;0.33;9;0
КСБ ап;60;20170201;110000;0.33;0.33;0.329;0.329;2;0
КСБ ап;60;20170207;100000;0.338;0.338;0.338;0.338;1;0
КСБ ап;60;20170207;160000;0.329;0.329;0.329;0.329;1;0
КСБ ап;60;20170208;130000;0.33;0.33;0.33;0.33;5;0
КСБ ап;60;20170210;160000;0.33;0.33;0.33;0.33;1;0
КСБ ап;60;20170220;100000;0.332;0.332;0.33;0.33;3;0
КСБ ап;60;20170222;110000;0.329;0.329;0.329;0.329;1;0
КСБ ап;60;20170222;120000;0.329;0.329;0.329;0.329;1;0
КСБ ап;60;20170222;180000;0.328;0.328;0.327;0.327;2;0
КСБ ап;60;20170228;100000;0.321;0.321;0.3;0.303;25;0
КСБ ап;60;20170301;110000;0.31;0.322;0.267;0.322;14;0
КСБ ап;60;20170302;110000;0.32;0.321;0.317;0.317;10;0
КСБ ап;60;20170302;180000;0.32;0.322;0.32;0.322;13;0
КСБ ап;60;20170303;110000;0.322;0.322;0.322;0.322;10;0
КСБ ап;60;20170303;120000;0.322;0.322;0.322;0.322;10;0
КСБ ап;60;20170303;130000;0.322;0.322;0.322;0.322;50;0
КСБ ап;60;20170303;170000;0.323;0.379;0.323;0.379;107;0
КСБ ап;60;20170303;180000;0.333;0.35;0.333;0.345;10;0
КСБ ап;60;20170306;160000;0.322;0.322;0.322;0.322;1;0
КСБ ап;60;20170309;150000;0.303;0.303;0.302;0.302;2;0
КСБ ап;60;20170310;150000;0.301;0.301;0.301;0.301;1;0
КСБ ап;60;20170313;120000;0.314;0.314;0.314;0.314;1;0
КСБ ап;60;20170316;110000;0.315;0.315;0.315;0.315;1;0
КСБ ап;60;20170316;170000;0.306;0.306;0.306;0.306;1;0
КСБ ап;60;20170322;110000;0.329;0.33;0.329;0.33;2;0
КСБ ап;60;20170322;120000;0.339;0.34;0.339;0.34;2;0
КСБ ап;60;20170324;150000;0.34;0.341;0.34;0.341;2;0
КСБ ап;60;20170324;160000;0.345;0.349;0.345;0.349;14;0
КСБ ап;60;20170327;100000;0.322;0.322;0.322;0.322;2;0
КСБ ап;60;20170327;110000;0.34;0.34;0.34;0.34;2;0
КСБ ап;60;20170327;120000;0.342;0.342;0.342;0.342;1;0
КСБ ап;60;20170328;140000;0.359;0.359;0.34;0.34;6;0
КСБ ап;60;20170328;180000;0.326;0.326;0.326;0.326;1;0
КСБ ап;60;20170331;110000;0.323;0.323;0.31;0.31;17;0
КСБ ап;60;20170331;120000;0.318;0.318;0.31;0.31;5;0
КСБ ап;60;20170331;130000;0.329;0.329;0.28;0.28;46;0
КСБ ап;60;20170331;140000;0.29;0.29;0.276;0.28;65;0
КСБ ап;60;20170331;150000;0.28;0.28;0.28;0.28;28;0
КСБ ап;60;20170331;170000;0.28;0.28;0.28;0.28;5;0
КСБ ап;60;20170331;180000;0.28;0.29;0.28;0.29;9;0
КСБ ап;60;20170403;130000;0.298;0.298;0.298;0.298;1;0
КСБ ап;60;20170403;170000;0.297;0.298;0.297;0.298;2;0
КСБ ап;60;20170403;180000;0.299;0.31;0.299;0.31;58;0
КСБ ап;60;20170420;130000;0.274;0.274;0.262;0.262;41;0
КСБ ап;60;20170420;140000;0.27;0.271;0.26;0.271;32;0
КСБ ап;60;20170420;170000;0.268;0.278;0.268;0.278;4;0
КСБ ап;60;20170420;180000;0.266;0.269;0.26;0.269;11;0
КСБ ап;60;20170421;100000;0.279;0.279;0.26;0.26;3;0
КСБ ап;60;20170421;110000;0.27;0.27;0.27;0.27;1;0
КСБ ап;60;20170421;130000;0.263;0.263;0.262;0.262;25;0
КСБ ап;60;20170421;170000;0.273;0.279;0.273;0.279;10;0
КСБ ап;60;20170424;160000;0.263;0.263;0.263;0.263;2;0
КСБ ап;60;20170424;170000;0.262;0.269;0.262;0.269;12;0
КСБ ап;60;20170425;150000;0.259;0.259;0.257;0.257;4;0
КСБ ап;60;20170426;120000;0.256;0.256;0.243;0.252;40;0
КСБ ап;60;20170426;130000;0.25;0.252;0.25;0.252;4;0
КСБ ап;60;20170426;140000;0.248;0.252;0.232;0.252;21;0
КСБ ап;60;20170426;160000;0.252;0.252;0.252;0.252;2;0
КСБ ап;60;20170427;130000;0.246;0.252;0.246;0.252;5;0
КСБ ап;60;20170427;160000;0.246;0.246;0.246;0.246;1;0
КСБ ап;60;20170427;180000;0.246;0.246;0.246;0.246;1;0
КСБ ап;60;20170428;180000;0.252;0.26;0.252;0.26;2;0
КСБ ап;60;20170503;160000;0.244;0.248;0.23;0.248;11;0
КСБ ап;60;20170504;120000;0.25;0.25;0.242;0.242;2;0
КСБ ап;60;20170504;130000;0.24;0.25;0.24;0.25;2;0
КСБ ап;60;20170504;150000;0.238;0.238;0.236;0.236;2;0
КСБ ап;60;20170504;180000;0.244;0.253;0.244;0.246;69;0
