<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КалужскСК;60;20170124;100000;26;26;26;26;1;0
КалужскСК;60;20170125;100000;25.9;25.9;25.9;25.9;1;0
КалужскСК;60;20170125;110000;25.9;25.9;25.5;25.5;5;0
КалужскСК;60;20170125;120000;25.8;26.1;25.8;26.1;4;0
КалужскСК;60;20170125;150000;25.9;25.9;25.9;25.9;2;0
КалужскСК;60;20170126;140000;25.9;25.9;25.6;25.6;5;0
КалужскСК;60;20170126;180000;26;26.2;26;26.2;3;0
КалужскСК;60;20170127;100000;25.9;25.9;25.9;25.9;2;0
КалужскСК;60;20170127;150000;25.8;25.8;25.8;25.8;2;0
КалужскСК;60;20170127;160000;25.7;25.7;25.7;25.7;1;0
КалужскСК;60;20170127;180000;25.9;25.9;25.9;25.9;1;0
КалужскСК;60;20170130;100000;26;26;26;26;1;0
КалужскСК;60;20170130;180000;26;26.2;26;26.2;3;0
КалужскСК;60;20170131;100000;26.3;26.4;26.3;26.4;2;0
КалужскСК;60;20170131;120000;26.1;26.1;26;26;2;0
КалужскСК;60;20170131;180000;25.9;25.9;25.7;25.7;3;0
КалужскСК;60;20170201;100000;25.7;25.7;25.7;25.7;1;0
КалужскСК;60;20170202;110000;25;25;17.1;24.1;628;0
КалужскСК;60;20170202;120000;24.1;24.1;23;23;23;0
КалужскСК;60;20170202;130000;23.9;24;23.9;24;8;0
КалужскСК;60;20170202;150000;24.3;24.3;23.2;24;19;0
КалужскСК;60;20170202;170000;23.9;24;23.9;24;8;0
КалужскСК;60;20170202;180000;24.2;24.5;24.2;24.5;15;0
КалужскСК;60;20170203;100000;22.5;24;20;23.8;55;0
КалужскСК;60;20170203;110000;23.7;23.7;23;23;15;0
КалужскСК;60;20170203;130000;23.4;23.4;23;23;4;0
КалужскСК;60;20170203;140000;23.4;24;23.4;24;120;0
КалужскСК;60;20170203;160000;23.8;23.8;23.8;23.8;2;0
КалужскСК;60;20170203;170000;23.7;23.7;23.4;23.4;4;0
КалужскСК;60;20170203;180000;23.7;23.7;23.7;23.7;1;0
КалужскСК;60;20170206;100000;23.3;23.3;23;23;4;0
КалужскСК;60;20170206;120000;23.2;24;23.2;24;11;0
КалужскСК;60;20170208;120000;23.6;23.6;23.1;23.1;5;0
КалужскСК;60;20170208;150000;23.3;23.3;23.1;23.1;3;0
КалужскСК;60;20170208;160000;23.2;23.4;23.2;23.4;2;0
КалужскСК;60;20170209;130000;23.1;23.1;23;23;10;0
КалужскСК;60;20170209;140000;23;23;23;23;1;0
КалужскСК;60;20170209;160000;23.3;23.5;23.3;23.5;3;0
КалужскСК;60;20170209;170000;23.6;23.6;23.6;23.6;1;0
КалужскСК;60;20170213;170000;22.3;22.6;22.1;22.6;11;0
КалужскСК;60;20170214;140000;23.3;23.3;23.3;23.3;1;0
КалужскСК;60;20170214;160000;23.2;23.2;23.2;23.2;1;0
КалужскСК;60;20170216;110000;23.5;23.6;23.5;23.6;2;0
КалужскСК;60;20170216;130000;23.5;23.5;23.5;23.5;29;0
КалужскСК;60;20170217;120000;23.2;23.2;23.2;23.2;1;0
КалужскСК;60;20170222;170000;23.4;23.4;23.4;23.4;1;0
КалужскСК;60;20170222;180000;23.1;23.1;23;23;2;0
КалужскСК;60;20170224;110000;23.3;23.4;23.3;23.4;2;0
КалужскСК;60;20170224;120000;23.1;23.1;23.1;23.1;1;0
КалужскСК;60;20170227;120000;23;23;22.5;22.5;3;0
КалужскСК;60;20170227;160000;22.5;22.5;22.1;22.1;2;0
КалужскСК;60;20170228;150000;23.2;23.2;23.2;23.2;1;0
КалужскСК;60;20170301;170000;22;23;20;23;25;0
КалужскСК;60;20170302;100000;21.6;21.6;20.1;20.1;3;0
КалужскСК;60;20170302;110000;22.5;22.7;22.5;22.7;4;0
КалужскСК;60;20170302;120000;22.6;22.6;22.1;22.4;9;0
КалужскСК;60;20170302;130000;22.5;22.7;22.5;22.7;3;0
КалужскСК;60;20170302;140000;22.4;22.4;22.4;22.4;1;0
КалужскСК;60;20170302;170000;22.7;22.9;22.7;22.9;4;0
