<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КамчатЭ ао;60;20170124;130000;0.1625;0.164;0.16;0.16;4;0
КамчатЭ ао;60;20170124;140000;0.1595;0.1595;0.1595;0.1595;1;0
КамчатЭ ао;60;20170124;180000;0.164;0.1645;0.164;0.1645;2;0
КамчатЭ ао;60;20170125;120000;0.17;0.17;0.17;0.17;15;0
КамчатЭ ао;60;20170125;140000;0.164;0.164;0.164;0.164;1;0
КамчатЭ ао;60;20170125;160000;0.1635;0.1635;0.1635;0.1635;2;0
КамчатЭ ао;60;20170126;120000;0.166;0.174;0.166;0.174;19;0
КамчатЭ ао;60;20170127;100000;0.1635;0.1755;0.1635;0.1755;2;0
КамчатЭ ао;60;20170127;140000;0.167;0.167;0.1595;0.1595;12;0
КамчатЭ ао;60;20170127;160000;0.16;0.16;0.16;0.16;1;0
КамчатЭ ао;60;20170127;170000;0.16;0.16;0.16;0.16;1;0
КамчатЭ ао;60;20170130;100000;0.16;0.16;0.16;0.16;5;0
КамчатЭ ао;60;20170130;110000;0.16;0.16;0.16;0.16;1;0
КамчатЭ ао;60;20170130;160000;0.16;0.16;0.16;0.16;1;0
КамчатЭ ао;60;20170131;110000;0.163;0.163;0.163;0.163;1;0
КамчатЭ ао;60;20170131;120000;0.159;0.1625;0.158;0.1625;14;0
КамчатЭ ао;60;20170131;170000;0.1575;0.1575;0.1465;0.1465;40;0
КамчатЭ ао;60;20170201;130000;0.152;0.152;0.15;0.15;9;0
КамчатЭ ао;60;20170201;170000;0.1505;0.1505;0.15;0.15;11;0
КамчатЭ ао;60;20170202;110000;0.158;0.1615;0.158;0.1615;5;0
КамчатЭ ао;60;20170203;170000;0.1615;0.1615;0.1615;0.1615;2;0
КамчатЭ ао;60;20170203;180000;0.164;0.164;0.164;0.164;1;0
КамчатЭ ао;60;20170206;100000;0.165;0.165;0.165;0.165;1;0
