<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Квадра-п;60;20170124;110000;0.00493;0.005;0.00487;0.00495;120;0
Квадра-п;60;20170124;120000;0.00495;0.00495;0.00495;0.00495;1;0
Квадра-п;60;20170124;130000;0.00493;0.00493;0.00493;0.00493;1;0
Квадра-п;60;20170124;140000;0.00494;0.00494;0.00494;0.00494;1;0
Квадра-п;60;20170124;150000;0.00494;0.00494;0.00489;0.00494;12;0
Квадра-п;60;20170124;160000;0.00494;0.00499;0.00494;0.00494;151;0
Квадра-п;60;20170124;170000;0.00494;0.00495;0.00494;0.00495;3;0
Квадра-п;60;20170124;180000;0.00495;0.00495;0.0049;0.00494;143;0
Квадра-п;60;20170125;090000;0.0051;0.0051;0.0051;0.0051;1;0
Квадра-п;60;20170125;100000;0.00501;0.00594;0.0049;0.00491;1618;0
Квадра-п;60;20170125;110000;0.00496;0.0051;0.00496;0.0051;229;0
Квадра-п;60;20170125;120000;0.0051;0.0051;0.00505;0.00508;233;0
Квадра-п;60;20170125;130000;0.00507;0.00519;0.00507;0.00519;110;0
Квадра-п;60;20170125;140000;0.00513;0.00518;0.00511;0.00512;25;0
Квадра-п;60;20170125;150000;0.00512;0.00512;0.0051;0.0051;7;0
Квадра-п;60;20170125;160000;0.00508;0.0051;0.00507;0.00509;122;0
Квадра-п;60;20170125;170000;0.00509;0.0051;0.00506;0.00506;106;0
Квадра-п;60;20170125;180000;0.00505;0.00505;0.00503;0.00503;12;0
Квадра-п;60;20170126;100000;0.00509;0.00509;0.00488;0.00498;794;0
Квадра-п;60;20170126;110000;0.00499;0.00499;0.00487;0.00489;2253;0
Квадра-п;60;20170126;120000;0.00489;0.00492;0.00489;0.00492;640;0
Квадра-п;60;20170126;130000;0.00488;0.00488;0.00485;0.00485;100;0
Квадра-п;60;20170126;140000;0.00489;0.00491;0.00489;0.00489;8;0
Квадра-п;60;20170126;150000;0.0049;0.0049;0.00487;0.00487;102;0
Квадра-п;60;20170126;160000;0.00487;0.00487;0.00481;0.00481;220;0
Квадра-п;60;20170126;170000;0.00487;0.00487;0.00487;0.00487;1;0
Квадра-п;60;20170126;180000;0.00486;0.00486;0.00481;0.00481;118;0
Квадра-п;60;20170127;100000;0.0049;0.0049;0.0048;0.00486;69;0
Квадра-п;60;20170127;110000;0.00486;0.00486;0.00475;0.00486;233;0
Квадра-п;60;20170127;120000;0.00485;0.00487;0.00483;0.00486;1522;0
Квадра-п;60;20170127;130000;0.00484;0.00484;0.00484;0.00484;24;0
Квадра-п;60;20170127;140000;0.00485;0.00498;0.00484;0.0049;103;0
Квадра-п;60;20170127;150000;0.00489;0.00493;0.00489;0.00491;7;0
Квадра-п;60;20170127;160000;0.00492;0.00493;0.0049;0.0049;11;0
Квадра-п;60;20170127;170000;0.00493;0.00495;0.00488;0.0049;127;0
Квадра-п;60;20170127;180000;0.00491;0.00491;0.00487;0.0049;22;0
Квадра-п;60;20170130;100000;0.00496;0.005;0.00485;0.00493;28;0
Квадра-п;60;20170130;110000;0.00494;0.00495;0.00488;0.00488;475;0
Квадра-п;60;20170130;120000;0.00488;0.00488;0.00488;0.00488;100;0
Квадра-п;60;20170130;130000;0.00487;0.00487;0.00486;0.00486;10;0
Квадра-п;60;20170130;140000;0.00486;0.00486;0.0048;0.0048;131;0
Квадра-п;60;20170130;150000;0.0048;0.00482;0.0048;0.00482;93;0
Квадра-п;60;20170130;160000;0.0048;0.00488;0.00477;0.00486;26;0
Квадра-п;60;20170130;170000;0.00488;0.00488;0.00486;0.00487;3;0
Квадра-п;60;20170130;180000;0.00485;0.00485;0.00483;0.00483;3;0
Квадра-п;60;20170131;100000;0.00479;0.00482;0.00479;0.0048;42;0
Квадра-п;60;20170131;110000;0.0048;0.00482;0.00472;0.00477;116;0
Квадра-п;60;20170131;120000;0.00477;0.00477;0.0046;0.00476;271;0
Квадра-п;60;20170131;130000;0.00464;0.00469;0.00459;0.00459;302;0
Квадра-п;60;20170131;140000;0.00466;0.00475;0.00465;0.00475;30;0
Квадра-п;60;20170131;150000;0.00476;0.00477;0.00476;0.00477;3;0
Квадра-п;60;20170131;160000;0.00471;0.00471;0.00459;0.00459;222;0
Квадра-п;60;20170131;170000;0.00463;0.00469;0.00463;0.00469;46;0
Квадра-п;60;20170131;180000;0.00462;0.00468;0.00458;0.00468;38;0
Квадра-п;60;20170201;100000;0.00469;0.0047;0.00462;0.0047;109;0
Квадра-п;60;20170201;110000;0.0047;0.00473;0.00462;0.0047;28;0
Квадра-п;60;20170201;180000;0.00465;0.00465;0.00462;0.00462;17;0
Квадра-п;60;20170202;090000;0.00471;0.00471;0.00471;0.00471;1;0
Квадра-п;60;20170202;100000;0.00467;0.00482;0.00462;0.00477;54;0
Квадра-п;60;20170202;110000;0.00474;0.00474;0.0047;0.00472;43;0
Квадра-п;60;20170202;120000;0.00468;0.00469;0.00468;0.00469;6;0
Квадра-п;60;20170202;140000;0.00469;0.00477;0.00469;0.00476;10;0
Квадра-п;60;20170202;150000;0.00476;0.00477;0.0047;0.00477;23;0
Квадра-п;60;20170202;160000;0.00473;0.00477;0.00473;0.00477;8;0
Квадра-п;60;20170202;170000;0.00476;0.00476;0.00476;0.00476;1;0
Квадра-п;60;20170202;180000;0.00472;0.00475;0.00472;0.00472;80;0
Квадра-п;60;20170203;100000;0.00485;0.00485;0.00475;0.00475;31;0
Квадра-п;60;20170203;110000;0.00471;0.00475;0.00471;0.00475;99;0
Квадра-п;60;20170203;120000;0.00478;0.00478;0.00478;0.00478;1;0
Квадра-п;60;20170203;140000;0.00473;0.00473;0.0047;0.00473;87;0
Квадра-п;60;20170203;160000;0.00471;0.00471;0.00471;0.00471;10;0
Квадра-п;60;20170203;180000;0.00473;0.00473;0.0047;0.00473;57;0
