<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Квадра;60;20170124;100000;0.003915;0.00396;0.003905;0.003945;713;0
Квадра;60;20170124;110000;0.00393;0.003955;0.00393;0.003955;16;0
Квадра;60;20170124;120000;0.00396;0.00396;0.00393;0.003945;137;0
Квадра;60;20170124;130000;0.003945;0.00396;0.003945;0.00396;29;0
Квадра;60;20170124;140000;0.00394;0.00394;0.00394;0.00394;6;0
Квадра;60;20170124;150000;0.00394;0.00394;0.003925;0.00393;29;0
Квадра;60;20170124;160000;0.003925;0.00396;0.003925;0.00395;333;0
Квадра;60;20170124;170000;0.003945;0.003945;0.00392;0.00392;126;0
Квадра;60;20170124;180000;0.003955;0.003955;0.003935;0.003955;248;0
Квадра;60;20170125;100000;0.00398;0.0042;0.003965;0.004075;2328;0
Квадра;60;20170125;110000;0.00405;0.004075;0.00404;0.00404;203;0
Квадра;60;20170125;120000;0.00404;0.004055;0.004025;0.00404;207;0
Квадра;60;20170125;130000;0.004045;0.00405;0.00403;0.004045;43;0
Квадра;60;20170125;140000;0.004045;0.004045;0.004025;0.004025;497;0
Квадра;60;20170125;150000;0.004025;0.004025;0.004015;0.004015;171;0
Квадра;60;20170125;160000;0.004015;0.00403;0.004015;0.004025;89;0
Квадра;60;20170125;180000;0.004015;0.004015;0.004005;0.004005;32;0
Квадра;60;20170126;100000;0.00403;0.004085;0.00399;0.00399;222;0
Квадра;60;20170126;110000;0.00399;0.004015;0.003985;0.004;1617;0
Квадра;60;20170126;120000;0.003995;0.003995;0.00399;0.00399;200;0
Квадра;60;20170126;130000;0.00399;0.003995;0.003985;0.003995;31;0
Квадра;60;20170126;140000;0.004;0.004;0.004;0.004;96;0
Квадра;60;20170126;150000;0.004;0.00401;0.003985;0.00401;151;0
Квадра;60;20170126;160000;0.004005;0.004015;0.003985;0.003995;84;0
Квадра;60;20170126;170000;0.003995;0.004;0.00398;0.00398;53;0
Квадра;60;20170126;180000;0.003975;0.003975;0.00396;0.00396;101;0
Квадра;60;20170127;100000;0.003945;0.00395;0.00392;0.00394;198;0
Квадра;60;20170127;110000;0.003945;0.003965;0.00394;0.003955;336;0
Квадра;60;20170127;120000;0.003955;0.003965;0.00395;0.003955;353;0
Квадра;60;20170127;130000;0.003955;0.00397;0.003955;0.003955;581;0
Квадра;60;20170127;140000;0.00396;0.003965;0.00396;0.003965;250;0
