<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КоршГОК ао;60;20170126;150000;54100;54100;54100;54100;1;0
КоршГОК ао;60;20170126;160000;58400;58400;58400;58400;1;0
КоршГОК ао;60;20170201;140000;55100;55800;55100;55800;2;0
КоршГОК ао;60;20170201;160000;55300;56800;55200;56800;4;0
КоршГОК ао;60;20170210;150000;57000;60000;57000;57000;12;0
КоршГОК ао;60;20170213;110000;57500;58200;57500;58200;2;0
КоршГОК ао;60;20170214;100000;58200;59000;58200;59000;2;0
КоршГОК ао;60;20170215;150000;59000;59400;58900;59400;6;0
КоршГОК ао;60;20170216;120000;60000;60000;60000;60000;1;0
КоршГОК ао;60;20170216;130000;59800;59800;55000;59000;7;0
КоршГОК ао;60;20170216;140000;59900;60000;59900;60000;2;0
КоршГОК ао;60;20170220;120000;60500;61500;60500;61500;2;0
КоршГОК ао;60;20170221;090000;60800;60800;60800;60800;1;0
КоршГОК ао;60;20170221;100000;60900;61300;60800;61300;7;0
КоршГОК ао;60;20170227;110000;60800;62000;60800;62000;8;0
КоршГОК ао;60;20170227;120000;62300;62500;62300;62500;2;0
КоршГОК ао;60;20170227;130000;59600;61000;59600;60000;5;0
КоршГОК ао;60;20170227;180000;60000;60000;60000;60000;2;0
КоршГОК ао;60;20170228;100000;60900;61000;60900;61000;5;0
КоршГОК ао;60;20170228;120000;61200;61200;61200;61200;2;0
КоршГОК ао;60;20170301;130000;61700;62000;61700;62000;27;0
КоршГОК ао;60;20170302;160000;60100;60100;60000;60000;5;0
КоршГОК ао;60;20170303;140000;62000;62000;60000;60000;12;0
КоршГОК ао;60;20170303;160000;60000;60000;60000;60000;16;0
КоршГОК ао;60;20170306;120000;62500;62500;62500;62500;11;0
КоршГОК ао;60;20170307;140000;60500;60500;60300;60300;6;0
КоршГОК ао;60;20170307;150000;60300;60300;60300;60300;1;0
КоршГОК ао;60;20170309;130000;60100;60100;60000;60000;11;0
КоршГОК ао;60;20170309;160000;59600;59600;59500;59500;11;0
КоршГОК ао;60;20170309;180000;57000;60500;57000;60500;24;0
КоршГОК ао;60;20170310;150000;60800;80300;60800;72200;53;0
КоршГОК ао;60;20170310;170000;67800;67800;67800;67800;1;0
КоршГОК ао;60;20170310;180000;67700;74200;66000;74200;13;0
КоршГОК ао;60;20170313;100000;74000;74000;74000;74000;5;0
КоршГОК ао;60;20170313;130000;74600;74600;65300;68200;6;0
КоршГОК ао;60;20170313;140000;72900;79700;70600;71000;50;0
КоршГОК ао;60;20170313;150000;71000;84500;71000;78000;13;0
КоршГОК ао;60;20170313;160000;84000;84000;84000;84000;1;0
КоршГОК ао;60;20170314;140000;76000;76000;76000;76000;2;0
КоршГОК ао;60;20170315;150000;80000;80000;80000;80000;1;0
КоршГОК ао;60;20170316;130000;80000;89400;80000;89400;27;0
КоршГОК ао;60;20170316;140000;81000;81000;81000;81000;1;0
КоршГОК ао;60;20170316;160000;81100;85000;81100;85000;2;0
КоршГОК ао;60;20170316;180000;84000;84000;84000;84000;1;0
КоршГОК ао;60;20170317;160000;87000;87000;87000;87000;1;0
КоршГОК ао;60;20170320;130000;91800;91800;91800;91800;1;0
КоршГОК ао;60;20170320;160000;91400;91400;91400;91400;1;0
КоршГОК ао;60;20170320;170000;82500;88000;82500;88000;3;0
КоршГОК ао;60;20170321;170000;89000;90500;89000;90500;8;0
КоршГОК ао;60;20170322;130000;91500;91500;91500;91500;1;0
КоршГОК ао;60;20170323;130000;90000;90000;90000;90000;1;0
КоршГОК ао;60;20170324;120000;86000;87500;86000;87500;2;0
КоршГОК ао;60;20170327;150000;87000;87000;87000;87000;1;0
КоршГОК ао;60;20170330;130000;80000;88000;80000;88000;6;0
КоршГОК ао;60;20170331;130000;88000;89500;88000;89500;2;0
КоршГОК ао;60;20170403;100000;56100;87900;56100;87900;4;0
КоршГОК ао;60;20170404;140000;75000;85900;75000;85900;9;0
КоршГОК ао;60;20170404;170000;75000;75000;75000;75000;1;0
КоршГОК ао;60;20170404;180000;80000;84900;80000;84900;2;0
КоршГОК ао;60;20170405;130000;83000;97500;83000;97500;29;0
КоршГОК ао;60;20170405;160000;95000;96300;95000;96300;2;0
КоршГОК ао;60;20170406;140000;92000;94900;92000;94900;2;0
КоршГОК ао;60;20170407;140000;93900;95000;93900;95000;8;0
КоршГОК ао;60;20170410;150000;94700;94700;94700;94700;1;0
КоршГОК ао;60;20170411;120000;94800;94800;94800;94800;1;0
КоршГОК ао;60;20170412;100000;94400;94400;94400;94400;1;0
КоршГОК ао;60;20170412;140000;81100;91900;81100;91900;2;0
КоршГОК ао;60;20170412;150000;82000;90700;82000;90700;2;0
КоршГОК ао;60;20170412;170000;82500;82500;82500;82500;1;0
КоршГОК ао;60;20170413;100000;89900;89900;89900;89900;1;0
КоршГОК ао;60;20170413;150000;89000;89000;89000;89000;2;0
КоршГОК ао;60;20170413;160000;89000;89500;89000;89500;5;0
КоршГОК ао;60;20170414;160000;89500;89500;89500;89500;1;0
КоршГОК ао;60;20170417;130000;89500;100000;89500;100000;21;0
КоршГОК ао;60;20170417;150000;94000;99000;94000;99000;2;0
КоршГОК ао;60;20170418;100000;94000;99000;93000;93500;8;0
КоршГОК ао;60;20170418;110000;97900;97900;97900;97900;1;0
КоршГОК ао;60;20170418;120000;93500;98600;93500;98600;3;0
КоршГОК ао;60;20170419;170000;87100;96700;87100;96700;3;0
КоршГОК ао;60;20170419;180000;91000;96200;91000;96200;3;0
КоршГОК ао;60;20170420;120000;97900;97900;85100;85100;2;0
КоршГОК ао;60;20170420;130000;97600;97600;97600;97600;1;0
