<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КоттедПарк;60;20170201;130000;1025;1025;1025;1025;9750;0
КоттедПарк;60;20170203;110000;1025;1025;1025;1025;4875;0
КоттедПарк;60;20170217;100000;1025;1025;1025;1025;9755;0
КоттедПарк;60;20170217;140000;1025;1025;1025;1025;180;0
КоттедПарк;60;20170228;120000;1025;1025;1025;1025;15000;0
КоттедПарк;60;20170306;130000;1025;1025;1025;1025;244;0
КоттедПарк;60;20170306;150000;1025;1025;1025;1025;6150;0
КоттедПарк;60;20170310;150000;1025;1025;1025;1025;560;0
КоттедПарк;60;20170323;170000;1025;1025;1025;1025;9743;0
КоттедПарк;60;20170324;130000;1025;1025;1025;1025;9342;0
КоттедПарк;60;20170324;140000;1025;1025;1025;1025;3000;0
КоттедПарк;60;20170327;140000;1025;1025;1025;1025;376;0
КоттедПарк;60;20170330;130000;1025;1025;1025;1025;9700;0
КоттедПарк;60;20170407;100000;1025;1025;1025;1025;1946;0
КоттедПарк;60;20170407;120000;1025;1025;1025;1025;2400;0
КоттедПарк;60;20170407;150000;1025;1025;1025;1025;4900;0
КоттедПарк;60;20170410;160000;1025;1025;1025;1025;342;0
КоттедПарк;60;20170414;130000;1025;1025;1025;1025;9750;0
КоттедПарк;60;20170421;150000;1025;1025;1025;1025;9750;0
КоттедПарк;60;20170424;130000;1025;1025;1025;1025;4800;0
КоттедПарк;60;20170427;180000;1030;1030;1030;1030;33;0
КоттедПарк;60;20170428;150000;1025;1025;1025;1025;20000;0
КоттедПарк;60;20170511;140000;1025;1025;1025;1025;78;0
КоттедПарк;60;20170516;120000;1025;1025;1025;1025;9760;0
КоттедПарк;60;20170518;100000;1030;1030;1025;1025;1670;0
КоттедПарк;60;20170518;110000;1030;1030;1025;1025;2555;0
КоттедПарк;60;20170518;120000;1025;1035;1025;1025;2400;0
КоттедПарк;60;20170518;130000;1030;1030;1020;1030;5200;0
КоттедПарк;60;20170518;140000;1025;1035;1025;1035;1889;0
КоттедПарк;60;20170519;140000;1025;1030;1025;1025;1333;0
КоттедПарк;60;20170523;140000;1025;1025;1025;1025;205;0
КоттедПарк;60;20170524;150000;1025;1025;1025;1025;420;0
КоттедПарк;60;20170529;120000;1030;1030;1030;1030;1600;0
КоттедПарк;60;20170530;160000;1030;1030;1030;1030;562;0
КоттедПарк;60;20170613;150000;1025;1025;1025;1025;1000;0
КоттедПарк;60;20170622;150000;1030;1030;1030;1030;282;0
КоттедПарк;60;20170623;140000;1025;1025;1025;1025;293;0
КоттедПарк;60;20170628;150000;1030;1030;1030;1030;7500;0
КоттедПарк;60;20170628;160000;1025;1030;1025;1025;29500;0
КоттедПарк;60;20170630;130000;1025;1025;1025;1025;200;0
КоттедПарк;60;20170703;130000;1030;1030;1030;1030;10000;0
КоттедПарк;60;20170705;120000;1025;1025;1025;1025;2300;0
КоттедПарк;60;20170706;130000;1025;1025;1025;1025;200;0
КоттедПарк;60;20170711;170000;1025;1025;1025;1025;147;0
КоттедПарк;60;20170718;130000;1025;1025;1025;1025;14000;0
