<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КрасОкт-1п;60;20170124;110000;125.5;125.5;125.5;125.5;1;0
КрасОкт-1п;60;20170124;180000;126;126;124;124;2;0
КрасОкт-1п;60;20170125;130000;125.5;125.5;125.5;125.5;1;0
КрасОкт-1п;60;20170126;160000;127;127;125;125;2;0
КрасОкт-1п;60;20170127;100000;127.5;127.5;127.5;127.5;1;0
КрасОкт-1п;60;20170127;180000;127.5;133;127.5;130;116;0
КрасОкт-1п;60;20170130;110000;133;133;133;133;2;0
КрасОкт-1п;60;20170130;140000;131;131;131;131;1;0
КрасОкт-1п;60;20170130;170000;131;131;130;130;6;0
КрасОкт-1п;60;20170130;180000;129.5;129.5;129.5;129.5;10;0
КрасОкт-1п;60;20170131;100000;130;130;130;130;5;0
КрасОкт-1п;60;20170131;130000;129;129;129;129;1;0
КрасОкт-1п;60;20170131;140000;130;130;130;130;2;0
КрасОкт-1п;60;20170131;150000;129;129;128.5;128.5;2;0
КрасОкт-1п;60;20170131;180000;130;130;130;130;1;0
КрасОкт-1п;60;20170201;130000;130.5;130.5;130.5;130.5;1;0
КрасОкт-1п;60;20170202;110000;128.5;128.5;120.5;126;38;0
КрасОкт-1п;60;20170202;120000;125.5;125.5;121.5;125;18;0
КрасОкт-1п;60;20170202;140000;125;125;125;125;1;0
КрасОкт-1п;60;20170202;150000;125;125;125;125;1;0
КрасОкт-1п;60;20170202;160000;125;125;125;125;1;0
КрасОкт-1п;60;20170202;170000;124.5;125;124.5;125;2;0
КрасОкт-1п;60;20170202;180000;126;126;126;126;1;0
КрасОкт-1п;60;20170203;100000;126.5;176;126.5;170;1435;0
КрасОкт-1п;60;20170203;110000;168.5;169;163;167.5;33;0
КрасОкт-1п;60;20170203;120000;168;176;167;176;305;0
КрасОкт-1п;60;20170203;130000;176;176;176;176;248;0
КрасОкт-1п;60;20170203;140000;176;176;176;176;159;0
КрасОкт-1п;60;20170203;150000;176;176;176;176;188;0
КрасОкт-1п;60;20170203;160000;176;176;176;176;43;0
КрасОкт-1п;60;20170203;180000;176;176;176;176;1;0
КрасОкт-1п;60;20170206;090000;193.5;193.5;193.5;193.5;20;0
КрасОкт-1п;60;20170206;100000;196;239;162.5;178;1560;0
КрасОкт-1п;60;20170206;110000;185;203.5;180;182.5;276;0
КрасОкт-1п;60;20170206;120000;193.5;200;189.5;196.5;103;0
КрасОкт-1п;60;20170206;130000;193.5;225;183.5;224;746;0
КрасОкт-1п;60;20170206;140000;218.5;244;216;235;1213;0
КрасОкт-1п;60;20170206;150000;235;245;215;218;468;0
КрасОкт-1п;60;20170206;160000;217;229.5;212;220;166;0
КрасОкт-1п;60;20170206;170000;223;223;217;221;9;0
КрасОкт-1п;60;20170206;180000;218;225;211;222.5;116;0
КрасОкт-1п;60;20170207;090000;203;203;203;203;7;0
КрасОкт-1п;60;20170207;100000;218.5;239;214.5;221;249;0
КрасОкт-1п;60;20170207;110000;218;218;210;216;24;0
КрасОкт-1п;60;20170207;120000;211;221;203.5;203.5;57;0
КрасОкт-1п;60;20170207;130000;210.5;214;203.5;208;32;0
КрасОкт-1п;60;20170207;140000;208.5;208.5;204.5;204.5;32;0
КрасОкт-1п;60;20170207;150000;203.5;218;201;218;48;0
КрасОкт-1п;60;20170207;160000;217;232;214.5;230;146;0
КрасОкт-1п;60;20170207;170000;222;222;221.5;221.5;12;0
КрасОкт-1п;60;20170207;180000;224;224;220;223.5;29;0
КрасОкт-1п;60;20170208;100000;218;218;205;216;37;0
КрасОкт-1п;60;20170208;110000;216.5;220;214.5;215;14;0
КрасОкт-1п;60;20170208;120000;215;215;210.5;215;14;0
КрасОкт-1п;60;20170208;130000;216.5;216.5;216.5;216.5;2;0
КрасОкт-1п;60;20170208;140000;215;215;185;204;92;0
КрасОкт-1п;60;20170208;150000;207.5;211;201.5;207;126;0
КрасОкт-1п;60;20170208;160000;203.5;203.5;201.5;201.5;11;0
КрасОкт-1п;60;20170208;170000;203;209;203;208;17;0
КрасОкт-1п;60;20170208;180000;208;280;208;266;1001;0
КрасОкт-1п;60;20170209;090000;265;265;265;265;1;0
КрасОкт-1п;60;20170209;100000;266;306.5;260.5;287;999;0
КрасОкт-1п;60;20170209;110000;287;314;276.5;313.5;516;0
КрасОкт-1п;60;20170209;120000;312;324;293;318;307;0
КрасОкт-1п;60;20170209;130000;319.5;358;312.5;355.5;912;0
КрасОкт-1п;60;20170209;140000;355.5;358;341;344;43;0
КрасОкт-1п;60;20170209;150000;349;370;349;370;1071;0
КрасОкт-1п;60;20170209;160000;370;370;370;370;47;0
КрасОкт-1п;60;20170209;170000;370;370;370;370;1;0
КрасОкт-1п;60;20170209;180000;370;370;370;370;2;0
КрасОкт-1п;60;20170210;090000;407;407;407;407;64;0
КрасОкт-1п;60;20170210;100000;427;494;350.5;450;1431;0
КрасОкт-1п;60;20170210;110000;450;510;403;430;828;0
КрасОкт-1п;60;20170210;120000;425;433;385.5;388;220;0
КрасОкт-1п;60;20170210;130000;386;420;358;369.5;441;0
КрасОкт-1п;60;20170210;140000;369.5;438;366.5;429.5;502;0
КрасОкт-1п;60;20170210;150000;426.5;461;403;460;276;0
КрасОкт-1п;60;20170210;160000;445;453;386.5;397;664;0
КрасОкт-1п;60;20170210;170000;397;415;397;400;192;0
КрасОкт-1п;60;20170210;180000;401;401;390;399.5;85;0
КрасОкт-1п;60;20170213;100000;389;429;360;361;261;0
КрасОкт-1п;60;20170213;110000;370;447.5;370;443.5;376;0
КрасОкт-1п;60;20170213;120000;444;514;422.5;496;1036;0
КрасОкт-1п;60;20170213;130000;494.5;540;469;490;676;0
КрасОкт-1п;60;20170213;140000;481;481;419.5;469.5;341;0
КрасОкт-1п;60;20170213;150000;455.5;547;455;538;819;0
КрасОкт-1п;60;20170213;160000;530;558.5;530;558.5;628;0
КрасОкт-1п;60;20170213;170000;558.5;558.5;505.5;544;791;0
КрасОкт-1п;60;20170213;180000;539;558.5;538.5;550;460;0
КрасОкт-1п;60;20170214;090000;510.5;510.5;510.5;510.5;1;0
КрасОкт-1п;60;20170214;100000;549.5;630;515;576.5;1109;0
КрасОкт-1п;60;20170214;110000;567.5;700;567.5;689.5;1014;0
КрасОкт-1п;60;20170214;120000;685;686.5;640;675;301;0
КрасОкт-1п;60;20170214;130000;685;749;685;722;836;0
КрасОкт-1п;60;20170214;140000;725;734;639.5;698.5;407;0
КрасОкт-1п;60;20170214;150000;696;719;690;691;139;0
КрасОкт-1п;60;20170214;160000;691;697;650.5;697;186;0
КрасОкт-1п;60;20170214;170000;697;713;669;682;100;0
КрасОкт-1п;60;20170214;180000;670;670;561;606.5;393;0
КрасОкт-1п;60;20170215;090000;614;614;614;614;1;0
КрасОкт-1п;60;20170215;100000;631.5;700;604;637.5;501;0
КрасОкт-1п;60;20170215;110000;621.5;634.5;610;625;160;0
КрасОкт-1п;60;20170215;120000;615;624.5;519.5;568;428;0
КрасОкт-1п;60;20170215;130000;560;560;481;499;403;0
КрасОкт-1п;60;20170215;140000;499;546;490;520;320;0
КрасОкт-1п;60;20170215;150000;525;525.5;507;523;33;0
КрасОкт-1п;60;20170215;160000;521;521;500.5;514;86;0
КрасОкт-1п;60;20170215;170000;514;517;500;511.5;37;0
КрасОкт-1п;60;20170215;180000;500.5;527;490;515.5;321;0
КрасОкт-1п;60;20170216;100000;490;500.5;430;478.5;542;0
КрасОкт-1п;60;20170216;110000;478.5;544;478.5;517;404;0
КрасОкт-1п;60;20170216;120000;515;611;515;550;414;0
КрасОкт-1п;60;20170216;130000;551.5;574.5;530;545;248;0
КрасОкт-1п;60;20170216;140000;564;564;525;525;48;0
КрасОкт-1п;60;20170216;150000;526;526;500;510;92;0
КрасОкт-1п;60;20170216;160000;503.5;552;466.5;488;149;0
КрасОкт-1п;60;20170216;170000;497;510;496;500;25;0
КрасОкт-1п;60;20170216;180000;500;508;480;508;79;0
КрасОкт-1п;60;20170217;100000;510;530;440;460;324;0
КрасОкт-1п;60;20170217;110000;460;476.5;451;476.5;46;0
КрасОкт-1п;60;20170217;120000;471;471;451.5;451.5;92;0
КрасОкт-1п;60;20170217;130000;451.5;484;451;459.5;31;0
КрасОкт-1п;60;20170217;140000;457;460;444;458;90;0
КрасОкт-1п;60;20170217;150000;447;469.5;446;469.5;19;0
КрасОкт-1п;60;20170217;160000;456.5;467;446.5;460;38;0
КрасОкт-1п;60;20170217;170000;463;470.5;445.5;455;88;0
КрасОкт-1п;60;20170217;180000;452;452;443.5;443.5;15;0
КрасОкт-1п;60;20170220;100000;448;452;441;445.5;18;0
КрасОкт-1п;60;20170220;110000;442;450;406;436.5;79;0
КрасОкт-1п;60;20170220;120000;430;490.5;420;456;150;0
КрасОкт-1п;60;20170220;130000;457.5;457.5;430.5;439.5;55;0
КрасОкт-1п;60;20170220;140000;448.5;450;411.5;411.5;71;0
КрасОкт-1п;60;20170220;150000;422.5;448.5;419;430;54;0
КрасОкт-1п;60;20170220;160000;420.5;420.5;389.5;389.5;205;0
КрасОкт-1п;60;20170220;170000;390;424;373.5;413;909;0
КрасОкт-1п;60;20170220;180000;405;408;400.5;401.5;46;0
КрасОкт-1п;60;20170221;090000;401.5;401.5;401.5;401.5;1;0
КрасОкт-1п;60;20170221;100000;402;423;356;388.5;163;0
КрасОкт-1п;60;20170221;110000;380;396;361.5;368;120;0
КрасОкт-1п;60;20170221;120000;369;369;350;362;101;0
КрасОкт-1п;60;20170221;130000;367.5;371.5;355;356;59;0
КрасОкт-1п;60;20170221;140000;355.5;364;350;364;108;0
КрасОкт-1п;60;20170221;150000;363;366.5;345.5;348;29;0
КрасОкт-1п;60;20170221;160000;354.5;355.5;342;349;100;0
КрасОкт-1п;60;20170221;170000;352.5;365;352.5;355.5;29;0
КрасОкт-1п;60;20170221;180000;360;366;360;360;44;0
КрасОкт-1п;60;20170222;100000;360;365;343;365;58;0
КрасОкт-1п;60;20170222;110000;365;366;354;359;28;0
КрасОкт-1п;60;20170222;120000;355;355;341;350;68;0
КрасОкт-1п;60;20170222;130000;345;350;342.5;342.5;16;0
КрасОкт-1п;60;20170222;140000;342.5;344.5;342;342.5;11;0
КрасОкт-1п;60;20170222;150000;342.5;343;331;343;86;0
КрасОкт-1п;60;20170222;160000;342.5;345;335.5;342;59;0
КрасОкт-1п;60;20170222;170000;342;357;342;357;33;0
КрасОкт-1п;60;20170222;180000;347.5;357;347;355;9;0
КрасОкт-1п;60;20170224;100000;355;355;353;353;2;0
КрасОкт-1п;60;20170224;110000;352;352;342;342;4;0
КрасОкт-1п;60;20170224;120000;343;343;339;339;6;0
КрасОкт-1п;60;20170224;130000;339;348;337;342;39;0
КрасОкт-1п;60;20170224;140000;345;346.5;345;346.5;3;0
КрасОкт-1п;60;20170224;150000;337.5;340;335;340;19;0
КрасОкт-1п;60;20170224;160000;339.5;339.5;322;325;6;0
КрасОкт-1п;60;20170224;170000;327.5;346;327.5;346;17;0
КрасОкт-1п;60;20170224;180000;346;346;346;346;4;0
КрасОкт-1п;60;20170227;100000;346.5;352;325;335;82;0
КрасОкт-1п;60;20170227;110000;335;335;316;320;190;0
