<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Красэсб ао;60;20170124;100000;3.99;3.99;3.99;3.99;1;0
Красэсб ао;60;20170124;120000;4;4;4;4;8;0
Красэсб ао;60;20170125;100000;4;4;4;4;20;0
Красэсб ао;60;20170125;110000;4.07;4.07;4.07;4.07;1;0
Красэсб ао;60;20170125;120000;4.02;4.04;3.99;4.04;29;0
Красэсб ао;60;20170125;130000;4.02;4.02;4;4;4;0
Красэсб ао;60;20170125;150000;4.03;4.04;4.03;4.04;2;0
Красэсб ао;60;20170125;160000;4;4;4;4;3;0
Красэсб ао;60;20170125;180000;4;4;4;4;1;0
Красэсб ао;60;20170126;100000;4;4;4;4;5;0
Красэсб ао;60;20170126;110000;4;4;4;4;10;0
Красэсб ао;60;20170126;120000;4;4;4;4;10;0
Красэсб ао;60;20170126;170000;4;4;3.99;3.99;9;0
Красэсб ао;60;20170126;180000;3.99;3.99;3.99;3.99;2;0
Красэсб ао;60;20170130;100000;3.99;3.99;3.96;3.96;18;0
Красэсб ао;60;20170130;110000;4.01;4.01;4.01;4.01;5;0
Красэсб ао;60;20170130;120000;4.03;4.05;4;4;8;0
Красэсб ао;60;20170130;140000;4.04;4.05;4.04;4.05;2;0
Красэсб ао;60;20170130;180000;4.02;4.06;4.02;4.06;2;0
Красэсб ао;60;20170131;160000;4;4.07;4;4.07;5;0
Красэсб ао;60;20170131;170000;4.07;4.07;4.07;4.07;1;0
Красэсб ао;60;20170131;180000;4.04;4.04;4.02;4.02;7;0
Красэсб ао;60;20170201;100000;4.07;4.08;4.07;4.08;4;0
Красэсб ао;60;20170201;130000;4.08;4.08;4.08;4.08;1;0
Красэсб ао;60;20170201;150000;4.07;4.07;4.07;4.07;10;0
Красэсб ао;60;20170201;170000;4.13;4.13;4.13;4.13;1;0
Красэсб ао;60;20170202;140000;4.03;4.03;4.03;4.03;2;0
Красэсб ао;60;20170202;150000;4.03;4.03;4.03;4.03;1;0
Красэсб ао;60;20170203;140000;4.07;4.07;4.07;4.07;1;0
Красэсб ао;60;20170206;100000;4.02;4.02;4;4.01;42;0
Красэсб ао;60;20170206;120000;4;4;4;4;1;0
Красэсб ао;60;20170206;130000;4.01;4.01;4;4;10;0
Красэсб ао;60;20170207;110000;4.08;4.1;4;4;91;0
Красэсб ао;60;20170207;130000;4.02;4.02;4.01;4.01;30;0
Красэсб ао;60;20170207;160000;4.08;4.1;4.08;4.1;12;0
Красэсб ао;60;20170207;180000;4.07;4.07;4.07;4.07;1;0
Красэсб ао;60;20170208;100000;4.04;4.04;4.03;4.03;3;0
Красэсб ао;60;20170209;120000;4.03;4.03;4;4;15;0
Красэсб ао;60;20170210;120000;3.95;3.95;3.95;3.95;7;0
Красэсб ао;60;20170210;180000;4.04;4.05;4.04;4.05;5;0
Красэсб ао;60;20170213;180000;4.04;4.05;4.04;4.05;2;0
Красэсб ао;60;20170214;110000;4.08;4.1;4.08;4.1;15;0
Красэсб ао;60;20170214;120000;4.05;4.05;4.05;4.05;10;0
Красэсб ао;60;20170214;140000;4.06;4.06;4.05;4.05;11;0
Красэсб ао;60;20170214;170000;4.05;4.05;4.05;4.05;2;0
Красэсб ао;60;20170215;110000;4.01;4.01;3.9;3.9;20;0
Красэсб ао;60;20170215;120000;4.03;4.03;3.95;3.95;12;0
Красэсб ао;60;20170215;160000;4.02;4.02;4.02;4.02;1;0
Красэсб ао;60;20170215;170000;4.01;4.01;4.01;4.01;5;0
Красэсб ао;60;20170215;180000;4.02;4.02;4.02;4.02;1;0
Красэсб ао;60;20170216;100000;4.06;4.08;4.06;4.08;4;0
Красэсб ао;60;20170216;180000;4;4;4;4;4;0
Красэсб ао;60;20170217;170000;4.06;4.06;4.06;4.06;1;0
Красэсб ао;60;20170220;100000;3.98;3.98;3.98;3.98;15;0
Красэсб ао;60;20170220;140000;3.98;3.98;3.98;3.98;1;0
Красэсб ао;60;20170222;130000;3.98;3.98;3.98;3.98;5;0
Красэсб ао;60;20170222;140000;4;4;4;4;4;0
Красэсб ао;60;20170222;150000;4.01;4.01;4.01;4.01;1;0
Красэсб ао;60;20170222;160000;4.04;4.1;4;4;19;0
Красэсб ао;60;20170222;170000;4;4;4;4;1;0
Красэсб ао;60;20170224;110000;4.1;4.1;4.1;4.1;1;0
Красэсб ао;60;20170224;150000;4.03;4.03;4.03;4.03;1;0
Красэсб ао;60;20170224;160000;3.98;3.98;3.98;3.98;2;0
Красэсб ао;60;20170227;130000;3.99;4;3.99;4;5;0
Красэсб ао;60;20170227;160000;3.95;3.95;3.94;3.95;12;0
Красэсб ао;60;20170227;170000;3.94;3.94;3.9;3.9;14;0
Красэсб ао;60;20170227;180000;3.92;3.92;3.88;3.88;3;0
Красэсб ао;60;20170228;100000;3.82;3.82;3.77;3.77;12;0
Красэсб ао;60;20170228;110000;3.77;3.89;3.77;3.89;8;0
Красэсб ао;60;20170228;150000;3.97;3.97;3.97;3.97;1;0
Красэсб ао;60;20170228;170000;3.89;3.9;3.89;3.9;21;0
Красэсб ао;60;20170301;100000;3.9;3.9;3.9;3.9;1;0
Красэсб ао;60;20170301;140000;3.9;3.9;3.9;3.9;5;0
Красэсб ао;60;20170302;100000;3.9;3.9;3.9;3.9;1;0
Красэсб ао;60;20170302;110000;3.9;3.9;3.9;3.9;5;0
Красэсб ао;60;20170303;120000;3.86;3.86;3.79;3.79;17;0
Красэсб ао;60;20170303;170000;3.8;3.8;3.71;3.71;28;0
Красэсб ао;60;20170303;180000;3.97;3.97;3.75;3.75;8;0
Красэсб ао;60;20170306;120000;3.84;3.84;3.84;3.84;1;0
Красэсб ао;60;20170307;100000;3.88;3.88;3.88;3.88;2;0
Красэсб ао;60;20170307;130000;3.82;3.82;3.8;3.8;9;0
Красэсб ао;60;20170309;100000;3.79;3.79;3.79;3.79;1;0
Красэсб ао;60;20170309;120000;3.71;3.71;3.65;3.65;10;0
Красэсб ао;60;20170309;140000;3.72;3.72;3.71;3.71;16;0
Красэсб ао;60;20170309;160000;3.72;3.72;3.72;3.72;2;0
Красэсб ао;60;20170309;180000;3.79;3.79;3.79;3.79;1;0
Красэсб ао;60;20170310;150000;3.8;3.81;3.8;3.81;8;0
Красэсб ао;60;20170310;170000;3.82;3.82;3.74;3.82;3;0
Красэсб ао;60;20170313;100000;4;4;4;4;1;0
Красэсб ао;60;20170313;110000;3.93;3.93;3.93;3.93;1;0
Красэсб ао;60;20170313;130000;3.91;3.91;3.91;3.91;1;0
Красэсб ао;60;20170313;140000;3.85;3.85;3.82;3.82;10;0
Красэсб ао;60;20170317;100000;3.94;3.94;3.94;3.94;1;0
