<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КузбТК ао;60;20170124;110000;81.6;81.6;81.5;81.5;1133;0
КузбТК ао;60;20170124;120000;81.5;81.5;81.5;81.5;804;0
КузбТК ао;60;20170124;130000;81.5;81.9;81.4;81.9;371;0
КузбТК ао;60;20170124;140000;81.8;81.8;80.5;81.8;27;0
КузбТК ао;60;20170124;160000;82.1;82.2;82.1;82.2;7;0
КузбТК ао;60;20170125;100000;81.6;81.6;81.6;81.6;10;0
КузбТК ао;60;20170125;110000;81.2;81.5;81.1;81.4;1969;0
КузбТК ао;60;20170125;160000;81.2;81.2;81.2;81.2;1;0
КузбТК ао;60;20170126;100000;80.6;80.6;80.5;80.5;20;0
КузбТК ао;60;20170126;110000;81.3;81.7;80.5;81;246;0
КузбТК ао;60;20170126;120000;80.5;81.4;80.5;81.4;51;0
КузбТК ао;60;20170126;150000;81.4;81.6;81.4;81.4;163;0
КузбТК ао;60;20170126;160000;81.4;81.4;81.2;81.2;10;0
КузбТК ао;60;20170126;180000;81.3;81.3;81.3;81.3;6;0
КузбТК ао;60;20170127;100000;81.2;81.2;81.1;81.1;19;0
КузбТК ао;60;20170127;110000;81.6;81.6;81.6;81.6;20;0
КузбТК ао;60;20170127;120000;81.6;82;81.6;82;88;0
КузбТК ао;60;20170127;140000;82;82.1;82;82.1;32;0
КузбТК ао;60;20170127;160000;82.3;82.7;82.3;82.3;9;0
КузбТК ао;60;20170127;170000;82.3;82.3;82.1;82.1;25;0
КузбТК ао;60;20170127;180000;82.2;82.9;82.1;82.9;5;0
КузбТК ао;60;20170130;100000;83.5;83.5;83;83;35;0
КузбТК ао;60;20170130;110000;83;83;82.9;82.9;7;0
КузбТК ао;60;20170130;120000;83;84.5;83;84.5;154;0
КузбТК ао;60;20170130;130000;84.6;85.7;84.6;85.7;137;0
КузбТК ао;60;20170130;150000;85.1;86;85.1;86;115;0
КузбТК ао;60;20170130;160000;85.4;85.4;85.4;85.4;2;0
КузбТК ао;60;20170130;170000;85.4;85.4;84.5;85;112;0
КузбТК ао;60;20170130;180000;85.3;86;85.3;86;24;0
КузбТК ао;60;20170131;100000;86.2;89.1;86.2;88.7;574;0
КузбТК ао;60;20170131;110000;87.9;88.5;87.2;87.3;147;0
КузбТК ао;60;20170131;120000;87.3;87.3;87.3;87.3;9;0
КузбТК ао;60;20170131;130000;87.9;88;87.9;88;12;0
КузбТК ао;60;20170131;140000;88;88.5;87.2;88.5;410;0
КузбТК ао;60;20170131;150000;87.5;87.5;87.2;87.2;50;0
КузбТК ао;60;20170131;160000;87.9;87.9;87.9;87.9;5;0
КузбТК ао;60;20170131;170000;88.1;88.3;88.1;88.3;40;0
КузбТК ао;60;20170201;100000;88.7;89.7;88.7;89;178;0
КузбТК ао;60;20170201;110000;89;89;88.8;88.8;66;0
КузбТК ао;60;20170201;120000;89;89.6;88.1;88.6;145;0
КузбТК ао;60;20170201;130000;88.6;89.7;88.6;89.7;215;0
КузбТК ао;60;20170201;140000;89.9;92;89.2;89.2;273;0
КузбТК ао;60;20170201;150000;90.4;92;90.4;91.5;275;0
КузбТК ао;60;20170201;160000;91;91;91;91;28;0
КузбТК ао;60;20170201;170000;91;91;90.3;90.3;7;0
КузбТК ао;60;20170201;180000;90.4;93.4;90.3;93.4;626;0
КузбТК ао;60;20170202;090000;93.5;93.5;93.5;93.5;1;0
КузбТК ао;60;20170202;100000;93.7;105.4;92.9;98.2;1377;0
КузбТК ао;60;20170202;110000;98.2;99.5;96.6;97.5;1189;0
КузбТК ао;60;20170202;120000;97.9;99.7;94.5;96;617;0
КузбТК ао;60;20170202;130000;96.3;99.3;95.2;96.8;83;0
КузбТК ао;60;20170202;140000;96.8;97;96;96;52;0
КузбТК ао;60;20170202;150000;96.9;96.9;95.3;95.3;17;0
КузбТК ао;60;20170202;160000;95.4;97.3;95.3;97.3;200;0
КузбТК ао;60;20170202;170000;96;97.5;95.2;97.1;31;0
КузбТК ао;60;20170202;180000;96.5;97.5;96.5;96.5;62;0
КузбТК ао;60;20170203;100000;97.4;99.9;96.8;97;27;0
КузбТК ао;60;20170203;110000;98.6;99.3;97.5;97.5;144;0
КузбТК ао;60;20170203;120000;98.6;98.6;96.5;96.5;24;0
КузбТК ао;60;20170203;130000;96;96;96;96;6;0
КузбТК ао;60;20170203;150000;96.5;96.5;96;96.5;22;0
КузбТК ао;60;20170203;170000;95.6;95.6;94.9;95.1;174;0
КузбТК ао;60;20170203;180000;95.1;95.2;95.1;95.2;41;0
КузбТК ао;60;20170206;090000;95.3;95.3;95.3;95.3;3;0
КузбТК ао;60;20170206;100000;95.3;95.3;84.5;92.3;1094;0
КузбТК ао;60;20170206;110000;92.4;92.4;89.9;90.1;189;0
КузбТК ао;60;20170206;120000;90.1;98.1;90.1;93.8;1495;0
КузбТК ао;60;20170206;130000;93.9;98;93.9;98;432;0
КузбТК ао;60;20170206;140000;96.6;96.8;96.5;96.8;447;0
КузбТК ао;60;20170206;150000;96.8;96.8;96.5;96.5;75;0
КузбТК ао;60;20170206;160000;96.7;97.9;95.9;95.9;567;0
КузбТК ао;60;20170206;170000;95.9;96.6;95.9;96.5;844;0
КузбТК ао;60;20170206;180000;97.3;97.4;96.5;96.5;8;0
КузбТК ао;60;20170207;100000;97.8;97.8;97.8;97.8;3;0
КузбТК ао;60;20170207;110000;97.6;97.6;96.7;96.7;11;0
КузбТК ао;60;20170207;120000;96.8;97.4;96.6;97.4;149;0
КузбТК ао;60;20170207;130000;96.7;96.8;96.7;96.7;395;0
КузбТК ао;60;20170207;140000;97;97.4;97;97.4;232;0
КузбТК ао;60;20170207;150000;97.4;97.4;97;97;31;0
КузбТК ао;60;20170207;160000;97.4;97.4;97.4;97.4;1020;0
КузбТК ао;60;20170207;170000;97.4;98.1;97.2;97.2;631;0
КузбТК ао;60;20170208;100000;93.9;97;93.9;97;12;0
КузбТК ао;60;20170208;110000;94.5;96.8;94.4;94.6;315;0
КузбТК ао;60;20170208;120000;97;97.8;97;97.8;105;0
КузбТК ао;60;20170208;130000;97.7;97.8;95;95;5;0
КузбТК ао;60;20170208;150000;94.9;98.1;94.9;95.1;562;0
КузбТК ао;60;20170208;160000;96.4;96.5;96.4;96.5;15;0
КузбТК ао;60;20170208;170000;95.7;95.7;95;95;57;0
КузбТК ао;60;20170208;180000;94.9;94.9;94.8;94.8;1320;0
КузбТК ао;60;20170209;110000;94.6;94.6;94.5;94.5;2007;0
КузбТК ао;60;20170209;120000;94.1;94.1;93.8;94;43;0
КузбТК ао;60;20170209;130000;93.8;93.8;93;93;65;0
КузбТК ао;60;20170209;140000;93;93;91.8;92.8;113;0
КузбТК ао;60;20170209;150000;93;93;93;93;10;0
КузбТК ао;60;20170209;170000;92.7;93.1;92.1;92.1;55;0
КузбТК ао;60;20170209;180000;91.8;91.8;91.8;91.8;10;0
КузбТК ао;60;20170210;110000;92.3;92.4;92.3;92.4;21;0
КузбТК ао;60;20170210;120000;92.6;92.7;92.6;92.7;24;0
КузбТК ао;60;20170210;130000;92.8;93.4;92.8;93.4;1069;0
КузбТК ао;60;20170210;150000;94.9;94.9;94;94;11;0
КузбТК ао;60;20170210;160000;95;95;95;95;50;0
КузбТК ао;60;20170210;170000;94.9;94.9;92.4;92.4;291;0
