<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Куйбазот-п;60;20170126;170000;86.8;86.8;86.8;86.8;1;0
Куйбазот-п;60;20170127;150000;85;85;84;84;3;0
Куйбазот-п;60;20170127;160000;86.8;86.8;86.8;86.8;1;0
Куйбазот-п;60;20170130;110000;88.5;88.5;88.5;88.5;1;0
Куйбазот-п;60;20170130;170000;85.4;85.4;84.8;84.8;8;0
Куйбазот-п;60;20170131;180000;85.9;86;85.9;86;3;0
Куйбазот-п;60;20170202;180000;86.1;86.4;86.1;86.4;3;0
Куйбазот-п;60;20170207;100000;87.9;87.9;87.9;87.9;1;0
Куйбазот-п;60;20170207;160000;84.7;84.7;84.7;84.7;1;0
Куйбазот-п;60;20170207;170000;85.8;85.8;85.8;85.8;1;0
Куйбазот-п;60;20170209;110000;85.5;85.5;85.1;85.1;3;0
Куйбазот-п;60;20170209;120000;85;85;85;85;1;0
Куйбазот-п;60;20170210;120000;86.4;86.4;85;85;4;0
Куйбазот-п;60;20170210;140000;85.1;85.1;85;85;7;0
Куйбазот-п;60;20170210;160000;85;85;85;85;2;0
Куйбазот-п;60;20170215;180000;84.9;86;84.9;86;7;0
Куйбазот-п;60;20170216;120000;86.4;86.4;86.4;86.4;4;0
Куйбазот-п;60;20170216;170000;85.3;85.3;85.3;85.3;1;0
Куйбазот-п;60;20170216;180000;85;85;85;85;4;0
Куйбазот-п;60;20170217;180000;85;85;85;85;5;0
Куйбазот-п;60;20170220;100000;84.7;84.7;84.7;84.7;1;0
Куйбазот-п;60;20170220;130000;85;85;85;85;3;0
Куйбазот-п;60;20170221;110000;85;85;85;85;9;0
Куйбазот-п;60;20170221;120000;85;85;85;85;1;0
Куйбазот-п;60;20170221;170000;85;85;85;85;6;0
Куйбазот-п;60;20170224;150000;83.5;84;83.5;84;2;0
Куйбазот-п;60;20170227;100000;85.6;85.6;85.6;85.6;1;0
Куйбазот-п;60;20170301;180000;85;85;85;85;10;0
Куйбазот-п;60;20170302;170000;83.3;83.3;82.9;82.9;10;0
Куйбазот-п;60;20170306;130000;83.3;83.3;82.8;82.8;8;0
