<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Куйбазот;60;20170126;100000;87.4;87.4;87.4;87.4;1;0
Куйбазот;60;20170126;120000;89.5;89.6;89.5;89.6;2;0
Куйбазот;60;20170127;150000;87.3;87.3;87;87;4;0
Куйбазот;60;20170130;090000;89;89;89;89;1;0
Куйбазот;60;20170130;120000;89;89;89;89;7;0
Куйбазот;60;20170130;130000;89;89;89;89;1;0
Куйбазот;60;20170130;150000;89.4;89.4;89.4;89.4;1;0
Куйбазот;60;20170130;160000;89.9;89.9;89.9;89.9;1;0
Куйбазот;60;20170130;170000;89;89;89;89;1;0
Куйбазот;60;20170131;170000;90;90;90;90;1;0
Куйбазот;60;20170131;180000;90;90;90;90;6;0
Куйбазот;60;20170203;160000;89.8;89.8;89.8;89.8;2;0
Куйбазот;60;20170206;100000;89.9;89.9;89.9;89.9;1;0
Куйбазот;60;20170207;130000;90;90;90;90;2;0
Куйбазот;60;20170207;160000;90;90;90;90;1;0
Куйбазот;60;20170208;100000;87.5;87.5;87.4;87.4;3;0
Куйбазот;60;20170209;130000;89;89;89;89;1;0
Куйбазот;60;20170209;140000;89;89;89;89;14;0
Куйбазот;60;20170209;150000;89.1;89.1;89.1;89.1;2;0
Куйбазот;60;20170209;160000;89.5;89.5;89.5;89.5;1;0
Куйбазот;60;20170210;110000;90.4;91;90.4;90.9;11;0
Куйбазот;60;20170210;120000;90.9;90.9;90.9;90.9;1;0
Куйбазот;60;20170213;100000;89.7;89.7;83.6;89.4;83;0
Куйбазот;60;20170213;110000;89.7;90.4;89.7;90.4;5;0
Куйбазот;60;20170213;170000;90;90.9;90;90.9;5;0
Куйбазот;60;20170216;130000;89.5;89.5;89.3;89.3;2;0
Куйбазот;60;20170216;140000;89;89;89;89;1;0
Куйбазот;60;20170220;140000;89.9;89.9;89.9;89.9;2;0
Куйбазот;60;20170220;160000;88.7;88.7;88.7;88.7;1;0
Куйбазот;60;20170221;100000;89.4;90.8;89.4;90.8;7;0
Куйбазот;60;20170221;110000;90.8;90.8;90.8;90.8;3;0
Куйбазот;60;20170222;150000;89.4;89.4;88;88;48;0
Куйбазот;60;20170222;160000;88;88;88;88;2;0
Куйбазот;60;20170224;110000;87.2;87.2;87;87;34;0
Куйбазот;60;20170224;130000;88.7;88.8;88.7;88.8;9;0
Куйбазот;60;20170227;120000;89.4;90.3;89.4;90.3;4;0
Куйбазот;60;20170227;150000;88.8;88.8;88.7;88.7;3;0
Куйбазот;60;20170228;100000;88.7;88.7;88.7;88.7;1;0
Куйбазот;60;20170228;120000;87.7;87.7;87.1;87.1;11;0
Куйбазот;60;20170228;150000;86.5;86.5;85.1;85.1;24;0
Куйбазот;60;20170228;170000;86.9;87.8;86.9;87.8;2;0
Куйбазот;60;20170302;100000;88.7;88.7;88.7;88.7;3;0
Куйбазот;60;20170302;170000;87.1;88.7;87;88.7;6;0
Куйбазот;60;20170306;130000;87.2;87.2;87;87;30;0
Куйбазот;60;20170306;180000;87.3;87.3;87.3;87.3;2;0
Куйбазот;60;20170307;100000;87.1;87.1;87.1;87.1;1;0
Куйбазот;60;20170307;110000;87.1;87.1;87.1;87.1;2;0
Куйбазот;60;20170307;140000;88.8;89.7;88.8;89.7;3;0
Куйбазот;60;20170309;150000;87.7;87.7;87.7;87.7;1;0
Куйбазот;60;20170309;170000;85.4;85.4;85;85;36;0
Куйбазот;60;20170310;130000;87.6;87.6;87.6;87.6;1;0
Куйбазот;60;20170313;100000;86.3;86.3;84.1;86;3;0
Куйбазот;60;20170313;110000;86.2;86.3;86.2;86.3;15;0
Куйбазот;60;20170313;120000;86.3;86.3;86.3;86.3;30;0
Куйбазот;60;20170313;150000;86.9;86.9;86.9;86.9;1;0
Куйбазот;60;20170317;110000;88;88.9;88;88.9;7;0
Куйбазот;60;20170320;110000;88.9;88.9;87.9;87.9;4;0
Куйбазот;60;20170320;170000;88;88;88;88;1;0
Куйбазот;60;20170322;130000;88.9;90;88.3;88.3;12;0
Куйбазот;60;20170324;160000;89.4;89.5;89.4;89.5;4;0
Куйбазот;60;20170327;120000;89.7;89.7;89.7;89.7;1;0
Куйбазот;60;20170405;140000;87.7;87.7;87.3;87.3;2;0
Куйбазот;60;20170407;120000;88.7;88.9;88.7;88.9;3;0
Куйбазот;60;20170407;170000;87.7;87.7;82.5;83.8;104;0
Куйбазот;60;20170407;180000;84.4;85.4;84.4;85.4;3;0
Куйбазот;60;20170410;110000;84.3;84.3;83;83;10;0
