<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КурганГКао;60;20170130;110000;51;51;51;51;1;0
КурганГКао;60;20170222;180000;51;51;51;51;1;0
КурганГКао;60;20170228;100000;56.9;56.9;56.9;56.9;1;0
КурганГКао;60;20170228;120000;71;71;71;71;1;0
КурганГКао;60;20170228;160000;65;65;65;65;1;0
КурганГКао;60;20170301;100000;70;70;70;70;1;0
КурганГКао;60;20170301;180000;70;73.8;70;73.8;4;0
КурганГКао;60;20170302;120000;51.5;51.5;51.5;51.5;1;0
КурганГКао;60;20170322;140000;51.1;51.1;51.1;51.1;1;0
КурганГКао;60;20170327;170000;51;51;51;51;6;0
КурганГКао;60;20170403;180000;56.6;56.6;56.6;56.6;1;0
КурганГКао;60;20170420;150000;56.8;56.8;56.8;56.8;1;0
КурганГКао;60;20170421;160000;51;51;51;51;1;0
КурганГКао;60;20170424;110000;51;51;51;51;1;0
КурганГКао;60;20170425;170000;51;51;51;51;1;0
КурганГКао;60;20170426;120000;56.9;56.9;56.9;56.9;1;0
КурганГКао;60;20170511;100000;51;51;51;51;2;0
КурганГКао;60;20170529;100000;51;51;51;51;60;0
КурганГКао;60;20170712;100000;51;51;51;51;1;0
КурганГКао;60;20170828;170000;51;51;51;51;1;0
КурганГКао;60;20171102;170000;51;51;51;51;7;0
КурганГКао;60;20171229;100000;35;51;35;51;2;0
