<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
КурганГКап;60;20170208;100000;51;51;51;51;1;0
КурганГКап;60;20170220;160000;51.1;51.1;51.1;51.1;1;0
КурганГКап;60;20170221;130000;51.2;51.2;51.2;51.2;1;0
КурганГКап;60;20170221;180000;51.2;51.2;51.2;51.2;1;0
КурганГКап;60;20170222;150000;51.1;51.1;51.1;51.1;2;0
КурганГКап;60;20170222;180000;51;51;51;51;1;0
КурганГКап;60;20170228;120000;51.1;51.1;51.1;51.1;2;0
КурганГКап;60;20170301;100000;51.2;51.2;51.2;51.2;2;0
КурганГКап;60;20170301;180000;51.5;51.5;51.5;51.5;2;0
КурганГКап;60;20170302;160000;51.1;51.1;51.1;51.1;1;0
КурганГКап;60;20170302;180000;51;51;51;51;2;0
КурганГКап;60;20170303;180000;51;51;51;51;1;0
КурганГКап;60;20170306;100000;51;51;51;51;1;0
КурганГКап;60;20170306;170000;51;51;51;51;1;0
КурганГКап;60;20170309;120000;51;51;51;51;1;0
КурганГКап;60;20170315;150000;51.2;51.2;51.2;51.2;2;0
КурганГКап;60;20170323;130000;51.3;51.3;51.3;51.3;2;0
КурганГКап;60;20170324;170000;51.1;51.1;51.1;51.1;1;0
КурганГКап;60;20170327;170000;51.2;51.2;51.2;51.2;2;0
КурганГКап;60;20170328;160000;51.3;51.3;51.3;51.3;4;0
КурганГКап;60;20170405;170000;51.1;51.1;51.1;51.1;5;0
КурганГКап;60;20170407;130000;51.4;51.4;51.4;51.4;1;0
КурганГКап;60;20170411;160000;51.3;51.3;51.3;51.3;1;0
КурганГКап;60;20170414;170000;51.1;51.1;51.1;51.1;1;0
КурганГКап;60;20170414;180000;51.3;51.3;51.3;51.3;5;0
КурганГКап;60;20170419;130000;51.1;51.1;51.1;51.1;2;0
КурганГКап;60;20170419;140000;51.1;51.1;51.1;51.1;1;0
КурганГКап;60;20170426;150000;51.3;51.3;51.3;51.3;1;0
КурганГКап;60;20170503;150000;51.1;51.1;51.1;51.1;3;0
КурганГКап;60;20170505;180000;51.2;51.2;51.2;51.2;2;0
КурганГКап;60;20170510;180000;51.1;51.1;51.1;51.1;1;0
КурганГКап;60;20170512;100000;51.3;51.3;51.3;51.3;1;0
КурганГКап;60;20170515;160000;51.3;51.3;51.3;51.3;5;0
КурганГКап;60;20170519;110000;51.1;51.1;51.1;51.1;3;0
КурганГКап;60;20170525;130000;51.1;51.1;51.1;51.1;1;0
КурганГКап;60;20170529;100000;51;51;51;51;50;0
КурганГКап;60;20170529;150000;51;51;51;51;20;0
КурганГКап;60;20170601;170000;51.3;51.3;51.3;51.3;1;0
КурганГКап;60;20170608;120000;51.3;51.3;51.3;51.3;1;0
КурганГКап;60;20170614;150000;51.3;51.3;51.3;51.3;7;0
КурганГКап;60;20170614;180000;51;51;51;51;6;0
КурганГКап;60;20170627;130000;51.4;51.4;51.4;51.4;3;0
КурганГКап;60;20170815;100000;35;51;35;51;2;0
КурганГКап;60;20170816;100000;40;40;40;40;1;0
КурганГКап;60;20170829;160000;51;51;35;35;51;0
КурганГКап;60;20170908;100000;51;51;51;51;1;0
КурганГКап;60;20170908;120000;51;51;51;51;10;0
КурганГКап;60;20170908;140000;51;51;51;51;1;0
КурганГКап;60;20170911;100000;51;51;51;51;1;0
КурганГКап;60;20171229;100000;46;46;46;46;1;0
