<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЛСР ао;60;20170124;090000;1004;1004;1004;1004;18;0
ЛСР ао;60;20170124;100000;1005;1011.5;1004.5;1005;180;0
ЛСР ао;60;20170124;110000;1005;1006.5;1005;1006;115;0
ЛСР ао;60;20170124;120000;1006;1006.5;1002.5;1003;213;0
ЛСР ао;60;20170124;130000;1003.5;1007;1002;1002;545;0
ЛСР ао;60;20170124;140000;1002;1007;991;1005;1666;0
ЛСР ао;60;20170124;150000;1005;1005;997;1000;2546;0
ЛСР ао;60;20170124;160000;1001;1001;996.5;998;525;0
ЛСР ао;60;20170124;170000;998.5;1000;996;998;725;0
ЛСР ао;60;20170124;180000;998.5;1002;998.5;1000;414;0
ЛСР ао;60;20170125;100000;1000.5;1002;991;995;772;0
ЛСР ао;60;20170125;110000;996;999.5;994.5;996;251;0
ЛСР ао;60;20170125;120000;997;1000;996.5;998;1076;0
ЛСР ао;60;20170125;130000;999.5;1000;999.5;1000;142;0
ЛСР ао;60;20170125;140000;1000;1000;999.5;1000;3349;0
ЛСР ао;60;20170125;150000;1000;1000;999;999.5;1626;0
ЛСР ао;60;20170125;160000;1000;1000;999;999;25;0
ЛСР ао;60;20170125;170000;999;1000.5;999;1000;769;0
ЛСР ао;60;20170125;180000;1000;1000.5;996.5;999.5;169;0
ЛСР ао;60;20170126;100000;1001;1005;998.5;1004.5;428;0
ЛСР ао;60;20170126;110000;1003.5;1005;1003;1004.5;591;0
ЛСР ао;60;20170126;120000;1004;1010;1003.5;1010;1374;0
ЛСР ао;60;20170126;130000;1010;1011.5;1008;1008.5;322;0
ЛСР ао;60;20170126;140000;1009.5;1011;1009.5;1011;3389;0
ЛСР ао;60;20170126;150000;1010.5;1011;1008;1009.5;2180;0
ЛСР ао;60;20170126;160000;1009;1010;1005.5;1007;1317;0
ЛСР ао;60;20170126;170000;1008.5;1011;1008.5;1011;4637;0
ЛСР ао;60;20170126;180000;1011;1012;1008;1008;4879;0
ЛСР ао;60;20170127;090000;1010;1010;1010;1010;100;0
ЛСР ао;60;20170127;100000;1009.5;1009.5;1003;1003.5;581;0
ЛСР ао;60;20170127;110000;1005;1005;998;1005;1364;0
ЛСР ао;60;20170127;120000;1006.5;1010;1006.5;1010;402;0
ЛСР ао;60;20170127;130000;1010;1010;999.5;1005.5;2520;0
ЛСР ао;60;20170127;140000;1005;1006;999.5;999.5;222;0
ЛСР ао;60;20170127;150000;1005;1005.5;1005;1005.5;320;0
ЛСР ао;60;20170127;160000;1005.5;1006;998;1004.5;2926;0
ЛСР ао;60;20170127;170000;1004;1005;1002.5;1002.5;60;0
ЛСР ао;60;20170127;180000;1002.5;1004.5;998;1000;224;0
ЛСР ао;60;20170130;100000;1002;1010;999.5;1007;1254;0
ЛСР ао;60;20170130;110000;1008.5;1009;1005;1009;512;0
ЛСР ао;60;20170130;120000;1009.5;1009.5;1001.5;1002;844;0
ЛСР ао;60;20170130;130000;1002;1002;1002;1002;44;0
ЛСР ао;60;20170130;140000;1003;1005;1001;1002;583;0
ЛСР ао;60;20170130;150000;1001.5;1002;999.5;999.5;415;0
ЛСР ао;60;20170130;160000;1001;1002.5;999.5;1002.5;730;0
ЛСР ао;60;20170130;170000;999.5;1002;999.5;999.5;1215;0
ЛСР ао;60;20170130;180000;999.5;999.5;997;999.5;1084;0
ЛСР ао;60;20170131;100000;1002.5;1006;1001.5;1001.5;186;0
ЛСР ао;60;20170131;110000;1003;1006.5;1002.5;1005.5;104;0
ЛСР ао;60;20170131;120000;1002.5;1006.5;1000;1005;2661;0
ЛСР ао;60;20170131;130000;1005;1005.5;1005;1005;63;0
ЛСР ао;60;20170131;140000;1005;1007;1005;1007;245;0
ЛСР ао;60;20170131;150000;1005.5;1005.5;1005;1005;121;0
ЛСР ао;60;20170131;160000;1005.5;1007;1005;1005.5;1959;0
ЛСР ао;60;20170131;170000;1006;1006;1003.5;1003.5;3428;0
ЛСР ао;60;20170131;180000;1003.5;1004.5;1000.5;1001;514;0
ЛСР ао;60;20170201;100000;1003.5;1009;1001.5;1004;157;0
ЛСР ао;60;20170201;110000;1005;1006;1003.5;1004;85;0
ЛСР ао;60;20170201;120000;1003.5;1004;1002;1002.5;439;0
ЛСР ао;60;20170201;130000;1004;1004;1002;1002.5;189;0
ЛСР ао;60;20170201;140000;1002.5;1002.5;1001;1002;144;0
ЛСР ао;60;20170201;150000;1002.5;1004;1002;1003;63;0
ЛСР ао;60;20170201;160000;1002;1002;999;1000;1549;0
ЛСР ао;60;20170201;170000;1000;1000;995;997;1241;0
ЛСР ао;60;20170201;180000;997;999;995.5;998.5;235;0
ЛСР ао;60;20170202;100000;998.5;1002;995.5;997.5;883;0
ЛСР ао;60;20170202;110000;998.5;1000;990;991.5;6291;0
ЛСР ао;60;20170202;120000;991.5;997;990;995;1464;0
ЛСР ао;60;20170202;130000;995;997;991.5;992;3929;0
ЛСР ао;60;20170202;140000;991.5;992.5;991.5;992;490;0
ЛСР ао;60;20170202;150000;992.5;992.5;983;987.5;2453;0
ЛСР ао;60;20170202;160000;987.5;988.5;985;987;440;0
ЛСР ао;60;20170202;170000;988.5;990;987;988.5;1339;0
ЛСР ао;60;20170202;180000;989.5;993;985;985;1553;0
ЛСР ао;60;20170203;100000;991;994.5;983.5;986;658;0
ЛСР ао;60;20170203;110000;987;989;986.5;989;33;0
ЛСР ао;60;20170203;120000;989.5;990;987;989.5;92;0
ЛСР ао;60;20170203;130000;989.5;990;988.5;990;493;0
ЛСР ао;60;20170203;140000;990;990;988.5;990;41;0
ЛСР ао;60;20170203;150000;990;990;987;987;1591;0
ЛСР ао;60;20170203;160000;987;990;987;990;1760;0
ЛСР ао;60;20170203;170000;990;1010;989.5;1003.5;4460;0
ЛСР ао;60;20170203;180000;1003;1005;1001.5;1001.5;400;0
ЛСР ао;60;20170206;090000;1000;1000;1000;1000;1;0
ЛСР ао;60;20170206;100000;1008.5;1008.5;1001;1008.5;309;0
ЛСР ао;60;20170206;110000;1008.5;1008.5;1001;1001.5;520;0
ЛСР ао;60;20170206;120000;1001;1005.5;999;1000;2134;0
ЛСР ао;60;20170206;130000;1001;1002;997;998.5;873;0
ЛСР ао;60;20170206;140000;998;1000;998;999;24;0
ЛСР ао;60;20170206;150000;1000;1000.5;999;999;64;0
ЛСР ао;60;20170206;160000;1001;1002;1000;1000.5;139;0
ЛСР ао;60;20170206;170000;1000;1005;999.5;1005;823;0
ЛСР ао;60;20170206;180000;1005.5;1007.5;1001;1001;2353;0
ЛСР ао;60;20170207;100000;1000.5;1001.5;996.5;999;382;0
ЛСР ао;60;20170207;110000;998;998.5;995.5;998;186;0
ЛСР ао;60;20170207;120000;996.5;1000;996;1000;21;0
ЛСР ао;60;20170207;130000;1000;1000.5;1000;1000;116;0
ЛСР ао;60;20170207;140000;1000;1003;998;1000;222;0
ЛСР ао;60;20170207;150000;1000;1002.5;995;995;375;0
ЛСР ао;60;20170207;160000;995;998;995;997.5;125;0
ЛСР ао;60;20170207;170000;997.5;997.5;985.5;986;2705;0
ЛСР ао;60;20170207;180000;987;990;986;990;821;0
ЛСР ао;60;20170208;090000;984;984;984;984;10;0
ЛСР ао;60;20170208;100000;989;993.5;989;993.5;154;0
ЛСР ао;60;20170208;110000;993;997;993;996;1054;0
ЛСР ао;60;20170208;120000;995;996;992.5;996;389;0
ЛСР ао;60;20170208;130000;996;996;994.5;996;321;0
ЛСР ао;60;20170208;140000;994;996;993;993;391;0
ЛСР ао;60;20170208;150000;993;994;992;992;389;0
ЛСР ао;60;20170208;160000;992;992;990;990.5;95;0
ЛСР ао;60;20170208;170000;990.5;990.5;958;958;9394;0
ЛСР ао;60;20170208;180000;960;971.5;960;968;3409;0
ЛСР ао;60;20170209;100000;970.5;979;968;968;1005;0
ЛСР ао;60;20170209;110000;971;975.5;969;975;462;0
ЛСР ао;60;20170209;120000;974.5;975;972;974.5;176;0
ЛСР ао;60;20170209;130000;974.5;976;974;974.5;419;0
ЛСР ао;60;20170209;140000;975;975;965.5;969;917;0
ЛСР ао;60;20170209;150000;969;970;968;968.5;271;0
ЛСР ао;60;20170209;160000;969.5;969.5;965;965;1661;0
ЛСР ао;60;20170209;170000;965;965.5;959;965.5;908;0
ЛСР ао;60;20170209;180000;966;970;965.5;966.5;340;0
ЛСР ао;60;20170210;090000;976;976;976;976;50;0
