<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЛУКОЙЛ;60;20170124;090000;3185;3185;3185;3185;383;0
ЛУКОЙЛ;60;20170124;100000;3186;3203;3181;3184;73274;0
ЛУКОЙЛ;60;20170124;110000;3185;3186;3147.5;3157;187868;0
ЛУКОЙЛ;60;20170124;120000;3157;3164;3151.5;3157.5;110346;0
ЛУКОЙЛ;60;20170124;130000;3157.5;3168;3155;3162.5;37901;0
ЛУКОЙЛ;60;20170124;140000;3162.5;3164;3155.5;3161;21746;0
ЛУКОЙЛ;60;20170124;150000;3161;3178;3158.5;3167;77045;0
ЛУКОЙЛ;60;20170124;160000;3169.5;3187;3166.5;3175;88512;0
ЛУКОЙЛ;60;20170124;170000;3175;3185;3172;3180;57272;0
ЛУКОЙЛ;60;20170124;180000;3180;3193.5;3168;3190;221892;0
ЛУКОЙЛ;60;20170125;090000;3194;3194;3194;3194;362;0
ЛУКОЙЛ;60;20170125;100000;3193;3194;3166;3175;75908;0
ЛУКОЙЛ;60;20170125;110000;3175;3180;3154;3162.5;137423;0
ЛУКОЙЛ;60;20170125;120000;3162.5;3184;3156;3184;84596;0
ЛУКОЙЛ;60;20170125;130000;3184;3215;3172.5;3204.5;220353;0
ЛУКОЙЛ;60;20170125;140000;3207;3210;3193.5;3205;35080;0
ЛУКОЙЛ;60;20170125;150000;3206.5;3210;3197.5;3198;63539;0
ЛУКОЙЛ;60;20170125;160000;3198.5;3203.5;3195;3199.5;23622;0
ЛУКОЙЛ;60;20170125;170000;3199;3219;3196;3215;50971;0
ЛУКОЙЛ;60;20170125;180000;3217;3218;3203;3215;60079;0
ЛУКОЙЛ;60;20170126;090000;3218.5;3218.5;3218.5;3218.5;640;0
ЛУКОЙЛ;60;20170126;100000;3219;3250;3218;3234;136746;0
ЛУКОЙЛ;60;20170126;110000;3234.5;3269;3230;3260.5;315893;0
ЛУКОЙЛ;60;20170126;120000;3260;3274;3256;3270.5;123267;0
ЛУКОЙЛ;60;20170126;130000;3270;3299;3270;3294;229383;0
ЛУКОЙЛ;60;20170126;140000;3293.5;3311;3290;3308;88653;0
ЛУКОЙЛ;60;20170126;150000;3308;3346;3305.5;3344;173456;0
ЛУКОЙЛ;60;20170126;160000;3344;3350;3326;3338.5;115176;0
ЛУКОЙЛ;60;20170126;170000;3339;3356.5;3334;3349.5;104217;0
ЛУКОЙЛ;60;20170126;180000;3349.5;3378.5;3347;3376.5;163464;0
ЛУКОЙЛ;60;20170127;090000;3372.5;3372.5;3372.5;3372.5;396;0
ЛУКОЙЛ;60;20170127;100000;3371;3374;3335.5;3351.5;129338;0
ЛУКОЙЛ;60;20170127;110000;3353;3440;3347;3420;374285;0
ЛУКОЙЛ;60;20170127;120000;3421.5;3473;3411.5;3463.5;205459;0
ЛУКОЙЛ;60;20170127;130000;3463.5;3463.5;3422.5;3429.5;120710;0
ЛУКОЙЛ;60;20170127;140000;3426.5;3439.5;3410.5;3433;73114;0
ЛУКОЙЛ;60;20170127;150000;3433;3450;3426.5;3446;72984;0
ЛУКОЙЛ;60;20170127;160000;3446.5;3472;3431.5;3471.5;140308;0
ЛУКОЙЛ;60;20170127;170000;3471.5;3477.5;3456.5;3464.5;121602;0
ЛУКОЙЛ;60;20170127;180000;3465.5;3494;3461.5;3486;170814;0
ЛУКОЙЛ;60;20170130;090000;3470.5;3470.5;3470.5;3470.5;225;0
ЛУКОЙЛ;60;20170130;100000;3472;3479.5;3426;3444;151167;0
