<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЛЭСК ао;60;20170125;100000;3.7;3.7;3.7;3.7;1;0
ЛЭСК ао;60;20170125;150000;3.5;3.5;3.5;3.5;1;0
ЛЭСК ао;60;20170126;180000;3.55;3.55;3.55;3.55;1;0
ЛЭСК ао;60;20170127;150000;3.83;3.83;3.83;3.83;1;0
ЛЭСК ао;60;20170201;120000;3.55;3.55;3.55;3.55;1;0
ЛЭСК ао;60;20170209;170000;3.82;3.82;3.82;3.82;1;0
ЛЭСК ао;60;20170228;160000;3.12;3.12;3.12;3.12;1;0
ЛЭСК ао;60;20170301;170000;3.37;3.37;3.37;3.37;1;0
ЛЭСК ао;60;20170310;100000;3.27;3.27;3.27;3.27;1;0
ЛЭСК ао;60;20170420;160000;3.33;3.33;3.33;3.33;1;0
ЛЭСК ао;60;20170425;150000;3.02;3.02;3.02;3.02;2;0
ЛЭСК ао;60;20170502;170000;2.15;2.15;2.15;2.15;1;0
ЛЭСК ао;60;20170503;170000;3.23;3.3;3.23;3.3;2;0
ЛЭСК ао;60;20170511;180000;2.58;2.58;2.58;2.58;2;0
ЛЭСК ао;60;20170515;130000;2.79;2.79;2.79;2.79;2;0
ЛЭСК ао;60;20170517;120000;3.61;3.61;3.61;3.61;1;0
ЛЭСК ао;60;20170522;160000;3.44;3.44;3.44;3.44;1;0
ЛЭСК ао;60;20170602;120000;3.62;3.62;3.62;3.62;1;0
ЛЭСК ао;60;20170606;120000;3.83;3.83;3.83;3.83;1;0
ЛЭСК ао;60;20170607;140000;3.99;3.99;3.99;3.99;1;0
ЛЭСК ао;60;20170623;140000;3.5;3.5;3.5;3.5;1;0
ЛЭСК ао;60;20170626;100000;3.27;3.27;3.27;3.27;1;0
ЛЭСК ао;60;20170720;130000;3.53;3.53;3.53;3.53;1;0
ЛЭСК ао;60;20170720;180000;3;3;3;3;1;0
ЛЭСК ао;60;20170721;150000;3;3;3;3;16;0
ЛЭСК ао;60;20170724;150000;3.5;4;3.5;4;2;0
ЛЭСК ао;60;20170802;120000;4;4;4;4;10;0
ЛЭСК ао;60;20170803;150000;4.17;4.17;4.17;4.17;1;0
ЛЭСК ао;60;20170804;120000;4.01;4.01;4.01;4.01;1;0
ЛЭСК ао;60;20170807;140000;4.01;4.01;4.01;4.01;1;0
ЛЭСК ао;60;20170807;160000;4.01;4.01;4.01;4.01;1;0
ЛЭСК ао;60;20170808;170000;3.4;3.4;3.4;3.4;1;0
ЛЭСК ао;60;20170810;150000;3.11;3.11;2.83;2.83;6;0
ЛЭСК ао;60;20170817;130000;3;3;3;3;1;0
ЛЭСК ао;60;20170822;150000;2.85;2.85;2.36;2.41;12;0
ЛЭСК ао;60;20170822;160000;2.69;2.69;2.69;2.69;2;0
ЛЭСК ао;60;20170824;130000;2.69;2.69;2.69;2.69;1;0
ЛЭСК ао;60;20170828;120000;2.78;2.78;2.78;2.78;1;0
ЛЭСК ао;60;20170829;140000;2.69;2.69;2.69;2.69;1;0
ЛЭСК ао;60;20170830;100000;2.57;2.57;2.36;2.5;15;0
ЛЭСК ао;60;20170906;110000;2.55;2.55;2.5;2.5;5;0
ЛЭСК ао;60;20170906;130000;2.37;2.37;2.29;2.29;3;0
ЛЭСК ао;60;20170908;120000;2.47;2.47;2.47;2.47;1;0
ЛЭСК ао;60;20170918;120000;2.48;2.49;2.3;2.3;3;0
ЛЭСК ао;60;20170918;140000;2.55;2.61;2.55;2.61;6;0
ЛЭСК ао;60;20170922;180000;2.69;2.69;2.69;2.69;1;0
ЛЭСК ао;60;20170927;110000;2.98;2.98;2.98;2.98;1;0
ЛЭСК ао;60;20170928;130000;2.37;2.39;2.37;2.39;2;0
ЛЭСК ао;60;20171002;130000;2.37;2.37;2.35;2.35;5;0
ЛЭСК ао;60;20171002;180000;2.43;2.43;2.43;2.43;1;0
ЛЭСК ао;60;20171003;130000;2.54;2.55;2.54;2.55;3;0
ЛЭСК ао;60;20171004;130000;2.55;2.55;2.55;2.55;2;0
ЛЭСК ао;60;20171006;120000;2.65;2.65;2.65;2.65;1;0
ЛЭСК ао;60;20171011;100000;2.72;2.76;2.72;2.76;3;0
ЛЭСК ао;60;20171011;110000;2.6;2.6;2.6;2.6;1;0
ЛЭСК ао;60;20171017;120000;2.6;2.6;2.55;2.55;3;0
ЛЭСК ао;60;20171020;160000;2.59;2.59;2.55;2.55;2;0
ЛЭСК ао;60;20171020;170000;2.31;2.31;2.31;2.31;1;0
ЛЭСК ао;60;20171023;180000;2.73;2.73;2.73;2.73;1;0
ЛЭСК ао;60;20171031;130000;2.36;2.5;2.36;2.5;2;0
ЛЭСК ао;60;20171101;120000;2.37;2.37;2.37;2.37;1;0
ЛЭСК ао;60;20171101;130000;2.49;2.5;2.49;2.5;2;0
ЛЭСК ао;60;20171101;160000;2.45;2.45;2.45;2.45;1;0
ЛЭСК ао;60;20171101;180000;2.5;2.5;2.41;2.45;4;0
ЛЭСК ао;60;20171110;110000;2.46;2.46;2.46;2.46;1;0
ЛЭСК ао;60;20171110;150000;2.39;2.4;2.39;2.4;2;0
ЛЭСК ао;60;20171115;160000;2.45;2.45;2.45;2.45;2;0
ЛЭСК ао;60;20171121;110000;2.45;2.45;2.45;2.45;1;0
ЛЭСК ао;60;20171122;100000;2.42;2.42;2.42;2.42;1;0
ЛЭСК ао;60;20171123;140000;2.53;2.53;2.53;2.53;2;0
ЛЭСК ао;60;20171123;180000;2.53;2.53;2.53;2.53;1;0
ЛЭСК ао;60;20171124;180000;2.72;2.72;2.6;2.6;2;0
ЛЭСК ао;60;20171127;100000;2.6;2.6;2.6;2.6;1;0
ЛЭСК ао;60;20171127;110000;2.74;3.35;2.74;3.35;12;0
ЛЭСК ао;60;20171127;120000;3.33;3.35;3.33;3.35;3;0
ЛЭСК ао;60;20171127;130000;3.35;3.62;3.35;3.35;4;0
ЛЭСК ао;60;20171128;100000;3.64;3.64;3.64;3.64;2;0
ЛЭСК ао;60;20171128;120000;3.1;3.1;3.1;3.1;1;0
ЛЭСК ао;60;20171128;140000;3.11;4;3.06;4;5;0
ЛЭСК ао;60;20171128;170000;4;4.42;4;4.42;4;0
ЛЭСК ао;60;20171128;180000;4.43;4.43;4.43;4.43;2;0
ЛЭСК ао;60;20171129;170000;3.42;3.42;3.1;3.1;10;0
ЛЭСК ао;60;20171129;180000;3.56;3.56;3.56;3.56;2;0
ЛЭСК ао;60;20171130;110000;3.09;3.09;3.09;3.09;1;0
ЛЭСК ао;60;20171130;120000;3.78;3.78;3.78;3.78;3;0
ЛЭСК ао;60;20171130;130000;3.2;3.2;3.12;3.12;4;0
ЛЭСК ао;60;20171130;140000;3.15;3.15;3.09;3.09;4;0
ЛЭСК ао;60;20171130;180000;3.1;3.1;3.1;3.1;1;0
ЛЭСК ао;60;20171201;140000;3.06;3.06;3.06;3.06;1;0
ЛЭСК ао;60;20171201;180000;3;3;3;3;1;0
ЛЭСК ао;60;20171204;160000;3.33;3.45;3.15;3.45;5;0
ЛЭСК ао;60;20171205;100000;3.2;3.2;3.2;3.2;1;0
ЛЭСК ао;60;20171205;120000;3.25;3.25;3.2;3.2;3;0
ЛЭСК ао;60;20171205;130000;3.47;4.34;3.35;4.34;12;0
ЛЭСК ао;60;20171205;140000;3.63;4.81;3.08;4.81;56;0
ЛЭСК ао;60;20171205;150000;4.81;4.81;4.5;4.5;3;0
ЛЭСК ао;60;20171205;160000;4.5;4.5;4.5;4.5;1;0
ЛЭСК ао;60;20171205;180000;4.5;4.5;4.5;4.5;2;0
ЛЭСК ао;60;20171206;100000;4.81;6.29;4.81;6.29;12;0
ЛЭСК ао;60;20171206;110000;6.29;6.29;4.77;5.98;7;0
ЛЭСК ао;60;20171206;120000;5.76;5.76;5.76;5.76;1;0
ЛЭСК ао;60;20171206;130000;5.76;5.76;5.76;5.76;1;0
ЛЭСК ао;60;20171206;150000;5.75;5.76;5.75;5.76;3;0
ЛЭСК ао;60;20171207;110000;5.1;5.1;5.1;5.1;1;0
ЛЭСК ао;60;20171207;150000;5;5;4.38;4.38;2;0
ЛЭСК ао;60;20171207;180000;4.5;4.5;4.5;4.5;1;0
ЛЭСК ао;60;20171208;170000;3.75;4.25;3.75;4.25;2;0
ЛЭСК ао;60;20171208;180000;5;5;5;5;1;0
ЛЭСК ао;60;20171211;140000;4.5;4.5;4.5;4.5;1;0
ЛЭСК ао;60;20171211;180000;3.95;3.95;3.86;3.86;2;0
ЛЭСК ао;60;20171212;140000;3.57;3.57;3.57;3.57;1;0
ЛЭСК ао;60;20171213;100000;4;4.98;4;4.98;3;0
ЛЭСК ао;60;20171213;110000;5.15;5.19;4.89;5.05;10;0
