<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Лензол. ап;60;20170124;100000;4700;4710;4700;4700;17;0
Лензол. ап;60;20170124;110000;4700;4710;4700;4710;6;0
Лензол. ап;60;20170124;120000;4700;4720;4700;4710;51;0
Лензол. ап;60;20170124;130000;4710;4720;4700;4700;43;0
Лензол. ап;60;20170124;140000;4700;4740;4700;4740;48;0
Лензол. ап;60;20170124;160000;4720;4720;4700;4700;35;0
Лензол. ап;60;20170124;170000;4700;4700;4690;4690;2;0
Лензол. ап;60;20170124;180000;4690;4700;4690;4700;18;0
Лензол. ап;60;20170125;100000;4730;4750;4730;4730;64;0
Лензол. ап;60;20170125;110000;4720;4720;4700;4700;15;0
Лензол. ап;60;20170125;120000;4690;4690;4650;4660;71;0
Лензол. ап;60;20170125;130000;4660;4680;4660;4680;12;0
Лензол. ап;60;20170125;140000;4680;4680;4680;4680;1;0
Лензол. ап;60;20170125;150000;4690;4730;4680;4730;26;0
Лензол. ап;60;20170125;160000;4700;4710;4700;4710;5;0
Лензол. ап;60;20170125;170000;4700;4710;4700;4700;14;0
Лензол. ап;60;20170125;180000;4710;4720;4690;4720;33;0
Лензол. ап;60;20170126;100000;4700;4710;4690;4690;4;0
Лензол. ап;60;20170126;110000;4680;4720;4650;4720;16;0
Лензол. ап;60;20170126;120000;4700;4750;4700;4750;53;0
Лензол. ап;60;20170126;130000;4710;4760;4680;4760;207;0
Лензол. ап;60;20170126;140000;4740;4770;4730;4740;21;0
Лензол. ап;60;20170126;150000;4740;4770;4530;4630;243;0
Лензол. ап;60;20170126;160000;4640;4730;4640;4680;24;0
Лензол. ап;60;20170126;170000;4690;4730;4640;4730;42;0
Лензол. ап;60;20170126;180000;4700;4740;4700;4740;32;0
Лензол. ап;60;20170127;100000;4720;4720;4720;4720;2;0
Лензол. ап;60;20170127;110000;4720;4720;4630;4630;139;0
Лензол. ап;60;20170127;120000;4640;4680;4510;4660;186;0
Лензол. ап;60;20170127;130000;4650;4660;4600;4650;145;0
Лензол. ап;60;20170127;140000;4640;4650;4640;4650;5;0
Лензол. ап;60;20170127;150000;4650;4670;4650;4670;10;0
Лензол. ап;60;20170127;160000;4640;4670;4640;4670;23;0
Лензол. ап;60;20170127;170000;4650;4670;4590;4600;66;0
Лензол. ап;60;20170127;180000;4600;4670;4600;4670;56;0
Лензол. ап;60;20170130;100000;4660;4660;4600;4630;5;0
Лензол. ап;60;20170130;110000;4650;4680;4650;4680;16;0
Лензол. ап;60;20170130;120000;4680;4680;4660;4660;6;0
Лензол. ап;60;20170130;130000;4660;4660;4650;4650;10;0
Лензол. ап;60;20170130;140000;4640;4640;4640;4640;2;0
Лензол. ап;60;20170130;150000;4640;4660;4630;4660;4;0
Лензол. ап;60;20170130;160000;4660;4670;4660;4670;3;0
Лензол. ап;60;20170130;170000;4660;4690;4660;4690;22;0
Лензол. ап;60;20170130;180000;4670;4720;4670;4700;57;0
Лензол. ап;60;20170131;100000;4690;4690;4690;4690;4;0
Лензол. ап;60;20170131;110000;4690;4710;4690;4710;5;0
Лензол. ап;60;20170131;120000;4700;4730;4680;4720;31;0
Лензол. ап;60;20170131;150000;4720;4720;4720;4720;23;0
Лензол. ап;60;20170131;160000;4710;4720;4710;4720;50;0
Лензол. ап;60;20170131;170000;4720;4730;4720;4730;12;0
Лензол. ап;60;20170131;180000;4720;4730;4690;4730;20;0
Лензол. ап;60;20170201;100000;4720;4740;4640;4740;15;0
Лензол. ап;60;20170201;110000;4730;4730;4730;4730;1;0
Лензол. ап;60;20170201;120000;4710;4730;4660;4730;36;0
Лензол. ап;60;20170201;130000;4690;4740;4670;4740;25;0
Лензол. ап;60;20170201;140000;4740;4750;4700;4750;64;0
Лензол. ап;60;20170201;150000;4710;4720;4700;4700;9;0
Лензол. ап;60;20170201;160000;4690;4690;4680;4680;2;0
Лензол. ап;60;20170201;170000;4710;4720;4690;4720;19;0
Лензол. ап;60;20170201;180000;4700;4700;4700;4700;5;0
Лензол. ап;60;20170202;100000;4700;4730;4700;4730;43;0
Лензол. ап;60;20170202;110000;4720;4730;4720;4730;24;0
Лензол. ап;60;20170202;120000;4710;4740;4640;4740;173;0
Лензол. ап;60;20170202;130000;4680;4750;4680;4750;52;0
Лензол. ап;60;20170202;140000;4700;4900;4700;4810;2104;0
Лензол. ап;60;20170202;150000;4770;4790;4740;4790;53;0
Лензол. ап;60;20170202;160000;4790;4790;4750;4750;14;0
Лензол. ап;60;20170202;170000;4750;4790;4750;4790;35;0
Лензол. ап;60;20170202;180000;4780;4830;4720;4820;357;0
Лензол. ап;60;20170203;100000;4780;4810;4750;4810;57;0
Лензол. ап;60;20170203;110000;4790;4810;4750;4770;23;0
Лензол. ап;60;20170203;120000;4790;4810;4780;4810;13;0
Лензол. ап;60;20170203;130000;4780;4780;4750;4750;28;0
Лензол. ап;60;20170203;140000;4790;4800;4790;4800;2;0
Лензол. ап;60;20170203;150000;4790;4790;4770;4770;19;0
Лензол. ап;60;20170203;160000;4790;4790;4790;4790;5;0
Лензол. ап;60;20170203;170000;4790;4800;4790;4800;3;0
Лензол. ап;60;20170203;180000;4790;4840;4790;4840;75;0
Лензол. ап;60;20170206;090000;4830;4830;4830;4830;1;0
Лензол. ап;60;20170206;100000;4830;4860;4810;4850;200;0
Лензол. ап;60;20170206;110000;4830;4860;4810;4850;72;0
Лензол. ап;60;20170206;120000;4850;4870;4850;4870;20;0
Лензол. ап;60;20170206;130000;4870;4880;4870;4880;11;0
Лензол. ап;60;20170206;140000;4880;4880;4880;4880;1;0
Лензол. ап;60;20170206;150000;4860;4880;4840;4880;37;0
Лензол. ап;60;20170206;160000;4860;4880;4860;4880;14;0
Лензол. ап;60;20170206;170000;4870;4900;4870;4890;1011;0
Лензол. ап;60;20170206;180000;4890;4890;4870;4890;10;0
Лензол. ап;60;20170207;100000;4890;4970;4890;4970;95;0
Лензол. ап;60;20170207;110000;4960;4970;4950;4950;28;0
Лензол. ап;60;20170207;120000;4970;4980;4950;4950;54;0
Лензол. ап;60;20170207;130000;4970;4980;4920;4940;29;0
Лензол. ап;60;20170207;140000;4940;4940;4940;4940;2;0
Лензол. ап;60;20170207;150000;4940;4970;4940;4950;19;0
Лензол. ап;60;20170207;160000;4960;4980;4960;4980;56;0
Лензол. ап;60;20170207;170000;4980;4990;4980;4990;36;0
Лензол. ап;60;20170207;180000;4990;4990;4970;4980;18;0
Лензол. ап;60;20170208;090000;5000;5000;5000;5000;1;0
Лензол. ап;60;20170208;100000;5000;5070;4980;5030;219;0
Лензол. ап;60;20170208;110000;5030;5030;5020;5020;7;0
Лензол. ап;60;20170208;120000;5020;5020;5020;5020;20;0
Лензол. ап;60;20170208;130000;5010;5030;5010;5020;4;0
Лензол. ап;60;20170208;140000;5020;5020;5010;5010;29;0
Лензол. ап;60;20170208;160000;5000;5000;4970;4970;16;0
Лензол. ап;60;20170208;170000;4970;4970;4930;4950;33;0
Лензол. ап;60;20170208;180000;4970;4980;4970;4970;56;0
Лензол. ап;60;20170209;100000;4960;4970;4960;4960;19;0
Лензол. ап;60;20170209;110000;4960;4960;4930;4930;21;0
Лензол. ап;60;20170209;120000;4930;4930;4890;4890;16;0
Лензол. ап;60;20170209;130000;4890;4920;4880;4890;18;0
Лензол. ап;60;20170209;140000;4900;4920;4900;4920;8;0
Лензол. ап;60;20170209;150000;4920;4940;4910;4910;49;0
Лензол. ап;60;20170209;160000;4920;4920;4920;4920;3;0
Лензол. ап;60;20170209;170000;4930;4940;4920;4920;7;0
Лензол. ап;60;20170209;180000;4910;4940;4910;4940;12;0
Лензол. ап;60;20170210;100000;4890;4910;4850;4860;25;0
Лензол. ап;60;20170210;110000;4900;4950;4900;4940;25;0
Лензол. ап;60;20170210;120000;4920;4920;4900;4900;33;0
Лензол. ап;60;20170210;130000;4900;4930;4880;4900;16;0
Лензол. ап;60;20170210;140000;4880;4900;4880;4900;2;0
Лензол. ап;60;20170210;150000;4900;4910;4850;4910;62;0
Лензол. ап;60;20170210;160000;4910;4910;4900;4900;3;0
Лензол. ап;60;20170210;170000;4900;4900;4890;4890;28;0
Лензол. ап;60;20170210;180000;4900;4950;4900;4940;47;0
Лензол. ап;60;20170213;090000;4960;4960;4960;4960;1;0
Лензол. ап;60;20170213;100000;4950;4950;4950;4950;6;0
Лензол. ап;60;20170213;110000;4940;4940;4940;4940;6;0
Лензол. ап;60;20170213;120000;4950;4950;4950;4950;9;0
Лензол. ап;60;20170213;130000;4940;4940;4930;4930;2;0
Лензол. ап;60;20170213;140000;4940;4950;4940;4950;2;0
Лензол. ап;60;20170213;160000;4950;4950;4950;4950;20;0
Лензол. ап;60;20170213;170000;4930;4930;4900;4900;58;0
Лензол. ап;60;20170213;180000;4890;4890;4850;4850;112;0
Лензол. ап;60;20170214;100000;4840;4850;4820;4840;37;0
Лензол. ап;60;20170214;110000;4850;4860;4840;4840;55;0
Лензол. ап;60;20170214;120000;4840;4840;4840;4840;32;0
Лензол. ап;60;20170214;130000;4860;4880;4850;4880;7;0
Лензол. ап;60;20170214;140000;4850;4850;4840;4840;5;0
Лензол. ап;60;20170214;150000;4850;4850;4840;4840;3;0
Лензол. ап;60;20170214;170000;4850;4850;4840;4840;129;0
Лензол. ап;60;20170214;180000;4830;4830;4820;4820;13;0
