<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Лензолото;60;20170124;100000;8820;8820;8800;8800;15;0
Лензолото;60;20170124;110000;8790;8790;8770;8770;2;0
Лензолото;60;20170124;160000;8770;8770;8770;8770;1;0
Лензолото;60;20170124;180000;8780;8780;8780;8780;5;0
Лензолото;60;20170125;100000;8810;8820;8760;8760;8;0
Лензолото;60;20170125;110000;8760;8760;8760;8760;1;0
Лензолото;60;20170125;130000;8780;8780;8760;8760;5;0
Лензолото;60;20170125;140000;8770;8770;8770;8770;1;0
Лензолото;60;20170125;150000;8770;8770;8770;8770;3;0
Лензолото;60;20170125;160000;8870;8880;8870;8880;4;0
Лензолото;60;20170125;170000;8880;9000;8880;8940;44;0
Лензолото;60;20170125;180000;9000;9300;9000;9300;96;0
Лензолото;60;20170126;100000;9200;9200;9140;9140;32;0
Лензолото;60;20170126;110000;9100;9100;8920;8920;41;0
Лензолото;60;20170126;120000;9000;9070;8970;9070;3;0
Лензолото;60;20170126;130000;9080;9130;9080;9130;50;0
Лензолото;60;20170126;140000;9130;9140;9130;9140;22;0
Лензолото;60;20170126;150000;9140;9140;9140;9140;18;0
Лензолото;60;20170126;170000;9140;9140;9140;9140;7;0
Лензолото;60;20170126;180000;9140;9140;9120;9120;24;0
Лензолото;60;20170127;130000;9130;9140;9130;9140;2;0
Лензолото;60;20170127;140000;9100;9100;9100;9100;2;0
Лензолото;60;20170127;160000;9130;9130;9100;9100;2;0
Лензолото;60;20170127;170000;9110;9120;9000;9120;18;0
Лензолото;60;20170127;180000;9010;9130;9010;9130;2;0
Лензолото;60;20170130;110000;9130;9130;9130;9130;1;0
Лензолото;60;20170130;120000;9000;9130;9000;9130;16;0
Лензолото;60;20170130;170000;9130;9130;9130;9130;1;0
Лензолото;60;20170131;100000;9000;9000;9000;9000;1;0
Лензолото;60;20170131;110000;9110;9130;9110;9130;2;0
Лензолото;60;20170131;120000;9130;9140;9130;9140;4;0
Лензолото;60;20170131;130000;9130;9130;9130;9130;2;0
Лензолото;60;20170131;180000;9120;9120;9120;9120;1;0
Лензолото;60;20170201;110000;9030;9030;9010;9020;5;0
Лензолото;60;20170201;120000;9020;9170;9020;9170;31;0
Лензолото;60;20170201;130000;9180;9200;9150;9150;32;0
Лензолото;60;20170201;140000;9200;9250;9200;9250;18;0
Лензолото;60;20170201;150000;9270;9270;9270;9270;1;0
Лензолото;60;20170201;160000;9260;9260;9260;9260;6;0
Лензолото;60;20170201;170000;9260;9280;9250;9280;24;0
Лензолото;60;20170201;180000;9250;9250;9250;9250;1;0
Лензолото;60;20170202;100000;9220;9220;9130;9180;26;0
Лензолото;60;20170202;110000;9120;9290;9000;9290;25;0
Лензолото;60;20170202;120000;9200;9200;9110;9110;17;0
Лензолото;60;20170202;140000;9230;9230;9230;9230;1;0
Лензолото;60;20170202;150000;9130;9180;9010;9180;26;0
Лензолото;60;20170202;180000;9050;9070;9010;9070;6;0
Лензолото;60;20170203;110000;9010;9110;9000;9000;68;0
Лензолото;60;20170203;120000;8960;8960;8960;8960;1;0
Лензолото;60;20170203;150000;9000;9000;9000;9000;8;0
Лензолото;60;20170203;170000;9100;9100;9100;9100;1;0
Лензолото;60;20170203;180000;9090;9180;9090;9180;22;0
Лензолото;60;20170206;100000;9170;9170;9090;9090;11;0
Лензолото;60;20170206;120000;9090;9090;9090;9090;1;0
Лензолото;60;20170206;130000;9080;9080;9040;9040;26;0
Лензолото;60;20170206;170000;9050;9050;9050;9050;5;0
Лензолото;60;20170206;180000;9050;9050;9000;9000;10;0
Лензолото;60;20170207;100000;9000;9020;9000;9020;6;0
Лензолото;60;20170207;110000;9020;9090;9020;9090;11;0
Лензолото;60;20170207;140000;9050;9050;9050;9050;1;0
Лензолото;60;20170207;150000;9100;9130;9050;9060;10;0
Лензолото;60;20170207;160000;9140;9140;9140;9140;2;0
Лензолото;60;20170207;180000;9090;9090;9080;9080;2;0
Лензолото;60;20170208;100000;9400;9400;9090;9090;4;0
Лензолото;60;20170208;110000;9190;9270;9090;9150;66;0
Лензолото;60;20170208;140000;9170;9170;9110;9110;11;0
Лензолото;60;20170208;170000;9160;9160;9160;9160;20;0
Лензолото;60;20170208;180000;9180;9180;9180;9180;1;0
Лензолото;60;20170209;110000;9140;9140;9140;9140;4;0
Лензолото;60;20170209;120000;9130;9130;9110;9110;6;0
Лензолото;60;20170209;130000;9110;9110;9110;9110;1;0
Лензолото;60;20170209;140000;9100;9150;9100;9150;10;0
Лензолото;60;20170209;160000;9140;9140;9140;9140;1;0
Лензолото;60;20170210;100000;9100;9170;9080;9080;13;0
Лензолото;60;20170210;120000;9080;9080;9000;9000;15;0
Лензолото;60;20170210;130000;9030;9030;9030;9030;1;0
Лензолото;60;20170210;150000;9100;9120;9100;9120;5;0
Лензолото;60;20170210;170000;9150;9190;9120;9120;24;0
Лензолото;60;20170210;180000;9110;9210;9080;9200;13;0
Лензолото;60;20170213;100000;9190;9190;9040;9110;12;0
Лензолото;60;20170213;110000;9190;9190;9110;9110;2;0
Лензолото;60;20170213;130000;9130;9130;9130;9130;1;0
Лензолото;60;20170213;150000;9060;9060;9060;9060;1;0
Лензолото;60;20170213;170000;9060;9060;9060;9060;1;0
Лензолото;60;20170213;180000;9050;9050;9010;9010;5;0
Лензолото;60;20170214;100000;9030;9030;9030;9030;1;0
Лензолото;60;20170214;110000;9000;9000;8920;8920;18;0
Лензолото;60;20170214;120000;8950;8950;8900;8900;42;0
Лензолото;60;20170214;150000;8900;8910;8900;8910;3;0
Лензолото;60;20170214;180000;8900;8900;8900;8900;5;0
Лензолото;60;20170215;100000;8920;8930;8920;8930;6;0
Лензолото;60;20170215;110000;8900;8900;8800;8830;15;0
Лензолото;60;20170215;130000;8820;8820;8820;8820;1;0
Лензолото;60;20170215;160000;8890;8890;8890;8890;10;0
Лензолото;60;20170215;180000;8860;8860;8860;8860;1;0
Лензолото;60;20170216;100000;8840;8840;8800;8800;10;0
Лензолото;60;20170216;110000;8880;8880;8880;8880;1;0
Лензолото;60;20170216;130000;8850;8850;8850;8850;1;0
Лензолото;60;20170216;140000;8860;8880;8860;8880;7;0
Лензолото;60;20170216;170000;8880;8900;8880;8900;12;0
Лензолото;60;20170217;110000;8950;8950;8950;8950;8;0
Лензолото;60;20170217;120000;8920;8920;8920;8920;1;0
Лензолото;60;20170217;160000;8920;8920;8920;8920;5;0
Лензолото;60;20170217;170000;8890;8910;8830;8910;8;0
Лензолото;60;20170220;100000;8950;8950;8950;8950;2;0
Лензолото;60;20170220;110000;8930;8930;8930;8930;10;0
Лензолото;60;20170220;150000;8870;8870;8860;8860;3;0
Лензолото;60;20170220;160000;8860;8860;8860;8860;1;0
Лензолото;60;20170221;120000;8880;9000;8880;9000;41;0
Лензолото;60;20170221;130000;9000;9000;9000;9000;2;0
Лензолото;60;20170221;140000;9000;9000;8830;8830;8;0
Лензолото;60;20170222;100000;9000;9030;9000;9030;56;0
Лензолото;60;20170222;110000;9020;9020;9020;9020;5;0
Лензолото;60;20170222;120000;9010;9030;9010;9030;5;0
Лензолото;60;20170222;130000;9020;9020;8870;8870;9;0
Лензолото;60;20170222;150000;8960;8960;8960;8960;1;0
Лензолото;60;20170222;160000;8900;8900;8900;8900;5;0
Лензолото;60;20170222;180000;8970;8990;8970;8990;2;0
Лензолото;60;20170224;100000;9030;9030;9030;9030;2;0
Лензолото;60;20170224;130000;9010;9030;9010;9030;4;0
Лензолото;60;20170224;180000;8980;8980;8980;8980;1;0
Лензолото;60;20170227;120000;8960;8960;8960;8960;3;0
Лензолото;60;20170227;140000;8990;9030;8990;9030;5;0
