<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Лента др;60;20170124;100000;470;471.5;470;471.5;163;0
Лента др;60;20170124;110000;470.5;470.5;466;469.5;1166;0
Лента др;60;20170124;120000;468.5;468.5;466;466;1645;0
Лента др;60;20170124;130000;468.5;469;468;469;44;0
Лента др;60;20170124;140000;467;470.5;466.5;469;631;0
Лента др;60;20170124;150000;469;469.5;467.5;467.5;320;0
Лента др;60;20170124;160000;469;470;467.5;470;850;0
Лента др;60;20170124;170000;469.5;470.5;468.5;470.5;169;0
Лента др;60;20170124;180000;471;474.5;471;474;1373;0
Лента др;60;20170125;100000;474;480.5;474;480.5;2219;0
Лента др;60;20170125;110000;480;482;471.5;471.5;4199;0
Лента др;60;20170125;120000;474.5;476;471;473.5;815;0
Лента др;60;20170125;130000;473.5;476;473.5;473.5;180;0
Лента др;60;20170125;140000;476.5;476.5;471.5;474;287;0
Лента др;60;20170125;150000;472.5;472.5;471.5;472;51;0
Лента др;60;20170125;160000;473;473;473;473;2;0
Лента др;60;20170125;170000;473.5;475;472;472;1673;0
Лента др;60;20170125;180000;472;474.5;472;474.5;12;0
Лента др;60;20170126;090000;475.5;475.5;475.5;475.5;50;0
Лента др;60;20170126;100000;476;485.5;476;483.5;5740;0
Лента др;60;20170126;110000;483.5;484;477.5;477.5;9445;0
Лента др;60;20170126;120000;478.5;481;477;477.5;2690;0
Лента др;60;20170126;130000;479.5;481;477.5;481;2749;0
Лента др;60;20170126;140000;481;483.5;481;483.5;5177;0
Лента др;60;20170126;150000;483.5;493;483;491;6991;0
Лента др;60;20170126;160000;490.5;492;480.5;486;4966;0
Лента др;60;20170126;170000;486.5;486.5;483;483;2614;0
Лента др;60;20170126;180000;483;487;483;486;1375;0
Лента др;60;20170127;090000;490;490;490;490;51;0
Лента др;60;20170127;100000;489.5;489.5;484;484.5;1034;0
Лента др;60;20170127;110000;484.5;490;484.5;486.5;1656;0
Лента др;60;20170127;120000;487.5;487.5;480;482;2773;0
Лента др;60;20170127;130000;480.5;483.5;480;481;3296;0
