<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Ленэнерг-п;60;20170124;100000;45.6;46.3;45.15;46.3;241;0
Ленэнерг-п;60;20170124;110000;46.15;46.15;45.9;46;77;0
Ленэнерг-п;60;20170124;120000;46;46;45.95;46;89;0
Ленэнерг-п;60;20170124;130000;45.9;46;45.7;45.95;175;0
Ленэнерг-п;60;20170124;140000;45.95;46;45.85;45.85;82;0
Ленэнерг-п;60;20170124;150000;46;46;46;46;7;0
Ленэнерг-п;60;20170124;160000;45.95;46;45.85;46;477;0
Ленэнерг-п;60;20170124;170000;46;46;45.85;45.85;179;0
Ленэнерг-п;60;20170124;180000;45.95;46;45.85;45.9;42;0
Ленэнерг-п;60;20170125;100000;46.1;46.3;45.9;46.3;100;0
Ленэнерг-п;60;20170125;110000;46.3;46.35;45.95;46;393;0
Ленэнерг-п;60;20170125;120000;46;46;45.85;45.85;206;0
Ленэнерг-п;60;20170125;130000;46;46;46;46;303;0
Ленэнерг-п;60;20170125;140000;45.9;46;45.9;46;106;0
Ленэнерг-п;60;20170125;150000;45.95;46;45.85;45.85;21;0
Ленэнерг-п;60;20170125;160000;45.85;46;45.8;45.9;80;0
Ленэнерг-п;60;20170125;170000;45.9;45.9;45.8;45.8;139;0
Ленэнерг-п;60;20170125;180000;45.8;46;45.8;45.9;55;0
Ленэнерг-п;60;20170126;090000;46;46;46;46;1;0
Ленэнерг-п;60;20170126;100000;46.25;47;46.05;46.45;469;0
Ленэнерг-п;60;20170126;110000;46.75;46.75;46.45;46.5;585;0
Ленэнерг-п;60;20170126;120000;46.5;46.5;46.35;46.35;96;0
Ленэнерг-п;60;20170126;130000;46.35;46.5;46.25;46.25;238;0
Ленэнерг-п;60;20170126;140000;46.45;46.5;46;46;255;0
Ленэнерг-п;60;20170126;150000;46;46.2;45.95;46.2;853;0
Ленэнерг-п;60;20170126;160000;46;46;45.8;45.85;1141;0
Ленэнерг-п;60;20170126;170000;45.9;45.9;45.8;45.9;147;0
Ленэнерг-п;60;20170126;180000;45.9;46.5;45.9;46.3;615;0
Ленэнерг-п;60;20170127;100000;46.5;46.85;46.15;46.5;245;0
Ленэнерг-п;60;20170127;110000;46.4;46.5;46.4;46.5;213;0
Ленэнерг-п;60;20170127;120000;46.4;46.45;45.85;46.45;152;0
Ленэнерг-п;60;20170127;130000;46.3;46.3;45.9;46.25;160;0
Ленэнерг-п;60;20170127;140000;46.1;46.2;45.95;46.05;126;0
Ленэнерг-п;60;20170127;150000;46.05;46.15;45.95;46.15;108;0
Ленэнерг-п;60;20170127;160000;46.25;46.35;46.25;46.3;58;0
Ленэнерг-п;60;20170127;170000;46.3;46.5;46.2;46.5;141;0
Ленэнерг-п;60;20170127;180000;46.45;46.5;46.3;46.35;339;0
Ленэнерг-п;60;20170130;100000;46.45;47.75;46.05;47.1;868;0
Ленэнерг-п;60;20170130;110000;47.2;48;47.2;47.75;780;0
Ленэнерг-п;60;20170130;120000;47.75;47.85;47.5;47.85;133;0
Ленэнерг-п;60;20170130;130000;47.85;47.9;47.8;47.8;71;0
Ленэнерг-п;60;20170130;140000;47.7;47.9;47.6;47.9;81;0
Ленэнерг-п;60;20170130;150000;47.6;47.9;47.05;47.75;442;0
Ленэнерг-п;60;20170130;160000;47.4;47.4;47.4;47.4;4;0
Ленэнерг-п;60;20170130;170000;47.5;47.75;47.35;47.5;39;0
Ленэнерг-п;60;20170130;180000;47.4;47.55;47.35;47.55;48;0
Ленэнерг-п;60;20170131;090000;47.25;47.25;47.25;47.25;2;0
Ленэнерг-п;60;20170131;100000;47.35;49.45;47.35;48;167;0
Ленэнерг-п;60;20170131;110000;47.9;48;47.4;47.4;221;0
Ленэнерг-п;60;20170131;120000;47.75;47.9;47.5;47.5;89;0
Ленэнерг-п;60;20170131;130000;47.8;48.45;47.55;48.45;68;0
Ленэнерг-п;60;20170131;140000;48.05;48.3;47.7;48.2;48;0
Ленэнерг-п;60;20170131;150000;48.05;48.5;47.95;47.95;107;0
Ленэнерг-п;60;20170131;160000;48.25;48.5;48.2;48.2;209;0
Ленэнерг-п;60;20170131;170000;48.4;48.8;48.4;48.65;244;0
Ленэнерг-п;60;20170131;180000;48.5;48.75;48.1;48.75;259;0
Ленэнерг-п;60;20170201;100000;48.45;49.5;48.3;49.1;279;0
Ленэнерг-п;60;20170201;110000;49;49.4;48.75;48.75;170;0
Ленэнерг-п;60;20170201;120000;49;49.2;48.7;49.2;167;0
Ленэнерг-п;60;20170201;130000;49.4;49.5;49.3;49.45;150;0
Ленэнерг-п;60;20170201;140000;49.4;49.45;48.7;49.3;72;0
Ленэнерг-п;60;20170201;150000;49.4;49.55;49.2;49.55;128;0
Ленэнерг-п;60;20170201;160000;49.5;49.7;48.5;49.2;213;0
Ленэнерг-п;60;20170201;170000;48.95;49.85;48.8;48.85;139;0
Ленэнерг-п;60;20170201;180000;48.9;49;48.85;49;44;0
Ленэнерг-п;60;20170202;090000;49.9;49.9;49.9;49.9;5;0
Ленэнерг-п;60;20170202;100000;49.8;50;49.15;49.2;200;0
Ленэнерг-п;60;20170202;110000;49.25;49.5;48.75;48.95;452;0
Ленэнерг-п;60;20170202;120000;48.8;49.05;48.7;49.05;198;0
Ленэнерг-п;60;20170202;130000;49.1;49.25;48.55;49.25;333;0
Ленэнерг-п;60;20170202;140000;49.25;49.25;49.05;49.2;190;0
Ленэнерг-п;60;20170202;150000;49.15;49.15;48.7;48.9;99;0
Ленэнерг-п;60;20170202;160000;48.75;48.75;48;48.5;681;0
Ленэнерг-п;60;20170202;170000;48.25;48.25;47.7;47.95;524;0
Ленэнерг-п;60;20170202;180000;47.95;47.95;47.9;47.95;23;0
Ленэнерг-п;60;20170203;090000;47.8;47.8;47.8;47.8;2;0
Ленэнерг-п;60;20170203;100000;48.25;50.95;47.9;47.95;458;0
Ленэнерг-п;60;20170203;110000;48;48;47.5;47.6;1119;0
Ленэнерг-п;60;20170203;120000;47.6;47.6;47.5;47.6;123;0
Ленэнерг-п;60;20170203;130000;47.6;47.9;47.5;47.75;257;0
Ленэнерг-п;60;20170203;140000;47.8;47.95;47.6;47.65;39;0
Ленэнерг-п;60;20170203;150000;47.7;47.7;47.55;47.6;401;0
Ленэнерг-п;60;20170203;160000;47.6;48.3;47.6;48.25;78;0
Ленэнерг-п;60;20170203;170000;48.1;48.3;47.7;48.05;50;0
Ленэнерг-п;60;20170203;180000;47.9;48.95;47.9;48.85;69;0
Ленэнерг-п;60;20170206;090000;48.95;48.95;48.95;48.95;4;0
Ленэнерг-п;60;20170206;100000;48.7;49;48.45;48.9;309;0
Ленэнерг-п;60;20170206;110000;48.9;48.95;47.9;48;1137;0
Ленэнерг-п;60;20170206;120000;48;48;47.95;47.95;107;0
Ленэнерг-п;60;20170206;130000;48;48;47.7;48;243;0
Ленэнерг-п;60;20170206;140000;48;48;47.75;48;68;0
Ленэнерг-п;60;20170206;150000;47.9;48;47.9;47.9;103;0
Ленэнерг-п;60;20170206;160000;47.9;48;47.9;47.9;92;0
Ленэнерг-п;60;20170206;170000;48;48.45;47.85;48.45;296;0
Ленэнерг-п;60;20170206;180000;48.5;48.5;48.5;48.5;23;0
Ленэнерг-п;60;20170207;100000;48.7;49.55;48.7;48.7;791;0
Ленэнерг-п;60;20170207;110000;49.35;49.45;48.85;48.9;69;0
Ленэнерг-п;60;20170207;120000;49.15;49.2;48.9;49.2;48;0
Ленэнерг-п;60;20170207;130000;49.05;49.15;48.95;48.95;181;0
