<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Ленэнерго;60;20170124;100000;5.51;5.51;5.47;5.47;349;0
Ленэнерго;60;20170124;110000;5.465;5.475;5.46;5.46;351;0
Ленэнерго;60;20170124;120000;5.465;5.465;5.44;5.44;208;0
Ленэнерго;60;20170124;130000;5.44;5.44;5.44;5.44;6;0
Ленэнерго;60;20170124;140000;5.445;5.485;5.42;5.485;102;0
Ленэнерго;60;20170124;150000;5.495;5.515;5.44;5.515;213;0
Ленэнерго;60;20170124;160000;5.52;5.52;5.465;5.51;204;0
Ленэнерго;60;20170124;170000;5.505;5.515;5.45;5.465;566;0
Ленэнерго;60;20170124;180000;5.465;5.485;5.465;5.485;22;0
Ленэнерго;60;20170125;100000;5.5;5.5;5.445;5.445;153;0
Ленэнерго;60;20170125;110000;5.45;5.46;5.42;5.42;718;0
Ленэнерго;60;20170125;120000;5.42;5.455;5.42;5.45;116;0
Ленэнерго;60;20170125;130000;5.445;5.455;5.43;5.455;60;0
Ленэнерго;60;20170125;140000;5.455;5.46;5.455;5.46;52;0
Ленэнерго;60;20170125;150000;5.46;5.46;5.415;5.425;341;0
Ленэнерго;60;20170125;160000;5.425;5.455;5.42;5.45;417;0
Ленэнерго;60;20170125;170000;5.445;5.45;5.445;5.45;32;0
Ленэнерго;60;20170125;180000;5.45;5.46;5.42;5.43;760;0
Ленэнерго;60;20170126;100000;5.415;5.44;5.4;5.43;224;0
Ленэнерго;60;20170126;110000;5.43;5.435;5.41;5.41;457;0
Ленэнерго;60;20170126;120000;5.425;5.43;5.42;5.42;193;0
Ленэнерго;60;20170126;130000;5.425;5.425;5.42;5.42;59;0
Ленэнерго;60;20170126;140000;5.425;5.43;5.42;5.43;536;0
Ленэнерго;60;20170126;150000;5.43;5.43;5.425;5.425;142;0
Ленэнерго;60;20170126;160000;5.425;5.43;5.41;5.42;547;0
Ленэнерго;60;20170126;170000;5.43;5.445;5.425;5.425;462;0
Ленэнерго;60;20170126;180000;5.425;5.445;5.42;5.435;465;0
Ленэнерго;60;20170127;100000;5.435;5.5;5.435;5.485;751;0
Ленэнерго;60;20170127;110000;5.47;5.49;5.455;5.49;626;0
Ленэнерго;60;20170127;120000;5.49;5.49;5.455;5.465;69;0
Ленэнерго;60;20170127;130000;5.465;5.465;5.455;5.455;56;0
Ленэнерго;60;20170127;140000;5.455;5.46;5.455;5.46;31;0
Ленэнерго;60;20170127;150000;5.46;5.47;5.45;5.47;335;0
Ленэнерго;60;20170127;160000;5.485;5.49;5.48;5.49;203;0
Ленэнерго;60;20170127;170000;5.485;5.49;5.44;5.45;559;0
Ленэнерго;60;20170127;180000;5.45;5.485;5.425;5.435;514;0
Ленэнерго;60;20170130;090000;5.415;5.415;5.415;5.415;61;0
Ленэнерго;60;20170130;100000;5.415;5.495;5.41;5.465;730;0
Ленэнерго;60;20170130;110000;5.485;5.485;5.46;5.46;533;0
Ленэнерго;60;20170130;120000;5.45;5.475;5.44;5.475;483;0
Ленэнерго;60;20170130;130000;5.48;5.48;5.44;5.455;89;0
Ленэнерго;60;20170130;140000;5.465;5.48;5.465;5.48;70;0
Ленэнерго;60;20170130;150000;5.465;5.48;5.455;5.48;678;0
Ленэнерго;60;20170130;160000;5.485;5.485;5.475;5.475;44;0
Ленэнерго;60;20170130;170000;5.485;5.49;5.48;5.485;671;0
Ленэнерго;60;20170130;180000;5.485;5.49;5.485;5.49;294;0
Ленэнерго;60;20170131;100000;5.505;5.51;5.46;5.495;620;0
Ленэнерго;60;20170131;110000;5.48;5.495;5.475;5.49;432;0
Ленэнерго;60;20170131;120000;5.48;5.5;5.475;5.48;162;0
Ленэнерго;60;20170131;130000;5.495;5.495;5.48;5.495;61;0
Ленэнерго;60;20170131;140000;5.48;5.48;5.4;5.425;2120;0
Ленэнерго;60;20170131;150000;5.43;5.45;5.43;5.45;7;0
Ленэнерго;60;20170131;160000;5.46;5.495;5.46;5.49;340;0
Ленэнерго;60;20170131;170000;5.485;5.5;5.485;5.49;277;0
Ленэнерго;60;20170131;180000;5.49;5.5;5.47;5.47;429;0
Ленэнерго;60;20170201;100000;5.465;5.52;5.46;5.52;771;0
Ленэнерго;60;20170201;110000;5.51;5.56;5.4;5.47;7267;0
Ленэнерго;60;20170201;120000;5.45;5.485;5.45;5.47;456;0
Ленэнерго;60;20170201;130000;5.475;5.485;5.465;5.465;163;0
Ленэнерго;60;20170201;140000;5.485;5.495;5.485;5.495;94;0
Ленэнерго;60;20170201;150000;5.475;5.475;5.445;5.445;445;0
Ленэнерго;60;20170201;160000;5.44;5.445;5.43;5.44;309;0
Ленэнерго;60;20170201;170000;5.43;5.46;5.43;5.455;168;0
Ленэнерго;60;20170201;180000;5.46;5.49;5.45;5.46;1274;0
Ленэнерго;60;20170202;100000;5.48;5.5;5.44;5.495;787;0
Ленэнерго;60;20170202;110000;5.495;5.5;5.455;5.455;1793;0
Ленэнерго;60;20170202;120000;5.45;5.49;5.44;5.45;81;0
Ленэнерго;60;20170202;130000;5.475;5.485;5.44;5.44;445;0
Ленэнерго;60;20170202;140000;5.44;5.48;5.44;5.45;169;0
Ленэнерго;60;20170202;160000;5.455;5.455;5.445;5.445;30;0
Ленэнерго;60;20170202;170000;5.455;5.46;5.455;5.46;58;0
