<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
М.видео;60;20170124;090000;371.8;371.8;371.8;371.8;9;0
М.видео;60;20170124;100000;372.3;374.1;372;372.7;1352;0
М.видео;60;20170124;110000;372.3;373.1;371.1;371.1;2745;0
М.видео;60;20170124;120000;371.2;372.1;370.5;371.2;398;0
М.видео;60;20170124;130000;371.4;373;371.3;373;2331;0
М.видео;60;20170124;140000;373.1;376.3;372.4;374.9;1658;0
М.видео;60;20170124;150000;375;375;372.5;373.2;2814;0
М.видео;60;20170124;160000;373.3;373.4;372.5;373.1;480;0
М.видео;60;20170124;170000;372.9;374.8;372.8;374.2;491;0
М.видео;60;20170124;180000;374.3;377.6;374;377.6;2040;0
М.видео;60;20170125;090000;378.1;378.1;378.1;378.1;11;0
М.видео;60;20170125;100000;378.3;378.3;374.4;375.6;4796;0
М.видео;60;20170125;110000;375.1;375.7;374.4;375.1;6565;0
М.видео;60;20170125;120000;375;377.3;374.9;375.3;3110;0
М.видео;60;20170125;130000;375.3;377;375.3;376.8;1010;0
М.видео;60;20170125;140000;377;377;376.4;377;363;0
М.видео;60;20170125;150000;377;377;375.8;376.3;131;0
М.видео;60;20170125;160000;376.1;377.5;376.1;376.8;421;0
М.видео;60;20170125;170000;376.8;384.7;376.8;379.3;3363;0
М.видео;60;20170125;180000;379.7;389.8;379.3;384.5;4022;0
М.видео;60;20170126;100000;388.8;389.2;385;385.5;758;0
М.видео;60;20170126;110000;385.5;385.6;383.4;385.6;464;0
М.видео;60;20170126;120000;385;385.6;384.4;385.6;463;0
М.видео;60;20170126;130000;385.6;388;385.6;386.3;1034;0
М.видео;60;20170126;140000;387;387.4;386.3;386.4;269;0
М.видео;60;20170126;150000;386.2;387;384.8;387;1104;0
М.видео;60;20170126;160000;387;387.1;380.3;381.7;1583;0
М.видео;60;20170126;170000;381.3;384.3;380;381.9;3001;0
М.видео;60;20170126;180000;381.9;382;378;381.4;1678;0
М.видео;60;20170127;100000;382.2;383;377.8;381.4;664;0
М.видео;60;20170127;110000;381.4;381.9;380.4;381.4;407;0
М.видео;60;20170127;120000;381.4;381.9;380.3;381;396;0
М.видео;60;20170127;130000;381;382.3;380.9;382;588;0
М.видео;60;20170127;140000;382;383.1;382;382.9;322;0
М.видео;60;20170127;150000;382.8;382.8;379.9;382.7;1121;0
М.видео;60;20170127;160000;380.8;384.5;380.7;384.3;2159;0
М.видео;60;20170127;170000;384.3;385;383.1;385;947;0
М.видео;60;20170127;180000;384.9;384.9;383.2;383.2;303;0
М.видео;60;20170130;090000;385.1;385.1;385.1;385.1;1;0
М.видео;60;20170130;100000;385.1;385.6;383.6;384.1;174;0
М.видео;60;20170130;110000;384.1;384.3;383.7;383.7;217;0
М.видео;60;20170130;120000;383.7;384.2;382.9;383.7;448;0
М.видео;60;20170130;130000;384.1;384.1;382.7;383;1087;0
М.видео;60;20170130;140000;383;383;382.6;382.6;337;0
М.видео;60;20170130;150000;383;383;382.6;383;1467;0
М.видео;60;20170130;160000;383;383;381.3;381.6;692;0
М.видео;60;20170130;170000;381.7;381.8;381.5;381.5;474;0
М.видео;60;20170130;180000;381.3;382.1;380.4;382.1;412;0
М.видео;60;20170131;100000;382.3;382.4;381.3;381.3;484;0
М.видео;60;20170131;110000;381.1;383.1;381.1;381.7;784;0
М.видео;60;20170131;120000;382;382;381.7;381.8;27;0
М.видео;60;20170131;130000;381.8;382;381.7;381.7;1447;0
М.видео;60;20170131;140000;381.7;381.7;381;381.5;766;0
М.видео;60;20170131;150000;381.4;381.8;381.3;381.8;126;0
М.видео;60;20170131;160000;381.8;382;381.8;382;347;0
М.видео;60;20170131;170000;382;382;381.8;382;217;0
М.видео;60;20170131;180000;382;385;381.9;385;1819;0
М.видео;60;20170201;100000;384.2;384.4;382.7;382.8;333;0
М.видео;60;20170201;110000;382.6;383;382.5;382.5;876;0
М.видео;60;20170201;120000;382.5;383;382.3;383;108;0
М.видео;60;20170201;130000;382.5;382.7;381.8;382;520;0
М.видео;60;20170201;140000;382;382;381.9;381.9;70;0
М.видео;60;20170201;150000;381.9;381.9;380;380;445;0
М.видео;60;20170201;160000;380.1;381.9;380;381.9;46;0
М.видео;60;20170201;170000;381.9;382.2;381.3;382.2;216;0
М.видео;60;20170201;180000;382.1;383;382.1;383;895;0
М.видео;60;20170202;100000;383;383.5;381.9;381.9;857;0
М.видео;60;20170202;110000;381.9;382;381.4;381.4;248;0
М.видео;60;20170202;120000;381;381.1;379.7;380;831;0
М.видео;60;20170202;130000;379.9;380;379.1;379.1;512;0
М.видео;60;20170202;140000;379.6;379.7;378.2;378.5;511;0
М.видео;60;20170202;150000;378.7;379.2;378.7;379.2;60;0
М.видео;60;20170202;160000;379.1;379.1;375.2;376.5;1280;0
М.видео;60;20170202;170000;376.7;377.6;376.7;377.6;354;0
М.видео;60;20170202;180000;377.6;379.2;377.3;378.8;1037;0
М.видео;60;20170203;090000;380.7;380.7;380.7;380.7;14;0
М.видео;60;20170203;100000;381.1;381.1;375.2;375.7;581;0
М.видео;60;20170203;110000;375.7;375.7;371;373.5;752;0
М.видео;60;20170203;120000;373.5;374.8;372.1;374.6;799;0
М.видео;60;20170203;130000;374.9;375.7;373.7;374.5;1012;0
М.видео;60;20170203;140000;374.6;374.9;373.7;374.6;460;0
М.видео;60;20170203;150000;374.5;374.7;372.7;373.6;5063;0
М.видео;60;20170203;160000;373.6;374;372.1;372.7;1369;0
М.видео;60;20170203;170000;372.7;374.1;372.6;373.4;82;0
М.видео;60;20170203;180000;373.5;373.7;370.2;373.7;1624;0
М.видео;60;20170206;100000;372.2;374.7;370.6;371;637;0
М.видео;60;20170206;110000;370.9;371.5;370.3;370.6;435;0
М.видео;60;20170206;120000;370.8;371;370.6;370.6;131;0
М.видео;60;20170206;130000;370.8;371.5;370.8;371;286;0
М.видео;60;20170206;140000;371.4;371.5;370.6;371;154;0
М.видео;60;20170206;150000;370.7;371.5;370.2;370.2;652;0
М.видео;60;20170206;160000;370.2;371;370.1;370.9;521;0
М.видео;60;20170206;170000;370.8;371.4;370.4;371;1134;0
М.видео;60;20170206;180000;370.9;372.6;370.5;371;3702;0
М.видео;60;20170207;100000;371.1;372;368.4;371.5;1982;0
М.видео;60;20170207;110000;371.5;372.5;371.2;372.3;491;0
М.видео;60;20170207;120000;372.3;372.8;371.9;372.7;222;0
М.видео;60;20170207;130000;372.7;373;372.3;372.9;583;0
М.видео;60;20170207;140000;373;373;372.2;372.9;459;0
М.видео;60;20170207;150000;372.9;372.9;372.3;372.8;351;0
М.видео;60;20170207;160000;372.9;374.2;372.9;374.2;348;0
М.видео;60;20170207;170000;374.2;374.2;372;372;708;0
М.видео;60;20170207;180000;372;374;371.7;374;1524;0
М.видео;60;20170208;090000;373;373;373;373;3;0
М.видео;60;20170208;100000;373.1;375.5;372.5;373.7;1820;0
М.видео;60;20170208;110000;373.7;374.5;373.2;374.3;767;0
М.видео;60;20170208;120000;374.3;374.3;373;373.3;331;0
М.видео;60;20170208;130000;373.6;373.7;373.1;373.1;506;0
М.видео;60;20170208;140000;373.5;373.6;373;373;638;0
М.видео;60;20170208;150000;373;373.2;372.6;372.9;828;0
М.видео;60;20170208;160000;373;373;372.6;372.6;252;0
М.видео;60;20170208;170000;373;373;372;372.1;1568;0
М.видео;60;20170208;180000;372.1;372.6;371.6;372;3959;0
М.видео;60;20170209;100000;371.9;372.4;371.7;372.4;695;0
М.видео;60;20170209;110000;372.4;372.4;372;372.3;477;0
М.видео;60;20170209;120000;372.2;372.3;371.4;372;771;0
М.видео;60;20170209;130000;371.5;372.2;371.3;371.9;243;0
М.видео;60;20170209;140000;371.5;372.5;371.5;372;539;0
М.видео;60;20170209;150000;371.9;372.1;370.6;370.6;708;0
М.видео;60;20170209;160000;371;371;370.3;370.5;472;0
