<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МГТС-4ап;60;20170124;140000;863;863;862;862;10;0
МГТС-4ап;60;20170124;160000;870;880;870;880;46;0
МГТС-4ап;60;20170124;170000;880;880;880;880;3;0
МГТС-4ап;60;20170125;100000;882;882;882;882;1;0
МГТС-4ап;60;20170125;110000;883;883;883;883;1;0
МГТС-4ап;60;20170125;120000;876;888;873;888;15;0
МГТС-4ап;60;20170125;130000;887;887;867;868;11;0
МГТС-4ап;60;20170125;180000;884;885;884;885;5;0
МГТС-4ап;60;20170126;100000;880;884;874;874;8;0
МГТС-4ап;60;20170126;110000;874;874;800;855;80;0
МГТС-4ап;60;20170126;120000;853;857;853;857;3;0
МГТС-4ап;60;20170126;130000;860;863;860;863;4;0
МГТС-4ап;60;20170126;140000;864;870;851;865;18;0
МГТС-4ап;60;20170126;150000;871;871;871;871;7;0
МГТС-4ап;60;20170126;170000;862;862;862;862;5;0
МГТС-4ап;60;20170126;180000;862;875;862;875;20;0
МГТС-4ап;60;20170127;100000;860;860;860;860;10;0
МГТС-4ап;60;20170127;130000;860;860;859;859;2;0
МГТС-4ап;60;20170127;160000;869;885;869;885;13;0
МГТС-4ап;60;20170127;170000;889;889;889;889;1;0
МГТС-4ап;60;20170130;110000;881;881;875;875;8;0
МГТС-4ап;60;20170130;120000;875;875;869;869;10;0
МГТС-4ап;60;20170130;140000;872;872;872;872;1;0
МГТС-4ап;60;20170130;170000;869;869;869;869;1;0
МГТС-4ап;60;20170130;180000;879;879;879;879;1;0
МГТС-4ап;60;20170131;100000;883;883;883;883;3;0
МГТС-4ап;60;20170131;140000;880;880;875;875;8;0
МГТС-4ап;60;20170131;150000;875;875;875;875;2;0
МГТС-4ап;60;20170131;160000;875;875;875;875;5;0
МГТС-4ап;60;20170131;180000;875;887;875;887;11;0
МГТС-4ап;60;20170201;100000;868;894;868;894;2;0
МГТС-4ап;60;20170201;110000;870;870;865;865;6;0
МГТС-4ап;60;20170201;120000;861;866;860;860;31;0
МГТС-4ап;60;20170201;130000;875;875;856;870;48;0
МГТС-4ап;60;20170201;140000;870;870;870;870;5;0
МГТС-4ап;60;20170201;160000;869;869;869;869;1;0
МГТС-4ап;60;20170201;170000;865;870;865;870;6;0
МГТС-4ап;60;20170202;100000;870;870;870;870;3;0
МГТС-4ап;60;20170202;110000;873;873;873;873;1;0
МГТС-4ап;60;20170202;120000;861;861;861;861;1;0
МГТС-4ап;60;20170202;130000;860;860;860;860;8;0
МГТС-4ап;60;20170202;150000;864;864;864;864;1;0
МГТС-4ап;60;20170202;160000;860;869;860;869;38;0
МГТС-4ап;60;20170203;100000;860;860;860;860;5;0
МГТС-4ап;60;20170203;110000;860;869;860;869;10;0
МГТС-4ап;60;20170203;130000;857;858;855;855;6;0
МГТС-4ап;60;20170203;170000;866;867;866;867;2;0
МГТС-4ап;60;20170203;180000;869;869;856;869;8;0
МГТС-4ап;60;20170206;100000;870;870;870;870;1;0
МГТС-4ап;60;20170206;110000;862;862;862;862;1;0
МГТС-4ап;60;20170206;130000;856;856;850;850;12;0
МГТС-4ап;60;20170206;140000;859;860;859;860;6;0
МГТС-4ап;60;20170206;150000;860;860;860;860;12;0
МГТС-4ап;60;20170206;160000;860;860;860;860;1;0
МГТС-4ап;60;20170206;180000;860;860;860;860;2;0
МГТС-4ап;60;20170207;100000;842;862;842;862;4;0
МГТС-4ап;60;20170207;110000;854;854;853;853;5;0
МГТС-4ап;60;20170207;130000;854;854;854;854;2;0
МГТС-4ап;60;20170207;140000;853;865;853;865;11;0
МГТС-4ап;60;20170207;150000;865;880;865;880;29;0
МГТС-4ап;60;20170207;160000;881;915;881;915;20;0
МГТС-4ап;60;20170207;170000;900;900;863;863;9;0
МГТС-4ап;60;20170207;180000;868;873;868;873;7;0
МГТС-4ап;60;20170208;120000;897;897;897;897;1;0
МГТС-4ап;60;20170208;130000;872;878;872;878;12;0
МГТС-4ап;60;20170209;130000;876;876;876;876;4;0
МГТС-4ап;60;20170209;140000;897;897;876;876;2;0
МГТС-4ап;60;20170209;160000;874;874;874;874;1;0
МГТС-4ап;60;20170210;100000;885;885;885;885;3;0
МГТС-4ап;60;20170210;110000;885;885;885;885;3;0
МГТС-4ап;60;20170210;120000;886;890;886;890;5;0
