<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МГТС-5ао;60;20170124;100000;840;840;840;840;4;0
МГТС-5ао;60;20170124;160000;840;840;840;840;43;0
МГТС-5ао;60;20170124;180000;879;879;879;879;1;0
МГТС-5ао;60;20170125;170000;868;868;868;868;1;0
МГТС-5ао;60;20170126;180000;874;874;848;848;2;0
МГТС-5ао;60;20170127;140000;847;847;847;847;1;0
МГТС-5ао;60;20170127;170000;846;863;846;863;3;0
МГТС-5ао;60;20170127;180000;863;863;863;863;1;0
МГТС-5ао;60;20170130;160000;842;842;842;842;10;0
МГТС-5ао;60;20170130;170000;842;842;840;840;3;0
МГТС-5ао;60;20170130;180000;842;842;842;842;1;0
МГТС-5ао;60;20170131;100000;855;855;842;842;5;0
МГТС-5ао;60;20170131;120000;842;842;842;842;2;0
МГТС-5ао;60;20170131;160000;842;842;842;842;12;0
МГТС-5ао;60;20170131;180000;842;842;842;842;5;0
МГТС-5ао;60;20170201;100000;846;846;842;842;3;0
МГТС-5ао;60;20170201;110000;841;877;841;877;4;0
МГТС-5ао;60;20170201;120000;858;858;857;857;2;0
МГТС-5ао;60;20170201;130000;865;865;857;857;4;0
МГТС-5ао;60;20170201;170000;857;857;857;857;1;0
МГТС-5ао;60;20170202;100000;884;884;884;884;1;0
МГТС-5ао;60;20170202;120000;845;845;789;789;12;0
МГТС-5ао;60;20170202;140000;848;848;848;848;1;0
МГТС-5ао;60;20170202;160000;848;848;848;848;1;0
МГТС-5ао;60;20170202;180000;848;848;848;848;1;0
МГТС-5ао;60;20170203;100000;849;849;849;849;1;0
МГТС-5ао;60;20170203;110000;854;862;854;862;3;0
МГТС-5ао;60;20170203;120000;868;868;868;868;4;0
МГТС-5ао;60;20170203;130000;867;869;867;869;278;0
МГТС-5ао;60;20170203;160000;867;867;867;867;1;0
МГТС-5ао;60;20170203;170000;867;868;867;868;2;0
МГТС-5ао;60;20170206;100000;872;872;863;863;3;0
МГТС-5ао;60;20170206;110000;864;864;860;860;7;0
МГТС-5ао;60;20170206;150000;832;832;832;832;1;0
МГТС-5ао;60;20170206;170000;859;859;840;840;3;0
МГТС-5ао;60;20170207;150000;855;893;855;893;26;0
МГТС-5ао;60;20170207;170000;891;895;891;895;6;0
МГТС-5ао;60;20170208;130000;890;890;890;890;1;0
МГТС-5ао;60;20170209;140000;858;858;858;858;1;0
МГТС-5ао;60;20170209;180000;875;875;875;875;1;0
МГТС-5ао;60;20170210;140000;881;881;881;881;1;0
МГТС-5ао;60;20170210;170000;887;887;880;880;4;0
МГТС-5ао;60;20170210;180000;877;877;875;875;2;0
МГТС-5ао;60;20170214;160000;903;903;903;903;1;0
МГТС-5ао;60;20170215;100000;890;890;890;890;1;0
МГТС-5ао;60;20170215;130000;860;860;860;860;6;0
МГТС-5ао;60;20170215;150000;879;879;879;879;1;0
МГТС-5ао;60;20170215;170000;859;859;859;859;1;0
МГТС-5ао;60;20170216;110000;858;858;858;858;10;0
МГТС-5ао;60;20170217;100000;888;888;888;888;1;0
МГТС-5ао;60;20170217;140000;885;885;866;866;2;0
МГТС-5ао;60;20170217;150000;865;865;865;865;1;0
МГТС-5ао;60;20170220;110000;864;864;864;864;1;0
МГТС-5ао;60;20170220;140000;881;888;881;888;5;0
МГТС-5ао;60;20170220;170000;874;874;874;874;1;0
МГТС-5ао;60;20170221;150000;868;868;868;868;1;0
МГТС-5ао;60;20170221;170000;861;861;860;860;2;0
МГТС-5ао;60;20170221;180000;843;843;843;843;10;0
МГТС-5ао;60;20170222;120000;868;870;867;870;4;0
МГТС-5ао;60;20170222;140000;853;853;853;853;1;0
МГТС-5ао;60;20170222;150000;853;853;853;853;14;0
МГТС-5ао;60;20170224;140000;854;888;854;888;4;0
МГТС-5ао;60;20170227;110000;841;873;840;873;18;0
МГТС-5ао;60;20170227;120000;842;842;841;841;2;0
МГТС-5ао;60;20170227;140000;850;850;850;850;1;0
МГТС-5ао;60;20170227;160000;870;870;870;870;1;0
МГТС-5ао;60;20170228;110000;845;845;845;845;4;0
МГТС-5ао;60;20170228;120000;845;850;845;850;52;0
МГТС-5ао;60;20170228;170000;859;869;859;869;5;0
МГТС-5ао;60;20170228;180000;841;841;841;841;1;0
МГТС-5ао;60;20170301;100000;865;865;865;865;60;0
МГТС-5ао;60;20170301;110000;870;870;870;870;1;0
МГТС-5ао;60;20170301;170000;869;879;869;879;23;0
МГТС-5ао;60;20170302;140000;870;870;870;870;2;0
МГТС-5ао;60;20170303;110000;898;898;898;898;1;0
МГТС-5ао;60;20170303;120000;897;897;897;897;1;0
МГТС-5ао;60;20170303;160000;885;885;885;885;1;0
МГТС-5ао;60;20170303;180000;855;855;855;855;1;0
МГТС-5ао;60;20170307;100000;849;849;849;849;1;0
МГТС-5ао;60;20170307;120000;897;897;897;897;1;0
МГТС-5ао;60;20170307;150000;888;888;888;888;1;0
МГТС-5ао;60;20170307;180000;848;848;848;848;1;0
МГТС-5ао;60;20170309;100000;868;868;868;868;1;0
МГТС-5ао;60;20170309;110000;875;875;875;875;6;0
МГТС-5ао;60;20170309;120000;866;870;850;850;45;0
МГТС-5ао;60;20170310;170000;849;850;849;850;6;0
МГТС-5ао;60;20170310;180000;850;850;850;850;4;0
МГТС-5ао;60;20170313;130000;870;870;870;870;1;0
МГТС-5ао;60;20170314;100000;875;875;875;875;1;0
МГТС-5ао;60;20170314;130000;875;875;875;875;1;0
МГТС-5ао;60;20170316;100000;849;849;823;823;7;0
МГТС-5ао;60;20170316;110000;849;849;849;849;1;0
МГТС-5ао;60;20170316;160000;847;854;847;854;6;0
МГТС-5ао;60;20170317;120000;830;830;830;830;1;0
МГТС-5ао;60;20170320;100000;844;860;844;860;12;0
МГТС-5ао;60;20170320;110000;860;860;860;860;1;0
МГТС-5ао;60;20170320;150000;835;835;835;835;1;0
МГТС-5ао;60;20170321;100000;848;859;832;832;12;0
МГТС-5ао;60;20170321;150000;832;832;832;832;6;0
МГТС-5ао;60;20170321;170000;832;832;832;832;1;0
МГТС-5ао;60;20170322;100000;833;833;833;833;1;0
МГТС-5ао;60;20170323;120000;842;844;842;844;3;0
МГТС-5ао;60;20170324;150000;857;857;857;857;1;0
МГТС-5ао;60;20170324;160000;860;860;822;822;6;0
МГТС-5ао;60;20170327;110000;811;844;811;844;2;0
МГТС-5ао;60;20170327;160000;855;855;855;855;1;0
МГТС-5ао;60;20170328;170000;860;860;860;860;1;0
МГТС-5ао;60;20170328;180000;870;876;870;876;12;0
МГТС-5ао;60;20170329;160000;870;870;870;870;1;0
МГТС-5ао;60;20170330;140000;851;851;851;851;1;0
МГТС-5ао;60;20170404;170000;870;870;851;851;5;0
МГТС-5ао;60;20170405;120000;851;851;851;851;1;0
МГТС-5ао;60;20170405;140000;888;888;888;888;1;0
МГТС-5ао;60;20170405;160000;879;879;879;879;1;0
МГТС-5ао;60;20170405;180000;880;880;880;880;1;0
МГТС-5ао;60;20170406;130000;854;854;851;851;3;0
МГТС-5ао;60;20170406;140000;851;851;851;851;3;0
МГТС-5ао;60;20170411;100000;837;837;837;837;1;0
МГТС-5ао;60;20170411;120000;850;850;850;850;1;0
МГТС-5ао;60;20170413;100000;831;831;831;831;1;0
МГТС-5ао;60;20170414;100000;875;875;875;875;1;0
МГТС-5ао;60;20170418;180000;849;860;849;860;52;0
МГТС-5ао;60;20170420;150000;810;810;810;810;3;0
МГТС-5ао;60;20170421;180000;825;825;825;825;1;0
МГТС-5ао;60;20170424;140000;865;865;865;865;1;0
МГТС-5ао;60;20170425;100000;863;863;863;863;1;0
МГТС-5ао;60;20170425;140000;863;863;863;863;2;0
МГТС-5ао;60;20170426;130000;841;841;841;841;1;0
МГТС-5ао;60;20170426;170000;854;854;854;854;1;0
МГТС-5ао;60;20170427;150000;861;868;861;868;4;0
МГТС-5ао;60;20170427;180000;830;830;830;830;1;0
МГТС-5ао;60;20170428;100000;808;867;777;800;12;0
МГТС-5ао;60;20170428;130000;834;834;824;824;3;0
МГТС-5ао;60;20170428;160000;829;829;829;829;1;0
МГТС-5ао;60;20170502;130000;864;955;810;831;15;0
МГТС-5ао;60;20170502;140000;853;874;853;874;2;0
МГТС-5ао;60;20170502;150000;853;853;853;853;1;0
МГТС-5ао;60;20170503;100000;852;852;852;852;1;0
МГТС-5ао;60;20170503;150000;834;834;834;834;1;0
МГТС-5ао;60;20170503;160000;833;833;833;833;1;0
МГТС-5ао;60;20170504;100000;893;899;893;898;7;0
МГТС-5ао;60;20170504;110000;890;890;890;890;1;0
МГТС-5ао;60;20170504;150000;869;869;869;869;1;0
МГТС-5ао;60;20170505;110000;852;852;851;851;3;0
МГТС-5ао;60;20170510;100000;890;890;870;870;3;0
МГТС-5ао;60;20170510;130000;880;880;880;880;1;0
МГТС-5ао;60;20170510;180000;870;870;870;870;3;0
МГТС-5ао;60;20170511;120000;844;844;844;844;4;0
МГТС-5ао;60;20170511;130000;880;884;880;882;3;0
МГТС-5ао;60;20170511;140000;882;890;882;890;9;0
МГТС-5ао;60;20170511;160000;890;890;890;890;1;0
МГТС-5ао;60;20170512;100000;852;852;852;852;75;0
МГТС-5ао;60;20170512;130000;890;890;890;890;1;0
МГТС-5ао;60;20170512;140000;896;896;896;896;1;0
