<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МЕРИДИАН;60;20170904;100000;4.45;4.45;4.45;4.45;1;0
МЕРИДИАН;60;20170904;170000;4.46;4.46;4.46;4.46;1;0
МЕРИДИАН;60;20170905;120000;3.52;3.65;3.52;3.65;2;0
МЕРИДИАН;60;20170927;100000;2.34;2.34;2.34;2.34;1;0
МЕРИДИАН;60;20170928;100000;3.25;3.25;3.25;3.25;1;0
МЕРИДИАН;60;20170928;150000;3.28;3.7;3.28;3.7;5;0
МЕРИДИАН;60;20170929;100000;2.4;5.15;2.4;5.15;4;0
МЕРИДИАН;60;20170929;110000;3.3;3.3;3.3;3.3;1;0
МЕРИДИАН;60;20170929;120000;5.15;5.15;5.15;5.15;1;0
МЕРИДИАН;60;20171002;110000;3.7;7.15;3.7;7.15;2;0
МЕРИДИАН;60;20171002;140000;7.2;7.2;7.2;7.2;1;0
МЕРИДИАН;60;20171003;180000;6.8;6.8;6.8;6.8;1;0
МЕРИДИАН;60;20171020;110000;4.12;4.12;4.12;4.12;1;0
МЕРИДИАН;60;20171023;160000;6.35;6.35;6.35;6.35;1;0
МЕРИДИАН;60;20171207;180000;8.9;8.9;8.9;8.9;1;0
