<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МКБ ао;60;20170124;100000;4.268;4.28;4.255;4.275;2526;0
МКБ ао;60;20170124;110000;4.275;4.285;4.275;4.283;1658;0
МКБ ао;60;20170124;120000;4.284;4.284;4.281;4.281;152;0
МКБ ао;60;20170124;130000;4.284;4.284;4.281;4.284;116;0
МКБ ао;60;20170124;140000;4.284;4.284;4.281;4.284;2879;0
МКБ ао;60;20170124;150000;4.284;4.285;4.282;4.285;2479;0
МКБ ао;60;20170124;160000;4.285;4.295;4.285;4.294;3512;0
МКБ ао;60;20170124;170000;4.291;4.3;4.285;4.294;2422;0
МКБ ао;60;20170124;180000;4.294;4.295;4.294;4.295;153;0
МКБ ао;60;20170125;100000;4.302;4.304;4.29;4.303;71;0
МКБ ао;60;20170125;110000;4.303;4.304;4.285;4.285;846;0
МКБ ао;60;20170125;120000;4.283;4.283;4.27;4.274;6758;0
МКБ ао;60;20170125;130000;4.274;4.28;4.27;4.28;918;0
МКБ ао;60;20170125;140000;4.27;4.29;4.27;4.29;2067;0
МКБ ао;60;20170125;150000;4.286;4.286;4.282;4.283;277;0
МКБ ао;60;20170125;160000;4.283;4.285;4.283;4.285;281;0
МКБ ао;60;20170125;170000;4.285;4.285;4.269;4.275;4356;0
МКБ ао;60;20170125;180000;4.277;4.289;4.277;4.289;2120;0
МКБ ао;60;20170126;100000;4.298;4.298;4.28;4.285;1720;0
МКБ ао;60;20170126;110000;4.285;4.301;4.285;4.301;1391;0
МКБ ао;60;20170126;120000;4.301;4.325;4.3;4.32;2007;0
МКБ ао;60;20170126;130000;4.32;4.325;4.305;4.319;3264;0
МКБ ао;60;20170126;140000;4.319;4.322;4.301;4.302;1256;0
МКБ ао;60;20170126;150000;4.302;4.33;4.302;4.325;2911;0
МКБ ао;60;20170126;160000;4.33;4.333;4.309;4.315;1767;0
МКБ ао;60;20170126;170000;4.31;4.31;4.299;4.3;1314;0
МКБ ао;60;20170126;180000;4.298;4.299;4.298;4.299;32;0
МКБ ао;60;20170127;100000;4.293;4.3;4.28;4.297;960;0
МКБ ао;60;20170127;110000;4.299;4.3;4.277;4.279;3986;0
МКБ ао;60;20170127;120000;4.279;4.28;4.275;4.279;474;0
МКБ ао;60;20170127;130000;4.28;4.28;4.279;4.28;958;0
МКБ ао;60;20170127;140000;4.28;4.31;4.279;4.31;4876;0
МКБ ао;60;20170127;150000;4.307;4.319;4.307;4.309;956;0
МКБ ао;60;20170127;160000;4.308;4.309;4.3;4.304;729;0
МКБ ао;60;20170127;170000;4.307;4.309;4.307;4.309;106;0
МКБ ао;60;20170127;180000;4.308;4.308;4.306;4.306;7;0
МКБ ао;60;20170130;100000;4.309;4.309;4.288;4.289;934;0
МКБ ао;60;20170130;110000;4.289;4.31;4.27;4.271;6874;0
МКБ ао;60;20170130;120000;4.272;4.278;4.27;4.278;1006;0
МКБ ао;60;20170130;130000;4.278;4.28;4.278;4.28;136;0
МКБ ао;60;20170130;140000;4.28;4.28;4.279;4.279;31;0
МКБ ао;60;20170130;150000;4.28;4.287;4.28;4.286;1216;0
МКБ ао;60;20170130;160000;4.279;4.286;4.266;4.266;2654;0
МКБ ао;60;20170130;170000;4.267;4.275;4.267;4.275;669;0
МКБ ао;60;20170130;180000;4.276;4.276;4.265;4.265;475;0
МКБ ао;60;20170131;100000;4.274;4.29;4.274;4.289;916;0
МКБ ао;60;20170131;110000;4.287;4.287;4.251;4.251;4733;0
МКБ ао;60;20170131;120000;4.257;4.264;4.257;4.264;764;0
МКБ ао;60;20170131;130000;4.263;4.265;4.263;4.264;517;0
МКБ ао;60;20170131;140000;4.264;4.27;4.264;4.27;250;0
МКБ ао;60;20170131;150000;4.269;4.269;4.26;4.26;3830;0
МКБ ао;60;20170131;160000;4.26;4.26;4.26;4.26;10;0
МКБ ао;60;20170131;170000;4.264;4.264;4.264;4.264;472;0
МКБ ао;60;20170131;180000;4.264;4.264;4.262;4.262;2597;0
МКБ ао;60;20170201;100000;4.274;4.274;4.274;4.274;12;0
МКБ ао;60;20170201;110000;4.274;4.29;4.274;4.28;4595;0
МКБ ао;60;20170201;120000;4.285;4.3;4.27;4.27;6638;0
МКБ ао;60;20170201;130000;4.275;4.275;4.273;4.273;2376;0
МКБ ао;60;20170201;140000;4.271;4.275;4.27;4.275;711;0
МКБ ао;60;20170201;150000;4.275;4.285;4.275;4.281;1663;0
МКБ ао;60;20170201;160000;4.281;4.285;4.28;4.28;403;0
МКБ ао;60;20170201;170000;4.28;4.281;4.278;4.279;4691;0
МКБ ао;60;20170201;180000;4.279;4.282;4.278;4.282;148;0
МКБ ао;60;20170202;100000;4.297;4.297;4.275;4.28;54;0
МКБ ао;60;20170202;110000;4.277;4.293;4.275;4.292;1213;0
МКБ ао;60;20170202;120000;4.292;4.292;4.285;4.288;2216;0
МКБ ао;60;20170202;130000;4.286;4.286;4.285;4.286;92;0
МКБ ао;60;20170202;140000;4.286;4.287;4.285;4.287;30;0
МКБ ао;60;20170202;150000;4.287;4.295;4.287;4.287;1730;0
МКБ ао;60;20170202;160000;4.288;4.3;4.27;4.275;6212;0
МКБ ао;60;20170202;170000;4.276;4.285;4.275;4.285;4982;0
МКБ ао;60;20170202;180000;4.281;4.281;4.275;4.276;81;0
МКБ ао;60;20170203;100000;4.276;4.285;4.272;4.279;430;0
МКБ ао;60;20170203;110000;4.28;4.295;4.279;4.29;1024;0
МКБ ао;60;20170203;120000;4.288;4.3;4.288;4.293;1081;0
МКБ ао;60;20170203;130000;4.295;4.309;4.295;4.302;3758;0
МКБ ао;60;20170203;140000;4.302;4.308;4.277;4.28;2258;0
МКБ ао;60;20170203;150000;4.279;4.285;4.279;4.285;4504;0
МКБ ао;60;20170203;160000;4.285;4.288;4.285;4.285;4848;0
МКБ ао;60;20170203;170000;4.285;4.287;4.285;4.287;6;0
МКБ ао;60;20170203;180000;4.287;4.287;4.286;4.286;25;0
МКБ ао;60;20170206;100000;4.284;4.3;4.284;4.298;2668;0
МКБ ао;60;20170206;110000;4.298;4.3;4.285;4.285;688;0
МКБ ао;60;20170206;120000;4.285;4.301;4.285;4.3;2598;0
МКБ ао;60;20170206;130000;4.3;4.301;4.272;4.28;2516;0
МКБ ао;60;20170206;140000;4.279;4.284;4.276;4.276;4584;0
МКБ ао;60;20170206;150000;4.28;4.285;4.28;4.285;81;0
МКБ ао;60;20170206;160000;4.283;4.285;4.283;4.284;516;0
МКБ ао;60;20170206;170000;4.284;4.284;4.274;4.28;4765;0
МКБ ао;60;20170206;180000;4.28;4.28;4.272;4.273;1005;0
МКБ ао;60;20170207;100000;4.272;4.3;4.261;4.286;1910;0
МКБ ао;60;20170207;110000;4.285;4.285;4.274;4.28;1258;0
МКБ ао;60;20170207;120000;4.281;4.285;4.275;4.282;4477;0
МКБ ао;60;20170207;130000;4.282;4.282;4.275;4.28;6374;0
МКБ ао;60;20170207;140000;4.275;4.29;4.27;4.27;12391;0
МКБ ао;60;20170207;150000;4.27;4.28;4.269;4.28;4529;0
МКБ ао;60;20170207;160000;4.28;4.28;4.26;4.27;11867;0
МКБ ао;60;20170207;170000;4.274;4.28;4.274;4.28;962;0
МКБ ао;60;20170207;180000;4.275;4.29;4.274;4.28;17574;0
МКБ ао;60;20170208;100000;4.286;4.289;4.28;4.28;88;0
МКБ ао;60;20170208;110000;4.282;4.283;4.28;4.28;70;0
МКБ ао;60;20170208;120000;4.281;4.29;4.277;4.29;15940;0
МКБ ао;60;20170208;130000;4.288;4.29;4.28;4.287;1633;0
МКБ ао;60;20170208;140000;4.287;4.29;4.287;4.29;140;0
МКБ ао;60;20170208;150000;4.286;4.289;4.273;4.274;5091;0
МКБ ао;60;20170208;160000;4.274;4.279;4.27;4.275;8999;0
МКБ ао;60;20170208;170000;4.272;4.273;4.26;4.26;5440;0
МКБ ао;60;20170208;180000;4.26;4.262;4.25;4.25;4112;0
МКБ ао;60;20170209;090000;4.258;4.258;4.258;4.258;30;0
МКБ ао;60;20170209;100000;4.267;4.274;4.258;4.274;4128;0
МКБ ао;60;20170209;110000;4.272;4.272;4.265;4.265;3570;0
МКБ ао;60;20170209;120000;4.266;4.28;4.265;4.274;14670;0
МКБ ао;60;20170209;130000;4.275;4.275;4.26;4.26;3311;0
МКБ ао;60;20170209;140000;4.26;4.263;4.255;4.263;7762;0
МКБ ао;60;20170209;150000;4.263;4.265;4.256;4.265;6799;0
МКБ ао;60;20170209;160000;4.261;4.261;4.26;4.26;3751;0
МКБ ао;60;20170209;170000;4.26;4.264;4.23;4.249;6020;0
МКБ ао;60;20170209;180000;4.25;4.251;4.234;4.241;3330;0
МКБ ао;60;20170210;100000;4.254;4.254;4.24;4.249;735;0
МКБ ао;60;20170210;110000;4.249;4.251;4.249;4.251;328;0
МКБ ао;60;20170210;120000;4.252;4.27;4.252;4.27;4663;0
МКБ ао;60;20170210;130000;4.265;4.266;4.245;4.245;1862;0
МКБ ао;60;20170210;140000;4.246;4.25;4.245;4.246;45;0
МКБ ао;60;20170210;150000;4.246;4.249;4.245;4.249;205;0
МКБ ао;60;20170210;160000;4.248;4.249;4.248;4.248;75;0
МКБ ао;60;20170210;170000;4.249;4.25;4.239;4.242;7089;0
МКБ ао;60;20170210;180000;4.245;4.247;4.245;4.246;100;0
МКБ ао;60;20170213;100000;4.254;4.255;4.248;4.254;369;0
МКБ ао;60;20170213;110000;4.247;4.247;4.247;4.247;5;0
МКБ ао;60;20170213;120000;4.249;4.26;4.249;4.258;2354;0
МКБ ао;60;20170213;130000;4.259;4.26;4.254;4.256;564;0
МКБ ао;60;20170213;140000;4.256;4.256;4.255;4.256;38;0
