<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ММК;60;20170124;090000;34.68;34.68;34.68;34.68;86;0
ММК;60;20170124;100000;34.795;34.97;34.605;34.75;10887;0
ММК;60;20170124;110000;34.77;34.86;34.615;34.715;5176;0
ММК;60;20170124;120000;34.715;34.79;34.625;34.725;2557;0
ММК;60;20170124;130000;34.725;34.82;34.665;34.725;4604;0
ММК;60;20170124;140000;34.72;34.85;34.685;34.8;3564;0
ММК;60;20170124;150000;34.805;34.88;34.79;34.825;3353;0
ММК;60;20170124;160000;34.825;34.83;34.665;34.72;6603;0
ММК;60;20170124;170000;34.72;34.74;34.565;34.645;4336;0
ММК;60;20170124;180000;34.65;34.74;34.61;34.665;4474;0
ММК;60;20170125;090000;34.86;34.86;34.86;34.86;30;0
ММК;60;20170125;100000;34.855;35.41;34.6;35.41;40902;0
ММК;60;20170125;110000;35.405;35.66;35.2;35.645;20578;0
ММК;60;20170125;120000;35.655;35.88;35.575;35.84;22069;0
ММК;60;20170125;130000;35.855;35.885;35.76;35.79;9375;0
ММК;60;20170125;140000;35.815;35.94;35.76;35.84;16099;0
ММК;60;20170125;150000;35.84;35.86;35.72;35.78;10908;0
ММК;60;20170125;160000;35.78;36.12;35.76;35.975;18981;0
ММК;60;20170125;170000;35.975;36.04;35.705;35.9;17195;0
ММК;60;20170125;180000;35.915;36.03;35.85;36;11004;0
ММК;60;20170126;090000;36.1;36.1;36.1;36.1;48;0
ММК;60;20170126;100000;36.195;36.79;35.925;36.21;49807;0
ММК;60;20170126;110000;36.18;36.655;36.18;36.555;16014;0
ММК;60;20170126;120000;36.555;36.695;36.5;36.53;12441;0
ММК;60;20170126;130000;36.54;37.08;36.35;36.775;31279;0
ММК;60;20170126;140000;36.775;37.1;36.72;37;11686;0
ММК;60;20170126;150000;37;37.075;36.9;36.955;3936;0
ММК;60;20170126;160000;36.96;37.04;36.77;37.04;11554;0
ММК;60;20170126;170000;37.045;37.275;36.975;37.195;16109;0
ММК;60;20170126;180000;37.195;37.37;37.195;37.37;9390;0
ММК;60;20170127;090000;37.49;37.49;37.49;37.49;386;0
ММК;60;20170127;100000;37.45;37.545;36.97;37.4;19101;0
ММК;60;20170127;110000;37.375;37.405;36.605;37.005;35319;0
ММК;60;20170127;120000;37.005;37.17;36.95;37.09;6601;0
ММК;60;20170127;130000;37.115;37.27;37.01;37.21;7881;0
ММК;60;20170127;140000;37.24;37.25;37.1;37.13;6176;0
