<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МОЭСК;60;20170124;100000;0.959;0.973;0.956;0.959;1631;0
МОЭСК;60;20170124;110000;0.96;0.978;0.952;0.97;5719;0
МОЭСК;60;20170124;120000;0.969;0.969;0.966;0.966;114;0
МОЭСК;60;20170124;130000;0.971;0.973;0.965;0.973;318;0
МОЭСК;60;20170124;140000;0.968;0.975;0.967;0.975;456;0
МОЭСК;60;20170124;150000;0.97;0.977;0.967;0.967;842;0
МОЭСК;60;20170124;160000;0.968;0.97;0.967;0.967;312;0
МОЭСК;60;20170124;170000;0.968;0.975;0.968;0.97;110;0
МОЭСК;60;20170124;180000;0.974;0.982;0.974;0.98;1935;0
МОЭСК;60;20170125;100000;0.98;0.999;0.98;0.989;934;0
МОЭСК;60;20170125;110000;0.989;0.989;0.975;0.975;1134;0
МОЭСК;60;20170125;120000;0.975;0.98;0.97;0.98;1737;0
МОЭСК;60;20170125;130000;0.979;0.98;0.979;0.98;105;0
МОЭСК;60;20170125;140000;0.977;0.98;0.958;0.96;3080;0
МОЭСК;60;20170125;150000;0.966;0.967;0.953;0.961;1612;0
МОЭСК;60;20170125;160000;0.96;0.965;0.956;0.965;233;0
МОЭСК;60;20170125;170000;0.963;0.965;0.96;0.96;941;0
МОЭСК;60;20170125;180000;0.961;0.972;0.961;0.972;652;0
МОЭСК;60;20170126;090000;0.972;0.972;0.972;0.972;1;0
МОЭСК;60;20170126;100000;0.97;0.976;0.963;0.963;179;0
МОЭСК;60;20170126;110000;0.964;0.969;0.956;0.964;317;0
МОЭСК;60;20170126;120000;0.963;0.964;0.958;0.958;2099;0
МОЭСК;60;20170126;130000;0.963;0.965;0.961;0.961;41;0
МОЭСК;60;20170126;140000;0.96;0.964;0.959;0.964;12;0
МОЭСК;60;20170126;150000;0.96;0.96;0.952;0.958;925;0
МОЭСК;60;20170126;160000;0.958;0.97;0.958;0.961;1011;0
МОЭСК;60;20170126;170000;0.961;0.966;0.96;0.96;59;0
МОЭСК;60;20170126;180000;0.961;0.97;0.96;0.97;506;0
МОЭСК;60;20170127;100000;0.969;0.973;0.966;0.971;197;0
МОЭСК;60;20170127;110000;0.971;0.975;0.966;0.97;327;0
МОЭСК;60;20170127;120000;0.974;1.018;0.974;1.002;6579;0
МОЭСК;60;20170127;130000;1.005;1.009;1;1.001;871;0
МОЭСК;60;20170127;140000;1.001;1.009;1;1.001;1918;0
МОЭСК;60;20170127;150000;1.001;1.01;1;1.001;857;0
МОЭСК;60;20170127;160000;1.001;1.009;1;1.001;1533;0
МОЭСК;60;20170127;170000;1.002;1.019;1.001;1.019;2313;0
МОЭСК;60;20170127;180000;1.016;1.019;1.015;1.016;689;0
МОЭСК;60;20170130;100000;1.015;1.048;1.01;1.026;4999;0
